open_time,volume,taker_buy_base_volume
1702879200000,12589377.20000000,6153694.40000000
1702882800000,6687367.70000000,3611534.50000000
1702886400000,4713141.10000000,2234514.50000000
1702890000000,2411998.70000000,1172537.40000000
1702893600000,1768715.10000000,907593.20000000
1702897200000,2139886.80000000,1187922.10000000
1702900800000,2813067.70000000,1478235.80000000
1702904400000,2687130.60000000,1251370.60000000
1702908000000,1670741.50000000,813166.80000000
1702911600000,1334315.50000000,650889.20000000
1702915200000,729357.70000000,366805.50000000
1702918800000,565461.00000000,293684.50000000
1702922400000,2142469.50000000,888910.70000000
1702926000000,1019746.00000000,475323.40000000
1702929600000,860152.70000000,479846.30000000
1702933200000,694232.70000000,318020.70000000
1702936800000,542540.60000000,277194.40000000
1702940400000,1055197.00000000,592462.00000000
1702944000000,695539.60000000,355074.10000000
1702947600000,1024833.30000000,534464.70000000
1702951200000,632750.90000000,320212.30000000
1702954800000,508049.50000000,251480.90000000
1702958400000,649316.50000000,318708.00000000
1702962000000,650788.80000000,282223.20000000
1702965600000,768233.40000000,398740.90000000
1702969200000,893627.50000000,420355.10000000
1702972800000,499200.00000000,234964.70000000
1702976400000,377975.80000000,153944.20000000
1702980000000,969705.00000000,392893.70000000
1702983600000,564023.40000000,203350.40000000
1702987200000,458964.70000000,233916.30000000
1702990800000,632140.70000000,299592.70000000
1702994400000,988854.30000000,425164.60000000
1702998000000,458293.70000000,250141.70000000
1703001600000,619573.80000000,313388.30000000
1703005200000,325085.00000000,166113.60000000
1703008800000,409582.00000000,203221.40000000
1703012400000,244561.40000000,115323.80000000
1703016000000,259930.60000000,129545.60000000
1703019600000,232910.20000000,126926.10000000
1703023200000,206246.20000000,104954.70000000
1703026800000,242874.60000000,118273.30000000
1703030400000,414747.70000000,186470.10000000
1703034000000,335910.20000000,164444.60000000
1703037600000,371259.80000000,183951.00000000
1703041200000,150514.90000000,77063.30000000
1703044800000,266071.50000000,143785.60000000
1703048400000,202078.70000000,84811.80000000
1703052000000,293227.00000000,128992.00000000
1703055600000,380031.00000000,174538.20000000
1703059200000,388570.70000000,148000.20000000
1703062800000,304055.50000000,145295.30000000
1703066400000,240160.60000000,108897.90000000
1703070000000,527867.60000000,314140.30000000
1703073600000,745469.00000000,362648.60000000
1703077200000,553728.70000000,327784.70000000
1703080800000,674733.40000000,317194.90000000
1703084400000,283869.30000000,154077.30000000
1703088000000,316388.50000000,137455.30000000
1703091600000,208481.30000000,94949.00000000
1703095200000,369594.60000000,210474.20000000
1703098800000,555612.10000000,302517.10000000
1703102400000,689245.10000000,387820.50000000
1703106000000,330417.20000000,144542.60000000
1703109600000,308600.90000000,135857.30000000
1703113200000,356227.40000000,201580.10000000
1703116800000,289212.40000000,142398.60000000
1703120400000,305088.40000000,146935.40000000
1703124000000,318752.30000000,156829.40000000
1703127600000,263816.00000000,138171.40000000
1703131200000,1164720.90000000,667365.70000000
1703134800000,2581319.40000000,1493833.80000000
1703138400000,2440436.00000000,1289918.80000000
1703142000000,1347519.10000000,710278.50000000
