open_time,volume,taker_buy_base_volume
1704362400000,89897761.00000000,42300986.00000000
1704366000000,27121828.00000000,13937411.00000000
1704369600000,17537552.00000000,9529923.00000000
1704373200000,8685121.00000000,4156370.00000000
1704376800000,6901944.00000000,3085621.00000000
1704380400000,6499338.00000000,3078153.00000000
1704384000000,5907954.00000000,2932630.00000000
1704387600000,4187306.00000000,2074513.00000000
1704391200000,3130392.00000000,1650182.00000000
1704394800000,18335017.00000000,11302696.00000000
1704398400000,11310532.00000000,5828895.00000000
1704402000000,6787139.00000000,3113721.00000000
1704405600000,4249356.00000000,1886920.00000000
1704409200000,4373618.00000000,1920727.00000000
1704412800000,4559773.00000000,1813446.00000000
1704416400000,4569879.00000000,1927268.00000000
1704420000000,2399113.00000000,1162372.00000000
1704423600000,2208262.00000000,1108290.00000000
1704427200000,5373060.00000000,2626329.00000000
1704430800000,2659695.00000000,1325390.00000000
1704434400000,4156147.00000000,2414665.00000000
1704438000000,3523451.00000000,1697922.00000000
1704441600000,11121532.00000000,6582993.00000000
1704445200000,18092569.00000000,10402346.00000000
1704448800000,10102622.00000000,4647938.00000000
1704452400000,6692481.00000000,2893118.00000000
1704456000000,5079557.00000000,2503513.00000000
1704459600000,3845367.00000000,1708894.00000000
1704463200000,3962530.00000000,1851884.00000000
1704466800000,4241920.00000000,1902500.00000000
1704470400000,2340300.00000000,1130135.00000000
1704474000000,4269337.00000000,2289521.00000000
1704477600000,2360333.00000000,1297044.00000000
1704481200000,1854200.00000000,815392.00000000
1704484800000,1474052.00000000,617141.00000000
1704488400000,1181293.00000000,465764.00000000
1704492000000,779009.00000000,266783.00000000
1704495600000,1061238.00000000,513849.00000000
1704499200000,1045790.00000000,414028.00000000
1704502800000,803686.00000000,244364.00000000
1704506400000,3737666.00000000,2238290.00000000
1704510000000,2224335.00000000,1248681.00000000
1704513600000,1821084.00000000,737064.00000000
1704517200000,3067725.00000000,1275888.00000000
1704520800000,2273239.00000000,890536.00000000
1704524400000,1243444.00000000,604068.00000000
1704528000000,1593637.00000000,570032.00000000
1704531600000,1538089.00000000,812730.00000000
1704535200000,1312622.00000000,494869.00000000
1704538800000,1137061.00000000,531502.00000000
1704542400000,2931181.00000000,1545757.00000000
1704546000000,1549683.00000000,585305.00000000
1704549600000,2359537.00000000,1140174.00000000
1704553200000,1383440.00000000,621286.00000000
1704556800000,3187399.00000000,1729514.00000000
1704560400000,4813759.00000000,2966755.00000000
1704564000000,4166984.00000000,2428928.00000000
1704567600000,2022889.00000000,806249.00000000
1704571200000,2800125.00000000,1653326.00000000
1704574800000,2906641.00000000,1538617.00000000
1704578400000,3302104.00000000,1895664.00000000
1704582000000,3362110.00000000,1859775.00000000
1704585600000,1793156.00000000,738196.00000000
1704589200000,1924038.00000000,733364.00000000
1704592800000,1421325.00000000,644336.00000000
1704596400000,4762744.00000000,2832477.00000000
1704600000000,6798906.00000000,3746597.00000000
1704603600000,3872068.00000000,1761762.00000000
1704607200000,8845594.00000000,5301946.00000000
1704610800000,9982867.00000000,5622642.00000000
1704614400000,13819228.00000000,7041154.00000000
1704618000000,7180883.00000000,3486414.00000000
1704621600000,3275774.00000000,1525343.00000000
1704625200000,5535670.00000000,2332455.00000000
1704628800000,5847696.00000000,2771285.00000000
1704632400000,7382497.00000000,3975101.00000000
1704636000000,3742684.00000000,1832962.00000000
1704639600000,3339177.00000000,1472753.00000000
1704643200000,4571056.00000000,2412534.00000000
1704646800000,5265193.00000000,2775380.00000000
1704650400000,3291501.00000000,1740945.00000000
1704654000000,7256815.00000000,3995161.00000000
1704657600000,3702114.00000000,1766452.00000000
1704661200000,2668776.00000000,1285141.00000000
1704664800000,3522235.00000000,1762413.00000000
1704668400000,4383638.00000000,1896246.00000000
1704672000000,4642510.00000000,2272375.00000000
1704675600000,2715182.00000000,1291005.00000000
1704679200000,6901491.00000000,2370684.00000000
1704682800000,4059689.00000000,1950307.00000000
1704686400000,2559471.00000000,1107525.00000000
1704690000000,3259399.00000000,1441525.00000000
1704693600000,3481571.00000000,1930460.00000000
1704697200000,4146455.00000000,2153540.00000000
1704700800000,6202453.00000000,3608775.00000000
1704704400000,2992298.00000000,1365298.00000000
1704708000000,2429493.00000000,1171857.00000000
1704711600000,3811466.00000000,1444570.00000000
1704715200000,6759957.00000000,3887412.00000000
1704718800000,5606848.00000000,2713121.00000000
1704722400000,3568253.00000000,1699611.00000000
1704726000000,2778177.00000000,1253139.00000000
1704729600000,2649539.00000000,1179798.00000000
1704733200000,2603424.00000000,1263626.00000000
1704736800000,4091164.00000000,1935483.00000000
1704740400000,6659533.00000000,2794325.00000000
1704744000000,2667957.00000000,1448032.00000000
