open_time,volume,taker_buy_base_volume
1762869600000,51811675.00000000,25926212.80000000
1762873200000,18030168.20000000,9008986.70000000
1762876800000,19460560.70000000,9719711.60000000
1762880400000,11489884.60000000,6126806.60000000
1762884000000,15150248.90000000,7860517.50000000
1762887600000,7673855.50000000,3829850.40000000
1762891200000,10435114.10000000,5275480.10000000
1762894800000,4824098.20000000,2555292.50000000
1762898400000,4569426.30000000,2316931.20000000
1762902000000,5618896.50000000,2742072.80000000
1762905600000,6634663.20000000,3387742.90000000
1762909200000,5095619.40000000,2682182.10000000
1762912800000,5548336.70000000,2922873.80000000
1762916400000,4339829.50000000,2171876.20000000
1762920000000,7742319.70000000,4041985.20000000
1762923600000,7054869.40000000,3315701.80000000
1762927200000,4562958.00000000,2248755.00000000
1762930800000,3417158.60000000,1788395.40000000
1762934400000,4294195.40000000,2120133.20000000
1762938000000,3770499.30000000,1891507.40000000
1762941600000,79836686.20000000,39579383.70000000
1762945200000,37092185.10000000,18533985.00000000
1762948800000,30417585.80000000,15279859.50000000
1762952400000,35117366.60000000,16867713.70000000
1762956000000,24950267.50000000,12330513.60000000
1762959600000,15130858.50000000,7411218.30000000
1762963200000,11958833.30000000,5779511.60000000
1762966800000,8941798.60000000,4201774.60000000
1762970400000,8044966.00000000,4075490.30000000
1762974000000,4890783.50000000,2318664.40000000
1762977600000,3241949.30000000,1566580.90000000
1762981200000,3706575.20000000,1806303.10000000
1762984800000,5518323.70000000,2739689.20000000
1762988400000,5801640.80000000,2761159.30000000
1762992000000,8736376.80000000,4061631.30000000
1762995600000,6055498.00000000,3014551.60000000
1762999200000,6417624.70000000,3200536.10000000
1763002800000,7483875.80000000,3729558.20000000
1763006400000,18453469.50000000,7869526.50000000
1763010000000,16782318.90000000,7414292.10000000
1763013600000,8689291.50000000,4239379.40000000
1763017200000,13385934.20000000,6688572.70000000
1763020800000,12827794.30000000,6986787.90000000
1763024400000,11091327.50000000,5378270.70000000
1763028000000,8647263.40000000,4374854.40000000
1763031600000,6994853.50000000,3499144.60000000
1763035200000,8358505.30000000,4071618.90000000
1763038800000,10570257.60000000,4761760.10000000
1763042400000,14849184.90000000,6990730.80000000
1763046000000,11194916.80000000,5542484.90000000
1763049600000,10502100.20000000,6121453.60000000
1763053200000,7229295.90000000,3474555.00000000
1763056800000,6777814.50000000,3241467.50000000
1763060400000,23544446.30000000,11577102.30000000
1763064000000,7342079.50000000,3942376.00000000
1763067600000,6667949.50000000,3391392.60000000
1763071200000,4219779.90000000,2129335.00000000
1763074800000,4355932.20000000,2441934.70000000
1763078400000,4915687.00000000,2302138.30000000
1763082000000,4552684.70000000,2335726.40000000
1763085600000,4690204.40000000,2451545.10000000
1763089200000,4900725.50000000,2210345.50000000
1763092800000,8788376.60000000,3813151.30000000
1763096400000,4266761.20000000,2025023.20000000
1763100000000,7003265.10000000,3647277.20000000
1763103600000,7966891.00000000,4254374.70000000
1763107200000,5525375.40000000,2623184.50000000
1763110800000,5824120.90000000,2684162.50000000
1763114400000,8477896.30000000,4291232.70000000
1763118000000,4907107.00000000,2386512.80000000
1763121600000,10237870.20000000,5234149.60000000
1763125200000,8465153.30000000,4420181.80000000
1763128800000,13031993.30000000,6576505.50000000
1763132400000,7952351.80000000,4049067.80000000
1763136000000,9634494.60000000,4989786.00000000
1763139600000,4426186.70000000,2361327.40000000
