open_time,volume,taker_buy_base_volume
1672531200000,434354.00000000,237446.00000000
1672534800000,2195010.00000000,1589651.00000000
1672538400000,2357438.00000000,986524.00000000
1672542000000,956632.00000000,791994.00000000
1672545600000,4933119.00000000,3231942.00000000
1672549200000,3327715.00000000,2455714.00000000
1672552800000,3821578.00000000,1276546.00000000
1672556400000,497207.00000000,449793.00000000
1672560000000,507142.00000000,272072.00000000
1672563600000,1979019.00000000,868616.00000000
1672567200000,3443770.00000000,2157734.00000000
1672570800000,937539.00000000,663946.00000000
1672574400000,2141563.00000000,1400425.00000000
1672578000000,602016.00000000,469125.00000000
1672581600000,15457874.00000000,11166932.00000000
1672585200000,617842.00000000,66248.00000000
1672588800000,3292502.00000000,1959882.00000000
1672592400000,9140873.00000000,3997533.00000000
1672596000000,2889678.00000000,2158949.00000000
1672599600000,2035020.00000000,657930.00000000
1672603200000,2350083.00000000,435963.00000000
1672606800000,479372.00000000,404676.00000000
1672610400000,2621554.00000000,2342767.00000000
1672614000000,213053.00000000,175201.00000000
1672617600000,682345.00000000,94157.00000000
1672621200000,975004.00000000,763459.00000000
1672624800000,1373786.00000000,1362578.00000000
1672628400000,277496.00000000,115416.00000000
1672632000000,469258.00000000,54534.00000000
1672635600000,978826.00000000,848826.00000000
1672639200000,1157711.00000000,85887.00000000
1672642800000,8627324.00000000,3656190.00000000
1672646400000,3999292.00000000,1243819.00000000
1672650000000,923385.00000000,420222.00000000
1672653600000,2619252.00000000,667274.00000000
1672657200000,2603635.00000000,768854.00000000
1672660800000,3251587.00000000,2010296.00000000
1672664400000,3670966.00000000,1782973.00000000
1672668000000,10940018.00000000,4580377.00000000
1672671600000,6264823.00000000,3959034.00000000
1672675200000,1165458.00000000,869286.00000000
1672678800000,3280195.00000000,2274368.00000000
1672682400000,3203783.00000000,1757568.00000000
1672686000000,8135744.00000000,1991942.00000000
1672689600000,1000200.00000000,382522.00000000
1672693200000,1747476.00000000,1062802.00000000
1672696800000,1247099.00000000,800224.00000000
1672700400000,1440688.00000000,325219.00000000
1672704000000,4137970.00000000,1911452.00000000
1672707600000,2086846.00000000,1898442.00000000
1672711200000,1014369.00000000,890540.00000000
1672714800000,1566311.00000000,988957.00000000
1672718400000,797073.00000000,533027.00000000
1672722000000,5835802.00000000,2162523.00000000
1672725600000,118320.00000000,64137.00000000
1672729200000,1692343.00000000,1329633.00000000
1672732800000,4318248.00000000,2014748.00000000
1672736400000,1019440.00000000,189577.00000000
1672740000000,2320758.00000000,1079280.00000000
1672743600000,791959.00000000,165520.00000000
1672747200000,486188.00000000,417345.00000000
1672750800000,1083509.00000000,663977.00000000
1672754400000,4743568.00000000,1297130.00000000
1672758000000,2862278.00000000,315064.00000000
1672761600000,5072632.00000000,3270524.00000000
1672765200000,254243.00000000,127388.00000000
1672768800000,1917155.00000000,1196121.00000000
1672772400000,565738.00000000,113657.00000000
1672776000000,906247.00000000,844707.00000000
1672779600000,1263462.00000000,843280.00000000
1672783200000,247386.00000000,230197.00000000
1672786800000,124743.00000000,65532.00000000
1672790400000,688248.00000000,442288.00000000
1672794000000,358745.00000000,331717.00000000
1672797600000,953736.00000000,936006.00000000
1672801200000,4060324.00000000,1809736.00000000
1672804800000,4200927.00000000,1489506.00000000
1672808400000,544636.00000000,150859.00000000
1672812000000,1584136.00000000,231896.00000000
1672815600000,5291819.00000000,1045074.00000000
1672819200000,980282.00000000,700763.00000000
1672822800000,3354830.00000000,903704.00000000
1672826400000,2145341.00000000,955014.00000000
1672830000000,2237944.00000000,1493946.00000000
1672833600000,3286546.00000000,2064279.00000000
1672837200000,2867816.00000000,1881864.00000000
1672840800000,9743764.00000000,8357882.00000000
1672844400000,3047737.00000000,856531.00000000
1672848000000,5335558.00000000,3935986.00000000
1672851600000,6169924.00000000,3313321.00000000
1672855200000,3475540.00000000,1813485.00000000
1672858800000,4489129.00000000,1054976.00000000
1672862400000,908290.00000000,551554.00000000
1672866000000,1756721.00000000,109915.00000000
1672869600000,2824807.00000000,1140470.00000000
1672873200000,4607843.00000000,4208570.00000000
1672876800000,831611.00000000,690618.00000000
1672880400000,225102.00000000,128570.00000000
1672884000000,2330499.00000000,1880855.00000000
1672887600000,779712.00000000,513076.00000000
1672891200000,1120541.00000000,859865.00000000
1672894800000,775616.00000000,524725.00000000
1672898400000,161662.00000000,29290.00000000
1672902000000,1587138.00000000,1344242.00000000
1672905600000,2273206.00000000,541488.00000000
1672909200000,1041868.00000000,109597.00000000
1672912800000,1380609.00000000,806949.00000000
1672916400000,282632.00000000,138781.00000000
1672920000000,857961.00000000,683617.00000000
1672923600000,659607.00000000,98483.00000000
1672927200000,1276712.00000000,307744.00000000
1672930800000,2445762.00000000,1685235.00000000
1672934400000,1541043.00000000,468764.00000000
1672938000000,34353061.00000000,20817408.00000000
1672941600000,10746910.00000000,4961661.00000000
1672945200000,3108625.00000000,332149.00000000
1672948800000,2170269.00000000,825799.00000000
1672952400000,920777.00000000,218328.00000000
1672956000000,111157.00000000,50200.00000000
1672959600000,1131720.00000000,881827.00000000
1672963200000,387042.00000000,362791.00000000
1672966800000,4207919.00000000,1824231.00000000
1672970400000,1309313.00000000,297182.00000000
1672974000000,769169.00000000,261866.00000000
1672977600000,2113839.00000000,268974.00000000
1672981200000,522934.00000000,16834.00000000
1672984800000,1588879.00000000,440484.00000000
1672988400000,238056.00000000,75161.00000000
1672992000000,1868936.00000000,88695.00000000
1672995600000,630244.00000000,251348.00000000
1672999200000,232679.00000000,162586.00000000
1673002800000,2109442.00000000,1241484.00000000
1673006400000,99092643.00000000,53126787.00000000
1673010000000,10508826.00000000,3302792.00000000
1673013600000,60728147.00000000,30170278.00000000
1673017200000,15052928.00000000,5868813.00000000
1673020800000,12681811.00000000,6059122.00000000
1673024400000,33856125.00000000,12362383.00000000
1673028000000,11933770.00000000,8547552.00000000
1673031600000,5043403.00000000,3245842.00000000
1673035200000,13657589.00000000,8972368.00000000
1673038800000,2173143.00000000,813363.00000000
1673042400000,861905.00000000,183889.00000000
1673046000000,1481654.00000000,759255.00000000
1673049600000,2535672.00000000,1884752.00000000
1673053200000,990768.00000000,440502.00000000
1673056800000,5787375.00000000,330235.00000000
1673060400000,3588549.00000000,1213118.00000000
1673064000000,686667.00000000,76376.00000000
1673067600000,794252.00000000,639479.00000000
1673071200000,550142.00000000,324775.00000000
1673074800000,349991.00000000,205766.00000000
1673078400000,1849682.00000000,100447.00000000
1673082000000,3259120.00000000,1883335.00000000
1673085600000,509749.00000000,89278.00000000
1673089200000,2454375.00000000,681839.00000000
1673092800000,4058427.00000000,1048843.00000000
1673096400000,4598406.00000000,1091748.00000000
1673100000000,3856658.00000000,2285436.00000000
1673103600000,3027039.00000000,1384810.00000000
1673107200000,856924.00000000,521011.00000000
1673110800000,1693185.00000000,493648.00000000
1673114400000,2149555.00000000,554531.00000000
1673118000000,4075695.00000000,1302564.00000000
1673121600000,779693.00000000,507727.00000000
1673125200000,1804174.00000000,745731.00000000
1673128800000,787248.00000000,510951.00000000
1673132400000,4644584.00000000,907263.00000000
1673136000000,2551808.00000000,1934595.00000000
1673139600000,851263.00000000,760311.00000000
1673143200000,1333689.00000000,848632.00000000
1673146800000,4898456.00000000,3712119.00000000
1673150400000,5168603.00000000,3355828.00000000
1673154000000,13105832.00000000,8196044.00000000
1673157600000,5898369.00000000,519322.00000000
1673161200000,5797935.00000000,194422.00000000
1673164800000,1015535.00000000,586702.00000000
1673168400000,981571.00000000,715359.00000000
1673172000000,865015.00000000,125950.00000000
1673175600000,456256.00000000,113160.00000000
1673179200000,1358561.00000000,129078.00000000
1673182800000,2501425.00000000,1181164.00000000
1673186400000,2931849.00000000,1357911.00000000
1673190000000,2508159.00000000,474587.00000000
1673193600000,2222131.00000000,522080.00000000
1673197200000,1378140.00000000,177825.00000000
1673200800000,1308285.00000000,809527.00000000
1673204400000,12379809.00000000,9380391.00000000
1673208000000,15374446.00000000,3870509.00000000
1673211600000,7188862.00000000,4246202.00000000
1673215200000,1979348.00000000,125382.00000000
1673218800000,5023941.00000000,3571163.00000000
1673222400000,1860350.00000000,757098.00000000
1673226000000,8151658.00000000,2809431.00000000
1673229600000,2450092.00000000,1520680.00000000
1673233200000,3950906.00000000,2219104.00000000
1673236800000,1830432.00000000,585753.00000000
1673240400000,561270.00000000,429828.00000000
1673244000000,2138394.00000000,1500102.00000000
1673247600000,5455602.00000000,4081279.00000000
1673251200000,11326504.00000000,2139671.00000000
1673254800000,8449488.00000000,5279545.00000000
1673258400000,5105803.00000000,2262411.00000000
1673262000000,2945616.00000000,1817408.00000000
1673265600000,5414242.00000000,3608789.00000000
1673269200000,7473041.00000000,2673583.00000000
1673272800000,2968771.00000000,1181923.00000000
1673276400000,6724521.00000000,3215483.00000000
1673280000000,155797932.00000000,89300238.00000000
1673283600000,22022882.00000000,11710116.00000000
1673287200000,20524744.00000000,8459845.00000000
1673290800000,14658285.00000000,3691629.00000000
1673294400000,13151714.00000000,4901912.00000000
1673298000000,8851325.00000000,5967708.00000000
1673301600000,2712938.00000000,1272752.00000000
1673305200000,5797941.00000000,3008484.00000000
1673308800000,1856307.00000000,1276755.00000000
1673312400000,1777980.00000000,1193701.00000000
1673316000000,7161514.00000000,4098337.00000000
1673319600000,2933106.00000000,2250374.00000000
1673323200000,2876751.00000000,1646192.00000000
1673326800000,1461699.00000000,1114914.00000000
1673330400000,2211502.00000000,1570192.00000000
1673334000000,12357408.00000000,8332273.00000000
1673337600000,6479096.00000000,2486632.00000000
1673341200000,2850455.00000000,1062663.00000000
1673344800000,7810202.00000000,2394358.00000000
1673348400000,2411581.00000000,1155786.00000000
1673352000000,10750206.00000000,7253001.00000000
1673355600000,7647298.00000000,3638170.00000000
1673359200000,2770740.00000000,1645284.00000000
1673362800000,7325020.00000000,3783356.00000000
1673366400000,8739571.00000000,3825690.00000000
1673370000000,82692200.00000000,55272041.00000000
1673373600000,26000861.00000000,10877816.00000000
1673377200000,7539551.00000000,2113864.00000000
1673380800000,6238336.00000000,4401286.00000000
1673384400000,2059564.00000000,792354.00000000
1673388000000,2589335.00000000,960388.00000000
1673391600000,1535254.00000000,962522.00000000
1673395200000,9538086.00000000,4281135.00000000
1673398800000,14930425.00000000,4383310.00000000
1673402400000,910685.00000000,679538.00000000
1673406000000,4820652.00000000,1489209.00000000
1673409600000,1266926.00000000,82237.00000000
1673413200000,1358319.00000000,671933.00000000
1673416800000,888432.00000000,761958.00000000
1673420400000,2029964.00000000,1662953.00000000
1673424000000,488448.00000000,256466.00000000
1673427600000,1611162.00000000,776693.00000000
1673431200000,2008734.00000000,159292.00000000
1673434800000,1924330.00000000,1264084.00000000
1673438400000,1618608.00000000,330859.00000000
1673442000000,4711759.00000000,1951219.00000000
1673445600000,17825931.00000000,3710555.00000000
1673449200000,10480265.00000000,5312286.00000000
1673452800000,3678277.00000000,1670041.00000000
1673456400000,1291881.00000000,877377.00000000
1673460000000,11844995.00000000,6873505.00000000
