week_start_ts,transfer_count,unique_addresses
1673740800,4807,2163
1674345600,2599,1543
1674950400,2041,1220
1675555200,2098,1112
1676160000,2122,1191
1676764800,5320,2002
1677369600,3341,1293
1677974400,2897,1283
1678579200,2871,1308
1679184000,2786,1352
1679788800,2283,1138
1680393600,1827,985
1680998400,1924,974
1681603200,1590,818
1682208000,1360,703
1682812800,1249,594
1683417600,1284,659
1684022400,1036,619
1684627200,1290,640
1685232000,1162,687
1685836800,2772,2161
1686441600,7267,6621
1687046400,1922,923
1687651200,1933,1077
1688256000,1630,933
1688860800,2111,1283
1689465600,2091,1328
1690070400,3109,1173
1690675200,2920,1147
1691280000,1856,855
1691884800,1408,740
1692489600,1315,681
1693094400,1685,737
1693699200,1464,798
1694304000,1461,746
1694908800,1395,797
1695513600,1352,752
1696118400,1451,760
1696723200,1547,723
1697328000,1568,805
1697932800,1568,805
1698537600,1688,862
1699142400,1962,973
1699747200,2798,1267
1700352000,2321,1095
1700956800,1545,843
1701561600,4429,1801
1702166400,4228,1454
1702771200,1742,994
1703376000,1775,1157
1703980800,2070,1169
1704585600,2197,1003
1705190400,2386,930
1705795200,2667,1218
1706400000,1598,843
1707004800,995,658
1707609600,1553,869
1708214400,3698,1546
1708819200,2373,1250
1709424000,2328,1320
1710028800,10000,4086
1710633600,4683,2267
1711238400,3120,1855
1711843200,2796,1436
1712448000,2556,1554
1713052800,2500,1185
1713657600,1816,1058
1714262400,3729,1616
1714867200,2639,1359
1715472000,2449,1370
1716076800,2458,1177
1716681600,4229,1701
1717286400,2474,1285
1717891200,2038,918
1718496000,2212,880
1719100800,1786,765
1719705600,1341,719
1720310400,1694,743
1720915200,1608,722
1721520000,1437,750
1722124800,1896,831
1722729600,2091,795
1723334400,2754,842
1723939200,1703,811
1724544000,2077,760
1725148800,1301,653
1725753600,1260,849
1726358400,1065,595
1726963200,1544,633
1727568000,1621,787
1728172800,1195,550
1728777600,1173,572
1729382400,2856,919
1729987200,1779,609
1730592000,2078,797
1731196800,3881,1502
1731801600,4151,1623
1732406400,8580,2974
1733011200,10000,4016
1733616000,5933,2297
1734220800,4955,1955
1734825600,3968,2006
1735430400,3121,1423
1736035200,2953,1369
1736640000,5302,1878
1737244800,5157,1979
1737849600,4529,1890
1738454400,4492,1555
1739059200,3359,1260
1739664000,2828,1138
1740268800,5565,1684
1740873600,4368,1480
1741478400,3863,1067
1742083200,2804,943
1742688000,2650,950
1743292800,4833,1863
1743897600,3704,1118
1744502400,3544,1207
1745107200,5441,1400
1745712000,3259,1230
1746316800,4612,1108
1746921600,4888,1323
1747526400,3992,1147
1748131200,2860,999
1748736000,3213,1095
1749340800,2548,955
1749945600,2381,888
1750550400,2990,1104
1751155200,4943,1587
1751760000,2681,1280
1752364800,3487,1443
1752969600,3632,1572
1753574400,2775,1264
1754179200,3482,1268
1754784000,2858,1116
1755388800,2750,1082
1755993600,2686,948
1756598400,2186,979
1757203200,1871,889
1757808000,1952,868
1758412800,1792,802
1759017600,2353,1079
1759622400,3871,1125
1760227200,4212,1132
1760832000,3326,858
1761436800,4302,1099
1762041600,2624,941
1762646400,4245,920
1763251200,2393,799
1763856000,1742,648
1764460800,2787,987
1765065600,2132,1270
1765670400,1734,702
1766275200,2236,656
1766880000,10000,1722
1767484800,6108,1292
1768089600,4668,807
1768694400,3041,1402
1769299200,2926,758
1769904000,4306,1021
1770508800,2061,689
1771113600,2171,551
1771718400,1982,562
1772323200,2120,729
1772928000,2144,500
1773532800,1830,537
1774137600,2236,569
1774742400,7067,1120
1775347200,3870,1406
1775952000,2998,611
1776556800,2031,537
1777161600,5468,895
1777766400,2697,681
1778371200,3302,614
1778976000,2283,558
1779580800,2230,556
1780185600,5847,844
1780790400,2566,511
1781395200,3773,646
1782000000,2564,543
1782604800,2766,749
1783209600,3159,600
1783814400,2224,500
1784419200,1845,452
1785024000,1606,485
1785628800,2786,608
1786233600,2489,471
1786838400,3438,782
1787443200,4765,624
