open_time,open,high,low,close,volume,close_time,quote_volume,n_trades
1673740800000,16.95,17.04,16.18,16.56,65752.139066,1673744399999,1090077.398206,0
1673744400000,16.55,16.62,16.2,16.5,32297.928575,1673747999999,529673.496359,0
1673748000000,16.5,16.54,16.28,16.31,21952.706183,1673751599999,359864.716446,0
1673751600000,16.31,16.56,16.25,16.51,14661.465703,1673755199999,240689.431908,0
1673755200000,16.51,16.61,16.44,16.51,17142.565189,1673758799999,283220.115326,0
1673758800000,16.51,16.59,16.41,16.54,8038.110149,1673762399999,132750.0616,0
1673762400000,16.53,16.55,16.35,16.36,9804.74204,1673765999999,161373.449436,0
1673766000000,16.36,16.36,16.11,16.35,23442.447283,1673769599999,381292.714482,0
1673769600000,16.35,16.38,16.02,16.09,21905.63426,1673773199999,353916.858546,0
1673773200000,16.1,16.3,16.01,16.3,36087.072274,1673776799999,580815.10415,0
1673776800000,16.3,16.3,16.14,16.26,21936.54586,1673780399999,355426.076135,0
1673780400000,16.26,16.46,16.21,16.4,30466.257025,1673783999999,497952.88297,0
1673784000000,16.4,16.46,16.27,16.35,11026.097463,1673787599999,180434.474653,0
1673787600000,16.34,16.64,16.32,16.45,27794.023144,1673791199999,458552.972048,0
1673791200000,16.44,16.86,16.44,16.7,15943.068021,1673794799999,265452.91958,0
1673794800000,16.7,17.08,16.65,17.01,48207.833455,1673798399999,814144.555505,0
1673798400000,17,17.08,16.65,16.73,44766.7346,1673801999999,752678.710458,0
1673802000000,16.73,16.94,16.64,16.75,25497.107889,1673805599999,428469.93039,0
1673805600000,16.76,16.9,16.47,16.8,71288.518957,1673809199999,1192373.843276,0
1673809200000,16.8,16.83,16.71,16.79,11470.095597,1673812799999,192490.027986,0
1673812800000,16.81,16.9,16.68,16.86,13555.866216,1673816399999,228006.365981,0
1673816400000,16.85,16.94,16.83,16.87,10053.578189,1673819999999,169618.44494,0
1673820000000,16.88,16.94,16.67,16.94,14257.236583,1673823599999,239771.681589,0
1673823600000,16.93,16.93,16.71,16.8,9431.672633,1673827199999,158453.580481,0
1673827200000,16.79,16.93,16.54,16.81,19024.611702,1673830799999,318170.139094,0
1673830800000,16.84,17.22,16.75,17.16,30951.988954,1673834399999,525941.661967,0
1673834400000,17.17,17.35,16.99,17.01,27411.831784,1673837999999,470435.504232,0
1673838000000,17.01,17.01,16.77,16.82,25721.693914,1673841599999,434269.093451,0
1673841600000,16.82,16.97,16.77,16.95,11689.871875,1673845199999,197247.547403,0
1673845200000,16.95,17.15,16.92,17.15,10003.914788,1673848799999,170596.923983,0
1673848800000,17.15,17.21,16.95,17.02,24068.965479,1673852399999,410850.821259,0
1673852400000,17.01,17.02,16.81,16.95,21977.784905,1673855999999,371669.025651,0
1673856000000,16.97,16.97,16.06,16.42,104075.115275,1673859599999,1707406.048294,0
1673859600000,16.41,16.62,16.37,16.57,15202.672286,1673863199999,251271.598578,0
1673863200000,16.56,16.77,16.52,16.67,18620.98695,1673866799999,310089.375044,0
1673866800000,16.68,16.71,16.46,16.51,36554.887031,1673870399999,605349.225227,0
1673870400000,16.5,16.61,16.44,16.46,14344.081987,1673873999999,237423.551962,0
1673874000000,16.45,16.61,16.39,16.53,11683.41548,1673877599999,193010.827166,0
1673877600000,16.53,16.61,16.34,16.53,15506.399706,1673881199999,255867.555094,0
1673881200000,16.55,16.62,16.05,16.55,39064.197459,1673884799999,639363.587019,0
1673884800000,16.55,16.61,16.45,16.56,8435.346558,1673888399999,139471.98066,0
1673888400000,16.56,16.69,16.51,16.65,10499.770406,1673891999999,174349.913073,0
1673892000000,16.65,16.81,16.6,16.78,11322.175081,1673895599999,189087.938647,0
1673895600000,16.76,16.92,16.72,16.8,14320.622842,1673899199999,240742.02007,0
1673899200000,16.81,16.92,16.72,16.83,13716.696075,1673902799999,230915.163046,0
1673902800000,16.84,16.84,16.61,16.79,9345.709494,1673906399999,156364.224097,0
1673906400000,16.79,16.9,16.69,16.71,4787.339948,1673909999999,80396.397675,0
1673910000000,16.72,16.78,16.62,16.75,5503.865563,1673913599999,91934.378779,0
1673913600000,16.75,17.46,16.53,17.02,54876.611306,1673917199999,934323.899751,0
1673917200000,17.01,17.16,16.62,16.85,39185.721283,1673920799999,660496.596458,0
