open_time,volume,taker_buy_base_volume
1763042400000,271779587.50000000,121752475.30000000
1763046000000,121683397.20000000,57462312.40000000
1763049600000,113221324.60000000,59649688.40000000
1763053200000,31214049.00000000,13956865.50000000
1763056800000,23537446.90000000,11265313.90000000
1763060400000,26419547.10000000,12368789.30000000
1763064000000,15331792.10000000,7187191.30000000
1763067600000,16667200.60000000,8512970.60000000
1763071200000,16499208.40000000,8835429.70000000
1763074800000,8395123.40000000,3784719.40000000
1763078400000,10015507.60000000,4970347.60000000
1763082000000,11802817.60000000,4517329.20000000
1763085600000,10046761.70000000,5574037.30000000
1763089200000,11964681.70000000,5545581.50000000
1763092800000,10713760.40000000,5341282.30000000
1763096400000,16511257.40000000,6844782.90000000
1763100000000,18070042.00000000,9300528.30000000
1763103600000,23481780.80000000,12160384.60000000
1763107200000,21804806.50000000,10570490.80000000
1763110800000,16702417.80000000,7793615.30000000
1763114400000,16844032.40000000,8056329.80000000
1763118000000,25993186.20000000,11735902.00000000
1763121600000,20917654.70000000,10395499.80000000
1763125200000,16217842.20000000,8370904.90000000
1763128800000,16478693.10000000,6847595.50000000
1763132400000,76114556.00000000,30228490.30000000
1763136000000,33936970.70000000,16643830.20000000
1763139600000,13750207.50000000,7378452.10000000
1763143200000,9719193.90000000,4941483.50000000
1763146800000,7594696.40000000,3575654.20000000
1763150400000,7968671.20000000,4586051.40000000
1763154000000,5737632.30000000,2789146.10000000
1763157600000,3897478.70000000,1739580.20000000
1763161200000,8378206.90000000,3619064.90000000
1763164800000,11392526.80000000,5286327.80000000
1763168400000,6818289.80000000,3025014.90000000
1763172000000,9378752.80000000,3852527.80000000
1763175600000,7635966.30000000,3381814.10000000
1763179200000,5404854.00000000,2192635.30000000
1763182800000,13080723.90000000,7635270.50000000
1763186400000,14019779.80000000,8669998.70000000
1763190000000,30126216.20000000,14728727.30000000
1763193600000,12548985.50000000,6894988.20000000
1763197200000,15180493.30000000,7583696.40000000
1763200800000,12454088.30000000,6038701.00000000
1763204400000,8013730.30000000,3870491.70000000
1763208000000,17279220.40000000,9272427.30000000
1763211600000,5394667.70000000,2633632.20000000
1763215200000,6549060.10000000,3832048.80000000
1763218800000,5149973.40000000,2405496.30000000
1763222400000,8661197.40000000,4169080.50000000
1763226000000,4019281.50000000,1782003.00000000
1763229600000,3054821.10000000,1654883.10000000
1763233200000,4890629.00000000,1911763.40000000
1763236800000,5157594.20000000,2679837.40000000
1763240400000,4447612.70000000,2096409.70000000
1763244000000,5274399.50000000,2990712.50000000
1763247600000,8275062.30000000,5042010.30000000
1763251200000,15297415.40000000,7865168.60000000
1763254800000,3997303.00000000,2003088.90000000
1763258400000,2428129.30000000,1129930.20000000
1763262000000,1980061.50000000,1216595.80000000
