funding_time,funding_rate
1673740800010,0.00010000
1673769600002,0.00010000
1673798400000,0.00010000
1673827200010,0.00010000
1673856000007,0.00010000
1673884800000,0.00006677
1673913600004,0.00010000
1673942400005,0.00010000
1673971200001,0.00010000
1674000000008,-0.00019270
1674028800009,0.00010000
1674057600017,0.00010000
1674086400000,-0.00030167
1674115200015,-0.00014035
1674144000012,0.00010000
1674172800000,0.00007601
1674201600000,0.00008635
1674230400000,-0.00014077
1674259200013,0.00010000
1674288000001,0.00010000
1674316800016,0.00008287
1674345600000,0.00010000
1674374400000,0.00003317
1674403200023,0.00009114
1674432000014,0.00010000
1674460800014,0.00010000
1674489600016,0.00010000
1674518400008,0.00010000
1674547200008,0.00010000
1674576000000,0.00010000
1674604800012,-0.00014957
1674633600000,0.00004636
1674662400010,0.00004019
1674691200010,0.00010000
1674720000003,0.00010000
1674748800020,-0.00005071
1674777600008,0.00000753
1674806400000,0.00010000
1674835200000,0.00010000
1674864000009,0.00010000
1674892800018,-0.00011755
1674921600005,-0.00002810
1674950400011,0.00002416
1674979200000,0.00009791
1675008000008,0.00000493
1675036800001,0.00006465
1675065600000,-0.00001984
1675094400000,-0.00024787
1675123200005,-0.00017453
1675152000000,0.00010000
1675180800007,0.00001757
1675209600013,0.00010000
1675238400000,-0.00011651
1675267200012,0.00001140
1675296000004,0.00000328
1675324800023,0.00010000
1675353600003,0.00010000
1675382400010,0.00010000
1675411200000,0.00002393
1675440000000,0.00000962
1675468800010,0.00010000
1675497600000,-0.00027346
1675526400000,-0.00006711
1675555200016,0.00008628
1675584000009,-0.00007988
1675612800018,-0.00021627
1675641600001,0.00002672
1675670400000,-0.00005691
1675699200012,-0.00008656
1675728000004,-0.00003599
1675756800011,0.00005830
1675785600018,-0.00018227
1675814400009,0.00006929
1675843200010,0.00010000
1675872000000,0.00001133
1675900800014,-0.00018703
1675929600006,-0.00018732
1675958400001,0.00005586
1675987200012,-0.00092781
1676016000005,-0.00028719
1676044800020,-0.00033201
1676073600007,-0.00073628
1676102400002,-0.00072353
1676131200021,-0.00056406
1676160000004,-0.00057850
1676188800000,-0.00056007
1676217600002,-0.00038504
1676246400006,-0.00054801
1676275200008,-0.00076463
1676304000002,-0.00010496
1676332800013,0.00001099
1676361600014,-0.00013314
1676390400016,-0.00028541
1676419200011,-0.00042631
1676448000000,-0.00016726
1676476800005,-0.00032511
1676505600019,0.00010000
1676534400000,0.00006730
1676563200001,0.00010000
1676592000003,-0.00025570
1676620800016,0.00003447
1676649600000,-0.00014675
1676678400011,-0.00004000
1676707200000,0.00010000
1676736000007,0.00010000
1676764800019,0.00010000
1676793600005,0.00010000
1676822400003,0.00010000
1676851200006,0.00009988
1676880000008,0.00010000
1676908800006,0.00010000
1676937600001,0.00007708
1676966400004,-0.00007241
1676995200011,-0.00000190
1677024000009,-0.00007905
1677052800010,0.00010000
1677081600000,-0.00001856
1677110400006,-0.00002521
1677139200005,-0.00006987
1677168000002,-0.00004584
1677196800015,-0.00013828
1677225600011,-0.00034116
1677254400014,-0.00046347
1677283200015,-0.00036097
1677312000015,-0.00025263
1677340800015,-0.00019008
1677369600007,-0.00017219
1677398400012,-0.00026509
1677427200000,-0.00027772
1677456000011,-0.00023347
1677484800003,-0.00029570
1677513600000,-0.00010620
1677542400011,-0.00022697
1677571200018,-0.00005984
1677600000005,-0.00016778
1677628800016,-0.00024988
1677657600000,-0.00003397
1677686400008,-0.00014514
1677715200009,-0.00016890
1677744000013,-0.00009295
1677772800000,-0.00024462
1677801600000,-0.00013846
1677830400013,-0.00057293
1677859200000,-0.00020897
1677888000001,-0.00029234
1677916800008,-0.00017151
1677945600012,-0.00017463
1677974400000,-0.00013201
1678003200000,-0.00026648
1678032000015,-0.00014291
1678060800007,-0.00022328
1678089600017,-0.00029219
1678118400000,-0.00037325
1678147200009,-0.00038386
1678176000016,-0.00010738
1678204800017,-0.00021745
1678233600000,-0.00029844
1678262400014,-0.00039494
1678291200021,-0.00024985
1678320000010,-0.00031935
1678348800013,-0.00048288
1678377600002,-0.00021865
1678406400000,-0.00041792
1678435200000,-0.00036048
1678464000005,-0.00008162
1678492800011,-0.00008473
1678521600003,-0.00039085
1678550400011,-0.00038890
1678579200001,-0.00056991
1678608000000,-0.00031259
1678636800005,-0.00057987
1678665600010,-0.00051058
1678694400018,-0.00050754
1678723200003,-0.00050688
1678752000010,-0.00017971
1678780800009,-0.00026993
1678809600010,-0.00017152
1678838400011,0.00003777
1678867200000,0.00008820
1678896000012,-0.00024536
1678924800004,-0.00010462
1678953600018,-0.00019039
1678982400005,-0.00037909
1679011200017,-0.00051547
1679040000010,-0.00038833
1679068800003,-0.00023499
1679097600012,-0.00027447
1679126400000,-0.00011972
1679155200016,-0.00017779
1679184000013,-0.00018801
1679212800024,-0.00013616
1679241600000,-0.00028438
1679270400005,-0.00025516
1679299200012,-0.00011832
1679328000015,-0.00023826
1679356800006,-0.00060244
1679385600004,-0.00032223
1679414400003,-0.00022154
1679443200000,-0.00044037
1679472000003,-0.00022773
1679500800000,-0.00021507
1679529600016,-0.00025132
1679558400001,-0.00033564
1679587200013,-0.00011851
1679616000013,-0.00019512
1679644800012,-0.00014335
1679673600027,0.00010000
1679702400015,-0.00047397
1679731200011,-0.00032908
1679760000011,-0.00020760
1679788800000,-0.00033367
1679817600015,-0.00016391
1679846400000,-0.00019568
1679875200019,-0.00051809
1679904000009,-0.00040207
1679932800000,-0.00041690
1679961600007,-0.00026274
1679990400000,-0.00003401
1680019200013,0.00005762
1680048000010,-0.00005274
1680076800006,-0.00006744
1680105600014,-0.00040864
1680134400000,-0.00022492
1680163200000,-0.00013139
1680192000006,-0.00005783
1680220800003,-0.00023970
1680249600006,-0.00025870
1680278400011,-0.00011847
1680307200000,-0.00013355
1680336000000,-0.00003995
1680364800018,0.00005778
1680393600013,-0.00008721
1680422400014,-0.00012874
1680451200001,-0.00017544
1680480000000,-0.00032746
1680508800013,-0.00010007
1680537600011,-0.00006639
1680566400002,-0.00007913
1680595200017,0.00004214
1680624000008,-0.00006611
1680652800000,-0.00001701
1680681600016,0.00007976
1680710400004,-0.00000536
1680739200000,-0.00013411
1680768000011,-0.00010876
1680796800000,-0.00009410
1680825600006,-0.00010251
1680854400005,-0.00005068
1680883200000,-0.00011744
1680912000000,-0.00005468
1680940800014,0.00002550
1680969600018,-0.00003763
1680998400013,-0.00014445
1681027200024,-0.00002669
1681056000010,0.00002375
1681084800000,0.00010000
1681113600010,0.00004940
1681142400006,-0.00004495
1681171200008,0.00010000
1681200000007,-0.00000155
1681228800016,0.00002307
1681257600006,0.00004012
1681286400008,-0.00012282
1681315200014,0.00008191
1681344000027,0.00004200
1681372800010,0.00002445
1681401600000,0.00010000
1681430400001,0.00007312
1681459200008,0.00010000
1681488000007,0.00009255
1681516800007,0.00005021
1681545600007,0.00010000
1681574400011,0.00010000
1681603200014,0.00010000
1681632000007,0.00010000
1681660800002,0.00009915
1681689600017,0.00010000
1681718400006,0.00007426
1681747200000,0.00010000
1681776000013,-0.00003543
1681804800017,0.00010000
1681833600000,0.00010000
1681862400022,-0.00003713
1681891200014,-0.00006210
1681920000000,-0.00035098
1681948800010,-0.00020735
1681977600012,-0.00006495
1682006400012,-0.00007791
1682035200009,-0.00014276
1682064000009,-0.00006603
1682092800003,-0.00019424
1682121600000,-0.00025951
1682150400000,-0.00047099
1682179200016,-0.00021660
1682208000009,-0.00025342
1682236800020,-0.00006998
1682265600007,-0.00015753
1682294400000,-0.00017409
1682323200008,-0.00018999
1682352000006,-0.00014200
1682380800014,-0.00006892
1682409600009,-0.00009545
1682438400015,-0.00013653
1682467200015,-0.00005073
1682496000013,-0.00014704
1682524800001,-0.00021361
1682553600014,-0.00029204
1682582400008,-0.00012177
1682611200005,0.00010000
1682640000011,0.00010000
1682668800007,0.00010000
1682697600006,0.00002344
1682726400004,-0.00000064
1682755200016,0.00007726
1682784000001,0.00006732
1682812800008,0.00010000
1682841600000,0.00008573
1682870400010,0.00007691
1682899200004,0.00000052
1682928000008,0.00000859
1682956800014,0.00000585
1682985600015,0.00005366
1683014400018,0.00010000
1683043200000,0.00010000
1683072000009,0.00002201
1683100800003,0.00007513
1683129600011,-0.00010240
1683158400000,0.00006540
1683187200000,0.00000302
1683216000011,-0.00011765
1683244800002,-0.00013945
1683273600000,-0.00003181
1683302400000,0.00008063
1683331200009,0.00002786
1683360000000,0.00010000
1683388800000,-0.00018176
1683417600000,-0.00011278
1683446400000,-0.00002838
1683475200006,-0.00000789
1683504000000,-0.00010583
1683532800007,-0.00013122
