open_time,volume,taker_buy_base_volume
1710590400000,6046158857.00,3053358900.00
1710594000000,6642083081.00,3275771763.00
1710597600000,5467323615.00,2465780366.00
1710601200000,4031026879.00,1943836496.00
1710604800000,2238732935.00,1084071854.00
1710608400000,4590641126.00,2055926283.00
1710612000000,4373731455.00,2187123608.00
1710615600000,3487077013.00,1868394667.00
1710619200000,2070770688.00,1107550643.00
1710622800000,2096403616.00,1010090403.00
1710626400000,2086730077.00,1054766395.00
1710630000000,2305081410.00,1196012851.00
1710633600000,3570023172.00,1936154933.00
1710637200000,1538547702.00,809984320.00
1710640800000,2382024743.00,1218744842.00
1710644400000,1805033288.00,857215273.00
1710648000000,1719282412.00,818632345.00
1710651600000,1892676423.00,897311425.00
1710655200000,3002268551.00,1379917994.00
1710658800000,2732253905.00,1365176097.00
1710662400000,1607383646.00,757835522.00
1710666000000,2460368696.00,1103875940.00
1710669600000,2564513100.00,1264493805.00
1710673200000,2392691152.00,1163676569.00
1710676800000,5537760559.00,2497150803.00
1710680400000,2672082475.00,1353801784.00
1710684000000,2404090342.00,1116230830.00
1710687600000,2491227179.00,1281761751.00
1710691200000,2688362501.00,1318596205.00
1710694800000,1536286614.00,793855587.00
1710698400000,1101115037.00,532694200.00
1710702000000,833605395.00,388508941.00
1710705600000,1267032258.00,562978552.00
1710709200000,739346505.00,376555069.00
1710712800000,1225644776.00,686928729.00
1710716400000,2570718253.00,1316948466.00
1710720000000,1477854908.00,667489850.00
1710723600000,1477174928.00,730837702.00
1710727200000,1231908074.00,604324184.00
1710730800000,819652863.00,433801158.00
1710734400000,849440094.00,422183657.00
1710738000000,1003828632.00,509832629.00
1710741600000,1123168493.00,481681984.00
1710745200000,2683962241.00,1292727521.00
1710748800000,3209491337.00,1501334080.00
1710752400000,7279045737.00,3303686445.00
1710756000000,8832822274.00,4341631950.00
1710759600000,3663127551.00,1742955420.00
1710763200000,2735610259.00,1347916180.00
1710766800000,4287798474.00,2083328389.00
1710770400000,2871958599.00,1332089651.00
1710774000000,2747295063.00,1434061483.00
1710777600000,3181219602.00,1450135218.00
1710781200000,6052107951.00,2917822040.00
1710784800000,3416861556.00,1640053795.00
1710788400000,2220535906.00,1125267374.00
1710792000000,1905967511.00,1026225324.00
1710795600000,3002581996.00,1392043278.00
1710799200000,3761776302.00,1808422193.00
1710802800000,1917278542.00,984892784.00
1710806400000,3703697948.00,1764418183.00
1710810000000,6561862829.00,3136036525.00
1710813600000,3672945704.00,1744785375.00
1710817200000,3214850823.00,1750629626.00
1710820800000,7130017735.00,3466835140.00
1710824400000,4777579959.00,2549159545.00
1710828000000,3550482327.00,1834769583.00
1710831600000,9937719948.00,5153485189.00
1710835200000,5150946238.00,2248621055.00
1710838800000,4245996456.00,2002974616.00
1710842400000,2699863015.00,1461956341.00
1710846000000,3097207552.00,1505092955.00
1710849600000,3815840532.00,1883269841.00
1710853200000,2824825724.00,1376295466.00
1710856800000,2282002569.00,1167783321.00
1710860400000,2128946323.00,1083739495.00
1710864000000,3233663862.00,1679419185.00
1710867600000,7225157331.00,3871853862.00
1710871200000,2290589766.00,1094485526.00
1710874800000,1323077897.00,630817871.00
1710878400000,2579780841.00,1152701131.00
1710882000000,1119356059.00,596373270.00
1710885600000,2333964950.00,1067494295.00
1710889200000,2411040647.00,1189832856.00
1710892800000,2169022488.00,1010232750.00
1710896400000,2047625906.00,1049629397.00
1710900000000,3152241616.00,1649579781.00
1710903600000,3270202806.00,1668184909.00
1710907200000,2524818824.00,1182135779.00
1710910800000,2787929415.00,1319662447.00
1710914400000,2264401688.00,1173961139.00
1710918000000,2101387636.00,1029658121.00
1710921600000,1962748294.00,904880492.00
1710925200000,1276273662.00,643346165.00
