open_time,open,high,low,close,volume,close_time,quote_volume,n_trades
1515668400000,13356.7,13554.5,13133.5,13463.5,399.17926723,1515671999999,5337013.50589788,0
1515672000000,13467,13891.5,13454.9,13806.3,443.20351579,1515675599999,6058733.35223736,0
1515675600000,13806.3,13868.1,13668.7,13784.2,375.97884477,1515679199999,5176589.23977256,0
1515679200000,13785.8,13970.9,13680.3,13969.7,450.62231223,1515682799999,6211800.91267454,0
1515682800000,13977.6,14284,13868.1,13983.5,542.88845918,1515686399999,7665893.78441298,0
1515686400000,13982.4,14155.8,13904.6,13905.6,648.39779573,1515689999999,9112650.89036701,0
1515690000000,13905.6,13915.3,13632.6,13642.7,403.5689787,1515693599999,5565300.86536035,0
1515693600000,13642.7,13855.3,13630.1,13692.1,264.08633822,1515697199999,3627910.7131313,0
1515697200000,13692.1,13764.1,13300,13392,303.06918115,1515700799999,4095091.82559776,0
1515700800000,13392,13545.4,13111.1,13454.4,298.32995881,1515704399999,3990567.11117229,0
1515704400000,13454.4,13468,13133,13423.1,319.39906529,1515707999999,4251183.47639178,0
1515708000000,13423.1,13464.9,13000,13086.4,302.83407023,1515711599999,4008098.74666053,0
1515711600000,13086.4,13345.2,12910.1,13288.5,488.3128872,1515715199999,6403905.00981521,0
1515715200000,13288.1,13288.1,12767.9,13061.6,570.87598624,1515718799999,7432511.38163218,0
1515718800000,13062.5,13492.5,13046.8,13461.9,498.52119872,1515722399999,6613173.52699615,0
1515722400000,13462.3,13545.4,13320.5,13420,370.85420716,1515725999999,4983134.33100434,0
1515726000000,13420,13750,13334.9,13693,425.75363522,1515729599999,5779771.2333336,0
1515729600000,13714.6,13715,13479.3,13707,250.25852269,1515733199999,3409657.03768368,0
1515733200000,13707,13782,13379.4,13542.5,433.61604372,1515736799999,5879008.11708966,0
1515736800000,13542.5,13800,13501.8,13759.8,370.96691679,1515740399999,5073521.69253535,0
1515740400000,13759.8,13849.5,13642.3,13674.8,272.54987177,1515743999999,3750250.97519158,0
1515744000000,13674.8,13674.8,13491,13576.8,347.54119671,1515747599999,4719233.52987325,0
1515747600000,13576.8,13610.6,13334,13479.6,283.40725415,1515751199999,3818622.03652734,0
1515751200000,13479.6,13955,13479.6,13908.2,457.1320097,1515754799999,6303093.94609377,0
1515754800000,13906.6,14062.9,13817.6,13867.8,519.69759122,1515758399999,7220262.72358054,0
1515758400000,13867.8,13965,13582.7,13944.1,400.59161329,1515761999999,5555958.79319909,0
1515762000000,13944.1,13946,13708.6,13766.1,398.85402869,1515765599999,5527411.93776506,0
1515765600000,13766.1,13826.9,13628.8,13803.1,373.83621969,1515769199999,5140674.35762709,0
1515769200000,13803.1,13858.1,13383.8,13383.8,488.52187282,1515772799999,6651348.34252568,0
1515772800000,13383.8,13553.1,13234.1,13436,751.57796424,1515776399999,10084603.31073136,0
1515776400000,13436,13602.1,13345.7,13486.2,358.18896985,1515779999999,4832359.86472811,0
1515780000000,13486.2,13522.6,13347,13431.8,359.86189563,1515783599999,4835715.89151399,0
1515783600000,13431.8,13703.1,13378.4,13665.4,392.71748764,1515787199999,5328440.8974334,0
1515787200000,13665.4,13850,13607.6,13814.1,209.58678524,1515790799999,2882974.49975206,0
1515790800000,13814.1,13814.1,13635,13655.5,173.86733325,1515794399999,2383877.79040068,0
1515794400000,13655.5,13655.5,13499.8,13607,259.76260914,1515797999999,3529637.72692819,0
1515798000000,13607,13780.9,13580.8,13739.5,298.67518664,1515801599999,4090991.59910476,0
1515801600000,13739.5,14142.1,13727,14073.1,476.98765022,1515805199999,6658739.39950628,0
1515805200000,14073.1,14215,13980,14103.1,566.2368011,1515808799999,7985146.57491996,0
1515808800000,14103.1,14103.1,14017.2,14028.2,490.15502186,1515812399999,6890258.89582599,0
1515812400000,14028.2,14028.2,13806.6,14024.2,372.26982549,1515815999999,5178167.91022536,0
1515816000000,14024.2,14103.1,13900,13951.6,451.80643035,1515819599999,6314268.88726241,0
1515819600000,13951.6,14101.8,13950,14053,526.34996252,1515823199999,7386753.82714187,0
1515823200000,14053,14174,13962,14042.7,427.97853821,1515826799999,5998001.11400367,0
1515826800000,14042.7,14800,14035.7,14274,497.19573958,1515830399999,7071190.96624667,0
1515830400000,14273.3,14273.3,14103.9,14186,366.94542016,1515833999999,5210258.564591,0
1515834000000,14186,14242,14018.8,14207.2,305.57441672,1515837599999,4313516.13294539,0
1515837600000,14207.2,14285.4,14104.8,14199.4,341.84736771,1515841199999,4856337.32054734,0
1515841200000,14199.4,14214.5,14094.1,14214.1,347.89278759,1515844799999,4922444.25943374,0
1515844800000,14214.1,14428.4,14193.9,14317.9,296.04703317,1515848399999,4229741.30187638,0
1515848400000,14317.9,14557.7,14317.9,14496.6,398.98024423,1515851999999,5760428.5628504,0
1515852000000,14496.6,14570,14261.6,14386.4,442.43424673,1515855599999,6365166.1903829,0
1515855600000,14386.6,14406,14122.1,14274.6,549.86918169,1515859199999,7837023.32635399,0
1515859200000,14274.6,14357.8,14205.3,14205.3,1165.1846562,1515862799999,16636224.3864932,0
1515862800000,14205.3,14324.2,14193,14298.3,795.66120965,1515866399999,11351304.8787356,0
1515866400000,14298.3,14339.9,14212,14275.7,610.03108016,1515869999999,8708713.59354185,0
1515870000000,14275.7,14275.7,14000,14060.2,365.65751571,1515873599999,5172394.9052443,0
1515873600000,14060.2,14230.9,14060.2,14153.5,231.79946117,1515877199999,3285011.34368332,0
1515877200000,14153.5,14265.6,14035,14173.1,272.73016024,1515880799999,3858036.85985603,0
1515880800000,14173.1,14352.9,14173.1,14348.5,194.46614221,1515884399999,2774970.13699282,0
1515884400000,14348.5,14361.5,14178.5,14187.2,278.40350771,1515887999999,3961960.64448573,0
1515888000000,14187.2,14265.1,14122.3,14231.7,382.84334865,1515891599999,5430160.54989935,0
1515891600000,14231.7,14347.9,14188.1,14278.6,312.04789775,1515895199999,4453811.35388269,0
1515895200000,14289.9,14332.1,14121.8,14189.8,232.45904514,1515898799999,3310901.37092695,0
