open_time,volume,taker_buy_base_volume
1672531200000,4364.83570000,2179.94772000
1672534800000,3590.06669000,1730.24901000
1672538400000,3318.84038000,1611.12302000
1672542000000,4242.08050000,2096.09287000
1672545600000,4285.00909000,2188.40175000
1672549200000,3717.37178000,1925.65583000
1672552800000,3344.90206000,1625.16179000
1672556400000,5184.95822000,2476.59015000
1672560000000,4271.92023000,2092.40270000
1672563600000,4100.75049000,2103.34139000
1672567200000,3803.76616000,1938.08864000
1672570800000,3739.53013000,1870.39915000
1672574400000,4150.48564000,2064.92986000
1672578000000,4379.68203000,2132.25783000
1672581600000,3294.99093000,1660.99212000
1672585200000,3220.93236000,1657.51542000
1672588800000,4962.13235000,2514.82348000
1672592400000,4714.40354000,2395.66351000
1672596000000,4146.37245000,2156.10882000
1672599600000,4709.74023000,2370.80934000
1672603200000,4189.05318000,2126.61170000
1672606800000,3656.77804000,1858.75074000
1672610400000,3690.19661000,1866.90555000
1672614000000,3846.61495000,1905.95929000
1672617600000,4327.06948000,2028.47026000
1672621200000,5791.85443000,2816.37831000
1672624800000,3150.41571000,1598.52947000
1672628400000,6194.13548000,3277.32371000
1672632000000,4983.39445000,2424.93966000
1672635600000,4976.78402000,2278.73858000
1672639200000,3210.61774000,1580.31619000
1672642800000,12856.08557000,6607.54533000
1672646400000,7080.81126000,3600.24531000
1672650000000,5599.20896000,2706.63747000
1672653600000,5892.57705000,3066.45273000
1672657200000,4695.34392000,2394.24674000
1672660800000,4262.00363000,2122.56634000
1672664400000,5598.29706000,2582.79375000
1672668000000,5460.35075000,2714.72753000
1672671600000,6426.56347000,3378.12058000
1672675200000,3861.02010000,1880.51460000
1672678800000,3035.91493000,1622.97060000
1672682400000,2810.69400000,1469.96642000
1672686000000,2607.10750000,1316.05853000
1672689600000,2881.53898000,1417.43862000
1672693200000,3771.07914000,2033.27194000
1672696800000,5609.15100000,2761.75077000
1672700400000,6806.55328000,3245.25604000
1672704000000,5684.61483000,2884.00666000
1672707600000,5606.20770000,2784.63174000
1672711200000,4217.23484000,2049.00981000
1672714800000,4675.39859000,2436.93728000
1672718400000,3591.36818000,1762.11800000
1672722000000,5214.59458000,2673.69196000
1672725600000,7123.40419000,3580.67404000
1672729200000,5504.97638000,2716.38793000
1672732800000,7060.75169000,3481.85871000
1672736400000,6977.90665000,3576.63537000
1672740000000,5640.04790000,2792.93992000
1672743600000,5897.45752000,2844.17647000
1672747200000,6466.63588000,3212.45692000
1672750800000,7567.34193000,3738.12604000
1672754400000,15670.06766000,7549.53611000
1672758000000,12427.73835000,6326.82445000
1672761600000,10273.56889000,4965.67112000
1672765200000,6785.77064000,3436.77780000
1672768800000,5698.95938000,2902.77156000
1672772400000,6760.83384000,3384.91663000
1672776000000,7053.06124000,3547.08396000
1672779600000,4588.95144000,2381.39976000
1672783200000,3839.28133000,1932.85107000
1672786800000,5215.36370000,2634.27915000
1672790400000,4922.78018000,2453.25459000
1672794000000,9492.81204000,4797.98717000
1672797600000,9182.69030000,4757.49231000
1672801200000,18306.29002000,9276.16324000
1672804800000,10155.76424000,5173.10500000
1672808400000,6067.90040000,2951.20322000
1672812000000,6314.32318000,3140.79730000
1672815600000,7732.26528000,3864.29055000
1672819200000,10747.14204000,5404.96717000
1672822800000,7428.47586000,3681.91429000
1672826400000,6103.39721000,2973.60673000
1672830000000,6041.62493000,2956.60873000
1672833600000,8292.10960000,4059.45050000
1672837200000,6632.83668000,3312.69191000
1672840800000,11666.84154000,5624.45249000
1672844400000,14251.27171000,7193.19936000
1672848000000,10314.19057000,4861.26134000
1672851600000,11064.92581000,5632.47193000
1672855200000,11575.12283000,5835.31179000
1672858800000,19122.11255000,9344.05549000
1672862400000,10533.90467000,5259.95914000
1672866000000,4532.62963000,2301.70362000
1672869600000,4037.94925000,2054.98439000
1672873200000,5842.82810000,2836.18276000
1672876800000,6623.10938000,3142.55644000
1672880400000,5556.45206000,2736.22461000
1672884000000,4543.82321000,2309.77456000
1672887600000,5040.38256000,2502.80271000
1672891200000,4379.90824000,2184.01238000
1672894800000,4515.36693000,2244.49992000
1672898400000,5572.14194000,2755.53900000
1672902000000,6746.14124000,3340.60263000
1672905600000,6447.49843000,3244.28041000
1672909200000,7782.61782000,3838.99406000
1672912800000,6356.79431000,3340.51063000
1672916400000,5709.31049000,2846.76245000
1672920000000,5387.18553000,2576.23040000
1672923600000,9909.86762000,4826.41583000
1672927200000,13999.13031000,7147.23673000
1672930800000,12667.05102000,6412.37882000
1672934400000,8528.81937000,4137.22901000
1672938000000,6639.45914000,3183.49247000
1672941600000,7720.01139000,3851.32124000
1672945200000,7269.17460000,3597.11959000
1672948800000,5979.34021000,2848.45463000
1672952400000,5700.51710000,2866.34981000
1672956000000,3566.06790000,1669.05865000
1672959600000,6833.39561000,3357.72464000
1672963200000,6280.98380000,3250.40474000
1672966800000,4845.69802000,2244.29735000
1672970400000,7000.67909000,3431.49352000
1672974000000,4769.20542000,2363.83602000
1672977600000,6236.39942000,2944.81793000
1672981200000,6230.44034000,3058.60695000
1672984800000,6529.22759000,3138.11977000
1672988400000,5763.44917000,3080.59468000
1672992000000,5475.13940000,2761.40926000
1672995600000,7581.99164000,3790.62036000
1672999200000,6268.17791000,3046.86222000
1673002800000,10651.25261000,4957.07445000
1673006400000,7194.28857000,3615.98993000
1673010000000,18804.40486000,9417.60435000
1673013600000,11361.10297000,5625.09583000
1673017200000,15225.11473000,7853.40187000
1673020800000,11411.79147000,5676.76045000
1673024400000,8080.32447000,4044.37492000
1673028000000,9135.64548000,4680.42151000
1673031600000,14143.93623000,7219.42743000
1673035200000,15953.02164000,8031.59120000
1673038800000,7417.97543000,3583.94276000
1673042400000,5234.95010000,2650.85333000
1673046000000,5806.08379000,2852.62882000
1673049600000,5467.28682000,2698.65940000
1673053200000,4267.66570000,2041.93449000
1673056800000,4191.36187000,2033.91173000
1673060400000,4016.68993000,1961.66987000
1673064000000,3778.01251000,1791.78371000
1673067600000,3697.84857000,1850.60586000
1673071200000,4212.49077000,2153.68739000
1673074800000,3792.07998000,1958.81229000
1673078400000,4917.47697000,2349.48587000
1673082000000,4343.09876000,2153.38070000
1673085600000,4731.06815000,2339.56546000
1673089200000,4945.07877000,2468.27996000
1673092800000,5565.59897000,2779.89679000
1673096400000,5503.13343000,2740.81253000
1673100000000,5735.37622000,2804.46236000
1673103600000,3845.98614000,1896.89938000
1673107200000,5124.97026000,2483.30894000
1673110800000,4106.23680000,2048.28464000
1673114400000,3342.11240000,1673.12132000
1673118000000,3500.68036000,1734.63487000
1673121600000,4307.78731000,2132.06396000
1673125200000,3924.97772000,1947.30478000
1673128800000,3605.78679000,1733.76586000
1673132400000,3603.76360000,1848.49891000
1673136000000,6117.02466000,2837.90539000
1673139600000,4392.91927000,2146.18498000
1673143200000,3389.34917000,1658.13906000
1673146800000,4396.50361000,2301.93658000
1673150400000,2924.64040000,1416.47211000
1673154000000,3386.28009000,1732.51609000
1673157600000,4100.79008000,2013.75218000
1673161200000,4255.90012000,2015.83483000
1673164800000,4846.58066000,2263.56854000
1673168400000,7110.82123000,3485.83771000
1673172000000,3937.60336000,1928.92629000
1673175600000,4539.40504000,2246.04355000
1673179200000,4218.20227000,2067.02508000
1673182800000,4085.80873000,2143.73877000
1673186400000,5570.28633000,2781.74166000
1673190000000,9212.24098000,4888.81739000
1673193600000,10618.32869000,4954.73552000
1673197200000,5335.04620000,2569.60347000
1673200800000,3902.21677000,1916.44899000
1673204400000,3702.07617000,1807.76258000
1673208000000,8747.81270000,4381.55211000
