open_time,volume,taker_buy_base_volume
1776776400000,134304000.00000000,75437648.00000000
1776780000000,129718876.00000000,65139913.00000000
1776783600000,72824113.00000000,36163817.00000000
1776787200000,36594968.00000000,18909283.00000000
1776790800000,37312329.00000000,19340032.00000000
1776794400000,25040271.00000000,11687549.00000000
1776798000000,46896934.00000000,25132824.00000000
1776801600000,50650826.00000000,25749588.00000000
1776805200000,89167085.00000000,41548855.00000000
1776808800000,37901441.00000000,19394156.00000000
1776812400000,26247282.00000000,13298442.00000000
1776816000000,49354628.00000000,24301015.00000000
1776819600000,29131765.00000000,14832600.00000000
1776823200000,30419570.00000000,16581727.00000000
1776826800000,56923406.00000000,30768326.00000000
1776830400000,45491947.00000000,22509586.00000000
1776834000000,135057447.00000000,68107902.00000000
1776837600000,188234207.00000000,99261013.00000000
1776841200000,130171989.00000000,65408323.00000000
1776844800000,114128471.00000000,57691457.00000000
1776848400000,89610180.00000000,43553931.00000000
1776852000000,65733001.00000000,33430860.00000000
1776855600000,344179744.00000000,174983249.00000000
1776859200000,428242019.00000000,218355872.00000000
1776862800000,331542646.00000000,160291463.00000000
1776866400000,261538565.00000000,131226015.00000000
1776870000000,284940241.00000000,145619116.00000000
1776873600000,227791841.00000000,113974006.00000000
1776877200000,127815322.00000000,63397776.00000000
1776880800000,153982729.00000000,78020168.00000000
1776884400000,130953802.00000000,66705043.00000000
1776888000000,92584928.00000000,47715615.00000000
1776891600000,83436599.00000000,42015248.00000000
1776895200000,84531262.00000000,42483287.00000000
1776898800000,77680779.00000000,40606618.00000000
1776902400000,191453290.00000000,102686655.00000000
1776906000000,208257971.00000000,106698725.00000000
1776909600000,215075196.00000000,105840131.00000000
1776913200000,178674528.00000000,88875659.00000000
1776916800000,136236915.00000000,70972661.00000000
1776920400000,127796420.00000000,65280893.00000000
1776924000000,109979601.00000000,56137630.00000000
1776927600000,114653039.00000000,57749679.00000000
1776931200000,110231576.00000000,55086580.00000000
1776934800000,97717258.00000000,47623174.00000000
1776938400000,66989913.00000000,32753964.00000000
1776942000000,69333036.00000000,36554755.00000000
1776945600000,65275506.00000000,30640897.00000000
1776949200000,70305951.00000000,34296772.00000000
1776952800000,72973895.00000000,37504171.00000000
