open_time,volume,taker_buy_base_volume
1672531200000,537752.00000000,151528.00000000
1672534800000,374292.00000000,182634.00000000
1672538400000,576664.00000000,110098.00000000
1672542000000,107945.00000000,69780.00000000
1672545600000,368875.00000000,104358.00000000
1672549200000,172439.00000000,76613.00000000
1672552800000,271934.00000000,81065.00000000
1672556400000,1200273.00000000,870651.00000000
1672560000000,1269444.00000000,942982.00000000
1672563600000,378799.00000000,281388.00000000
1672567200000,315712.00000000,254108.00000000
1672570800000,137472.00000000,100761.00000000
1672574400000,421457.00000000,205145.00000000
1672578000000,210317.00000000,33890.00000000
1672581600000,208090.00000000,111623.00000000
1672585200000,488821.00000000,174086.00000000
1672588800000,1002792.00000000,319597.00000000
1672592400000,720213.00000000,533726.00000000
1672596000000,527879.00000000,311587.00000000
1672599600000,311623.00000000,180815.00000000
1672603200000,1527931.00000000,374142.00000000
1672606800000,655541.00000000,195722.00000000
1672610400000,624994.00000000,307885.00000000
1672614000000,381549.00000000,256598.00000000
1672617600000,2529275.00000000,1818795.00000000
1672621200000,3239909.00000000,707175.00000000
1672624800000,991995.00000000,644250.00000000
1672628400000,4513659.00000000,3816966.00000000
1672632000000,2387387.00000000,994253.00000000
1672635600000,1808239.00000000,868337.00000000
1672639200000,1824666.00000000,1065853.00000000
1672642800000,4147653.00000000,2265117.00000000
1672646400000,1694204.00000000,527774.00000000
1672650000000,1296425.00000000,659269.00000000
1672653600000,1830798.00000000,907176.00000000
1672657200000,764119.00000000,442494.00000000
1672660800000,873052.00000000,531793.00000000
1672664400000,1037881.00000000,672575.00000000
1672668000000,1631536.00000000,820559.00000000
1672671600000,1574491.00000000,1216127.00000000
1672675200000,1203681.00000000,718886.00000000
1672678800000,1076738.00000000,541279.00000000
1672682400000,1008152.00000000,503103.00000000
1672686000000,641025.00000000,362927.00000000
1672689600000,1661607.00000000,1371155.00000000
1672693200000,1601993.00000000,1014548.00000000
1672696800000,2274498.00000000,664582.00000000
1672700400000,674195.00000000,444750.00000000
1672704000000,418934.00000000,320663.00000000
1672707600000,726237.00000000,231865.00000000
1672711200000,194537.00000000,103935.00000000
1672714800000,140785.00000000,103841.00000000
1672718400000,161747.00000000,113180.00000000
1672722000000,1020566.00000000,393257.00000000
1672725600000,1479073.00000000,423565.00000000
1672729200000,357056.00000000,141767.00000000
1672732800000,1292211.00000000,424159.00000000
1672736400000,385213.00000000,204939.00000000
1672740000000,642397.00000000,243677.00000000
1672743600000,263979.00000000,171918.00000000
1672747200000,613342.00000000,320327.00000000
1672750800000,480165.00000000,263762.00000000
1672754400000,1726864.00000000,1036048.00000000
1672758000000,1221983.00000000,500838.00000000
1672761600000,694919.00000000,231072.00000000
1672765200000,617474.00000000,289277.00000000
1672768800000,283740.00000000,142135.00000000
1672772400000,245438.00000000,121167.00000000
1672776000000,415874.00000000,157211.00000000
1672779600000,398610.00000000,225867.00000000
1672783200000,227550.00000000,87793.00000000
1672786800000,957904.00000000,553301.00000000
1672790400000,569367.00000000,148472.00000000
1672794000000,967424.00000000,576245.00000000
1672797600000,691291.00000000,411849.00000000
1672801200000,888571.00000000,391830.00000000
1672804800000,1083902.00000000,232678.00000000
1672808400000,827667.00000000,438601.00000000
1672812000000,1288632.00000000,813896.00000000
1672815600000,1011856.00000000,338589.00000000
1672819200000,1013733.00000000,322601.00000000
1672822800000,587730.00000000,307785.00000000
1672826400000,475474.00000000,294752.00000000
1672830000000,508596.00000000,207797.00000000
1672833600000,2996329.00000000,629689.00000000
1672837200000,573977.00000000,326681.00000000
