week_start_ts,transfer_count,unique_addresses
1673740800,1603,806
1674345600,3796,1597
1674950400,2950,1166
1675555200,1982,931
1676160000,2037,929
1676764800,4203,3373
1677369600,1221,743
1677974400,1195,667
1678579200,1363,716
1679184000,1264,623
1679788800,1611,901
1680393600,1293,824
1680998400,1183,671
1681603200,2139,817
1682208000,1403,679
1682812800,757,470
1683417600,927,525
1684022400,781,456
1684627200,1041,527
1685232000,1095,600
1685836800,2544,1687
1686441600,2115,1340
1687046400,1370,923
1687651200,1480,824
1688256000,1400,792
1688860800,1812,902
1689465600,2158,773
1690070400,1625,668
1690675200,2611,878
1691280000,1827,699
1691884800,1889,778
1692489600,1029,594
1693094400,1368,573
1693699200,1349,667
1694304000,1679,603
1694908800,1243,591
1695513600,1102,617
1696118400,1128,586
1696723200,2159,706
1697328000,960,520
1697932800,1582,764
1698537600,1438,708
1699142400,1158,644
1699747200,895,537
1700352000,1768,867
1700956800,2019,861
1701561600,1824,861
1702166400,2429,983
1702771200,1097,625
1703376000,2173,889
1703980800,1681,737
1704585600,1425,628
1705190400,1590,635
1705795200,1135,454
1706400000,1474,569
1707004800,3585,1327
1707609600,3262,1151
1708214400,7787,2433
1708819200,10000,3679
1709424000,5655,2462
1710028800,3845,1891
1710633600,2895,1554
1711238400,3902,1923
1711843200,3866,1681
1712448000,4463,1579
1713052800,3083,1304
1713657600,2181,942
1714262400,1923,1021
1714867200,1548,785
1715472000,1748,921
1716076800,2676,991
1716681600,1579,738
1717286400,2345,923
1717891200,1326,598
1718496000,1282,579
1719100800,1050,501
1719705600,1481,611
1720310400,1195,507
1720915200,2091,738
1721520000,2697,894
1722124800,1553,664
1722729600,1718,655
1723334400,1116,435
1723939200,1952,671
1724544000,1175,501
1725148800,1049,501
1725753600,3380,939
1726358400,2154,788
1726963200,2069,797
1727568000,1872,626
1728172800,1123,571
1728777600,1178,601
1729382400,1334,616
1729987200,1232,755
1730592000,1514,709
1731196800,3693,1430
1731801600,4836,1648
1732406400,3566,1559
1733011200,4699,1899
1733616000,3392,1436
1734220800,2425,1003
1734825600,1965,882
1735430400,2012,903
1736035200,1862,947
1736640000,2187,978
1737244800,1945,944
1737849600,2429,1051
1738454400,1967,860
1739059200,2631,787
1739664000,1692,656
1740268800,1481,636
1740873600,2263,750
1741478400,1586,559
1742083200,1684,475
1742688000,3301,1049
1743292800,1808,627
1743897600,2467,668
1744502400,3008,762
1745107200,3360,812
1745712000,3256,879
1746316800,2437,800
1746921600,2229,782
1747526400,2006,684
1748131200,2256,726
1748736000,1287,545
1749340800,1494,585
1749945600,1254,504
1750550400,1190,575
1751155200,1235,537
1751760000,1158,545
1752364800,1462,691
1752969600,2168,863
1753574400,1933,640
1754179200,1276,511
1754784000,1881,698
1755388800,1480,591
1755993600,1196,507
1756598400,1330,513
1757203200,1802,795
1757808000,1902,620
1758412800,2136,651
1759017600,1713,615
1759622400,4130,921
1760227200,2208,619
1760832000,1742,609
1761436800,2304,592
1762041600,3277,740
1762646400,10000,1662
1763251200,3432,907
1763856000,2271,603
1764460800,2318,577
1765065600,1983,547
1765670400,2106,515
1766275200,2036,486
1766880000,2055,547
1767484800,1918,493
1768089600,2602,623
1768694400,2821,707
1769299200,2241,593
1769904000,2272,595
1770508800,1675,429
1771113600,2340,472
1771718400,2414,526
1772323200,1546,372
1772928000,1670,392
1773532800,2337,428
1774137600,1492,342
1774742400,1919,440
1775347200,1533,340
1775952000,1753,383
1776556800,1444,338
1777161600,910,295
1777766400,1196,370
1778371200,1389,372
1778976000,1092,340
1779580800,1100,364
1780185600,1852,455
1780790400,1309,418
1781395200,1026,345
1782000000,1379,547
1782604800,1611,668
1783209600,1850,483
1783814400,1218,446
1784419200,982,371
1785024000,10000,1074
1785628800,10000,1220
1786233600,10000,1268
1786838400,10000,1706
1787443200,4406,879
