open_time,volume,taker_buy_base_volume
1672531200000,16721.36000000,6041.25000000
1672534800000,6292.11000000,5605.14000000
1672538400000,5468.03000000,5405.29000000
1672542000000,13723.00000000,10888.78000000
1672545600000,5675.99000000,5518.31000000
1672549200000,11705.85000000,7691.26000000
1672552800000,6419.44000000,5449.48000000
1672556400000,11233.76000000,631.84000000
1672560000000,6915.32000000,5505.23000000
1672563600000,9839.22000000,6277.62000000
1672567200000,26994.14000000,9977.21000000
1672570800000,9125.69000000,7634.39000000
1672574400000,11560.51000000,5390.82000000
1672578000000,6485.63000000,391.66000000
1672581600000,7228.15000000,194.14000000
1672585200000,7250.71000000,1097.96000000
1672588800000,8563.40000000,5709.38000000
1672592400000,6248.48000000,6075.49000000
1672596000000,6692.17000000,6109.11000000
1672599600000,7994.53000000,6399.26000000
1672603200000,8095.55000000,6431.31000000
1672606800000,7189.81000000,5848.55000000
1672610400000,5785.72000000,5649.70000000
1672614000000,5490.68000000,5383.00000000
1672617600000,6506.52000000,5665.36000000
1672621200000,5704.34000000,5655.49000000
1672624800000,5716.51000000,5511.63000000
1672628400000,6185.20000000,190.42000000
1672632000000,7679.17000000,7210.82000000
1672635600000,5855.91000000,5407.75000000
1672639200000,5523.91000000,5347.70000000
1672642800000,8908.05000000,7598.62000000
1672646400000,13518.45000000,11316.57000000
1672650000000,7856.29000000,1407.63000000
1672653600000,6737.71000000,6048.89000000
1672657200000,5663.34000000,5386.04000000
1672660800000,836.60000000,650.87000000
1672664400000,6703.49000000,689.25000000
1672668000000,7882.76000000,4114.05000000
1672671600000,13200.64000000,11969.49000000
1672675200000,8426.58000000,6535.69000000
1672678800000,8335.23000000,6907.59000000
1672682400000,8028.70000000,6750.62000000
1672686000000,7842.50000000,6206.56000000
1672689600000,7405.83000000,6146.76000000
1672693200000,9768.37000000,7011.40000000
1672696800000,6632.50000000,6128.37000000
1672700400000,6105.28000000,5841.63000000
1672704000000,6194.30000000,5692.03000000
1672707600000,10743.12000000,10628.71000000
1672711200000,6214.73000000,5013.68000000
1672714800000,5342.89000000,5272.05000000
1672718400000,10711.57000000,7641.83000000
1672722000000,6413.53000000,5548.58000000
1672725600000,9051.15000000,845.02000000
1672729200000,7571.06000000,5636.15000000
1672732800000,7262.55000000,6165.12000000
1672736400000,6903.89000000,6079.99000000
1672740000000,6477.60000000,5779.07000000
1672743600000,7071.63000000,1060.93000000
1672747200000,10158.28000000,7107.60000000
1672750800000,11527.35000000,7781.87000000
1672754400000,7329.89000000,6092.38000000
1672758000000,11282.38000000,8207.17000000
1672761600000,9778.68000000,7301.11000000
1672765200000,5726.75000000,5421.06000000
1672768800000,7374.74000000,6415.56000000
1672772400000,6603.36000000,5850.90000000
1672776000000,14162.47000000,11875.10000000
1672779600000,10992.44000000,8711.63000000
1672783200000,12748.52000000,12053.81000000
1672786800000,6318.46000000,344.17000000
1672790400000,7946.37000000,5858.68000000
1672794000000,7899.51000000,6953.74000000
1672797600000,6805.55000000,6413.25000000
1672801200000,14958.58000000,13165.70000000
1672804800000,13603.07000000,8290.30000000
1672808400000,6360.98000000,6080.26000000
1672812000000,10630.09000000,7163.55000000
1672815600000,8189.24000000,2055.57000000
1672819200000,5126.28000000,3582.94000000
1672822800000,14588.37000000,7627.32000000
1672826400000,5682.89000000,300.28000000
1672830000000,6455.47000000,6156.03000000
1672833600000,7275.74000000,5875.48000000
1672837200000,7393.52000000,5748.87000000
1672840800000,7391.32000000,6688.60000000
1672844400000,6164.82000000,5419.59000000
1672848000000,6290.85000000,5738.55000000
1672851600000,7427.52000000,5845.60000000
1672855200000,5841.28000000,4336.51000000
1672858800000,10913.73000000,4021.52000000
1672862400000,7836.92000000,6393.66000000
1672866000000,3125.82000000,2744.87000000
1672869600000,3025.90000000,2663.78000000
1672873200000,3013.37000000,2959.66000000
1672876800000,6460.28000000,5836.56000000
1672880400000,7313.98000000,6038.39000000
1672884000000,8199.94000000,7350.16000000
1672887600000,6447.49000000,6066.89000000
1672891200000,6298.21000000,5469.40000000
1672894800000,6024.82000000,5565.51000000
1672898400000,5764.18000000,5297.38000000
1672902000000,10558.58000000,6553.79000000
1672905600000,14066.23000000,7430.34000000
1672909200000,9428.47000000,2016.81000000
1672912800000,4987.37000000,1654.61000000
1672916400000,7351.27000000,6941.80000000
1672920000000,5734.42000000,5037.69000000
1672923600000,6207.33000000,1282.18000000
1672927200000,6597.85000000,374.80000000
1672930800000,8422.94000000,8190.73000000
1672934400000,18384.79000000,13473.27000000
1672938000000,10430.35000000,2982.85000000
1672941600000,103734.22000000,55669.67000000
1672945200000,13869.16000000,9160.65000000
1672948800000,7677.93000000,6107.18000000
1672952400000,6129.52000000,5456.03000000
1672956000000,5190.68000000,4230.40000000
1672959600000,7449.22000000,5593.73000000
1672963200000,3830.12000000,3630.69000000
1672966800000,7667.08000000,6988.56000000
1672970400000,4083.40000000,3873.72000000
1672974000000,6061.58000000,5715.97000000
1672977600000,8265.40000000,7009.71000000
1672981200000,4748.24000000,3803.00000000
1672984800000,7802.79000000,4581.08000000
1672988400000,10967.79000000,4228.41000000
1672992000000,10712.52000000,3863.62000000
1672995600000,6999.93000000,6375.97000000
1672999200000,6400.73000000,4845.80000000
1673002800000,6848.07000000,5350.23000000
1673006400000,20117.05000000,7092.35000000
1673010000000,13812.99000000,10200.02000000
1673013600000,5101.80000000,2121.60000000
1673017200000,6721.52000000,5532.94000000
1673020800000,8236.54000000,7790.76000000
1673024400000,5836.72000000,5356.41000000
1673028000000,5550.97000000,4287.30000000
1673031600000,7262.98000000,4822.31000000
1673035200000,7693.79000000,5221.64000000
1673038800000,4719.96000000,4553.68000000
1673042400000,5840.64000000,4359.86000000
1673046000000,5114.39000000,3853.42000000
1673049600000,6556.20000000,6234.47000000
1673053200000,6296.75000000,5444.72000000
1673056800000,5433.29000000,5347.62000000
1673060400000,5770.05000000,5290.88000000
1673064000000,5761.12000000,5541.14000000
1673067600000,4189.30000000,3983.04000000
1673071200000,5944.47000000,5847.06000000
1673074800000,6647.65000000,6034.37000000
1673078400000,5945.13000000,3714.95000000
1673082000000,6674.71000000,5597.47000000
1673085600000,7126.74000000,4853.18000000
1673089200000,6201.92000000,5758.99000000
1673092800000,11927.47000000,6143.50000000
1673096400000,4167.96000000,3977.15000000
1673100000000,5679.65000000,5443.00000000
1673103600000,7046.77000000,4725.05000000
1673107200000,6765.76000000,3723.55000000
1673110800000,8065.22000000,6884.01000000
1673114400000,6478.85000000,2608.47000000
1673118000000,8873.53000000,7673.63000000
1673121600000,6561.93000000,5593.63000000
1673125200000,5690.90000000,3990.32000000
1673128800000,5360.20000000,5245.52000000
1673132400000,3726.29000000,3568.68000000
1673136000000,5632.81000000,3651.27000000
1673139600000,2512.07000000,2082.42000000
1673143200000,4932.55000000,4355.86000000
1673146800000,3663.02000000,1846.61000000
1673150400000,5561.71000000,5262.64000000
1673154000000,3606.79000000,3530.45000000
1673157600000,4713.93000000,4599.37000000
1673161200000,5190.35000000,3986.06000000
1673164800000,9121.56000000,4381.14000000
1673168400000,7903.56000000,3438.96000000
1673172000000,7757.24000000,5964.57000000
1673175600000,4295.18000000,3785.30000000
1673179200000,5397.53000000,3070.78000000
1673182800000,5319.35000000,4798.66000000
1673186400000,9002.97000000,4744.92000000
1673190000000,9475.94000000,5911.09000000
1673193600000,8056.48000000,3271.76000000
1673197200000,6170.27000000,2585.19000000
1673200800000,3801.06000000,3511.70000000
1673204400000,16756.19000000,12734.58000000
1673208000000,10217.21000000,6461.00000000
1673211600000,10041.84000000,7814.93000000
1673215200000,14949.11000000,8774.99000000
1673218800000,8032.89000000,6949.67000000
1673222400000,6364.33000000,6005.21000000
1673226000000,8646.69000000,7683.75000000
1673229600000,12653.43000000,9027.22000000
1673233200000,4249.48000000,3725.44000000
1673236800000,7416.32000000,4956.28000000
1673240400000,5558.45000000,4695.30000000
1673244000000,7447.45000000,5169.87000000
1673247600000,3024.54000000,1197.34000000
1673251200000,8068.22000000,5004.11000000
1673254800000,8522.71000000,6475.53000000
