week_start_ts,transfer_count,unique_addresses
1673740800,140,56
1674345600,115,47
1674950400,167,50
1675555200,280,86
1676160000,80,43
1676764800,313,79
1677369600,112,46
1677974400,62,27
1678579200,77,31
1679184000,47,27
1679788800,37,32
1680393600,236,60
1680998400,206,49
1681603200,130,42
1682208000,121,38
1682812800,32,19
1683417600,33,24
1684022400,15,15
1684627200,18,20
1685232000,38,18
1685836800,141,60
1686441600,482,252
1687046400,156,59
1687651200,134,42
1688256000,432,82
1688860800,113,61
1689465600,51,23
1690070400,69,26
1690675200,120,41
1691280000,222,50
1691884800,195,37
1692489600,103,37
1693094400,84,36
1693699200,94,40
1694304000,90,43
1694908800,95,44
1695513600,105,71
1696118400,96,59
1696723200,410,73
1697328000,228,56
1697932800,145,63
1698537600,66,36
1699142400,1467,289
1699747200,807,147
1700352000,262,95
1700956800,159,45
1701561600,846,169
1702166400,365,107
1702771200,389,71
1703376000,501,99
1703980800,263,100
1704585600,326,78
1705190400,108,58
1705795200,238,66
1706400000,165,54
1707004800,51,41
1707609600,63,38
1708214400,361,75
1708819200,905,170
1709424000,718,162
1710028800,264,128
1710633600,1046,177
1711238400,572,143
1711843200,291,119
1712448000,425,83
1713052800,284,85
1713657600,226,87
1714262400,210,68
1714867200,217,100
1715472000,298,81
1716076800,194,62
1716681600,182,52
1717286400,317,93
1717891200,263,95
1718496000,152,49
1719100800,113,56
1719705600,166,55
1720310400,87,29
1720915200,103,63
1721520000,196,76
1722124800,176,72
1722729600,332,93
1723334400,233,78
1723939200,190,74
1724544000,233,62
1725148800,195,83
1725753600,197,77
1726358400,90,60
1726963200,75,55
1727568000,108,52
1728172800,85,56
1728777600,61,47
1729382400,53,44
1729987200,69,39
1730592000,98,62
1731196800,222,100
1731801600,143,70
1732406400,205,104
1733011200,385,129
1733616000,343,89
1734220800,1188,155
1734825600,2237,250
1735430400,1041,237
1736035200,486,132
1736640000,756,152
1737244800,662,159
1737849600,1697,213
1738454400,1195,196
1739059200,1139,174
1739664000,631,124
1740268800,1087,173
1740873600,987,123
1741478400,750,102
1742083200,958,149
1742688000,1049,162
1743292800,1989,207
1743897600,1205,121
1744502400,2308,182
1745107200,1211,127
1745712000,718,102
1746316800,781,110
1746921600,748,135
1747526400,429,85
1748131200,599,132
1748736000,2267,317
1749340800,1195,174
1749945600,579,86
1750550400,1516,142
1751155200,878,126
1751760000,504,136
1752364800,628,120
1752969600,366,83
1753574400,325,75
1754179200,1019,149
1754784000,568,108
1755388800,541,90
1755993600,725,111
1756598400,548,91
1757203200,363,88
1757808000,2099,224
1758412800,2931,287
1759017600,1896,209
1759622400,1884,279
1760227200,2199,228
1760832000,1051,164
1761436800,1127,160
1762041600,741,113
1762646400,446,97
1763251200,548,107
1763856000,804,108
1764460800,1678,163
1765065600,410,76
1765670400,2014,326
1766275200,1074,116
1766880000,1280,146
1767484800,1141,148
1768089600,1793,273
1768694400,519,72
1769299200,1155,132
1769904000,1019,104
1770508800,1294,116
1771113600,1808,100
1771718400,4143,229
1772323200,3524,161
1772928000,10000,224
1773532800,10000,247
1774137600,10000,262
1774742400,8305,244
1775347200,10000,267
1775952000,10000,326
1776556800,8302,355
1777161600,4310,233
1777766400,4202,259
1778371200,4318,202
1778976000,4344,175
1779580800,9928,346
1780185600,10000,363
1780790400,10000,268
1781395200,10000,245
1782000000,10000,367
1782604800,10000,296
1783209600,10000,419
1783814400,10000,641
1784419200,10000,436
1785024000,10000,847
1785628800,10000,1034
1786233600,7114,765
1786838400,6420,657
1787443200,1309,290
