open_time,volume,taker_buy_base_volume
1760364000000,1605961.86000000,791284.15000000
1760367600000,579949.48000000,319069.23000000
1760371200000,412103.83000000,213318.73000000
1760374800000,190631.83000000,94587.75000000
1760378400000,145010.42000000,61976.05000000
1760382000000,191494.31000000,90780.38000000
1760385600000,111357.05000000,56266.00000000
1760389200000,190098.29000000,99015.63000000
1760392800000,68852.40000000,33756.56000000
1760396400000,46287.60000000,20398.73000000
1760400000000,77718.73000000,38155.01000000
1760403600000,90226.72000000,46979.50000000
1760407200000,166225.77000000,74035.63000000
1760410800000,170673.47000000,99293.76000000
1760414400000,85982.82000000,47177.40000000
1760418000000,83194.11000000,43029.38000000
1760421600000,160506.66000000,82885.66000000
1760425200000,93164.45000000,44652.15000000
1760428800000,69659.77000000,34235.51000000
1760432400000,142254.93000000,69889.26000000
1760436000000,68239.75000000,29653.94000000
1760439600000,635864.33000000,322610.03000000
1760443200000,698465.95000000,386289.33000000
1760446800000,566587.18000000,308576.23000000
1760450400000,465222.01000000,249252.89000000
1760454000000,312548.88000000,150646.63000000
1760457600000,167160.83000000,80621.23000000
1760461200000,176690.60000000,79831.48000000
1760464800000,136566.81000000,59624.73000000
1760468400000,117894.57000000,58817.85000000
1760472000000,86334.24000000,43000.53000000
1760475600000,33929.58000000,15964.77000000
1760479200000,82215.43000000,42692.18000000
1760482800000,51352.88000000,25906.26000000
1760486400000,98435.74000000,47142.38000000
1760490000000,111595.01000000,53577.99000000
1760493600000,70776.70000000,38081.88000000
1760497200000,70873.80000000,34350.76000000
1760500800000,79165.62000000,44614.38000000
1760504400000,85822.73000000,36248.01000000
1760508000000,55150.82000000,26672.28000000
1760511600000,88490.76000000,43165.07000000
1760515200000,126720.53000000,63601.14000000
1760518800000,1788325.87000000,900217.35000000
1760522400000,186364.07000000,97761.05000000
1760526000000,251658.60000000,129694.05000000
1760529600000,198108.30000000,93158.81000000
1760533200000,74234.52000000,35240.93000000
1760536800000,58073.11000000,26981.78000000
1760540400000,53280.07000000,26350.83000000
1760544000000,73746.87000000,39127.70000000
1760547600000,35009.34000000,16266.42000000
1760551200000,41482.40000000,18212.97000000
1760554800000,45325.94000000,24453.18000000
1760558400000,35274.84000000,17247.42000000
1760562000000,57529.87000000,27758.59000000
1760565600000,36185.91000000,21013.03000000
1760569200000,24837.22000000,13860.42000000
1760572800000,82819.80000000,40369.30000000
1760576400000,55136.76000000,26571.94000000
1760580000000,57675.42000000,27136.40000000
1760583600000,54149.55000000,27529.92000000
1760587200000,34658.76000000,14622.55000000
1760590800000,55497.04000000,30747.52000000
1760594400000,58626.73000000,30606.52000000
1760598000000,60217.32000000,31373.56000000
1760601600000,50332.34000000,22579.55000000
1760605200000,62282.91000000,30972.75000000
1760608800000,55647.44000000,30676.02000000
1760612400000,46229.47000000,25155.99000000
1760616000000,61952.84000000,32592.93000000
1760619600000,37276.77000000,17400.83000000
1760623200000,75499.82000000,39565.27000000
1760626800000,37151.32000000,19655.55000000
1760630400000,89523.27000000,45020.94000000
1760634000000,35798.33000000,18003.53000000
1760637600000,28003.85000000,12772.16000000
1760641200000,33141.32000000,14412.83000000
1760644800000,92090.06000000,42308.45000000
1760648400000,35921.70000000,20688.32000000
1760652000000,21795.31000000,10320.23000000
1760655600000,25125.95000000,14833.71000000
1760659200000,26838.57000000,12656.26000000
1760662800000,20461.19000000,10335.68000000
1760666400000,46018.41000000,22088.27000000
1760670000000,41173.08000000,22840.01000000
1760673600000,25978.13000000,12441.91000000
1760677200000,25986.69000000,14996.88000000
1760680800000,59702.66000000,30511.80000000
1760684400000,66088.47000000,37080.10000000
1760688000000,70482.26000000,38574.21000000
1760691600000,65064.66000000,33530.33000000
1760695200000,88231.43000000,49182.20000000
1760698800000,79286.64000000,36518.99000000
1760702400000,48619.72000000,24537.91000000
1760706000000,44116.43000000,19865.34000000
1760709600000,52343.83000000,25980.53000000
1760713200000,93031.74000000,50403.20000000
1760716800000,100691.87000000,54530.27000000
1760720400000,50040.64000000,23452.71000000
1760724000000,42825.71000000,21791.87000000
1760727600000,20199.37000000,9285.56000000
1760731200000,32715.04000000,16247.27000000
1760734800000,20583.77000000,8314.91000000
1760738400000,16670.21000000,7989.95000000
1760742000000,20303.79000000,10463.01000000
1760745600000,20544.31000000,8308.68000000
1760749200000,26190.23000000,13282.83000000
1760752800000,22956.72000000,10274.49000000
1760756400000,24540.60000000,10500.30000000
1760760000000,69300.00000000,43017.72000000
1760763600000,65957.26000000,31447.53000000
1760767200000,37420.27000000,15562.42000000
1760770800000,81408.87000000,37406.15000000
1760774400000,50252.15000000,23351.71000000
1760778000000,43273.25000000,17730.10000000
1760781600000,33702.80000000,17689.62000000
1760785200000,39935.23000000,20812.04000000
1760788800000,27349.34000000,11791.14000000
1760792400000,35294.67000000,16134.71000000
1760796000000,26158.94000000,11595.21000000
