week_start_ts,transfer_count,unique_addresses
1673740800,826,334
1674345600,1107,346
1674950400,1125,345
1675555200,1296,422
1676160000,854,356
1676764800,812,344
1677369600,1106,431
1677974400,652,265
1678579200,7872,1518
1679184000,3671,657
1679788800,1152,328
1680393600,979,304
1680998400,545,248
1681603200,456,212
1682208000,274,126
1682812800,363,116
1683417600,170,103
1684022400,78,78
1684627200,101,74
1685232000,87,68
1685836800,131,92
1686441600,142,83
1687046400,152,92
1687651200,905,186
1688256000,209,97
1688860800,165,95
1689465600,370,185
1690070400,138,93
1690675200,90,75
1691280000,74,67
1691884800,227,77
1692489600,186,89
1693094400,172,125
1693699200,164,87
1694304000,68,59
1694908800,94,68
1695513600,88,68
1696118400,105,76
1696723200,115,69
1697328000,72,64
1697932800,123,69
1698537600,880,203
1699142400,460,189
1699747200,186,87
1700352000,166,91
1700956800,281,128
1701561600,176,114
1702166400,203,111
1702771200,189,102
1703376000,355,162
1703980800,278,124
1704585600,327,137
1705190400,160,99
1705795200,114,92
1706400000,182,110
1707004800,107,81
1707609600,177,93
1708214400,460,151
1708819200,316,153
1709424000,175,107
1710028800,163,109
1710633600,204,138
1711238400,223,140
1711843200,472,133
1712448000,236,125
1713052800,334,115
1713657600,385,86
1714262400,496,127
1714867200,300,94
1715472000,321,86
1716076800,327,101
1716681600,486,115
1717286400,363,96
1717891200,320,79
1718496000,401,111
1719100800,424,111
1719705600,201,79
1720310400,376,105
1720915200,323,118
1721520000,316,112
1722124800,305,80
1722729600,531,125
1723334400,425,165
1723939200,182,100
1724544000,197,95
1725148800,318,126
1725753600,161,100
1726358400,103,58
1726963200,265,103
1727568000,382,104
1728172800,456,107
1728777600,176,76
1729382400,300,75
1729987200,721,120
1730592000,706,125
1731196800,547,172
1731801600,417,115
1732406400,468,132
1733011200,394,142
1733616000,336,103
1734220800,623,153
1734825600,675,172
1735430400,679,204
1736035200,598,167
1736640000,557,151
1737244800,533,136
1737849600,462,116
1738454400,617,177
1739059200,589,168
1739664000,779,218
1740268800,1156,263
1740873600,883,209
1741478400,1411,322
1742083200,2536,446
1742688000,1851,305
1743292800,1424,274
1743897600,2843,351
1744502400,1567,252
1745107200,1712,311
1745712000,1010,232
1746316800,1587,340
1746921600,1600,369
1747526400,2450,327
1748131200,2065,287
1748736000,887,259
1749340800,1551,367
1749945600,1125,285
1750550400,2556,485
1751155200,1749,430
1751760000,3797,678
1752364800,2007,580
1752969600,2467,559
1753574400,2554,572
1754179200,1926,477
1754784000,2270,500
1755388800,2103,470
1755993600,2582,471
1756598400,9277,1117
1757203200,3520,523
1757808000,8537,1117
1758412800,3190,645
1759017600,2929,623
1759622400,10000,770
1760227200,10000,651
1760832000,10000,895
1761436800,10000,662
1762041600,10000,959
1762646400,9193,729
1763251200,8908,585
1763856000,5397,388
1764460800,10000,498
1765065600,5466,459
1765670400,6479,555
1766275200,3540,388
1766880000,4453,427
1767484800,5183,478
1768089600,6795,522
1768694400,10000,517
1769299200,10000,412
1769904000,9024,462
1770508800,10000,351
1771113600,10000,361
1771718400,10000,313
1772323200,10000,306
1772928000,10000,374
1773532800,10000,359
1774137600,9097,364
1774742400,10000,338
1775347200,10000,274
1775952000,10000,342
1776556800,10000,415
1777161600,3922,394
1777766400,2705,405
1778371200,3038,434
1778976000,2958,492
1779580800,4715,435
1780185600,4676,425
1780790400,1499,252
1781395200,5217,331
1782000000,2336,277
1782604800,2329,303
1783209600,1849,251
1783814400,1597,302
1784419200,10000,654
1785024000,10000,868
1785628800,10000,701
1786233600,7165,643
1786838400,7445,673
1787443200,3864,456
