open_time,volume,taker_buy_base_volume
1672531200000,14355862.00000000,4581319.00000000
1672534800000,7556912.00000000,3496004.00000000
1672538400000,5757748.00000000,3211396.00000000
1672542000000,21286789.00000000,11683870.00000000
1672545600000,30638200.00000000,7882778.00000000
1672549200000,13620563.00000000,8310694.00000000
1672552800000,5430107.00000000,2048053.00000000
1672556400000,3719173.00000000,1203959.00000000
1672560000000,7577864.00000000,2417927.00000000
1672563600000,5465591.00000000,3676584.00000000
1672567200000,2878783.00000000,1109310.00000000
1672570800000,7957159.00000000,5131317.00000000
1672574400000,7452011.00000000,3204012.00000000
1672578000000,6738141.00000000,2530068.00000000
1672581600000,9101809.00000000,4737620.00000000
1672585200000,14054724.00000000,6561952.00000000
1672588800000,6692556.00000000,3006328.00000000
1672592400000,5509088.00000000,2907174.00000000
1672596000000,8789093.00000000,5646871.00000000
1672599600000,7578384.00000000,3582666.00000000
1672603200000,10619968.00000000,4236436.00000000
1672606800000,2281522.00000000,1166635.00000000
1672610400000,4154261.00000000,1843672.00000000
1672614000000,10239650.00000000,4621162.00000000
1672617600000,16282072.00000000,6275241.00000000
1672621200000,21442764.00000000,8348457.00000000
1672624800000,5080852.00000000,2595464.00000000
1672628400000,8060278.00000000,4508354.00000000
1672632000000,8329419.00000000,3676172.00000000
1672635600000,3970087.00000000,1991282.00000000
1672639200000,5846350.00000000,3197000.00000000
1672642800000,50958328.00000000,25620023.00000000
1672646400000,15762754.00000000,7131589.00000000
1672650000000,12275258.00000000,4834279.00000000
1672653600000,16366617.00000000,6826096.00000000
1672657200000,12488638.00000000,5285550.00000000
1672660800000,12151013.00000000,5718836.00000000
1672664400000,9300782.00000000,4032929.00000000
1672668000000,30002589.00000000,17588571.00000000
1672671600000,18456877.00000000,9828836.00000000
1672675200000,30497425.00000000,18286861.00000000
1672678800000,12470517.00000000,4506445.00000000
1672682400000,8325761.00000000,4678602.00000000
1672686000000,12905959.00000000,6754898.00000000
1672689600000,10688087.00000000,4983265.00000000
1672693200000,13771888.00000000,6788952.00000000
1672696800000,11698460.00000000,3942699.00000000
1672700400000,42923067.00000000,16429801.00000000
1672704000000,14509075.00000000,5846085.00000000
1672707600000,13622699.00000000,5329857.00000000
1672711200000,5322893.00000000,2295043.00000000
1672714800000,8244211.00000000,4272808.00000000
1672718400000,9598747.00000000,4688486.00000000
1672722000000,10796549.00000000,5393874.00000000
1672725600000,14154562.00000000,6461228.00000000
1672729200000,5477116.00000000,2445683.00000000
1672732800000,8933690.00000000,4162619.00000000
1672736400000,7708103.00000000,3755781.00000000
1672740000000,7397416.00000000,3723661.00000000
1672743600000,9059101.00000000,3259213.00000000
1672747200000,10118208.00000000,4502176.00000000
1672750800000,12707608.00000000,4874904.00000000
1672754400000,40593535.00000000,20346496.00000000
1672758000000,19358363.00000000,6900184.00000000
1672761600000,28191339.00000000,9596483.00000000
1672765200000,12588466.00000000,6415790.00000000
1672768800000,10631955.00000000,5251787.00000000
1672772400000,9410015.00000000,3589243.00000000
1672776000000,8853029.00000000,4276694.00000000
1672779600000,7945268.00000000,3811075.00000000
1672783200000,4140342.00000000,2431645.00000000
1672786800000,13424571.00000000,7497315.00000000
1672790400000,16176798.00000000,8223697.00000000
1672794000000,30677505.00000000,16590422.00000000
1672797600000,22360441.00000000,11702437.00000000
1672801200000,30130041.00000000,16009011.00000000
1672804800000,18993292.00000000,7889040.00000000
1672808400000,9190292.00000000,4465886.00000000
1672812000000,9388170.00000000,4643239.00000000
1672815600000,12151098.00000000,5442293.00000000
1672819200000,18910767.00000000,7309167.00000000
1672822800000,13831788.00000000,4776271.00000000
1672826400000,9007426.00000000,3590295.00000000
1672830000000,9735977.00000000,4740845.00000000
1672833600000,12885304.00000000,5373025.00000000
1672837200000,8770177.00000000,3789261.00000000
1672840800000,20650283.00000000,11686817.00000000
1672844400000,25773452.00000000,12307612.00000000
1672848000000,11866276.00000000,6603513.00000000
1672851600000,17118138.00000000,9440846.00000000
1672855200000,13023107.00000000,6108692.00000000
1672858800000,29762236.00000000,11482976.00000000
1672862400000,17681101.00000000,7468223.00000000
1672866000000,9893435.00000000,5807843.00000000
1672869600000,5899325.00000000,3492040.00000000
1672873200000,8382577.00000000,4259309.00000000
1672876800000,42856129.00000000,22160746.00000000
1672880400000,36546335.00000000,18845339.00000000
1672884000000,20900062.00000000,8983852.00000000
1672887600000,10110865.00000000,4231761.00000000
1672891200000,31988624.00000000,15391680.00000000
1672894800000,24699138.00000000,14151669.00000000
1672898400000,18470384.00000000,8006100.00000000
1672902000000,14540959.00000000,6532284.00000000
1672905600000,13387760.00000000,5582648.00000000
1672909200000,19813846.00000000,8245660.00000000
1672912800000,9132942.00000000,4571682.00000000
1672916400000,8810359.00000000,5019344.00000000
1672920000000,8994592.00000000,3237555.00000000
1672923600000,16284779.00000000,7332402.00000000
1672927200000,18056000.00000000,8130597.00000000
1672930800000,22635239.00000000,10303725.00000000
1672934400000,10000579.00000000,5145871.00000000
1672938000000,6259665.00000000,3116589.00000000
1672941600000,7864959.00000000,4241947.00000000
1672945200000,17119180.00000000,6039193.00000000
1672948800000,13083225.00000000,5503120.00000000
1672952400000,27324215.00000000,16301450.00000000
1672956000000,35928795.00000000,23388851.00000000
1672959600000,56002953.00000000,20771802.00000000
1672963200000,22955735.00000000,13189048.00000000
1672966800000,38342698.00000000,22740697.00000000
1672970400000,40768902.00000000,17698422.00000000
1672974000000,58536587.00000000,30012013.00000000
1672977600000,49199812.00000000,18763304.00000000
1672981200000,34227497.00000000,17014998.00000000
1672984800000,27063417.00000000,11790000.00000000
1672988400000,18249657.00000000,8357270.00000000
1672992000000,70295266.00000000,45624010.00000000
1672995600000,125477521.00000000,75336276.00000000
1672999200000,58699166.00000000,25257102.00000000
1673002800000,44954876.00000000,18331853.00000000
1673006400000,37573485.00000000,14204012.00000000
1673010000000,61160768.00000000,30437311.00000000
1673013600000,35470389.00000000,14356978.00000000
1673017200000,87198872.00000000,47267276.00000000
1673020800000,131706103.00000000,79920863.00000000
1673024400000,182530535.00000000,82860521.00000000
1673028000000,84360947.00000000,39657745.00000000
1673031600000,182412922.00000000,94133440.00000000
1673035200000,232972644.00000000,108613384.00000000
1673038800000,107302376.00000000,52161368.00000000
1673042400000,404111851.00000000,211545061.00000000
1673046000000,310959679.00000000,137408262.00000000
1673049600000,136246766.00000000,66017222.00000000
1673053200000,122654758.00000000,58685049.00000000
1673056800000,84915944.00000000,42058500.00000000
1673060400000,56737419.00000000,24412751.00000000
1673064000000,127330375.00000000,66116429.00000000
1673067600000,54938928.00000000,24604302.00000000
1673071200000,220619086.00000000,113762228.00000000
1673074800000,95434058.00000000,47024846.00000000
1673078400000,103794892.00000000,48611011.00000000
1673082000000,57338472.00000000,29128453.00000000
1673085600000,86683530.00000000,44004142.00000000
1673089200000,81620301.00000000,36290295.00000000
1673092800000,58395267.00000000,32103272.00000000
1673096400000,116123802.00000000,49248551.00000000
1673100000000,107455470.00000000,39342503.00000000
1673103600000,62273582.00000000,31124812.00000000
1673107200000,78056733.00000000,37720101.00000000
1673110800000,57611732.00000000,18965637.00000000
1673114400000,38453765.00000000,16688685.00000000
1673118000000,38774062.00000000,20260864.00000000
1673121600000,44597510.00000000,21896136.00000000
1673125200000,34586422.00000000,14446012.00000000
1673128800000,90406369.00000000,31807683.00000000
1673132400000,79441545.00000000,29892297.00000000
1673136000000,65523081.00000000,32472522.00000000
1673139600000,43963591.00000000,21593618.00000000
1673143200000,34238860.00000000,18118396.00000000
1673146800000,78775499.00000000,41306268.00000000
1673150400000,32989698.00000000,16221055.00000000
