open_time,volume,taker_buy_base_volume
1761372000000,175712.39500000,87411.39500000
1761375600000,57756.88700000,27800.46400000
1761379200000,29141.77300000,14483.47700000
1761382800000,22965.78200000,10170.97500000
1761386400000,57381.15100000,30027.81200000
1761390000000,77138.79000000,35634.37700000
1761393600000,51783.59700000,26170.64100000
1761397200000,60965.98100000,28318.81600000
1761400800000,30952.93800000,14186.06000000
1761404400000,116985.19700000,63147.45000000
1761408000000,40999.47100000,21087.38800000
1761411600000,28536.43900000,14639.84800000
1761415200000,23548.26900000,12927.52000000
1761418800000,23885.28900000,12915.98600000
1761422400000,14261.59200000,6931.22000000
1761426000000,12651.47000000,6165.53800000
1761429600000,12174.95300000,5016.72700000
1761433200000,8220.17100000,4497.56300000
1761436800000,14811.79300000,8085.90000000
1761440400000,25177.90700000,13568.90000000
1761444000000,18477.05400000,10012.55700000
1761447600000,12623.09000000,5561.96600000
1761451200000,9615.58700000,5230.92300000
1761454800000,7362.71300000,4043.52100000
1761458400000,13866.22200000,6937.04000000
1761462000000,21804.11600000,10072.10600000
1761465600000,17382.85900000,6923.62000000
1761469200000,24926.06300000,12157.92400000
1761472800000,13989.72200000,6816.01700000
1761476400000,37833.50600000,21577.90500000
1761480000000,29767.44700000,12501.71500000
1761483600000,21805.58400000,9774.15900000
1761487200000,20070.78100000,11816.92900000
1761490800000,22254.79000000,8262.86500000
1761494400000,72963.61400000,24992.42900000
1761498000000,55124.28600000,22901.76800000
1761501600000,21157.85300000,10395.16300000
1761505200000,14062.12800000,5329.26800000
1761508800000,14586.69400000,7282.70800000
1761512400000,7651.79600000,4090.13100000
1761516000000,11757.63600000,6107.40000000
1761519600000,29835.21700000,14600.69400000
1761523200000,32944.14100000,13487.26400000
1761526800000,20781.80000000,10746.75800000
1761530400000,14594.43200000,6267.96700000
1761534000000,35425.87600000,15362.24600000
1761537600000,33704.42500000,18664.79300000
1761541200000,25206.32700000,12746.79200000
1761544800000,43208.18600000,23078.18100000
1761548400000,13436.14800000,7055.53700000
1761552000000,15227.95800000,7680.47400000
1761555600000,11417.40500000,5300.70800000
1761559200000,9896.00700000,5378.26000000
1761562800000,6946.89100000,3344.76000000
1761566400000,10302.31100000,5894.41900000
1761570000000,21116.23000000,10418.41300000
1761573600000,13339.85800000,5202.95400000
1761577200000,16072.01100000,6734.77300000
1761580800000,24830.19900000,11158.91700000
1761584400000,19458.28600000,10245.87600000
1761588000000,20962.48900000,9149.08800000
1761591600000,17703.30600000,7479.87800000
1761595200000,12324.20400000,6412.26600000
1761598800000,6333.04500000,2800.48300000
1761602400000,11715.21400000,4853.75700000
1761606000000,9500.29000000,3537.41700000
1761609600000,7453.11600000,3509.67800000
1761613200000,6163.53800000,2991.23300000
1761616800000,19093.22200000,9184.14300000
1761620400000,5404.17900000,2885.53600000
1761624000000,6124.68400000,3595.08100000
1761627600000,6474.73800000,3738.31100000
1761631200000,6446.16000000,3515.90200000
1761634800000,25405.83900000,12996.37900000
