open_time,open,high,low,close,volume,close_time,quote_volume,n_trades
1783429200000,366.46000000,374.13000000,366.46000000,372.00000000,266.79400000,1783432799999,98818.55625000,628
1783432800000,371.01000000,373.76000000,368.00000000,368.11000000,556.87100000,1783436399999,206757.46114000,574
1783436400000,368.12000000,370.73000000,368.00000000,370.18000000,15.67800000,1783439999999,5779.17179000,108
1783440000000,369.94000000,370.84000000,368.02000000,370.84000000,11.84300000,1783443599999,4374.74963000,109
1783443600000,370.80000000,370.80000000,369.44000000,370.41000000,1.87800000,1783447199999,694.15510000,24
1783447200000,369.92000000,370.81000000,368.46000000,368.74000000,3.63100000,1783450799999,1342.10171000,68
1783450800000,369.97000000,369.97000000,366.00000000,367.93000000,31.13200000,1783454399999,11436.63613000,168
1783454400000,367.67000000,367.68000000,366.41000000,367.43000000,14.64700000,1783457999999,5383.80748000,27
1783458000000,366.41000000,367.60000000,366.00000000,366.00000000,2.01600000,1783461599999,739.18790000,19
1783461600000,366.00000000,367.87000000,366.00000000,367.07000000,2.59300000,1783465199999,950.80023000,27
1783465200000,366.06000000,367.94000000,366.06000000,366.47000000,3.68900000,1783468799999,1353.75850000,32
1783468800000,367.76000000,368.48000000,366.34000000,367.50000000,13.07700000,1783472399999,4800.76480000,33
1783472400000,367.50000000,367.92000000,366.68000000,367.88000000,4.77900000,1783475999999,1756.45690000,35
1783476000000,367.09000000,368.45000000,366.67000000,368.45000000,4.10400000,1783479599999,1507.64669000,74
1783479600000,368.45000000,368.45000000,367.30000000,368.27000000,0.40000000,1783483199999,147.03256000,6
1783483200000,367.99000000,368.01000000,366.96000000,367.78000000,7.24300000,1783486799999,2661.41320000,39
1783486800000,367.78000000,368.21000000,367.09000000,367.20000000,2.47700000,1783490399999,910.63265000,15
1783490400000,367.08000000,368.20000000,366.91000000,367.42000000,6.17800000,1783493999999,2268.65271000,30
1783494000000,368.20000000,369.30000000,367.30000000,368.94000000,5.01900000,1783497599999,1850.45889000,51
1783497600000,368.95000000,369.06000000,362.91000000,362.92000000,34.75300000,1783501199999,12761.80332000,94
1783501200000,362.91000000,363.17000000,361.54000000,363.17000000,19.74000000,1783504799999,7159.09850000,51
1783504800000,362.85000000,363.41000000,361.60000000,363.41000000,21.38400000,1783508399999,7756.24193000,40
1783508400000,362.29000000,363.60000000,362.29000000,363.10000000,4.07100000,1783511999999,1477.02122000,24
1783512000000,363.08000000,364.54000000,363.07000000,364.25000000,19.50900000,1783515599999,7106.91310000,33
1783515600000,364.08000000,367.44000000,363.15000000,363.15000000,27.39100000,1783519199999,9998.33846000,100
1783519200000,363.02000000,363.59000000,361.61000000,362.83000000,6.96000000,1783522799999,2521.88680000,48
