open_time,volume,taker_buy_base_volume
1741093200000,443800262.10000000,230760456.00000000
1741096800000,172367257.10000000,94784361.10000000
1741100400000,97091999.00000000,50359363.90000000
1741104000000,117633431.70000000,51725798.50000000
1741107600000,67706120.90000000,32998075.00000000
1741111200000,30543424.00000000,14632816.30000000
1741114800000,53735155.00000000,25773795.80000000
1741118400000,27900376.20000000,12678234.80000000
1741122000000,39989943.30000000,17961048.40000000
1741125600000,37309453.40000000,16847108.00000000
1741129200000,33018983.10000000,18258748.70000000
1741132800000,24936135.90000000,12791306.30000000
1741136400000,20094624.60000000,10688237.90000000
1741140000000,31088254.30000000,14443507.00000000
1741143600000,24417733.50000000,11899862.20000000
1741147200000,21291267.70000000,11294997.50000000
1741150800000,23399349.30000000,11988635.30000000
1741154400000,21204756.70000000,10862517.20000000
1741158000000,57289902.10000000,26915126.30000000
1741161600000,40196170.90000000,18630476.80000000
1741165200000,22625543.50000000,10785708.30000000
1741168800000,22793071.30000000,11432512.10000000
1741172400000,37393944.80000000,16923637.40000000
1741176000000,29044417.00000000,13488604.80000000
1741179600000,36431048.20000000,17124570.10000000
1741183200000,47992262.80000000,22920119.90000000
1741186800000,47768507.10000000,22251928.10000000
1741190400000,46954288.60000000,22427628.30000000
1741194000000,18315073.60000000,7856030.40000000
1741197600000,34843882.60000000,15588338.20000000
1741201200000,30870254.50000000,14260781.90000000
1741204800000,15639128.20000000,7943710.80000000
1741208400000,12976021.30000000,6066242.20000000
1741212000000,8341774.00000000,3993307.30000000
1741215600000,11903276.00000000,5350990.50000000
1741219200000,34655689.40000000,10946087.30000000
1741222800000,32384474.40000000,13737314.30000000
1741226400000,19780630.30000000,9506760.50000000
1741230000000,17242033.30000000,7686162.80000000
1741233600000,20223254.50000000,8872453.40000000
1741237200000,25141750.10000000,14476942.90000000
1741240800000,16767857.20000000,7270874.70000000
1741244400000,12746747.70000000,4916019.70000000
1741248000000,20115486.40000000,10051027.70000000
1741251600000,15215154.30000000,7731345.10000000
1741255200000,10301461.00000000,4158766.00000000
1741258800000,15370334.80000000,7697255.00000000
1741262400000,50642711.90000000,20834983.30000000
1741266000000,24073865.50000000,13729170.10000000
1741269600000,30580104.10000000,14478617.20000000
1741273200000,27262068.80000000,13988116.20000000
1741276800000,40447341.80000000,16177686.60000000
1741280400000,29592820.60000000,13492705.60000000
1741284000000,20232417.60000000,9950256.40000000
1741287600000,14719072.20000000,6180630.20000000
1741291200000,11768683.60000000,5284579.80000000
1741294800000,12632140.80000000,5454594.80000000
1741298400000,17674349.80000000,9794453.30000000
1741302000000,14818164.20000000,6375265.00000000
1741305600000,46864361.90000000,21703898.50000000
1741309200000,21489179.50000000,11017769.20000000
1741312800000,24544749.90000000,14276450.50000000
1741316400000,18551652.30000000,10964719.40000000
1741320000000,14789400.10000000,7123610.90000000
1741323600000,8354875.40000000,3410629.30000000
1741327200000,14991273.60000000,6644628.10000000
1741330800000,48809561.90000000,26466383.80000000
1741334400000,38755838.80000000,15923835.60000000
1741338000000,342420845.40000000,170034612.30000000
1741341600000,105584518.40000000,51035296.40000000
1741345200000,56779484.90000000,31032991.90000000
1741348800000,79126160.50000000,31741247.90000000
1741352400000,38988072.00000000,19239539.50000000
1741356000000,35827024.70000000,17370803.70000000
1741359600000,29806927.70000000,15681023.20000000
1741363200000,53179104.10000000,26231829.10000000
1741366800000,32866532.00000000,16723199.00000000
1741370400000,26744809.70000000,12240395.30000000
1741374000000,18712603.00000000,9109311.60000000
1741377600000,19938844.20000000,9448160.30000000
1741381200000,18721677.60000000,9073340.40000000
1741384800000,10684217.80000000,5152214.60000000
1741388400000,12692040.70000000,5756953.60000000
1741392000000,12347943.90000000,6404599.70000000
1741395600000,13358651.10000000,6509075.40000000
1741399200000,22332811.80000000,9670178.90000000
1741402800000,10854418.10000000,4726136.00000000
1741406400000,8520089.30000000,4303927.00000000
1741410000000,15549683.50000000,7409617.30000000
1741413600000,18397100.30000000,8359234.40000000
1741417200000,14662507.90000000,7948031.70000000
1741420800000,15021021.70000000,6896528.80000000
1741424400000,14624632.40000000,6936266.60000000
1741428000000,12407240.60000000,5935695.20000000
1741431600000,15284455.00000000,6495284.70000000
1741435200000,12051510.00000000,5728560.60000000
1741438800000,8456565.30000000,2828638.10000000
1741442400000,10401396.70000000,4774546.20000000
1741446000000,6992967.20000000,3456488.40000000
1741449600000,12805936.00000000,5974919.10000000
1741453200000,7575779.00000000,3540402.30000000
1741456800000,8786882.60000000,4044479.60000000
1741460400000,12739921.60000000,7526861.50000000
1741464000000,7883856.40000000,4394446.20000000
1741467600000,12110256.30000000,5086851.80000000
1741471200000,11638769.50000000,5396513.50000000
1741474800000,5559297.50000000,2996964.00000000
1741478400000,8987949.50000000,5604197.20000000
1741482000000,8582005.50000000,4182825.50000000
1741485600000,10798863.80000000,4867943.50000000
