open_time,volume,taker_buy_base_volume
1739433600000,36870226.30000000,18312316.50000000
1739437200000,16140158.90000000,8675108.10000000
1739440800000,6061918.40000000,2997703.90000000
1739444400000,4574134.00000000,2081439.60000000
1739448000000,5870320.30000000,3336954.50000000
1739451600000,13521679.70000000,6605724.90000000
1739455200000,5005320.90000000,2474835.10000000
1739458800000,3139230.20000000,1460378.50000000
1739462400000,10149411.40000000,4239621.80000000
1739466000000,5192542.00000000,2660259.70000000
1739469600000,2891312.60000000,1486042.10000000
1739473200000,2812425.40000000,1241133.60000000
1739476800000,3037393.70000000,1647144.50000000
1739480400000,1834604.70000000,989496.20000000
1739484000000,2521162.70000000,1024273.80000000
1739487600000,2943722.20000000,1263668.70000000
1739491200000,2559460.10000000,1252518.70000000
1739494800000,5747276.90000000,2963305.80000000
1739498400000,2495229.10000000,1155781.50000000
1739502000000,2309601.60000000,1180000.30000000
1739505600000,1458520.60000000,680331.50000000
1739509200000,1470600.00000000,799312.60000000
1739512800000,1917670.10000000,959670.80000000
1739516400000,2109133.40000000,986167.40000000
1739520000000,2329627.90000000,1134297.30000000
1739523600000,2308279.50000000,1169635.60000000
1739527200000,2190861.80000000,1165474.30000000
1739530800000,2189231.60000000,989811.20000000
1739534400000,1611038.80000000,772999.40000000
1739538000000,4445466.60000000,2416027.40000000
1739541600000,4200998.30000000,2187004.60000000
1739545200000,2222780.30000000,1108802.00000000
1739548800000,2601715.70000000,1355964.80000000
1739552400000,2202582.00000000,1129411.00000000
1739556000000,2451977.90000000,1285459.40000000
1739559600000,1306285.00000000,577848.50000000
1739563200000,1542203.20000000,760406.60000000
1739566800000,1221745.80000000,611272.80000000
1739570400000,1540456.90000000,806272.20000000
1739574000000,1036021.30000000,482196.60000000
1739577600000,1136167.30000000,588376.30000000
1739581200000,1057862.40000000,485210.50000000
1739584800000,556474.60000000,282245.40000000
1739588400000,711437.30000000,344029.50000000
1739592000000,598999.40000000,225678.30000000
1739595600000,911165.20000000,374111.00000000
1739599200000,655962.30000000,268627.80000000
1739602800000,890770.60000000,354925.90000000
1739606400000,1802749.50000000,823679.50000000
1739610000000,1343344.00000000,686880.80000000
1739613600000,1329226.50000000,591689.20000000
1739617200000,1361237.00000000,620720.10000000
1739620800000,929319.40000000,399319.70000000
1739624400000,808876.80000000,444023.00000000
1739628000000,2702417.60000000,1204727.70000000
1739631600000,1373589.10000000,690177.60000000
1739635200000,2334599.40000000,1117592.00000000
1739638800000,1022917.70000000,491742.30000000
1739642400000,602453.50000000,298811.60000000
1739646000000,699362.20000000,326240.40000000
1739649600000,834865.90000000,481554.70000000
1739653200000,555052.60000000,252964.50000000
1739656800000,662478.10000000,320840.50000000
1739660400000,465712.50000000,234883.20000000
1739664000000,751064.50000000,395203.10000000
1739667600000,524643.70000000,281006.40000000
1739671200000,953365.40000000,461997.10000000
1739674800000,560975.80000000,309895.30000000
1739678400000,641482.00000000,371551.80000000
1739682000000,1786988.60000000,970729.00000000
1739685600000,1306612.60000000,681905.70000000
1739689200000,1130180.50000000,534700.20000000
1739692800000,1226988.80000000,640232.60000000
1739696400000,790486.90000000,431264.40000000
1739700000000,601254.90000000,292951.60000000
1739703600000,604098.40000000,336252.20000000
1739707200000,542977.50000000,245848.10000000
1739710800000,704012.80000000,358284.30000000
1739714400000,824971.80000000,357524.90000000
1739718000000,607486.70000000,325768.10000000
1739721600000,870228.30000000,513757.10000000
1739725200000,555465.80000000,228347.60000000
1739728800000,499344.20000000,289253.50000000
1739732400000,525269.40000000,283070.30000000
1739736000000,823529.30000000,445508.90000000
1739739600000,510994.80000000,235624.30000000
1739743200000,350297.20000000,167713.30000000
1739746800000,272832.90000000,159422.60000000
1739750400000,278937.30000000,118510.80000000
1739754000000,227326.10000000,111161.20000000
1739757600000,220382.40000000,111943.00000000
1739761200000,196720.20000000,86979.20000000
1739764800000,204419.90000000,105551.30000000
1739768400000,628271.00000000,323606.70000000
1739772000000,791497.90000000,348168.30000000
1739775600000,616109.10000000,294587.20000000
1739779200000,676392.30000000,304146.60000000
1739782800000,1000046.90000000,531379.60000000
1739786400000,806407.50000000,384160.20000000
1739790000000,309586.30000000,168672.00000000
1739793600000,368468.00000000,152306.80000000
1739797200000,265970.30000000,145047.00000000
1739800800000,959766.10000000,414086.60000000
1739804400000,705014.40000000,267037.90000000
1739808000000,1465753.40000000,468862.00000000
1739811600000,1163778.70000000,544689.70000000
