week_start_ts,transfer_count,unique_addresses
1673740800,0,0
1674345600,0,0
1674950400,0,0
1675555200,0,0
1676160000,0,0
1676764800,0,0
1677369600,0,0
1677974400,0,0
1678579200,0,0
1679184000,0,0
1679788800,0,0
1680393600,0,0
1680998400,0,0
1681603200,0,0
1682208000,0,0
1682812800,0,0
1683417600,0,0
1684022400,0,0
1684627200,0,0
1685232000,0,0
1685836800,0,0
1686441600,0,0
1687046400,0,0
1687651200,0,0
1688256000,0,0
1688860800,0,0
1689465600,0,0
1690070400,0,0
1690675200,0,0
1691280000,0,0
1691884800,0,0
1692489600,0,0
1693094400,0,0
1693699200,0,0
1694304000,0,0
1694908800,0,0
1695513600,0,0
1696118400,0,0
1696723200,0,0
1697328000,0,0
1697932800,0,0
1698537600,0,0
1699142400,0,0
1699747200,0,0
1700352000,0,0
1700956800,0,0
1701561600,0,0
1702166400,0,0
1702771200,0,0
1703376000,0,0
1703980800,0,0
1704585600,0,0
1705190400,0,0
1705795200,0,0
1706400000,0,0
1707004800,0,0
1707609600,0,0
1708214400,0,0
1708819200,0,0
1709424000,0,0
1710028800,0,0
1710633600,0,0
1711238400,0,0
1711843200,0,0
1712448000,0,0
1713052800,0,0
1713657600,0,0
1714262400,0,0
1714867200,0,0
1715472000,0,0
1716076800,0,0
1716681600,0,0
1717286400,0,0
1717891200,0,0
1718496000,0,0
1719100800,0,0
1719705600,0,0
1720310400,0,0
1720915200,0,0
1721520000,0,0
1722124800,0,0
1722729600,0,0
1723334400,0,0
1723939200,0,0
1724544000,0,0
1725148800,0,0
1725753600,0,0
1726358400,0,0
1726963200,0,0
1727568000,0,0
1728172800,0,0
1728777600,0,0
1729382400,0,0
1729987200,0,0
1730592000,0,0
1731196800,0,0
1731801600,0,0
1732406400,0,0
1733011200,0,0
1733616000,0,0
1734220800,0,0
1734825600,0,0
1735430400,0,0
1736035200,0,0
1736640000,2,3
1737244800,0,0
1737849600,11,11
1738454400,13,9
1739059200,1546,554
1739664000,173,120
1740268800,156,93
1740873600,148,87
1741478400,89,66
1742083200,97,69
1742688000,67,45
1743292800,71,50
1743897600,250,80
1744502400,99,53
1745107200,120,52
1745712000,75,59
1746316800,169,92
1746921600,874,163
1747526400,649,140
1748131200,196,80
1748736000,138,60
1749340800,255,103
1749945600,105,67
1750550400,142,94
1751155200,85,71
1751760000,207,114
1752364800,346,159
1752969600,392,124
1753574400,207,97
1754179200,741,204
1754784000,386,145
1755388800,154,71
1755993600,250,112
1756598400,148,93
1757203200,146,72
1757808000,226,120
1758412800,209,95
1759017600,205,96
1759622400,189,91
1760227200,317,112
1760832000,189,82
1761436800,65,54
1762041600,142,70
1762646400,147,63
1763251200,112,66
1763856000,157,72
1764460800,319,113
1765065600,109,58
1765670400,106,77
1766275200,84,55
1766880000,100,64
1767484800,212,70
1768089600,84,55
1768694400,315,111
1769299200,467,70
1769904000,140,70
1770508800,49,44
1771113600,31,24
1771718400,90,55
1772323200,73,50
1772928000,288,99
1773532800,67,57
1774137600,72,61
1774742400,159,87
1775347200,27,26
1775952000,89,49
1776556800,52,40
1777161600,61,53
1777766400,124,62
1778371200,91,56
1778976000,176,74
1779580800,1177,324
1780185600,2612,548
1780790400,1198,287
1781395200,1333,245
1782000000,1772,406
1782604800,1007,322
1783209600,802,211
1783814400,729,225
1784419200,468,164
1785024000,221,125
1785628800,6190,919
1786233600,1905,375
1786838400,1126,296
1787443200,187,100
