open_time,volume,taker_buy_base_volume
1758628800000,396997698.60000000,193306874.20000000
1758632400000,121968878.90000000,66554968.80000000
1758636000000,145025004.30000000,76321420.40000000
1758639600000,88363211.20000000,43409073.80000000
1758643200000,59857640.20000000,34164322.10000000
1758646800000,121241722.50000000,62032486.20000000
1758650400000,49765709.80000000,25663318.80000000
1758654000000,55589651.50000000,30028308.50000000
1758657600000,47545037.80000000,25824332.10000000
1758661200000,25021584.20000000,12911743.40000000
1758664800000,21521228.00000000,9749561.10000000
1758668400000,16521570.30000000,7775178.80000000
1758672000000,27064329.40000000,13369304.90000000
1758675600000,36749250.70000000,19400379.60000000
1758679200000,37044493.80000000,18604546.50000000
1758682800000,29631880.20000000,14648798.70000000
1758686400000,33252704.40000000,15380439.00000000
1758690000000,28786446.60000000,14418186.70000000
1758693600000,36569634.80000000,19035386.70000000
1758697200000,92614010.10000000,49778840.90000000
1758700800000,120154864.60000000,62641498.50000000
1758704400000,60152307.60000000,30269159.20000000
1758708000000,329366907.20000000,164037117.50000000
1758711600000,53714139.70000000,26361317.80000000
1758715200000,73596440.40000000,35415379.00000000
1758718800000,112823582.70000000,60783968.60000000
1758722400000,52329862.80000000,24790606.80000000
1758726000000,48753754.30000000,23471347.80000000
1758729600000,71167607.00000000,34080586.60000000
1758733200000,45545996.70000000,22622784.50000000
1758736800000,24491540.20000000,11546083.40000000
1758740400000,18080746.80000000,8951091.90000000
1758744000000,22827033.90000000,10033342.90000000
1758747600000,22391595.60000000,10749215.50000000
1758751200000,19233062.20000000,10469046.30000000
1758754800000,24954309.90000000,11743846.70000000
1758758400000,35050880.50000000,16863997.10000000
1758762000000,25257663.50000000,12647359.00000000
1758765600000,22554401.40000000,11926249.60000000
1758769200000,27842551.60000000,11160712.00000000
1758772800000,31619344.70000000,14319556.60000000
1758776400000,30790864.30000000,13542848.60000000
1758780000000,19712427.90000000,11160783.80000000
1758783600000,15614590.90000000,7930215.50000000
1758787200000,26656814.80000000,12059656.10000000
1758790800000,18642027.60000000,8961241.90000000
1758794400000,28572158.80000000,13908112.70000000
1758798000000,44999875.90000000,23293357.90000000
1758801600000,20002699.00000000,10522556.70000000
1758805200000,41611818.40000000,19873264.70000000
1758808800000,23698722.60000000,11983871.50000000
1758812400000,19341599.30000000,9068958.20000000
1758816000000,25743776.10000000,11544333.00000000
1758819600000,17366316.50000000,8705541.00000000
1758823200000,15805560.90000000,7885164.50000000
1758826800000,9949293.70000000,4837109.30000000
1758830400000,18682024.70000000,7373256.80000000
1758834000000,16076132.90000000,8255770.20000000
1758837600000,18627425.90000000,9426861.60000000
1758841200000,17473410.90000000,8666399.60000000
1758844800000,14828426.40000000,6872176.10000000
1758848400000,26709494.80000000,10921741.10000000
1758852000000,11099008.10000000,5381461.20000000
1758855600000,12678976.00000000,6452632.30000000
1758859200000,12401131.90000000,5703666.80000000
1758862800000,13328612.00000000,6096787.10000000
1758866400000,21282658.80000000,11093335.20000000
1758870000000,13466147.40000000,6609624.90000000
1758873600000,17679320.10000000,9509923.20000000
1758877200000,19874724.70000000,9390404.40000000
1758880800000,21805731.80000000,10631259.40000000
1758884400000,25863438.00000000,12456481.40000000
1758888000000,48033930.30000000,22862576.10000000
1758891600000,24780780.80000000,12257110.10000000
1758895200000,23774484.70000000,11751512.30000000
1758898800000,21010444.90000000,11228571.50000000
1758902400000,25020121.70000000,12594038.60000000
1758906000000,31591232.80000000,15483895.80000000
1758909600000,40253361.70000000,19454881.90000000
1758913200000,20771823.40000000,9997012.70000000
1758916800000,9130242.90000000,4302291.70000000
1758920400000,8048214.40000000,3661005.00000000
1758924000000,7308417.30000000,3833275.80000000
1758927600000,11311054.90000000,5496541.30000000
1758931200000,7315102.50000000,3675820.30000000
1758934800000,10205587.10000000,5052273.40000000
1758938400000,12975838.40000000,5466319.10000000
1758942000000,6186754.90000000,3422587.40000000
1758945600000,9691583.30000000,4250654.10000000
1758949200000,6482099.00000000,3033431.10000000
1758952800000,12092823.40000000,5987501.60000000
1758956400000,15565451.80000000,7870124.30000000
1758960000000,11961437.20000000,5933645.10000000
1758963600000,13413525.80000000,6653897.80000000
1758967200000,16946409.10000000,9197974.80000000
1758970800000,9063937.30000000,4268785.20000000
1758974400000,11991046.50000000,5160392.10000000
1758978000000,7586135.60000000,3751017.30000000
1758981600000,11508220.60000000,5636614.70000000
1758985200000,20321728.50000000,10310734.60000000
1758988800000,16455431.60000000,7300609.50000000
1758992400000,13361963.70000000,5761563.10000000
1758996000000,8793966.30000000,3278900.70000000
1758999600000,20813659.50000000,9194836.80000000
1759003200000,9393624.40000000,5236735.00000000
1759006800000,11305092.90000000,5074935.60000000
1759010400000,12721076.50000000,6338548.10000000
1759014000000,6229348.30000000,2885347.00000000
1759017600000,5855478.40000000,2842616.90000000
1759021200000,8940782.70000000,3897573.30000000
1759024800000,7099591.00000000,3597326.00000000
1759028400000,6193158.70000000,3003470.00000000
1759032000000,11558624.10000000,5443920.50000000
1759035600000,16652154.20000000,7752534.30000000
1759039200000,15081370.90000000,7250209.60000000
1759042800000,8443694.90000000,4605182.80000000
1759046400000,8065686.80000000,3709123.50000000
1759050000000,14562138.30000000,6652221.60000000
1759053600000,18170800.30000000,8549195.70000000
1759057200000,8229314.70000000,4048421.30000000
1759060800000,9143871.20000000,3897624.40000000
1759064400000,8292704.70000000,3791350.90000000
1759068000000,9234193.00000000,4769341.50000000
1759071600000,5952627.10000000,2825023.40000000
1759075200000,29060477.00000000,14026940.50000000
1759078800000,9764928.30000000,5048801.80000000
1759082400000,20479633.80000000,10744347.20000000
1759086000000,12277212.10000000,6102973.40000000
1759089600000,7598105.80000000,3805287.90000000
1759093200000,7591448.90000000,4100323.80000000
1759096800000,19830117.70000000,9528466.90000000
1759100400000,9596962.70000000,5507349.20000000
1759104000000,12019459.00000000,5993731.80000000
1759107600000,7900281.40000000,3730053.50000000
1759111200000,8371025.90000000,4549091.40000000
1759114800000,6802703.30000000,3301913.50000000
1759118400000,8935368.70000000,4618998.20000000
1759122000000,14939131.00000000,8357919.80000000
1759125600000,15852015.00000000,7801452.70000000
1759129200000,17468345.60000000,8327868.30000000
1759132800000,9639718.90000000,4247418.00000000
1759136400000,13602240.00000000,6087652.30000000
1759140000000,7168305.50000000,3344178.00000000
1759143600000,16181203.30000000,7374192.90000000
1759147200000,21681421.80000000,10582822.40000000
1759150800000,24734001.10000000,11809996.70000000
1759154400000,16341000.80000000,8224225.20000000
1759158000000,28065606.40000000,12305417.40000000
1759161600000,23558852.30000000,11028714.30000000
