open_time,volume,taker_buy_base_volume
1749740400000,385809130.00000000,197473448.00000000
1749744000000,124099493.00000000,61626625.00000000
1749747600000,115753151.00000000,64881772.00000000
1749751200000,113215002.00000000,56237056.00000000
1749754800000,63685131.00000000,33528814.00000000
1749758400000,66259818.00000000,34732938.00000000
1749762000000,59581648.00000000,33457416.00000000
1749765600000,42500718.00000000,21456830.00000000
1749769200000,27181241.00000000,12764588.00000000
1749772800000,87349371.00000000,37890326.00000000
1749776400000,62518610.00000000,28472980.00000000
1749780000000,58626753.00000000,27575064.00000000
1749783600000,30682728.00000000,13795040.00000000
1749787200000,37055106.00000000,13760870.00000000
1749790800000,40472953.00000000,20425083.00000000
1749794400000,50816525.00000000,30094218.00000000
1749798000000,35027895.00000000,19171636.00000000
1749801600000,26608855.00000000,14061146.00000000
1749805200000,35498797.00000000,15100251.00000000
1749808800000,39499159.00000000,24535795.00000000
1749812400000,31269769.00000000,15041169.00000000
1749816000000,31839450.00000000,14223250.00000000
1749819600000,54666671.00000000,29639190.00000000
1749823200000,63241368.00000000,35270606.00000000
1749826800000,88832882.00000000,50022214.00000000
1749830400000,107195247.00000000,57674727.00000000
1749834000000,49923722.00000000,28858507.00000000
1749837600000,54209086.00000000,28460543.00000000
1749841200000,46359186.00000000,21589978.00000000
1749844800000,25038476.00000000,12571584.00000000
1749848400000,26019660.00000000,14465622.00000000
1749852000000,24828479.00000000,15315023.00000000
1749855600000,27373375.00000000,13847866.00000000
1749859200000,52655371.00000000,27640192.00000000
1749862800000,29490571.00000000,13993470.00000000
1749866400000,23936280.00000000,12603650.00000000
1749870000000,16821298.00000000,8646306.00000000
1749873600000,39434038.00000000,22056310.00000000
1749877200000,156346934.00000000,85526757.00000000
1749880800000,57537927.00000000,26227073.00000000
1749884400000,28563956.00000000,15067748.00000000
1749888000000,39277829.00000000,18419790.00000000
1749891600000,22954729.00000000,11369983.00000000
1749895200000,54749732.00000000,28634667.00000000
1749898800000,30271527.00000000,14048016.00000000
1749902400000,25605666.00000000,12339998.00000000
1749906000000,35683693.00000000,17620452.00000000
1749909600000,42426917.00000000,25705684.00000000
1749913200000,53961590.00000000,24768615.00000000
1749916800000,159466988.00000000,83112622.00000000
1749920400000,58685033.00000000,29618923.00000000
1749924000000,58611575.00000000,28304001.00000000
1749927600000,35146521.00000000,18335746.00000000
1749931200000,31325052.00000000,14288056.00000000
1749934800000,38350296.00000000,20881610.00000000
1749938400000,28620982.00000000,11650731.00000000
1749942000000,17779599.00000000,8309633.00000000
1749945600000,31937290.00000000,14508440.00000000
1749949200000,30336536.00000000,13012656.00000000
1749952800000,19833242.00000000,6494900.00000000
