open_time,volume,taker_buy_base_volume
1740056400000,79173676.10000000,40809003.50000000
1740060000000,31365825.40000000,14440931.00000000
1740063600000,21633134.00000000,11061631.30000000
1740067200000,24451294.60000000,12676641.10000000
1740070800000,31589472.30000000,17377484.90000000
1740074400000,39993564.30000000,20735280.10000000
1740078000000,20796748.90000000,10853091.30000000
1740081600000,10098411.70000000,5026969.50000000
1740085200000,59939092.80000000,31618541.90000000
1740088800000,25032008.90000000,12612055.30000000
1740092400000,18825904.70000000,9156111.90000000
1740096000000,24245318.30000000,11346272.80000000
1740099600000,15603573.50000000,8907835.50000000
1740103200000,11225050.10000000,5477689.30000000
1740106800000,7703205.40000000,4109757.40000000
1740110400000,7086440.20000000,3787665.50000000
1740114000000,11500052.80000000,6410330.40000000
1740117600000,20308424.60000000,10650422.10000000
1740121200000,11467904.00000000,5802860.20000000
1740124800000,9470990.30000000,4916728.80000000
1740128400000,21782998.30000000,11348924.50000000
1740132000000,19362257.00000000,10184311.20000000
1740135600000,20800542.70000000,10727067.40000000
1740139200000,14437662.50000000,7683312.10000000
1740142800000,9913473.50000000,5128728.20000000
1740146400000,16115568.10000000,8367266.70000000
1740150000000,37894703.50000000,19075520.50000000
1740153600000,20542447.80000000,10876254.20000000
1740157200000,15099834.40000000,7421132.70000000
1740160800000,9752706.80000000,5011105.60000000
1740164400000,12806372.10000000,6102795.80000000
1740168000000,7380468.50000000,3874723.70000000
1740171600000,7377374.90000000,3380486.10000000
1740175200000,6114790.30000000,2538681.70000000
1740178800000,6989424.10000000,3273527.40000000
1740182400000,16761639.40000000,9222053.90000000
1740186000000,15127854.30000000,7814164.40000000
1740189600000,6008496.50000000,2981344.70000000
1740193200000,6179868.40000000,3025534.60000000
1740196800000,3501727.80000000,1906915.00000000
1740200400000,4161798.40000000,2279985.80000000
1740204000000,4658572.30000000,2099608.80000000
1740207600000,3832640.50000000,1846163.90000000
1740211200000,3973149.10000000,1929099.90000000
1740214800000,4598461.20000000,2045487.40000000
1740218400000,5458668.70000000,2489497.20000000
1740222000000,5257495.10000000,2637265.20000000
1740225600000,7218036.00000000,3838971.90000000
1740229200000,4692270.80000000,2054220.60000000
1740232800000,2449207.20000000,1240793.50000000
1740236400000,3168786.10000000,1587739.60000000
1740240000000,5091288.20000000,2484044.70000000
1740243600000,6017391.70000000,3127579.40000000
1740247200000,3516736.50000000,1934244.60000000
1740250800000,7268316.80000000,3517040.70000000
1740254400000,2293521.50000000,1070086.50000000
1740258000000,1825407.60000000,863942.70000000
1740261600000,6015988.70000000,2157832.90000000
1740265200000,3013415.70000000,1455301.00000000
1740268800000,2925817.10000000,1557416.40000000
1740272400000,3586872.10000000,1692961.80000000
1740276000000,2276334.40000000,960337.10000000
1740279600000,2693282.30000000,1327234.40000000
1740283200000,1915869.70000000,920195.70000000
1740286800000,1663885.10000000,879461.50000000
1740290400000,1946093.70000000,1030497.40000000
1740294000000,2505114.60000000,1260373.40000000
1740297600000,1962822.40000000,941210.60000000
1740301200000,2489370.90000000,1253300.20000000
1740304800000,2430450.50000000,1160701.40000000
1740308400000,1646871.90000000,835086.00000000
1740312000000,2744962.60000000,1272008.40000000
1740315600000,1496552.10000000,668597.80000000
1740319200000,1830474.20000000,925985.10000000
1740322800000,3402818.10000000,1442272.90000000
1740326400000,4036646.40000000,1822642.10000000
1740330000000,2673871.20000000,1211467.20000000
1740333600000,8730263.30000000,4307424.00000000
1740337200000,2637891.40000000,1293842.60000000
1740340800000,1934340.90000000,996314.70000000
1740344400000,3330012.50000000,1448948.50000000
1740348000000,2068434.10000000,1095411.30000000
1740351600000,8117973.00000000,4411761.50000000
1740355200000,4015073.20000000,2115097.50000000
1740358800000,1863857.90000000,831365.40000000
1740362400000,4436352.30000000,2276488.80000000
1740366000000,7577120.00000000,4138634.50000000
1740369600000,8698750.50000000,4339783.90000000
1740373200000,5147872.20000000,2660875.30000000
1740376800000,3409912.90000000,1666559.60000000
1740380400000,2916220.80000000,1501384.30000000
1740384000000,4737786.80000000,2368789.50000000
1740387600000,6951608.80000000,3717994.30000000
1740391200000,7735796.70000000,4077207.90000000
1740394800000,11674147.90000000,6166411.50000000
1740398400000,22162751.70000000,11342470.00000000
1740402000000,10483763.50000000,4993337.60000000
1740405600000,8922911.60000000,4594518.70000000
1740409200000,12917057.40000000,6473015.20000000
1740412800000,8712044.40000000,4509206.90000000
1740416400000,6072306.20000000,3307585.90000000
1740420000000,6210161.80000000,3002000.50000000
1740423600000,6620710.10000000,3211525.90000000
1740427200000,3924530.20000000,1945795.70000000
1740430800000,3614351.90000000,1808833.70000000
