open_time,open,high,low,close,volume,close_time,quote_volume,n_trades
1777546800000,0.05300000,0.37000000,0.05300000,0.17591000,121800831.20000000,1777550399999,24199193.10974800,282138
1777550400000,0.17599000,0.18550000,0.16222000,0.16531000,56926251.90000000,1777553999999,10050284.06158600,149157
1777554000000,0.16530000,0.17640000,0.16326000,0.17171000,46403598.50000000,1777557599999,7863645.64489000,92424
1777557600000,0.17160000,0.17356000,0.16432000,0.16850000,33551415.60000000,1777561199999,5668214.95670400,57231
1777561200000,0.16847000,0.16874000,0.15562000,0.15710000,31699018.50000000,1777564799999,5157583.95807600,52531
1777564800000,0.15705000,0.16003000,0.15227000,0.15915000,35306544.10000000,1777568399999,5521680.24131000,57207
1777568400000,0.15912000,0.16124000,0.15538000,0.15714000,19711095.10000000,1777571999999,3115040.66154000,27439
1777572000000,0.15711000,0.15743000,0.14500000,0.14761000,26033321.00000000,1777575599999,3909157.82377700,42316
1777575600000,0.14760000,0.15644000,0.14618000,0.15577000,20645326.30000000,1777579199999,3127014.64527400,33259
1777579200000,0.15577000,0.16800000,0.15450000,0.16677000,29127573.10000000,1777582799999,4723304.21820600,46146
1777582800000,0.16678000,0.17271000,0.16204000,0.16338000,22675720.20000000,1777586399999,3768729.12638500,37703
1777586400000,0.16339000,0.17044000,0.15901000,0.16963000,16442716.30000000,1777589999999,2707976.31871400,27149
1777590000000,0.16963000,0.17123000,0.16475000,0.16660000,17521562.80000000,1777593599999,2953925.49136000,34262
1777593600000,0.16657000,0.17300000,0.16068000,0.16903000,21865120.40000000,1777597199999,3636355.67537100,36168
1777597200000,0.16905000,0.16913000,0.16161000,0.16691000,11072750.80000000,1777600799999,1829257.34434500,18805
1777600800000,0.16692000,0.17000000,0.16110000,0.16194000,10251720.10000000,1777604399999,1696499.79714000,18839
1777604400000,0.16190000,0.16249000,0.15681000,0.15765000,13328563.70000000,1777607999999,2120343.32811900,21051
1777608000000,0.15767000,0.15813000,0.15143000,0.15547000,14391601.20000000,1777611599999,2225598.13534300,23782
1777611600000,0.15536000,0.15536000,0.15000000,0.15156000,11425496.70000000,1777615199999,1730873.51498900,20106
1777615200000,0.15155000,0.15501000,0.15045000,0.15208000,10448827.00000000,1777618799999,1600489.01837400,20159
1777618800000,0.15208000,0.15269000,0.14853000,0.15029000,9916212.50000000,1777622399999,1492922.21000100,19309
1777622400000,0.15030000,0.15224000,0.14928000,0.14998000,8578111.30000000,1777625999999,1293187.43089700,17614
1777626000000,0.14997000,0.15450000,0.14886000,0.15165000,11958989.60000000,1777629599999,1812199.84360800,22316
1777629600000,0.15166000,0.15995000,0.15064000,0.15596000,15353099.70000000,1777633199999,2382150.74342700,29623
1777633200000,0.15600000,0.15769000,0.14948000,0.15046000,13429469.70000000,1777636799999,2041648.96134300,24170
1777636800000,0.15048000,0.15312000,0.15002000,0.15220000,6523724.20000000,1777640399999,990019.67907600,10291
1777640400000,0.15222000,0.15776000,0.15221000,0.15523000,14769822.00000000,1777643999999,2293628.55938600,23580
1777644000000,0.15524000,0.15725000,0.15074000,0.15100000,7805973.30000000,1777647599999,1204196.62075000,14009
1777647600000,0.15096000,0.15437000,0.15093000,0.15401000,6531423.10000000,1777651199999,996075.75568800,11283
1777651200000,0.15405000,0.15535000,0.15237000,0.15393000,5645517.40000000,1777654799999,868691.36316700,10552
1777654800000,0.15399000,0.16200000,0.15277000,0.16197000,10934279.40000000,1777658399999,1711112.16157300,14185
1777658400000,0.16198000,0.16610000,0.15780000,0.16112000,18014460.20000000,1777661999999,2909457.88800600,32738
1777662000000,0.16116000,0.16376000,0.15965000,0.15978000,5018907.30000000,1777665599999,813414.90901200,12178
1777665600000,0.15976000,0.15984000,0.15410000,0.15617000,10648634.20000000,1777669199999,1669019.06379300,18634
1777669200000,0.15612000,0.16104000,0.15432000,0.15875000,8964755.10000000,1777672799999,1418540.11961000,14041
1777672800000,0.15872000,0.15995000,0.15667000,0.15797000,7671844.80000000,1777676399999,1213927.03026700,11950
