open_time,volume,taker_buy_base_volume
1777546800000,121800831.20000000,61414626.80000000
1777550400000,56926251.90000000,30194116.50000000
1777554000000,46403598.50000000,27030518.20000000
1777557600000,33551415.60000000,18902516.70000000
1777561200000,31699018.50000000,15251527.90000000
1777564800000,35306544.10000000,18046309.40000000
1777568400000,19711095.10000000,9771983.40000000
1777572000000,26033321.00000000,11770183.60000000
1777575600000,20645326.30000000,10894507.30000000
1777579200000,29127573.10000000,15829554.80000000
1777582800000,22675720.20000000,11257766.60000000
1777586400000,16442716.30000000,8710674.70000000
1777590000000,17521562.80000000,8048416.70000000
1777593600000,21865120.40000000,11607678.80000000
1777597200000,11072750.80000000,5219894.90000000
1777600800000,10251720.10000000,4758937.80000000
1777604400000,13328563.70000000,5779480.20000000
1777608000000,14391601.20000000,6550118.60000000
1777611600000,11425496.70000000,5814952.90000000
1777615200000,10448827.00000000,5414912.50000000
1777618800000,9916212.50000000,4724653.00000000
1777622400000,8578111.30000000,4746787.30000000
1777626000000,11958989.60000000,7123947.20000000
1777629600000,15353099.70000000,8134268.30000000
1777633200000,13429469.70000000,4888423.70000000
1777636800000,6523724.20000000,3131222.30000000
1777640400000,14769822.00000000,7584051.90000000
1777644000000,7805973.30000000,3794471.10000000
1777647600000,6531423.10000000,3485052.30000000
1777651200000,5645517.40000000,2516188.20000000
1777654800000,10934279.40000000,5738413.70000000
1777658400000,18014460.20000000,9192699.10000000
1777662000000,5018907.30000000,2281009.70000000
1777665600000,10648634.20000000,5055551.00000000
1777669200000,8964755.10000000,4918088.60000000
1777672800000,7671844.80000000,3930810.80000000
1777676400000,8770238.00000000,4626384.30000000
1777680000000,9327577.30000000,4647345.90000000
1777683600000,4666734.00000000,2396618.00000000
1777687200000,7439226.10000000,3747227.50000000
1777690800000,5796969.30000000,2984989.50000000
1777694400000,4061160.80000000,2095280.10000000
1777698000000,3867450.40000000,1993421.70000000
1777701600000,6129953.60000000,2796363.40000000
1777705200000,4123234.90000000,2445002.30000000
1777708800000,6613831.20000000,3301895.30000000
1777712400000,5814210.30000000,3194820.00000000
1777716000000,4663014.90000000,2637044.50000000
1777719600000,2989167.00000000,1451535.00000000
1777723200000,3992960.80000000,1826901.10000000
1777726800000,14986224.40000000,7687545.80000000
1777730400000,12593702.40000000,6391625.40000000
1777734000000,18236238.00000000,10105319.40000000
1777737600000,13229188.10000000,7849555.60000000
1777741200000,5015843.50000000,2798203.40000000
1777744800000,11084318.70000000,5704177.20000000
1777748400000,5516854.20000000,2493709.30000000
1777752000000,4636887.50000000,2317505.70000000
1777755600000,5163031.80000000,2616209.50000000
1777759200000,9925132.00000000,5153280.60000000
1777762800000,6229011.70000000,2939030.60000000
1777766400000,21017841.50000000,8309643.00000000
1777770000000,11490160.10000000,5642156.70000000
1777773600000,13612504.00000000,6034821.20000000
1777777200000,9961930.10000000,4944600.20000000
1777780800000,5786982.70000000,2894529.30000000
1777784400000,4401977.10000000,1997717.00000000
1777788000000,4859658.80000000,2404801.80000000
1777791600000,4985352.90000000,2634927.60000000
1777795200000,6379779.20000000,3329889.00000000
1777798800000,6622501.00000000,3384697.50000000
1777802400000,7776536.00000000,4030688.10000000
1777806000000,4113053.30000000,2038091.40000000
1777809600000,7387631.20000000,4089246.00000000
1777813200000,6853646.30000000,3438883.00000000
1777816800000,6846859.90000000,4257074.80000000
1777820400000,13930806.30000000,7238349.10000000
1777824000000,6258834.30000000,2998493.30000000
1777827600000,4353037.70000000,2025723.90000000
1777831200000,2684487.10000000,1437308.80000000
1777834800000,3053460.70000000,1556410.80000000
1777838400000,2159760.90000000,934294.70000000
1777842000000,3046762.60000000,1805953.70000000
1777845600000,3061137.90000000,1357995.70000000
1777849200000,2621260.40000000,1559109.80000000
1777852800000,6970560.90000000,3081032.60000000
1777856400000,7191525.10000000,3402342.50000000
1777860000000,7540597.20000000,3849751.60000000
1777863600000,7963191.20000000,4006774.90000000
1777867200000,12216147.70000000,5280780.90000000
1777870800000,14732314.90000000,7930374.50000000
1777874400000,12511405.80000000,5400146.40000000
1777878000000,8128753.40000000,3340097.70000000
1777881600000,5515181.60000000,3130991.90000000
1777885200000,6100716.60000000,2641193.60000000
1777888800000,8461123.30000000,3782645.70000000
1777892400000,5089834.60000000,2592660.20000000
1777896000000,5275647.00000000,2776195.90000000
1777899600000,8152274.10000000,4450829.90000000
1777903200000,8190690.50000000,4042183.90000000
1777906800000,10183858.30000000,4918510.20000000
1777910400000,10332336.70000000,4481718.80000000
1777914000000,5082734.60000000,2233845.90000000
1777917600000,4382371.00000000,1789724.30000000
1777921200000,3559168.30000000,1529451.00000000
1777924800000,3038848.50000000,1106641.00000000
1777928400000,2741395.60000000,1218367.30000000
1777932000000,2188727.80000000,977470.70000000
1777935600000,2416105.00000000,1164610.20000000
1777939200000,8474629.60000000,4568281.50000000
1777942800000,3663556.30000000,1758128.00000000
1777946400000,3005400.80000000,1879256.70000000
1777950000000,2619601.30000000,1557306.50000000
1777953600000,3295541.20000000,1580326.90000000
1777957200000,3487202.80000000,1101907.60000000
1777960800000,3888374.30000000,1185847.40000000
1777964400000,3404486.00000000,1285075.00000000
1777968000000,2985265.50000000,941529.80000000
1777971600000,2839246.80000000,1178222.50000000
1777975200000,1920145.30000000,1188701.00000000
1777978800000,2909871.80000000,1215130.70000000
1777982400000,2222280.80000000,1251197.90000000
1777986000000,3498689.90000000,1488972.60000000
1777989600000,5447277.90000000,2662270.20000000
1777993200000,2784888.80000000,1048258.00000000
1777996800000,3207207.60000000,1236243.10000000
1778000400000,2811006.70000000,1116550.50000000
1778004000000,2543387.30000000,1395616.10000000
1778007600000,1726778.10000000,660806.00000000
1778011200000,2774411.30000000,1186195.00000000
1778014800000,6396242.50000000,3326047.80000000
1778018400000,6373907.40000000,3355450.20000000
1778022000000,5781120.30000000,3802587.80000000
1778025600000,12957035.60000000,5996294.30000000
1778029200000,3722306.40000000,1575207.70000000
