open_time,volume,taker_buy_base_volume
1733842800000,37725622.81000000,18598667.81000000
1733846400000,11246388.67000000,5587677.61000000
1733850000000,8219595.08000000,4463577.55000000
1733853600000,8269074.38000000,4125607.57000000
1733857200000,3072887.31000000,1611550.46000000
1733860800000,5101146.22000000,2560475.29000000
1733864400000,4693666.34000000,2413344.32000000
1733868000000,6989714.44000000,3761872.91000000
1733871600000,4679398.23000000,2315160.35000000
1733875200000,11032745.38000000,6104727.76000000
1733878800000,26610939.68000000,14197443.95000000
1733882400000,15425254.03000000,7744792.57000000
1733886000000,9752061.55000000,4645328.27000000
1733889600000,5497693.66000000,2838303.17000000
1733893200000,4363636.58000000,2172141.33000000
1733896800000,2892343.15000000,1488530.24000000
1733900400000,5053199.90000000,2550655.20000000
1733904000000,3861085.13000000,1978295.44000000
1733907600000,5014376.02000000,2410769.82000000
1733911200000,4768183.69000000,2700470.88000000
1733914800000,2174947.85000000,1122355.95000000
1733918400000,2283264.67000000,1024315.92000000
1733922000000,1622524.24000000,833052.29000000
1733925600000,4316276.03000000,2247022.39000000
1733929200000,4182467.78000000,1821142.07000000
1733932800000,2064380.36000000,1022428.17000000
1733936400000,1510365.50000000,650360.57000000
1733940000000,1446462.91000000,715612.63000000
1733943600000,1281998.22000000,651645.41000000
1733947200000,901612.13000000,452851.69000000
1733950800000,752279.14000000,337246.92000000
1733954400000,576680.95000000,239045.60000000
1733958000000,1487369.49000000,773878.37000000
1733961600000,2021049.55000000,864882.61000000
1733965200000,1054939.41000000,505732.85000000
1733968800000,946820.97000000,454766.79000000
1733972400000,768153.84000000,409662.04000000
1733976000000,1105000.34000000,543369.05000000
1733979600000,2261440.30000000,859984.15000000
1733983200000,904273.49000000,416806.36000000
1733986800000,1279731.68000000,659150.51000000
1733990400000,631119.85000000,333339.08000000
1733994000000,682285.23000000,340488.22000000
1733997600000,1847447.56000000,851249.53000000
1734001200000,2929613.74000000,1374453.12000000
1734004800000,1042580.48000000,528539.65000000
1734008400000,1248003.14000000,578667.73000000
1734012000000,1062690.92000000,513993.40000000
1734015600000,3586368.44000000,1595955.52000000
1734019200000,1882887.55000000,866318.29000000
1734022800000,762671.07000000,372705.80000000
1734026400000,793643.61000000,378403.67000000
1734030000000,3415891.04000000,1577020.34000000
1734033600000,1238580.01000000,630243.83000000
1734037200000,966718.65000000,474790.85000000
1734040800000,1234514.98000000,599774.84000000
1734044400000,1203550.91000000,647566.76000000
1734048000000,1492934.09000000,659469.77000000
1734051600000,1990937.50000000,916371.98000000
1734055200000,1066393.78000000,518298.50000000
1734058800000,1604910.51000000,638458.84000000
1734062400000,900195.97000000,437116.43000000
1734066000000,872057.01000000,460902.90000000
1734069600000,735554.53000000,360530.19000000
1734073200000,878952.90000000,458147.05000000
1734076800000,818055.35000000,463018.35000000
1734080400000,894031.71000000,467078.72000000
1734084000000,987490.66000000,434220.43000000
1734087600000,1080522.95000000,523324.76000000
1734091200000,999298.26000000,468603.56000000
1734094800000,776205.57000000,372208.81000000
1734098400000,928614.38000000,427383.87000000
1734102000000,1184244.85000000,625325.85000000
1734105600000,5164914.52000000,2558244.56000000
1734109200000,1139376.33000000,489039.86000000
1734112800000,453403.14000000,218465.78000000
1734116400000,348465.83000000,190095.10000000
1734120000000,321082.31000000,168210.08000000
1734123600000,462016.87000000,200024.99000000
1734127200000,368899.16000000,165947.97000000
1734130800000,363311.07000000,198849.04000000
1734134400000,978377.03000000,492588.00000000
1734138000000,1083974.62000000,538449.07000000
1734141600000,855422.65000000,416730.57000000
1734145200000,742836.11000000,365599.04000000
1734148800000,1241663.86000000,605474.52000000
1734152400000,645634.81000000,294295.29000000
1734156000000,313538.62000000,142347.72000000
1734159600000,569687.57000000,269721.38000000
1734163200000,559251.75000000,282095.78000000
1734166800000,877678.64000000,429352.46000000
1734170400000,811927.68000000,421045.10000000
1734174000000,698263.70000000,338055.95000000
1734177600000,1078085.97000000,379593.43000000
1734181200000,1045561.36000000,543780.14000000
1734184800000,664936.42000000,354186.48000000
1734188400000,1161791.51000000,458052.81000000
1734192000000,1266238.78000000,675171.05000000
1734195600000,612421.37000000,299464.24000000
1734199200000,517137.16000000,244416.57000000
1734202800000,669901.30000000,309143.01000000
1734206400000,658654.95000000,302617.35000000
1734210000000,858675.85000000,440684.10000000
1734213600000,397383.56000000,210264.72000000
1734217200000,477905.43000000,266814.43000000
1734220800000,524428.64000000,225357.84000000
1734224400000,339628.09000000,189735.16000000
1734228000000,737266.88000000,419711.31000000
1734231600000,804850.80000000,307973.67000000
1734235200000,388909.37000000,187108.89000000
1734238800000,292900.54000000,136005.02000000
1734242400000,377984.61000000,148619.73000000
1734246000000,446010.89000000,202858.20000000
1734249600000,659797.95000000,297043.30000000
1734253200000,381948.01000000,184750.04000000
1734256800000,316804.77000000,123198.29000000
1734260400000,467870.82000000,234049.89000000
1734264000000,439483.15000000,216968.41000000
1734267600000,379602.06000000,157447.17000000
1734271200000,765036.94000000,363831.58000000
1734274800000,536259.75000000,253631.62000000
1734278400000,560339.59000000,275521.08000000
1734282000000,376368.11000000,219220.23000000
1734285600000,275383.97000000,157232.29000000
1734289200000,256375.02000000,119335.43000000
1734292800000,146970.29000000,69914.19000000
1734296400000,872536.66000000,396367.56000000
1734300000000,534965.97000000,257287.77000000
1734303600000,426228.21000000,204534.94000000
1734307200000,606867.23000000,295832.94000000
1734310800000,466809.70000000,177097.10000000
1734314400000,563333.92000000,216601.74000000
1734318000000,447756.13000000,234389.29000000
1734321600000,501066.59000000,230833.05000000
1734325200000,709013.39000000,277434.93000000
1734328800000,402070.82000000,198632.71000000
1734332400000,562424.47000000,253284.28000000
1734336000000,444885.48000000,191258.92000000
1734339600000,499822.28000000,188438.50000000
1734343200000,656606.19000000,291494.30000000
1734346800000,1201625.16000000,548926.20000000
1734350400000,814393.83000000,430374.76000000
1734354000000,619816.94000000,292607.22000000
1734357600000,752549.55000000,429551.06000000
1734361200000,540202.82000000,250024.71000000
1734364800000,426325.87000000,208876.05000000
1734368400000,426383.40000000,212047.39000000
1734372000000,345305.94000000,178104.58000000
1734375600000,274862.35000000,113500.00000000
1734379200000,310237.63000000,133511.00000000
1734382800000,265596.71000000,147232.45000000
1734386400000,222611.65000000,109504.42000000
1734390000000,616675.02000000,344052.73000000
1734393600000,1876725.51000000,946364.13000000
1734397200000,655655.57000000,235172.63000000
1734400800000,782649.15000000,324915.11000000
1734404400000,781155.20000000,392549.36000000
1734408000000,514447.76000000,233717.43000000
1734411600000,625988.48000000,309667.77000000
1734415200000,250672.75000000,121058.61000000
1734418800000,302695.89000000,124566.94000000
1734422400000,513530.95000000,238061.71000000
1734426000000,623201.02000000,256555.42000000
1734429600000,723688.54000000,318680.27000000
1734433200000,400072.58000000,151721.71000000
1734436800000,452535.46000000,196415.04000000
1734440400000,805684.81000000,348976.17000000
1734444000000,1172273.69000000,510416.49000000
1734447600000,1665924.57000000,771752.10000000
1734451200000,1048016.63000000,502050.25000000
1734454800000,1034124.11000000,455955.18000000
1734458400000,429960.59000000,190159.23000000
1734462000000,281212.03000000,135481.47000000
1734465600000,238253.23000000,105836.14000000
1734469200000,307461.70000000,144300.22000000
1734472800000,604679.07000000,259174.72000000
1734476400000,683174.46000000,319111.64000000
1734480000000,908022.14000000,470916.90000000
1734483600000,810717.69000000,379475.43000000
1734487200000,794892.28000000,441779.10000000
1734490800000,463472.22000000,233645.91000000
1734494400000,482960.72000000,216477.90000000
1734498000000,317420.67000000,153843.65000000
1734501600000,303926.18000000,135755.16000000
1734505200000,849601.72000000,457211.81000000
1734508800000,582516.66000000,305995.71000000
1734512400000,637157.97000000,282711.36000000
1734516000000,433151.53000000,234653.61000000
1734519600000,455210.12000000,195947.64000000
1734523200000,484368.06000000,236312.64000000
1734526800000,368825.23000000,195675.48000000
1734530400000,575381.73000000,281632.91000000
1734534000000,482401.02000000,213503.02000000
1734537600000,509956.84000000,250153.91000000
1734541200000,572151.54000000,304432.01000000
1734544800000,310428.39000000,123029.54000000
1734548400000,580065.14000000,236277.33000000
1734552000000,2293635.05000000,1056169.57000000
1734555600000,653024.50000000,312068.85000000
1734559200000,763487.21000000,302126.20000000
1734562800000,533383.49000000,241889.18000000
1734566400000,813623.24000000,415652.62000000
1734570000000,589208.45000000,288803.62000000
1734573600000,1170317.77000000,557921.67000000
