open_time,volume,taker_buy_base_volume
1672531200000,130858.10000000,60079.40000000
1672534800000,95018.50000000,49146.30000000
1672538400000,202706.10000000,46570.30000000
1672542000000,422534.80000000,200774.70000000
1672545600000,73689.10000000,34857.10000000
1672549200000,61486.20000000,34631.00000000
1672552800000,131683.30000000,66461.40000000
1672556400000,139466.40000000,66346.00000000
1672560000000,229267.50000000,152289.50000000
1672563600000,51994.70000000,20414.40000000
1672567200000,59446.40000000,27579.40000000
1672570800000,65026.90000000,21897.00000000
1672574400000,105595.80000000,47512.10000000
1672578000000,100452.60000000,46221.00000000
1672581600000,49559.90000000,21980.80000000
1672585200000,54733.50000000,21710.60000000
1672588800000,82436.20000000,51882.20000000
1672592400000,77272.70000000,38537.80000000
1672596000000,49721.80000000,11827.20000000
1672599600000,185338.70000000,81953.50000000
1672603200000,63931.70000000,24552.10000000
1672606800000,59087.00000000,36813.40000000
1672610400000,110874.80000000,55547.40000000
1672614000000,39186.10000000,11663.30000000
1672617600000,88909.30000000,25648.80000000
1672621200000,230973.10000000,77316.10000000
1672624800000,70786.70000000,35965.50000000
1672628400000,165033.00000000,99588.60000000
1672632000000,44197.80000000,13367.10000000
1672635600000,47629.80000000,26644.10000000
1672639200000,61471.50000000,36245.10000000
1672642800000,266874.80000000,137568.60000000
1672646400000,166519.10000000,64267.60000000
1672650000000,220536.50000000,84374.70000000
1672653600000,202287.00000000,94781.50000000
1672657200000,151311.10000000,71700.30000000
1672660800000,173408.70000000,90413.70000000
1672664400000,106674.90000000,47149.20000000
1672668000000,92062.00000000,34026.20000000
1672671600000,66309.30000000,35661.10000000
1672675200000,195185.20000000,102949.90000000
1672678800000,175905.80000000,44354.00000000
1672682400000,124608.50000000,78579.50000000
1672686000000,74723.80000000,46090.30000000
1672689600000,120874.20000000,60012.40000000
1672693200000,84235.50000000,49687.90000000
1672696800000,66226.20000000,18749.70000000
1672700400000,58590.80000000,23551.30000000
1672704000000,21923.80000000,5254.20000000
1672707600000,86976.70000000,37321.30000000
1672711200000,19885.00000000,6496.30000000
1672714800000,41917.10000000,10654.10000000
1672718400000,55773.60000000,35862.10000000
1672722000000,37036.90000000,18290.20000000
1672725600000,156823.00000000,77106.70000000
1672729200000,38916.40000000,22967.90000000
1672732800000,84330.90000000,40137.50000000
1672736400000,197016.20000000,91731.20000000
1672740000000,356766.50000000,170698.10000000
1672743600000,65301.80000000,29562.40000000
1672747200000,93941.70000000,42794.30000000
1672750800000,201941.10000000,72015.50000000
1672754400000,230219.40000000,87315.20000000
1672758000000,287397.10000000,174215.90000000
1672761600000,308131.70000000,137790.50000000
1672765200000,52287.90000000,13578.90000000
1672768800000,168528.90000000,90751.30000000
1672772400000,517423.00000000,323000.00000000
1672776000000,2928098.50000000,1435151.30000000
1672779600000,643023.40000000,247053.00000000
1672783200000,271007.60000000,139423.90000000
1672786800000,88807.70000000,42735.70000000
1672790400000,222589.70000000,123248.40000000
1672794000000,448619.70000000,245023.10000000
1672797600000,408461.70000000,193791.50000000
1672801200000,323734.90000000,142325.90000000
1672804800000,221005.40000000,80057.30000000
1672808400000,128847.80000000,43863.70000000
1672812000000,152229.80000000,71046.70000000
1672815600000,222496.00000000,94255.10000000
1672819200000,240091.00000000,106171.10000000
1672822800000,190498.20000000,84997.80000000
1672826400000,148936.90000000,89440.70000000
1672830000000,75994.40000000,21321.10000000
1672833600000,83988.20000000,24634.60000000
1672837200000,114339.90000000,85706.30000000
1672840800000,413601.70000000,220873.30000000
1672844400000,280827.80000000,126406.90000000
1672848000000,218462.90000000,62068.50000000
1672851600000,182835.60000000,104805.20000000
1672855200000,238677.80000000,124247.20000000
1672858800000,440481.30000000,167558.70000000
