open_time,volume,taker_buy_base_volume
1743109200000,41883167.80000000,20659249.80000000
1743112800000,48550866.60000000,23232945.70000000
1743116400000,45114626.50000000,21569737.00000000
1743120000000,63364651.80000000,27870322.90000000
1743123600000,37682166.20000000,21034606.00000000
1743127200000,21011236.30000000,10633690.00000000
1743130800000,19420636.60000000,10417340.30000000
1743134400000,15586296.10000000,7744135.80000000
1743138000000,21601556.50000000,10357886.20000000
1743141600000,24555226.10000000,12405245.80000000
1743145200000,11061678.80000000,4965777.40000000
1743148800000,16748802.40000000,7424217.40000000
1743152400000,57541264.60000000,21402610.20000000
1743156000000,24106793.50000000,10186153.40000000
1743159600000,20735430.40000000,12324101.40000000
1743163200000,17873511.20000000,9303578.00000000
1743166800000,22406655.60000000,9888536.00000000
1743170400000,30779875.40000000,13762782.40000000
1743174000000,24242793.40000000,12325294.60000000
1743177600000,20555314.70000000,7403897.70000000
1743181200000,20314140.90000000,5983178.80000000
1743184800000,14261689.00000000,6855334.10000000
1743188400000,10044854.30000000,4896282.80000000
1743192000000,6502744.50000000,3239290.20000000
1743195600000,8935768.30000000,3515168.90000000
1743199200000,9234778.10000000,3786309.60000000
1743202800000,14364527.20000000,5997934.50000000
1743206400000,15123576.70000000,3157325.00000000
1743210000000,18762123.10000000,7308977.50000000
1743213600000,54231874.30000000,24271373.10000000
1743217200000,82221211.60000000,33805952.90000000
1743220800000,50573668.70000000,22752795.00000000
1743224400000,39718310.60000000,15129137.90000000
1743228000000,60386414.00000000,31143852.30000000
1743231600000,21133060.00000000,9175626.70000000
1743235200000,19261746.50000000,9271466.70000000
1743238800000,34302522.20000000,16270911.50000000
1743242400000,68627030.50000000,33915397.60000000
1743246000000,39535855.30000000,17600209.40000000
1743249600000,29562255.20000000,15331143.30000000
1743253200000,28822518.00000000,11398681.40000000
1743256800000,19253498.20000000,9262395.60000000
1743260400000,34349492.50000000,17961371.60000000
1743264000000,32285923.90000000,15169231.40000000
1743267600000,38620720.60000000,15176550.30000000
1743271200000,14182180.20000000,7405096.40000000
1743274800000,10658155.70000000,4350060.50000000
1743278400000,20962939.90000000,11479789.70000000
1743282000000,14732761.90000000,8426311.50000000
1743285600000,27959848.80000000,14080705.50000000
1743289200000,16311211.10000000,6519441.40000000
