open_time,volume,taker_buy_base_volume
1672531200000,14274.00000000,4551.00000000
1672534800000,417.00000000,417.00000000
1672538400000,5260.00000000,3857.00000000
1672542000000,2648.00000000,1940.00000000
1672545600000,77.00000000,77.00000000
1672549200000,7645.00000000,7489.00000000
1672552800000,32493.00000000,21431.00000000
1672556400000,3570.00000000,3020.00000000
1672560000000,3662.00000000,2496.00000000
1672563600000,9027.00000000,4973.00000000
1672567200000,1557.00000000,1054.00000000
1672570800000,387.00000000,77.00000000
1672574400000,1335.00000000,89.00000000
1672578000000,1341.00000000,1054.00000000
1672581600000,2858.00000000,189.00000000
1672585200000,417.00000000,129.00000000
1672588800000,8705.00000000,7759.00000000
1672592400000,6884.00000000,594.00000000
1672596000000,4988.00000000,4659.00000000
1672599600000,18834.00000000,6900.00000000
1672603200000,9742.00000000,6789.00000000
1672606800000,14509.00000000,10665.00000000
1672610400000,12411.00000000,8620.00000000
1672614000000,72877.00000000,53121.00000000
1672617600000,448360.00000000,201344.00000000
1672621200000,109897.00000000,43675.00000000
1672624800000,4082.00000000,705.00000000
1672628400000,6302.00000000,6224.00000000
1672632000000,11752.00000000,1124.00000000
1672635600000,2983.00000000,2241.00000000
1672639200000,5304.00000000,316.00000000
1672642800000,82458.00000000,11758.00000000
1672646400000,49496.00000000,17557.00000000
1672650000000,19805.00000000,10676.00000000
1672653600000,31208.00000000,18887.00000000
1672657200000,12478.00000000,5902.00000000
1672660800000,17723.00000000,8547.00000000
1672664400000,49718.00000000,26941.00000000
1672668000000,10346.00000000,7233.00000000
1672671600000,9456.00000000,2127.00000000
1672675200000,10864.00000000,6854.00000000
1672678800000,28168.00000000,24982.00000000
1672682400000,5256.00000000,1072.00000000
1672686000000,10664.00000000,6382.00000000
1672689600000,11855.00000000,10362.00000000
1672693200000,799.00000000,333.00000000
1672696800000,11809.00000000,1207.00000000
1672700400000,22715.00000000,14138.00000000
1672704000000,24442.00000000,1053.00000000
1672707600000,54255.00000000,16187.00000000
1672711200000,16473.00000000,5129.00000000
1672714800000,12924.00000000,2578.00000000
1672718400000,4451.00000000,3532.00000000
1672722000000,21771.00000000,19784.00000000
1672725600000,821.00000000,351.00000000
1672729200000,9193.00000000,2607.00000000
1672732800000,24707.00000000,9712.00000000
1672736400000,10471.00000000,8663.00000000
1672740000000,3129.00000000,262.00000000
1672743600000,5518.00000000,459.00000000
1672747200000,4716.00000000,3924.00000000
1672750800000,4566.00000000,2329.00000000
1672754400000,26479.00000000,19389.00000000
1672758000000,14804.00000000,12986.00000000
1672761600000,3011.00000000,1035.00000000
1672765200000,4110.00000000,3082.00000000
1672768800000,4457.00000000,3517.00000000
1672772400000,9332.00000000,4533.00000000
1672776000000,4069.00000000,2161.00000000
1672779600000,28456.00000000,26846.00000000
1672783200000,1770.00000000,1231.00000000
1672786800000,396.00000000,69.00000000
1672790400000,18793.00000000,8006.00000000
1672794000000,8539.00000000,1802.00000000
1672797600000,7548.00000000,3790.00000000
1672801200000,33205.00000000,4201.00000000
1672804800000,50519.00000000,38879.00000000
1672808400000,3477.00000000,1354.00000000
1672812000000,1396.00000000,415.00000000
1672815600000,3852.00000000,2804.00000000
1672819200000,16831.00000000,16618.00000000
1672822800000,8636.00000000,7584.00000000
1672826400000,9191.00000000,7460.00000000
1672830000000,5424.00000000,1809.00000000
1672833600000,8381.00000000,2366.00000000
1672837200000,1138.00000000,485.00000000
1672840800000,3557.00000000,1443.00000000
1672844400000,99875.00000000,90607.00000000
1672848000000,30325.00000000,4261.00000000
1672851600000,15680.00000000,6011.00000000
1672855200000,29337.00000000,7530.00000000
1672858800000,48153.00000000,34950.00000000
1672862400000,13168.00000000,5466.00000000
1672866000000,3613.00000000,3229.00000000
1672869600000,5459.00000000,4061.00000000
1672873200000,1033.00000000,987.00000000
1672876800000,63711.00000000,1753.00000000
1672880400000,21904.00000000,4994.00000000
1672884000000,6980.00000000,5693.00000000
1672887600000,914.00000000,675.00000000
1672891200000,5430.00000000,3259.00000000
1672894800000,22565.00000000,13309.00000000
1672898400000,89603.00000000,15794.00000000
1672902000000,5844.00000000,2158.00000000
1672905600000,4961.00000000,3085.00000000
1672909200000,16133.00000000,8693.00000000
1672912800000,18694.00000000,13121.00000000
1672916400000,52193.00000000,48199.00000000
1672920000000,32530.00000000,29483.00000000
1672923600000,28232.00000000,21515.00000000
1672927200000,16944.00000000,9873.00000000
1672930800000,24663.00000000,2606.00000000
1672934400000,303393.00000000,54813.00000000
1672938000000,253633.00000000,109949.00000000
1672941600000,13819.00000000,7923.00000000
1672945200000,5750.00000000,4974.00000000
1672948800000,71986.00000000,65105.00000000
1672952400000,69505.00000000,68157.00000000
1672956000000,2206.00000000,1223.00000000
1672959600000,73238.00000000,49067.00000000
1672963200000,11125.00000000,4977.00000000
1672966800000,21088.00000000,4666.00000000
1672970400000,12963.00000000,9588.00000000
1672974000000,7729.00000000,7308.00000000
1672977600000,7222.00000000,979.00000000
1672981200000,3105.00000000,2927.00000000
1672984800000,90656.00000000,27678.00000000
1672988400000,8949.00000000,7021.00000000
1672992000000,1077.00000000,207.00000000
1672995600000,10587.00000000,6819.00000000
1672999200000,19431.00000000,14223.00000000
1673002800000,4471.00000000,2155.00000000
1673006400000,6990.00000000,2743.00000000
1673010000000,9441.00000000,3674.00000000
1673013600000,2639.00000000,2023.00000000
1673017200000,2128.00000000,1477.00000000
1673020800000,2851.00000000,730.00000000
1673024400000,1803.00000000,1052.00000000
1673028000000,7335.00000000,4413.00000000
1673031600000,13274.00000000,12401.00000000
1673035200000,8125.00000000,4876.00000000
1673038800000,112040.00000000,51094.00000000
1673042400000,2332.00000000,821.00000000
1673046000000,9405.00000000,7818.00000000
1673049600000,13373.00000000,2679.00000000
1673053200000,67058.00000000,22032.00000000
1673056800000,22312.00000000,11415.00000000
1673060400000,2151.00000000,2086.00000000
1673064000000,12748.00000000,4836.00000000
1673067600000,1716.00000000,869.00000000
1673071200000,7209.00000000,5828.00000000
1673074800000,5671.00000000,5187.00000000
1673078400000,2090.00000000,358.00000000
1673082000000,6655.00000000,5353.00000000
1673085600000,23610.00000000,19067.00000000
1673089200000,19445.00000000,10371.00000000
1673092800000,46939.00000000,15511.00000000
1673096400000,19291.00000000,9542.00000000
1673100000000,18266.00000000,9581.00000000
