open_time,volume,taker_buy_base_volume
1699358400000,2912244.76000000,1488462.83000000
1699362000000,752395.90000000,381293.83000000
1699365600000,421905.91000000,200790.37000000
1699369200000,338865.67000000,167088.37000000
1699372800000,2687717.45000000,1362232.93000000
1699376400000,1733805.91000000,857568.69000000
1699380000000,771111.05000000,388574.81000000
1699383600000,760433.57000000,394370.80000000
1699387200000,891182.31000000,436365.13000000
1699390800000,643212.89000000,296006.74000000
1699394400000,437059.34000000,197483.97000000
1699398000000,454777.37000000,237408.58000000
1699401600000,410496.41000000,217621.49000000
1699405200000,545556.99000000,236470.75000000
1699408800000,379412.21000000,185405.66000000
1699412400000,204678.16000000,105304.45000000
1699416000000,346112.86000000,170850.66000000
1699419600000,681535.58000000,345291.03000000
1699423200000,451557.34000000,200655.21000000
1699426800000,257987.80000000,119896.43000000
1699430400000,614975.85000000,293663.12000000
1699434000000,458168.14000000,226185.63000000
1699437600000,247370.71000000,124926.77000000
1699441200000,559607.16000000,252278.32000000
1699444800000,898683.42000000,417386.48000000
1699448400000,594135.52000000,267583.31000000
1699452000000,708332.90000000,348039.61000000
1699455600000,366339.41000000,179964.60000000
1699459200000,404187.11000000,199056.60000000
1699462800000,174266.98000000,77642.27000000
1699466400000,161050.36000000,83415.15000000
1699470000000,101259.32000000,45914.16000000
1699473600000,115212.49000000,61149.55000000
1699477200000,268753.67000000,152902.78000000
1699480800000,141212.97000000,75618.88000000
1699484400000,155683.16000000,67897.81000000
1699488000000,210848.13000000,98059.05000000
1699491600000,279404.00000000,133949.21000000
1699495200000,236007.03000000,132791.92000000
1699498800000,591287.28000000,287228.23000000
1699502400000,278467.23000000,134195.05000000
1699506000000,1355186.34000000,720138.61000000
1699509600000,477939.85000000,239345.12000000
1699513200000,445033.57000000,202681.12000000
1699516800000,342428.57000000,155217.06000000
1699520400000,283214.92000000,139453.30000000
1699524000000,434853.21000000,213888.09000000
1699527600000,258563.97000000,139764.75000000
1699531200000,719778.56000000,363624.69000000
1699534800000,1779292.25000000,883819.71000000
1699538400000,851215.38000000,408646.42000000
1699542000000,1695291.24000000,832483.52000000
1699545600000,1888574.21000000,930320.24000000
1699549200000,765032.58000000,398035.92000000
1699552800000,298244.09000000,131679.24000000
1699556400000,215748.32000000,115166.19000000
1699560000000,321921.25000000,157572.52000000
1699563600000,266951.11000000,134738.15000000
1699567200000,196151.35000000,95584.53000000
1699570800000,597211.17000000,344185.95000000
1699574400000,833054.95000000,439147.28000000
1699578000000,551722.23000000,261241.04000000
1699581600000,260662.23000000,123104.26000000
1699585200000,552485.51000000,266235.41000000
1699588800000,272491.63000000,139979.32000000
1699592400000,342533.49000000,186465.97000000
1699596000000,692548.72000000,325836.74000000
1699599600000,439759.94000000,195607.87000000
1699603200000,303992.60000000,142348.96000000
1699606800000,489042.50000000,273738.61000000
1699610400000,366825.86000000,169226.09000000
1699614000000,679305.70000000,306156.47000000
1699617600000,673293.71000000,343535.09000000
1699621200000,711099.89000000,303546.75000000
1699624800000,667512.58000000,306304.27000000
1699628400000,296975.05000000,157511.67000000
1699632000000,364562.75000000,196405.12000000
1699635600000,327772.22000000,166919.93000000
1699639200000,187412.21000000,80435.34000000
1699642800000,237949.55000000,134322.68000000
1699646400000,219415.99000000,98156.07000000
1699650000000,157298.61000000,79224.47000000
1699653600000,172852.91000000,96483.85000000
1699657200000,245529.93000000,117038.85000000
1699660800000,282359.92000000,126646.67000000
1699664400000,480154.07000000,218428.39000000
1699668000000,245904.23000000,123383.24000000
1699671600000,161650.09000000,68895.31000000
1699675200000,301537.80000000,143038.65000000
1699678800000,227512.23000000,87937.92000000
1699682400000,682023.86000000,275935.95000000
1699686000000,280875.30000000,122091.66000000
1699689600000,349994.22000000,160469.68000000
1699693200000,141359.68000000,66210.03000000
1699696800000,132372.74000000,67304.78000000
1699700400000,154709.91000000,71666.87000000
1699704000000,590718.07000000,311391.52000000
1699707600000,267412.61000000,133688.11000000
1699711200000,428036.15000000,232939.32000000
1699714800000,461481.31000000,248580.88000000
1699718400000,1051739.60000000,528637.46000000
1699722000000,737018.81000000,356944.92000000
1699725600000,451204.96000000,192352.98000000
1699729200000,203762.60000000,109897.33000000
1699732800000,102536.22000000,47958.96000000
1699736400000,151687.24000000,74252.52000000
1699740000000,109489.14000000,49214.67000000
1699743600000,433844.08000000,185804.70000000
1699747200000,425355.23000000,230572.34000000
1699750800000,360368.11000000,173372.08000000
1699754400000,134224.48000000,63573.71000000
1699758000000,286339.27000000,153943.70000000
1699761600000,372247.56000000,205328.59000000
1699765200000,797841.98000000,439139.23000000
1699768800000,987153.33000000,504601.88000000
1699772400000,692361.41000000,321009.64000000
1699776000000,610047.43000000,261815.79000000
1699779600000,540863.30000000,254154.76000000
1699783200000,389182.36000000,189195.40000000
1699786800000,318997.12000000,165846.63000000
1699790400000,304547.04000000,143759.13000000
1699794000000,473242.83000000,233537.20000000
1699797600000,417913.99000000,218375.26000000
1699801200000,335393.39000000,157521.33000000
1699804800000,197924.61000000,89506.24000000
1699808400000,232110.05000000,87894.19000000
1699812000000,117572.13000000,67297.36000000
1699815600000,70893.94000000,34090.51000000
1699819200000,74291.78000000,34920.99000000
1699822800000,86871.48000000,47905.81000000
1699826400000,116666.50000000,64939.54000000
1699830000000,220842.62000000,108395.92000000
1699833600000,421513.45000000,236953.69000000
1699837200000,490311.14000000,220811.59000000
1699840800000,201201.93000000,99657.07000000
1699844400000,433384.21000000,174607.79000000
1699848000000,367151.51000000,185005.51000000
1699851600000,218576.17000000,115952.99000000
1699855200000,184373.04000000,94861.76000000
1699858800000,189754.38000000,96745.92000000
1699862400000,214429.99000000,75412.33000000
1699866000000,195189.18000000,91521.50000000
1699869600000,209702.21000000,104725.75000000
1699873200000,250518.24000000,114784.13000000
1699876800000,301548.15000000,140805.44000000
1699880400000,427857.15000000,199137.27000000
1699884000000,409910.60000000,187353.52000000
1699887600000,169512.99000000,85927.59000000
1699891200000,254042.08000000,125398.83000000
1699894800000,216384.44000000,92956.07000000
1699898400000,90297.18000000,48087.48000000
1699902000000,47352.07000000,25881.05000000
1699905600000,74700.59000000,40319.70000000
1699909200000,237658.47000000,87899.36000000
1699912800000,99539.69000000,44924.47000000
1699916400000,139699.37000000,65612.19000000
1699920000000,666185.60000000,294838.90000000
1699923600000,432051.15000000,237463.14000000
1699927200000,164044.14000000,84344.47000000
1699930800000,128134.91000000,58093.88000000
1699934400000,115410.77000000,56717.53000000
1699938000000,250976.75000000,149791.31000000
1699941600000,215747.99000000,115683.61000000
1699945200000,107825.84000000,49326.07000000
1699948800000,258522.94000000,144378.37000000
1699952400000,290694.94000000,128952.92000000
1699956000000,149416.84000000,64449.08000000
1699959600000,416890.36000000,210945.92000000
1699963200000,187268.06000000,96483.96000000
1699966800000,503180.52000000,249578.07000000
1699970400000,287777.17000000,151214.57000000
1699974000000,325844.55000000,160691.45000000
1699977600000,222539.60000000,125108.59000000
1699981200000,90246.18000000,40097.46000000
1699984800000,165234.02000000,64053.12000000
1699988400000,219762.07000000,105405.23000000
1699992000000,442765.17000000,236453.25000000
1699995600000,128778.27000000,62943.15000000
1699999200000,167394.34000000,84164.60000000
1700002800000,212997.35000000,104931.88000000
1700006400000,314578.07000000,174152.50000000
1700010000000,155964.41000000,72273.32000000
1700013600000,125594.47000000,74425.58000000
1700017200000,147662.96000000,55484.53000000
1700020800000,118279.52000000,55637.54000000
1700024400000,112473.46000000,65027.17000000
1700028000000,89638.54000000,41091.71000000
1700031600000,120439.11000000,49222.53000000
1700035200000,132085.14000000,70378.57000000
1700038800000,219875.17000000,104828.52000000
1700042400000,97070.56000000,43810.87000000
1700046000000,267858.94000000,146085.40000000
1700049600000,590060.66000000,287272.48000000
1700053200000,246427.05000000,128577.43000000
1700056800000,253329.93000000,121615.91000000
1700060400000,163236.52000000,91275.05000000
1700064000000,172098.80000000,89527.35000000
1700067600000,612264.76000000,324454.70000000
1700071200000,466885.27000000,238146.95000000
1700074800000,317523.85000000,160341.92000000
1700078400000,112636.90000000,55051.28000000
1700082000000,90161.36000000,41738.47000000
1700085600000,138129.45000000,75108.82000000
1700089200000,190907.88000000,99103.47000000
1700092800000,332343.11000000,174631.90000000
1700096400000,173562.49000000,69979.98000000
1700100000000,127936.36000000,60726.74000000
1700103600000,216929.91000000,115301.73000000
1700107200000,321044.04000000,159078.57000000
1700110800000,389695.59000000,208927.37000000
1700114400000,513098.29000000,268705.68000000
1700118000000,343377.17000000,145990.04000000
1700121600000,308394.03000000,135783.14000000
1700125200000,233716.25000000,109093.73000000
1700128800000,233363.03000000,106847.69000000
1700132400000,261674.42000000,149360.90000000
1700136000000,204600.35000000,109722.93000000
1700139600000,341211.02000000,155747.63000000
1700143200000,268205.41000000,137989.95000000
1700146800000,331177.75000000,177432.01000000
1700150400000,219389.95000000,114007.82000000
1700154000000,117032.70000000,55215.09000000
1700157600000,135220.95000000,59910.31000000
1700161200000,342556.08000000,130084.51000000
1700164800000,83637.48000000,41395.18000000
1700168400000,98442.26000000,45682.20000000
1700172000000,137513.70000000,76038.78000000
1700175600000,312887.99000000,142345.59000000
1700179200000,159908.42000000,82046.72000000
1700182800000,197769.70000000,92942.07000000
1700186400000,179417.59000000,94823.46000000
1700190000000,94862.16000000,50123.09000000
1700193600000,120644.59000000,49115.10000000
1700197200000,179914.87000000,94768.07000000
1700200800000,219260.53000000,93901.21000000
1700204400000,263048.87000000,124409.93000000
1700208000000,260284.22000000,123491.77000000
1700211600000,140477.24000000,56851.59000000
1700215200000,350556.75000000,142278.27000000
1700218800000,269277.02000000,137485.50000000
