open_time,volume,taker_buy_base_volume
1742907600000,192994350.20000000,100297727.20000000
1742911200000,88664705.30000000,43272092.70000000
1742914800000,46558954.20000000,22176478.50000000
1742918400000,37729587.80000000,19561674.60000000
1742922000000,20677797.60000000,10770086.20000000
1742925600000,17661072.70000000,8810097.90000000
1742929200000,11298299.00000000,5746461.70000000
1742932800000,15914747.50000000,7400473.00000000
1742936400000,13263011.00000000,6733376.90000000
1742940000000,11679946.10000000,4589412.10000000
1742943600000,19651654.60000000,10623346.70000000
1742947200000,16867169.10000000,8925736.30000000
1742950800000,21434006.90000000,11870965.20000000
1742954400000,21542595.40000000,9966288.90000000
1742958000000,15262528.00000000,7582383.90000000
1742961600000,14684365.70000000,7519681.90000000
1742965200000,15147311.20000000,6382675.90000000
1742968800000,7995280.80000000,3806444.50000000
1742972400000,10154393.80000000,4853693.40000000
1742976000000,36549648.00000000,20310378.90000000
1742979600000,18984499.60000000,9666761.50000000
1742983200000,15752330.50000000,7118232.00000000
1742986800000,10643641.50000000,5468521.40000000
1742990400000,18294608.90000000,9574606.50000000
1742994000000,23273353.70000000,10471587.00000000
1742997600000,14880256.10000000,6889844.50000000
1743001200000,11997812.80000000,3821101.00000000
1743004800000,12514823.30000000,5631585.30000000
1743008400000,14271848.80000000,6345335.60000000
1743012000000,9352635.40000000,4574416.40000000
1743015600000,7016891.80000000,3564325.20000000
1743019200000,9195612.70000000,5273935.20000000
1743022800000,9345922.60000000,4543970.60000000
1743026400000,4143402.40000000,1958251.70000000
1743030000000,6358925.10000000,3198889.80000000
1743033600000,11577702.00000000,5912313.50000000
1743037200000,6496935.00000000,3367154.00000000
1743040800000,10010890.80000000,4715919.30000000
1743044400000,6223723.70000000,2818636.50000000
1743048000000,4709762.90000000,2414214.30000000
1743051600000,5850446.10000000,2814220.50000000
1743055200000,4385814.90000000,1782737.90000000
1743058800000,8614743.40000000,4759053.60000000
1743062400000,9837782.20000000,4173093.30000000
1743066000000,9545533.60000000,4706013.00000000
1743069600000,9417085.70000000,4588039.10000000
1743073200000,7482986.60000000,3432502.50000000
1743076800000,7615300.10000000,3141072.00000000
1743080400000,10594001.20000000,5922956.70000000
1743084000000,6981392.10000000,3995897.00000000
1743087600000,8040540.00000000,3273171.80000000
1743091200000,4354540.80000000,2087032.70000000
1743094800000,7478988.10000000,3646229.20000000
1743098400000,6883054.40000000,3261170.80000000
1743102000000,2046216.80000000,1007149.10000000
1743105600000,8825390.90000000,3524791.70000000
1743109200000,4660509.90000000,2334060.70000000
1743112800000,4209411.30000000,2189624.20000000
1743116400000,4147043.70000000,2366504.10000000
1743120000000,8785557.40000000,4986707.30000000
1743123600000,9369540.80000000,5049155.30000000
1743127200000,5143244.20000000,2648583.10000000
1743130800000,6001878.90000000,2949030.40000000
1743134400000,8966160.60000000,4173389.70000000
1743138000000,7920713.50000000,2851470.70000000
1743141600000,4964840.50000000,2564133.00000000
1743145200000,9495577.60000000,3612859.10000000
1743148800000,5969315.60000000,2690348.00000000
1743152400000,3785450.50000000,2010137.90000000
1743156000000,12125548.70000000,5373020.90000000
1743159600000,13529842.80000000,4993682.20000000
1743163200000,7634717.10000000,4704862.10000000
1743166800000,5021855.40000000,2330441.00000000
1743170400000,4225229.00000000,2100924.90000000
1743174000000,3986572.90000000,1937369.00000000
1743177600000,4100561.50000000,2394245.30000000
1743181200000,6515060.40000000,3720160.30000000
1743184800000,2085186.80000000,962781.70000000
1743188400000,1653973.60000000,766352.10000000
1743192000000,2317231.80000000,1161704.00000000
1743195600000,2389534.10000000,1045826.60000000
1743199200000,2127110.00000000,1166501.60000000
1743202800000,1976460.70000000,904354.60000000
1743206400000,4201835.20000000,1749995.00000000
1743210000000,4625830.00000000,1759258.40000000
1743213600000,4119296.90000000,1742845.60000000
1743217200000,6677382.60000000,3231366.50000000
1743220800000,3566116.70000000,1429126.80000000
1743224400000,11542462.90000000,6105055.10000000
1743228000000,4140388.90000000,2060913.30000000
1743231600000,7048228.60000000,3081995.60000000
1743235200000,3797506.50000000,1857827.30000000
1743238800000,9024783.10000000,3818967.90000000
1743242400000,7339490.70000000,4019241.30000000
1743246000000,5949870.30000000,3002869.00000000
1743249600000,6236800.10000000,3455411.30000000
1743253200000,2955575.30000000,1393948.60000000
1743256800000,9651464.10000000,4715651.30000000
1743260400000,3014540.80000000,1292118.90000000
1743264000000,2365140.50000000,1245632.40000000
1743267600000,2641776.30000000,1491495.60000000
1743271200000,2482603.90000000,1165123.30000000
1743274800000,1490404.40000000,694910.60000000
1743278400000,2666062.70000000,1202143.10000000
1743282000000,1449086.50000000,822287.40000000
1743285600000,2281514.40000000,989009.30000000
1743289200000,3149489.20000000,1634541.30000000
1743292800000,2594220.50000000,1471529.30000000
1743296400000,6871374.50000000,3760072.50000000
1743300000000,3840699.10000000,1795438.10000000
1743303600000,2292555.30000000,929522.10000000
1743307200000,2038380.70000000,918581.80000000
1743310800000,3379350.60000000,1394532.60000000
1743314400000,1968212.20000000,925143.30000000
1743318000000,2170168.80000000,1004575.00000000
1743321600000,2783380.90000000,1255808.50000000
1743325200000,5500654.90000000,2219797.40000000
1743328800000,6066536.90000000,3062231.90000000
1743332400000,3705783.40000000,1944449.00000000
1743336000000,9884631.40000000,5393200.90000000
1743339600000,8003903.00000000,4280573.40000000
1743343200000,13460018.80000000,7450834.50000000
1743346800000,6701763.20000000,2980819.20000000
1743350400000,5235643.50000000,2815738.70000000
1743354000000,3478077.00000000,1608859.80000000
1743357600000,1906099.90000000,1151874.80000000
1743361200000,2813037.10000000,1321932.40000000
1743364800000,2522690.40000000,1640470.50000000
1743368400000,2759185.00000000,1486787.60000000
1743372000000,2365721.10000000,1254456.90000000
1743375600000,1209203.20000000,608816.40000000
1743379200000,3777581.60000000,2136890.70000000
1743382800000,3847240.90000000,1614365.00000000
1743386400000,4297104.80000000,1981443.60000000
1743390000000,1512182.40000000,659446.70000000
1743393600000,1400219.40000000,680763.60000000
1743397200000,1776340.50000000,833088.30000000
1743400800000,2929511.20000000,1318624.60000000
1743404400000,2200892.10000000,1081942.50000000
1743408000000,3655161.40000000,1864893.80000000
1743411600000,3731910.20000000,1464800.00000000
1743415200000,9234538.00000000,4921879.40000000
1743418800000,2951796.10000000,1495887.20000000
1743422400000,3056040.60000000,1605424.10000000
1743426000000,5114623.20000000,2223337.30000000
1743429600000,3794541.50000000,2087172.70000000
1743433200000,2604775.70000000,1249232.30000000
1743436800000,3473863.30000000,1313555.20000000
1743440400000,2263640.20000000,1062317.70000000
1743444000000,1161290.30000000,605176.90000000
1743447600000,1030199.50000000,518331.40000000
1743451200000,2049191.20000000,968008.80000000
1743454800000,1423409.90000000,591111.40000000
1743458400000,1208604.90000000,584132.00000000
1743462000000,1195444.10000000,587956.20000000
1743465600000,2745337.60000000,1422972.40000000
1743469200000,1937933.10000000,866102.00000000
1743472800000,2337810.30000000,1337293.50000000
1743476400000,3970109.20000000,1682112.20000000
1743480000000,2110429.90000000,1044322.40000000
1743483600000,4326467.60000000,1876363.60000000
1743487200000,3536876.90000000,1502779.40000000
1743490800000,4970019.70000000,2122111.40000000
1743494400000,6545570.10000000,3191284.00000000
1743498000000,3907910.50000000,1748744.70000000
1743501600000,3632758.60000000,1676050.50000000
1743505200000,3225832.40000000,1596771.30000000
1743508800000,4333265.20000000,1793066.20000000
1743512400000,4031453.80000000,2013768.30000000
1743516000000,2792009.70000000,1594912.50000000
1743519600000,3788979.70000000,1947365.40000000
1743523200000,4680805.70000000,2432256.70000000
1743526800000,1834254.50000000,986885.80000000
1743530400000,1947040.00000000,903761.10000000
1743534000000,2530102.80000000,641467.50000000
1743537600000,2077493.30000000,1281729.80000000
1743541200000,1255927.30000000,844213.30000000
1743544800000,1012483.80000000,576080.10000000
1743548400000,2185097.90000000,1099916.20000000
1743552000000,2377605.80000000,794301.80000000
