open_time,volume,taker_buy_base_volume
1755529200000,233614718.00000000,113464810.00000000
1755532800000,66911892.00000000,37200957.00000000
1755536400000,83832060.00000000,42163654.00000000
1755540000000,41048988.00000000,20600837.00000000
1755543600000,21888048.00000000,10059322.00000000
1755547200000,36497429.00000000,15621310.00000000
1755550800000,14322339.00000000,7173005.00000000
1755554400000,12900024.00000000,6246879.00000000
1755558000000,17812206.00000000,7143241.00000000
1755561600000,17907376.00000000,9434002.00000000
1755565200000,11817961.00000000,5838735.00000000
1755568800000,7090760.00000000,3570573.00000000
1755572400000,19389507.00000000,7418546.00000000
1755576000000,9426285.00000000,4790749.00000000
1755579600000,6126365.00000000,2480293.00000000
1755583200000,16480884.00000000,7577971.00000000
1755586800000,15862667.00000000,7724349.00000000
1755590400000,19142636.00000000,9934759.00000000
1755594000000,166356818.00000000,82308803.00000000
1755597600000,58746709.00000000,29674240.00000000
1755601200000,12857065.00000000,6576879.00000000
1755604800000,9404312.00000000,4681849.00000000
1755608400000,9394570.00000000,4577952.00000000
1755612000000,18224066.00000000,9624967.00000000
1755615600000,18034761.00000000,8932897.00000000
1755619200000,14093794.00000000,6782056.00000000
1755622800000,12577117.00000000,6086628.00000000
1755626400000,16627978.00000000,9837606.00000000
1755630000000,11787083.00000000,5800553.00000000
1755633600000,11114042.00000000,6278025.00000000
1755637200000,14889076.00000000,7593923.00000000
1755640800000,12108199.00000000,6041222.00000000
1755644400000,11731331.00000000,5566180.00000000
1755648000000,19129380.00000000,8787837.00000000
1755651600000,13402541.00000000,6311530.00000000
1755655200000,10183732.00000000,5572746.00000000
1755658800000,6734445.00000000,4105089.00000000
1755662400000,6852505.00000000,4153053.00000000
1755666000000,9250836.00000000,4881972.00000000
1755669600000,8946156.00000000,4091320.00000000
1755673200000,8290107.00000000,4619668.00000000
1755676800000,13705464.00000000,6469878.00000000
1755680400000,18886414.00000000,10863335.00000000
1755684000000,7265416.00000000,3548045.00000000
1755687600000,7867302.00000000,3665420.00000000
1755691200000,9622573.00000000,5422238.00000000
1755694800000,12243076.00000000,5271192.00000000
1755698400000,11725200.00000000,5074759.00000000
1755702000000,15981096.00000000,7658651.00000000
1755705600000,14809173.00000000,7141089.00000000
1755709200000,10228260.00000000,4971069.00000000
1755712800000,9807301.00000000,4451886.00000000
1755716400000,8335292.00000000,4665875.00000000
1755720000000,10589352.00000000,4552019.00000000
1755723600000,6543830.00000000,3128169.00000000
1755727200000,4847251.00000000,2553905.00000000
1755730800000,3919006.00000000,1938470.00000000
1755734400000,5080526.00000000,2572004.00000000
1755738000000,3423812.00000000,1537357.00000000
1755741600000,5647062.00000000,2625003.00000000
1755745200000,11918480.00000000,5961350.00000000
1755748800000,11737817.00000000,5597799.00000000
1755752400000,13667501.00000000,6832035.00000000
1755756000000,11185009.00000000,5362129.00000000
1755759600000,8011701.00000000,4043337.00000000
1755763200000,9227014.00000000,4749474.00000000
1755766800000,15826931.00000000,7184250.00000000
1755770400000,11267857.00000000,5335617.00000000
1755774000000,6536403.00000000,3326775.00000000
1755777600000,11175831.00000000,4740460.00000000
1755781200000,14152425.00000000,6574368.00000000
1755784800000,21596545.00000000,10626006.00000000
1755788400000,25476485.00000000,13633522.00000000
1755792000000,15151136.00000000,7744739.00000000
1755795600000,12428532.00000000,6556604.00000000
1755799200000,8418432.00000000,3914912.00000000
1755802800000,6300592.00000000,2933916.00000000
1755806400000,4184244.00000000,2008980.00000000
1755810000000,2935998.00000000,1329757.00000000
1755813600000,7540903.00000000,3544103.00000000
1755817200000,6673812.00000000,3188222.00000000
1755820800000,5251215.00000000,2542343.00000000
1755824400000,7137400.00000000,3363374.00000000
1755828000000,19909271.00000000,10029281.00000000
1755831600000,10602313.00000000,5290360.00000000
1755835200000,14016691.00000000,7116038.00000000
1755838800000,14003952.00000000,6784483.00000000
1755842400000,16835825.00000000,8896816.00000000
1755846000000,12223424.00000000,5510905.00000000
1755849600000,24658059.00000000,13331737.00000000
1755853200000,31301619.00000000,16255110.00000000
1755856800000,15836840.00000000,7434514.00000000
1755860400000,17868473.00000000,8406279.00000000
1755864000000,16910326.00000000,7767048.00000000
1755867600000,15091941.00000000,7147001.00000000
1755871200000,39556983.00000000,19576813.00000000
1755874800000,18629563.00000000,9297969.00000000
1755878400000,19944580.00000000,10110676.00000000
1755882000000,14841772.00000000,7879938.00000000
1755885600000,14325667.00000000,7427462.00000000
1755889200000,9265760.00000000,4323893.00000000
1755892800000,8500448.00000000,4235863.00000000
1755896400000,8243312.00000000,3865856.00000000
1755900000000,7711525.00000000,2953808.00000000
1755903600000,6976705.00000000,3310537.00000000
1755907200000,7482697.00000000,3763987.00000000
1755910800000,6573440.00000000,2981948.00000000
1755914400000,14235553.00000000,7332371.00000000
1755918000000,10581583.00000000,5341199.00000000
1755921600000,16116216.00000000,8091109.00000000
1755925200000,14942851.00000000,7509421.00000000
1755928800000,13763209.00000000,6960724.00000000
1755932400000,10266692.00000000,4367724.00000000
1755936000000,11537402.00000000,5209994.00000000
