week_start_ts,transfer_count,unique_addresses
1673740800,0,0
1674345600,0,0
1674950400,0,0
1675555200,0,0
1676160000,0,0
1676764800,0,0
1677369600,0,0
1677974400,0,0
1678579200,0,0
1679184000,0,0
1679788800,0,0
1680393600,0,0
1680998400,0,0
1681603200,0,0
1682208000,0,0
1682812800,0,0
1683417600,0,0
1684022400,0,0
1684627200,0,0
1685232000,0,0
1685836800,0,0
1686441600,0,0
1687046400,0,0
1687651200,0,0
1688256000,0,0
1688860800,0,0
1689465600,0,0
1690070400,0,0
1690675200,0,0
1691280000,0,0
1691884800,0,0
1692489600,0,0
1693094400,0,0
1693699200,0,0
1694304000,0,0
1694908800,0,0
1695513600,0,0
1696118400,0,0
1696723200,0,0
1697328000,0,0
1697932800,0,0
1698537600,0,0
1699142400,0,0
1699747200,0,0
1700352000,0,0
1700956800,0,0
1701561600,0,0
1702166400,0,0
1702771200,0,0
1703376000,0,0
1703980800,0,0
1704585600,0,0
1705190400,0,0
1705795200,0,0
1706400000,0,0
1707004800,0,0
1707609600,0,0
1708214400,0,0
1708819200,0,0
1709424000,0,0
1710028800,0,0
1710633600,0,0
1711238400,0,0
1711843200,0,0
1712448000,0,0
1713052800,0,0
1713657600,0,0
1714262400,0,0
1714867200,0,0
1715472000,0,0
1716076800,0,0
1716681600,0,0
1717286400,0,0
1717891200,0,0
1718496000,0,0
1719100800,0,0
1719705600,0,0
1720310400,0,0
1720915200,0,0
1721520000,0,0
1722124800,0,0
1722729600,1,2
1723334400,0,0
1723939200,0,0
1724544000,0,0
1725148800,0,0
1725753600,0,0
1726358400,0,0
1726963200,0,0
1727568000,0,0
1728172800,0,0
1728777600,0,0
1729382400,0,0
1729987200,0,0
1730592000,0,0
1731196800,0,0
1731801600,0,0
1732406400,0,0
1733011200,0,0
1733616000,0,0
1734220800,0,0
1734825600,0,0
1735430400,0,0
1736035200,3,2
1736640000,46,30
1737244800,10000,5018
1737849600,10000,4971
1738454400,10000,2632
1739059200,10000,2619
1739664000,10000,3215
1740268800,8778,2687
1740873600,9355,2386
1741478400,7436,1990
1742083200,10000,2315
1742688000,10000,2223
1743292800,8784,1912
1743897600,10000,1935
1744502400,8379,1716
1745107200,10000,1214
1745712000,10000,1006
1746316800,8595,1771
1746921600,9276,1945
1747526400,10000,1444
1748131200,8784,2071
1748736000,10000,2509
1749340800,10000,2440
1749945600,10000,3082
1750550400,7432,2475
1751155200,10000,2262
1751760000,10000,5149
1752364800,10000,6735
1752969600,10000,3150
1753574400,10000,3180
1754179200,10000,4211
1754784000,10000,3570
1755388800,10000,2091
1755993600,10000,3107
1756598400,7299,2752
1757203200,10000,2386
1757808000,10000,2646
1758412800,7158,2223
1759017600,5874,1828
1759622400,10000,2380
1760227200,8085,2105
1760832000,5504,1513
1761436800,6785,1875
1762041600,6942,1634
1762646400,9017,1595
1763251200,7831,1740
1763856000,10000,2010
1764460800,8020,1708
1765065600,7393,1694
1765670400,7807,1731
1766275200,8128,2766
1766880000,3580,1113
1767484800,4069,1225
1768089600,3774,988
1768694400,6330,1299
1769299200,4976,1244
1769904000,4175,1281
1770508800,3539,909
1771113600,3327,866
1771718400,4412,1122
1772323200,7087,1121
1772928000,8222,1453
1773532800,6125,1140
1774137600,4359,995
1774742400,3474,871
1775347200,3747,949
1775952000,7985,1236
1776556800,5120,1003
1777161600,3702,909
1777766400,5421,1169
1778371200,4378,1040
1778976000,5662,1304
1779580800,6830,1199
1780185600,5257,1062
1780790400,3312,856
1781395200,3834,875
1782000000,3662,1280
1782604800,3376,1195
1783209600,3033,919
1783814400,3228,856
1784419200,3335,822
1785024000,4885,1006
1785628800,5760,1167
1786233600,6419,1113
1786838400,7748,1502
1787443200,4274,1481
