open_time,volume,taker_buy_base_volume
1709200800000,71345533.70000000,33376024.90000000
1709204400000,13784893.90000000,6797580.60000000
1709208000000,7829140.40000000,4121698.00000000
1709211600000,4981386.20000000,2296183.80000000
1709215200000,3709469.10000000,1612033.90000000
1709218800000,6895630.10000000,3622038.00000000
1709222400000,4631650.30000000,2096528.40000000
1709226000000,5646476.20000000,2401272.20000000
1709229600000,2992042.80000000,1443028.10000000
1709233200000,2812886.40000000,1456284.10000000
1709236800000,4115613.40000000,2233669.30000000
1709240400000,2463343.80000000,1133747.30000000
1709244000000,2192852.20000000,1054771.60000000
1709247600000,1740564.50000000,802935.10000000
1709251200000,2445937.60000000,1202862.10000000
1709254800000,2767415.60000000,1070514.10000000
1709258400000,1365991.20000000,640478.60000000
1709262000000,1451992.00000000,738117.60000000
1709265600000,2096812.10000000,1073190.60000000
1709269200000,2087733.30000000,899947.30000000
1709272800000,1791724.90000000,1038161.30000000
1709276400000,3681047.70000000,1988525.10000000
1709280000000,2817490.60000000,1314021.60000000
1709283600000,1617466.90000000,868015.40000000
1709287200000,1941281.20000000,967980.40000000
1709290800000,4761362.20000000,1975807.50000000
1709294400000,4677065.80000000,2082869.20000000
1709298000000,3831340.90000000,1663458.20000000
1709301600000,3600628.40000000,1845911.50000000
1709305200000,1791457.70000000,922907.20000000
1709308800000,1709130.80000000,775889.90000000
1709312400000,1742101.50000000,962770.90000000
1709316000000,1301535.40000000,621764.10000000
1709319600000,1183543.30000000,543976.20000000
1709323200000,1021611.60000000,519823.20000000
1709326800000,1477121.60000000,800689.40000000
1709330400000,911650.00000000,439205.20000000
1709334000000,1839225.90000000,989354.40000000
1709337600000,4014265.10000000,1842335.70000000
1709341200000,3548227.10000000,1485667.30000000
1709344800000,1525995.40000000,705452.50000000
1709348400000,1163228.10000000,536294.90000000
1709352000000,1054129.20000000,462622.40000000
1709355600000,1083274.10000000,496322.20000000
1709359200000,1250392.10000000,555880.40000000
1709362800000,2023437.30000000,861284.90000000
1709366400000,1555586.90000000,842235.90000000
1709370000000,1258266.60000000,660200.60000000
1709373600000,978673.20000000,504736.00000000
1709377200000,1248447.50000000,724007.30000000
1709380800000,1253454.90000000,673057.20000000
1709384400000,3099527.90000000,1767185.50000000
1709388000000,2743728.50000000,1383128.10000000
1709391600000,1355071.50000000,650540.60000000
1709395200000,1166328.20000000,542518.10000000
1709398800000,602496.20000000,329441.30000000
1709402400000,569228.40000000,341638.80000000
1709406000000,622384.90000000,346430.20000000
1709409600000,625712.60000000,269813.30000000
1709413200000,555672.20000000,281136.80000000
1709416800000,399159.30000000,228471.20000000
1709420400000,410131.20000000,213767.10000000
1709424000000,879526.60000000,442677.90000000
1709427600000,1029899.50000000,556161.70000000
1709431200000,1251397.60000000,610200.30000000
1709434800000,1793751.90000000,1017068.60000000
1709438400000,1232929.70000000,630431.00000000
1709442000000,905715.70000000,423537.20000000
1709445600000,1372056.60000000,816488.20000000
1709449200000,4054384.80000000,1682189.30000000
1709452800000,2041336.10000000,1077205.40000000
1709456400000,1145210.10000000,627078.90000000
1709460000000,6373971.50000000,3674695.40000000
1709463600000,3948589.20000000,2057097.70000000
1709467200000,2131739.10000000,1056868.80000000
1709470800000,1174760.80000000,638099.70000000
1709474400000,1721811.20000000,918208.50000000
1709478000000,2297052.00000000,1331977.30000000
1709481600000,1526921.80000000,698195.00000000
1709485200000,1727758.70000000,739699.10000000
1709488800000,617297.80000000,282669.50000000
1709492400000,531036.30000000,258078.50000000
1709496000000,488578.50000000,245215.80000000
1709499600000,442589.40000000,210382.00000000
1709503200000,634637.20000000,275780.90000000
1709506800000,713291.30000000,419281.50000000
1709510400000,883527.50000000,358438.00000000
1709514000000,628737.40000000,344162.60000000
1709517600000,801471.10000000,425319.20000000
1709521200000,642727.90000000,261556.90000000
1709524800000,1232372.80000000,585711.80000000
1709528400000,601355.90000000,242266.00000000
1709532000000,1312751.90000000,521946.00000000
1709535600000,1052932.20000000,571862.00000000
1709539200000,1122227.30000000,547195.50000000
1709542800000,1380385.00000000,700305.10000000
1709546400000,1279941.30000000,539728.20000000
1709550000000,606285.90000000,306478.30000000
1709553600000,880690.00000000,447411.80000000
1709557200000,1004977.70000000,506126.30000000
1709560800000,1099795.60000000,505257.80000000
1709564400000,642888.20000000,342599.40000000
1709568000000,1737576.20000000,807409.40000000
1709571600000,1159675.30000000,575558.10000000
1709575200000,876204.40000000,463770.30000000
1709578800000,492085.30000000,262909.00000000
1709582400000,445930.30000000,241777.60000000
1709586000000,301204.60000000,140544.30000000
1709589600000,518453.40000000,279283.40000000
1709593200000,789665.00000000,392631.20000000
1709596800000,490773.80000000,235573.00000000
1709600400000,868535.60000000,373012.40000000
1709604000000,881443.40000000,426044.70000000
1709607600000,587009.10000000,295709.40000000
1709611200000,1687214.30000000,881180.30000000
1709614800000,2063186.40000000,994306.30000000
1709618400000,1021226.20000000,506568.80000000
1709622000000,908822.90000000,471258.20000000
1709625600000,1823553.00000000,861239.50000000
1709629200000,819526.40000000,398747.80000000
1709632800000,611736.20000000,314834.60000000
1709636400000,695866.60000000,335055.70000000
1709640000000,678167.80000000,290817.70000000
1709643600000,616668.10000000,299576.20000000
1709647200000,1402912.70000000,569417.10000000
1709650800000,1334216.90000000,568914.80000000
1709654400000,2027058.30000000,866791.70000000
1709658000000,1334927.80000000,568633.80000000
1709661600000,453593.30000000,254803.30000000
1709665200000,3104600.00000000,881030.80000000
1709668800000,2129277.80000000,1138860.30000000
1709672400000,908396.90000000,476672.90000000
1709676000000,690122.20000000,399094.20000000
1709679600000,831705.90000000,472626.30000000
1709683200000,690684.50000000,338180.40000000
1709686800000,690076.80000000,386842.20000000
1709690400000,1343842.90000000,535413.80000000
1709694000000,941511.30000000,453375.00000000
1709697600000,589818.60000000,313153.20000000
1709701200000,1041798.40000000,449258.20000000
1709704800000,483654.40000000,211312.00000000
1709708400000,657725.40000000,357425.10000000
1709712000000,784494.20000000,375623.10000000
1709715600000,626019.30000000,267741.80000000
1709719200000,430055.40000000,244789.40000000
1709722800000,771748.00000000,349016.90000000
1709726400000,914205.00000000,465572.40000000
1709730000000,615198.40000000,306226.40000000
1709733600000,641046.80000000,305629.90000000
1709737200000,796308.70000000,406278.70000000
1709740800000,606716.40000000,339163.80000000
1709744400000,557158.60000000,299927.40000000
1709748000000,602685.00000000,298382.70000000
1709751600000,588508.50000000,365133.80000000
1709755200000,662338.90000000,286187.60000000
1709758800000,611293.10000000,287358.10000000
1709762400000,451389.60000000,214006.10000000
1709766000000,663599.70000000,349430.70000000
1709769600000,1240166.60000000,742090.70000000
1709773200000,830098.10000000,471544.40000000
1709776800000,903462.00000000,439384.50000000
1709780400000,695716.00000000,368217.30000000
1709784000000,714866.80000000,385096.90000000
1709787600000,687555.00000000,261592.90000000
1709791200000,739442.10000000,355102.90000000
1709794800000,847901.80000000,460081.10000000
1709798400000,1367012.90000000,677175.60000000
1709802000000,1018929.80000000,587030.90000000
