open_time,volume,taker_buy_base_volume
1679040000000,28478.50000000,10500.09000000
1679043600000,22761.47000000,12781.65000000
1679047200000,15478.68000000,5239.85000000
1679050800000,24636.90000000,9688.91000000
1679054400000,19343.64000000,7999.10000000
1679058000000,16181.55000000,5427.97000000
1679061600000,9329.73000000,5693.51000000
1679065200000,8779.42000000,4622.81000000
1679068800000,13333.92000000,5503.46000000
1679072400000,6875.66000000,4833.70000000
1679076000000,6473.74000000,2025.31000000
1679079600000,9086.55000000,3696.30000000
1679083200000,23423.60000000,11651.40000000
1679086800000,10487.95000000,3897.38000000
1679090400000,16479.19000000,8627.24000000
1679094000000,13532.30000000,5182.59000000
1679097600000,18331.03000000,8194.02000000
1679101200000,23497.05000000,6839.09000000
1679104800000,20810.86000000,7861.06000000
1679108400000,47357.99000000,26167.97000000
1679112000000,24160.58000000,11281.55000000
1679115600000,17980.91000000,10018.69000000
1679119200000,9285.85000000,4282.17000000
1679122800000,13080.53000000,4868.20000000
1679126400000,29275.98000000,15601.34000000
1679130000000,8244.97000000,3800.50000000
1679133600000,7856.09000000,2366.19000000
1679137200000,28482.35000000,9935.11000000
1679140800000,11720.81000000,2872.93000000
1679144400000,10086.44000000,3337.00000000
1679148000000,6060.29000000,2810.16000000
1679151600000,12043.64000000,3328.21000000
1679155200000,19726.45000000,7975.90000000
1679158800000,14875.44000000,6570.82000000
1679162400000,3366.02000000,1676.43000000
1679166000000,10553.27000000,6216.23000000
1679169600000,4720.99000000,2053.38000000
1679173200000,6862.99000000,2640.22000000
1679176800000,4777.80000000,2420.18000000
1679180400000,3039.31000000,1556.65000000
1679184000000,5968.64000000,4703.06000000
1679187600000,7361.19000000,3461.66000000
1679191200000,2478.78000000,1311.75000000
1679194800000,10956.71000000,1036.94000000
1679198400000,2178.33000000,999.85000000
1679202000000,1698.76000000,757.13000000
1679205600000,2210.82000000,566.40000000
1679209200000,2213.42000000,731.15000000
1679212800000,2246.42000000,1124.71000000
1679216400000,2652.73000000,590.47000000
1679220000000,7985.76000000,1230.97000000
1679223600000,3710.58000000,1238.89000000
1679227200000,6018.50000000,2999.72000000
1679230800000,3924.64000000,1307.90000000
1679234400000,2618.87000000,1082.05000000
1679238000000,3057.90000000,1011.28000000
1679241600000,7553.38000000,4259.79000000
1679245200000,7414.42000000,3276.75000000
1679248800000,4458.04000000,1853.64000000
1679252400000,14583.50000000,8159.20000000
1679256000000,5082.27000000,1994.48000000
1679259600000,2267.92000000,475.66000000
1679263200000,2660.37000000,1164.61000000
1679266800000,3998.76000000,1076.90000000
1679270400000,4627.91000000,2863.16000000
1679274000000,4744.25000000,346.86000000
1679277600000,7446.56000000,1433.41000000
1679281200000,2166.90000000,566.39000000
1679284800000,1512.04000000,1076.18000000
1679288400000,1879.55000000,325.01000000
1679292000000,2769.62000000,1545.88000000
1679295600000,10197.59000000,4022.00000000
1679299200000,2488.81000000,1150.31000000
1679302800000,4162.54000000,1142.88000000
1679306400000,2510.79000000,973.95000000
1679310000000,3599.28000000,1164.14000000
1679313600000,3536.25000000,1687.69000000
1679317200000,2632.84000000,1136.23000000
1679320800000,2306.29000000,874.39000000
1679324400000,1470.24000000,379.87000000
1679328000000,4290.54000000,737.52000000
1679331600000,12319.66000000,3552.74000000
1679335200000,12946.90000000,9596.49000000
1679338800000,1923.64000000,421.49000000
1679342400000,2141.95000000,985.17000000
1679346000000,3514.18000000,1577.65000000
1679349600000,1875.37000000,1267.85000000
1679353200000,1192.95000000,129.69000000
1679356800000,526.03000000,116.33000000
1679360400000,5063.08000000,2511.87000000
1679364000000,2120.20000000,584.74000000
1679367600000,5930.33000000,4412.94000000
1679371200000,4243.48000000,1765.21000000
1679374800000,5261.96000000,2675.90000000
1679378400000,3887.52000000,1225.79000000
1679382000000,12607.52000000,3778.57000000
1679385600000,4944.62000000,649.91000000
1679389200000,3372.69000000,1999.57000000
1679392800000,5677.23000000,449.82000000
1679396400000,9731.74000000,7564.68000000
1679400000000,3565.78000000,2675.24000000
1679403600000,6413.55000000,2996.49000000
1679407200000,2314.74000000,1079.26000000
1679410800000,6715.89000000,2704.80000000
1679414400000,3780.17000000,1681.19000000
1679418000000,793.22000000,46.70000000
1679421600000,4648.09000000,2491.80000000
1679425200000,2244.57000000,1498.79000000
1679428800000,764.73000000,346.24000000
1679432400000,1131.08000000,72.01000000
1679436000000,1554.28000000,669.96000000
1679439600000,1316.46000000,1055.89000000
1679443200000,29637.35000000,19937.37000000
1679446800000,21875.44000000,11637.75000000
1679450400000,8659.59000000,3139.79000000
1679454000000,3344.65000000,1660.57000000
1679457600000,4225.19000000,1299.93000000
1679461200000,3811.63000000,1815.11000000
1679464800000,4670.59000000,2179.86000000
1679468400000,2749.20000000,1038.69000000
1679472000000,4452.89000000,1105.51000000
1679475600000,4012.94000000,514.02000000
1679479200000,4856.05000000,1722.48000000
1679482800000,4586.11000000,996.71000000
1679486400000,6482.76000000,1079.73000000
1679490000000,10551.21000000,5623.12000000
1679493600000,8324.91000000,2808.67000000
1679497200000,5463.59000000,2635.67000000
1679500800000,5068.24000000,2257.59000000
1679504400000,9349.45000000,3192.74000000
1679508000000,11500.31000000,5318.75000000
1679511600000,27339.53000000,14203.35000000
1679515200000,2851.89000000,1413.18000000
1679518800000,1170.54000000,502.89000000
1679522400000,2387.20000000,1109.52000000
1679526000000,2894.48000000,1011.84000000
1679529600000,1618.56000000,814.88000000
1679533200000,4922.17000000,2772.68000000
1679536800000,2359.89000000,1310.45000000
1679540400000,6873.77000000,3405.15000000
1679544000000,44343.26000000,29766.84000000
1679547600000,16491.99000000,6115.78000000
1679551200000,5499.89000000,3315.81000000
1679554800000,6126.88000000,1050.21000000
1679558400000,8169.70000000,1752.53000000
1679562000000,4448.98000000,3044.50000000
1679565600000,2447.10000000,786.12000000
1679569200000,8503.35000000,3683.44000000
1679572800000,2119.55000000,579.22000000
1679576400000,4346.21000000,1497.80000000
1679580000000,6674.06000000,2157.53000000
1679583600000,8431.64000000,5272.58000000
1679587200000,3675.33000000,1308.89000000
1679590800000,2279.05000000,1091.95000000
1679594400000,2516.83000000,1529.17000000
1679598000000,11133.37000000,5585.83000000
1679601600000,4519.24000000,1350.42000000
1679605200000,3194.06000000,843.95000000
1679608800000,1261.36000000,921.07000000
1679612400000,4730.39000000,2179.56000000
1679616000000,2568.64000000,1093.48000000
1679619600000,3342.25000000,1935.08000000
1679623200000,6496.40000000,2033.82000000
1679626800000,1335.82000000,1030.76000000
1679630400000,2923.27000000,440.68000000
1679634000000,327.99000000,84.16000000
1679637600000,2787.81000000,446.11000000
1679641200000,7869.60000000,2892.10000000
1679644800000,6688.44000000,3855.31000000
1679648400000,4155.27000000,1539.77000000
1679652000000,1860.62000000,460.19000000
1679655600000,1437.17000000,1024.04000000
1679659200000,0.00000000,0.00000000
1679666400000,4691.70000000,1477.64000000
1679670000000,2526.11000000,1814.79000000
1679673600000,2434.40000000,725.77000000
1679677200000,2599.82000000,510.69000000
1679680800000,1882.22000000,398.94000000
1679684400000,3990.24000000,2396.71000000
1679688000000,1542.54000000,112.81000000
1679691600000,1952.72000000,469.35000000
1679695200000,2167.98000000,187.40000000
1679698800000,1199.08000000,759.92000000
1679702400000,1264.41000000,353.68000000
1679706000000,2162.00000000,938.68000000
1679709600000,1756.28000000,311.94000000
1679713200000,1210.43000000,437.58000000
1679716800000,3034.45000000,1090.47000000
