week_start_ts,transfer_count,unique_addresses
1673740800,40,30
1674345600,43,28
1674950400,18,13
1675555200,194,82
1676160000,37,30
1676764800,138,84
1677369600,52,38
1677974400,42,25
1678579200,615,156
1679184000,184,68
1679788800,40,35
1680393600,66,45
1680998400,301,104
1681603200,160,60
1682208000,85,52
1682812800,63,29
1683417600,26,23
1684022400,112,51
1684627200,49,33
1685232000,62,49
1685836800,57,46
1686441600,401,398
1687046400,139,50
1687651200,54,42
1688256000,23,24
1688860800,19,18
1689465600,27,24
1690070400,172,62
1690675200,31,26
1691280000,95,59
1691884800,43,32
1692489600,28,22
1693094400,71,32
1693699200,539,171
1694304000,60,33
1694908800,59,29
1695513600,37,30
1696118400,54,38
1696723200,40,35
1697328000,25,22
1697932800,82,61
1698537600,26,22
1699142400,51,30
1699747200,37,21
1700352000,71,42
1700956800,20,26
1701561600,49,33
1702166400,66,36
1702771200,111,61
1703376000,79,55
1703980800,23,21
1704585600,104,42
1705190400,127,40
1705795200,468,151
1706400000,237,73
1707004800,97,51
1707609600,745,227
1708214400,351,127
1708819200,284,116
1709424000,385,132
1710028800,293,155
1710633600,196,98
1711238400,259,128
1711843200,73,47
1712448000,158,69
1713052800,284,99
1713657600,158,70
1714262400,631,285
1714867200,170,62
1715472000,101,50
1716076800,106,50
1716681600,397,121
1717286400,159,73
1717891200,106,52
1718496000,211,83
1719100800,100,59
1719705600,155,63
1720310400,146,61
1720915200,80,42
1721520000,67,46
1722124800,77,50
1722729600,288,54
1723334400,73,46
1723939200,159,61
1724544000,122,61
1725148800,85,40
1725753600,94,54
1726358400,113,58
1726963200,41,34
1727568000,57,27
1728172800,45,33
1728777600,51,36
1729382400,1023,160
1729987200,605,120
1730592000,183,57
1731196800,180,74
1731801600,221,91
1732406400,346,144
1733011200,212,109
1733616000,180,95
1734220800,188,98
1734825600,181,82
1735430400,139,64
1736035200,152,78
1736640000,1358,245
1737244800,225,73
1737849600,148,60
1738454400,504,73
1739059200,470,99
1739664000,270,61
1740268800,402,90
1740873600,529,97
1741478400,354,104
1742083200,183,72
1742688000,275,77
1743292800,238,68
1743897600,676,115
1744502400,388,100
1745107200,216,73
1745712000,233,59
1746316800,132,37
1746921600,161,57
1747526400,138,60
1748131200,141,54
1748736000,70,49
1749340800,60,38
1749945600,57,39
1750550400,951,139
1751155200,715,129
1751760000,509,92
1752364800,394,113
1752969600,363,82
1753574400,344,112
1754179200,460,112
1754784000,377,78
1755388800,243,73
1755993600,197,80
1756598400,66,51
1757203200,53,46
1757808000,957,186
1758412800,248,88
1759017600,220,82
1759622400,350,137
1760227200,164,54
1760832000,193,65
1761436800,266,71
1762041600,287,77
1762646400,464,89
1763251200,227,60
1763856000,411,88
1764460800,325,99
1765065600,202,64
1765670400,289,74
1766275200,692,132
1766880000,389,63
1767484800,987,463
1768089600,3279,330
1768694400,3421,347
1769299200,1126,156
1769904000,542,90
1770508800,725,116
1771113600,2010,236
1771718400,739,122
1772323200,472,69
1772928000,447,71
1773532800,444,95
1774137600,519,78
1774742400,242,60
1775347200,311,51
1775952000,2471,214
1776556800,2681,201
1777161600,956,132
1777766400,547,79
1778371200,618,94
1778976000,2326,295
1779580800,563,105
1780185600,680,82
1780790400,569,72
1781395200,645,65
1782000000,370,62
1782604800,318,71
1783209600,591,85
1783814400,496,78
1784419200,7444,359
1785024000,2566,239
1785628800,1176,137
1786233600,10000,740
1786838400,4002,286
1787443200,5129,475
