open_time,volume,taker_buy_base_volume
1782824400000,218.46900000,204.32300000
1782828000000,72.32400000,35.44600000
1782831600000,6.34000000,5.42600000
1782835200000,18.84200000,12.03000000
1782838800000,0.61900000,0.57600000
1782842400000,1.75500000,0.99000000
1782846000000,1.76500000,0.14200000
1782849600000,8.15800000,1.20600000
1782853200000,2.15800000,0.27500000
1782856800000,8.94100000,4.57700000
1782860400000,3.68700000,1.25100000
1782864000000,2.58900000,1.15900000
1782867600000,7.59200000,0.98800000
1782871200000,41.14700000,33.32200000
1782874800000,4.34300000,2.30300000
1782878400000,4.39100000,2.24000000
1782882000000,0.88800000,0.44800000
1782885600000,3.83800000,1.28200000
1782889200000,5.87800000,2.60400000
1782892800000,6.19800000,3.46100000
1782896400000,1.03700000,0.23000000
1782900000000,4.63500000,0.97300000
1782903600000,2.84700000,2.10000000
1782907200000,3.41700000,0.79900000
1782910800000,16.04200000,5.68500000
1782914400000,54.78200000,9.99600000
1782918000000,3.62700000,2.64400000
1782921600000,7.04600000,2.70300000
1782925200000,2.78500000,0.50000000
1782928800000,1.82400000,0.64900000
1782932400000,3.53700000,0.23200000
1782936000000,4.30300000,0.49600000
1782939600000,0.18100000,0.08500000
1782943200000,0.45000000,0.43600000
1782946800000,3.71700000,2.34000000
1782950400000,16.78800000,5.69200000
1782954000000,4.58700000,3.11100000
1782957600000,43.18200000,27.09100000
1782961200000,9.92800000,1.39900000
1782964800000,1.39800000,1.32100000
1782968400000,1.50400000,1.27200000
1782972000000,9.94500000,0.80100000
1782975600000,17.47000000,6.53300000
1782979200000,9.72300000,5.08700000
1782982800000,3.53500000,3.53500000
1782986400000,7.77700000,4.05200000
1782990000000,2.02800000,1.90600000
1782993600000,4.90800000,3.88400000
1782997200000,47.31300000,2.90100000
1783000800000,41.96400000,25.49800000
1783004400000,26.28500000,4.99000000
1783008000000,32.84300000,2.24400000
1783011600000,51.44900000,3.73400000
1783015200000,3.42200000,2.37100000
1783018800000,1.70100000,1.28400000
1783022400000,0.38000000,0.18600000
1783026000000,12.01400000,11.77600000
1783029600000,0.58800000,0.37700000
1783033200000,0.52900000,0.13600000
1783036800000,1.40500000,0.39400000
1783040400000,1.36700000,0.85800000
1783044000000,2.99800000,2.30800000
1783047600000,14.65200000,14.35100000
1783051200000,4.99000000,3.51600000
1783054800000,6.77100000,3.57100000
1783058400000,5.43900000,3.42200000
1783062000000,0.89200000,0.72100000
1783065600000,5.23600000,2.62200000
1783069200000,6.60800000,4.78900000
1783072800000,3.70900000,1.72700000
1783076400000,3.86100000,2.18700000
1783080000000,2.00700000,1.14800000
1783083600000,3.61400000,0.66600000
1783087200000,1.71100000,0.71800000
1783090800000,1.47500000,0.82700000
1783094400000,8.20300000,4.08600000
1783098000000,0.75800000,0.23200000
1783101600000,0.88700000,0.72000000
1783105200000,0.81000000,0.17100000
1783108800000,0.49700000,0.26500000
1783112400000,0.35800000,0.16300000
1783116000000,0.34400000,0.19000000
1783119600000,29.13200000,20.46800000
1783123200000,30.74900000,26.11600000
1783126800000,5.14000000,3.43500000
1783130400000,6.46300000,4.01800000
1783134000000,12.81200000,10.92900000
1783137600000,27.62900000,7.03300000
1783141200000,0.72200000,0.47200000
1783144800000,2.25400000,1.76700000
1783148400000,7.29900000,1.05700000
1783152000000,1.46800000,0.58500000
1783155600000,0.87500000,0.32900000
1783159200000,2.03700000,1.88300000
1783162800000,3.98400000,1.96000000
1783166400000,3.12800000,1.98000000
1783170000000,0.28400000,0.28400000
1783173600000,1.36600000,1.14900000
1783177200000,0.79900000,0.67700000
1783180800000,4.92800000,3.27600000
1783184400000,0.27200000,0.02700000
1783188000000,0.43500000,0.28500000
1783191600000,0.85100000,0.81000000
1783195200000,0.79700000,0.64400000
1783198800000,1.82000000,1.80100000
1783202400000,0.84600000,0.77100000
1783206000000,0.32700000,0.29700000
1783209600000,1.08600000,0.98100000
1783213200000,5.45200000,3.13900000
1783216800000,1.49800000,0.06200000
1783220400000,3.40700000,2.16600000
1783224000000,1.02900000,0.27000000
1783227600000,5.41000000,1.40700000
1783231200000,1.33700000,0.99900000
1783234800000,0.33600000,0.19800000
1783238400000,0.32000000,0.11300000
1783242000000,0.80000000,0.01700000
1783245600000,0.25800000,0.22200000
1783249200000,2.28400000,1.32100000
1783252800000,4.62800000,2.25200000
1783256400000,2.69300000,0.53300000
1783260000000,2.23000000,1.68000000
1783263600000,0.75300000,0.68600000
1783267200000,3.43300000,2.46900000
1783270800000,2.56400000,0.59800000
1783274400000,1.64400000,1.08400000
1783278000000,1.04000000,0.50000000
1783281600000,0.12400000,0.09300000
1783285200000,1.08500000,1.02200000
1783288800000,2.42700000,0.62000000
1783292400000,0.66500000,0.09300000
1783296000000,79.34300000,76.16600000
1783299600000,15.77700000,3.96900000
1783303200000,9.51800000,3.71800000
1783306800000,9.17400000,0.83000000
1783310400000,4.83100000,3.21000000
1783314000000,1.49200000,0.71200000
1783317600000,14.46300000,12.93600000
1783321200000,5.97600000,1.77800000
1783324800000,6.50200000,4.03500000
1783328400000,10.13100000,3.00700000
1783332000000,3.11200000,0.45400000
1783335600000,9.14500000,6.62100000
