open_time,open,high,low,close,volume,close_time,quote_volume,n_trades
1781791200000,0.05000000,0.63810000,0.05000000,0.56420000,43530076.90000000,1781794799999,20693362.74887000,185933
1781794800000,0.56420000,0.60770000,0.48100000,0.49670000,20221959.40000000,1781798399999,11025327.10222000,101047
1781798400000,0.49660000,0.52930000,0.45250000,0.49010000,13740854.10000000,1781801999999,6760218.08755000,64076
1781802000000,0.49040000,0.51750000,0.47120000,0.49710000,6534969.50000000,1781805599999,3262695.66686000,30952
1781805600000,0.49660000,0.55140000,0.49260000,0.50830000,6180484.60000000,1781809199999,3224672.53140000,28345
1781809200000,0.50800000,0.52600000,0.44310000,0.47630000,5872758.10000000,1781812799999,2862792.27422000,30969
1781812800000,0.47670000,0.48100000,0.44780000,0.46040000,4123475.10000000,1781816399999,1918240.08130000,23373
1781816400000,0.45990000,0.49710000,0.42550000,0.45490000,4934321.40000000,1781819999999,2291163.26463000,20934
1781820000000,0.45510000,0.46620000,0.42370000,0.44180000,3658673.10000000,1781823599999,1620812.67690000,21211
1781823600000,0.44170000,0.44380000,0.41200000,0.43590000,3156250.30000000,1781827199999,1356318.29897000,18282
1781827200000,0.43600000,0.46280000,0.43300000,0.44250000,2737168.00000000,1781830799999,1224566.75277000,14794
1781830800000,0.44270000,0.46690000,0.43840000,0.46550000,1732165.90000000,1781834399999,777009.77547000,11757
1781834400000,0.46620000,0.48800000,0.42500000,0.47080000,7245945.30000000,1781837999999,3309077.19927000,35236
1781838000000,0.47090000,0.50200000,0.45890000,0.48200000,4242447.90000000,1781841599999,2024158.96775000,32764
1781841600000,0.48210000,0.49240000,0.45800000,0.47010000,2278694.60000000,1781845199999,1084870.96412000,15167
1781845200000,0.46920000,0.48850000,0.45300000,0.47610000,2742552.70000000,1781848799999,1296724.93748000,14267
1781848800000,0.47620000,0.48690000,0.44410000,0.46130000,2309928.80000000,1781852399999,1070773.44877000,13390
1781852400000,0.46140000,0.46420000,0.43590000,0.44420000,1925224.50000000,1781855999999,867601.76692000,11598
1781856000000,0.44400000,0.44500000,0.42000000,0.43680000,2856210.80000000,1781859599999,1235066.80664000,16249
1781859600000,0.43620000,0.61850000,0.43590000,0.60450000,26930121.00000000,1781863199999,15006253.85048000,156387
1781863200000,0.60450000,0.65640000,0.58940000,0.65320000,19775112.60000000,1781866799999,12332421.08569000,140611
1781866800000,0.65330000,0.85450000,0.65330000,0.80980000,32285842.90000000,1781870399999,24934474.90953000,203199
1781870400000,0.80960000,0.87830000,0.76060000,0.81920000,20838340.80000000,1781873999999,17203118.77781000,164335
1781874000000,0.81920000,0.83000000,0.74640000,0.75340000,25634186.90000000,1781877599999,20372968.52401000,181341
1781877600000,0.75370000,0.77940000,0.67230000,0.75150000,13121499.90000000,1781881199999,9501243.78194000,113912
1781881200000,0.75110000,0.79490000,0.73420000,0.75580000,8723800.70000000,1781884799999,6667313.19598000,97024
1781884800000,0.75550000,0.77000000,0.69150000,0.74290000,9724543.80000000,1781888399999,7140623.10961000,92908
1781888400000,0.74290000,0.78400000,0.73010000,0.75610000,6732306.00000000,1781891999999,5081233.23049000,64081
1781892000000,0.75630000,0.82750000,0.73880000,0.80400000,7677145.60000000,1781895599999,5976080.53599000,59875
1781895600000,0.80410000,0.84210000,0.74870000,0.78840000,10029374.90000000,1781899199999,8029868.00083000,79956
1781899200000,0.78820000,0.83570000,0.77240000,0.80110000,7545254.20000000,1781902799999,6059752.63467000,65339
1781902800000,0.80080000,0.89850000,0.79500000,0.83460000,13719864.90000000,1781906399999,11592519.78671000,89130
1781906400000,0.83430000,0.92000000,0.83050000,0.88580000,8498559.20000000,1781909999999,7443396.29004000,65829
1781910000000,0.88580000,0.92100000,0.86970000,0.88920000,6405619.80000000,1781913599999,5762695.33470000,50078
1781913600000,0.88870000,0.91000000,0.83720000,0.86740000,5446918.30000000,1781917199999,4749353.18800000,48754
1781917200000,0.86730000,0.95040000,0.86550000,0.93620000,6210462.60000000,1781920799999,5732041.81139000,56030
1781920800000,0.93580000,0.94230000,0.84520000,0.87330000,5352665.60000000,1781924399999,4867621.72525000,49693
1781924400000,0.87320000,0.89410000,0.78800000,0.88220000,5339000.20000000,1781927999999,4552454.49726000,54570
1781928000000,0.88170000,0.88870000,0.84380000,0.86100000,2712594.60000000,1781931599999,2347835.50916000,35210
1781931600000,0.86150000,0.88000000,0.83040000,0.85410000,2900647.10000000,1781935199999,2483900.35429000,36210
1781935200000,0.85410000,0.90000000,0.84430000,0.89590000,4532226.20000000,1781938799999,3960586.29259000,45250
1781938800000,0.89600000,0.93400000,0.88330000,0.90990000,5042644.50000000,1781942399999,4584930.38488000,51333
1781942400000,0.90980000,0.91570000,0.87210000,0.89050000,4065378.20000000,1781945999999,3636994.22094000,42799
1781946000000,0.89040000,0.89220000,0.85940000,0.87120000,3455938.80000000,1781949599999,3034309.03159000,42156
1781949600000,0.87120000,1.06230000,0.86720000,0.98680000,11678868.70000000,1781953199999,11447565.74797000,124195
1781953200000,0.98690000,1.05530000,0.98530000,1.01660000,5766594.60000000,1781956799999,5901051.87601000,68913
1781956800000,1.01660000,1.04110000,0.95830000,1.00250000,4696932.30000000,1781960399999,4687164.69322000,58086
1781960400000,1.00250000,1.01590000,0.93170000,0.95330000,3965512.50000000,1781963999999,3831927.20570000,46309
1781964000000,0.95280000,1.03000000,0.93380000,1.00440000,5963165.60000000,1781967599999,5863063.68360000,57454
1781967600000,1.00470000,1.06400000,0.99810000,1.02440000,6938159.20000000,1781971199999,7161692.52651000,68677
1781971200000,1.02440000,1.07770000,1.00560000,1.03400000,6415150.60000000,1781974799999,6644494.12297000,60613
1781974800000,1.03410000,1.05410000,0.98700000,1.02580000,6289051.10000000,1781978399999,6457487.07713000,67110
1781978400000,1.02520000,1.04880000,1.00220000,1.02970000,3795679.00000000,1781981999999,3890806.07662000,39619
1781982000000,1.02980000,1.09430000,1.02590000,1.04870000,5789378.00000000,1781985599999,6144680.11518000,52104
1781985600000,1.04870000,1.06760000,1.03060000,1.04040000,2018075.30000000,1781989199999,2116296.54478000,28304
1781989200000,1.04040000,1.05670000,1.01790000,1.03660000,1702594.20000000,1781992799999,1763320.47209000,21053
1781992800000,1.03660000,1.04130000,0.96390000,1.01970000,4145450.80000000,1781996399999,4148682.85134000,37616
1781996400000,1.01970000,1.02270000,0.97720000,1.00480000,1826995.80000000,1781999999999,1823977.07401000,18583
1782000000000,1.00440000,1.04000000,0.99700000,1.00440000,2419394.00000000,1782003599999,2453540.27090000,27988
1782003600000,1.00450000,1.03650000,0.97150000,1.03000000,2557855.90000000,1782007199999,2573611.09757000,24653
1782007200000,1.02990000,1.06210000,1.02060000,1.03830000,3771365.80000000,1782010799999,3942178.11558000,33059
1782010800000,1.03800000,1.03840000,1.00770000,1.03480000,2833013.10000000,1782014399999,2901229.06116000,38004
1782014400000,1.03480000,1.03740000,1.01550000,1.02820000,3720031.30000000,1782017999999,3817159.79040000,63089
1782018000000,1.02810000,1.03220000,0.89300000,0.92730000,7244377.90000000,1782021599999,7024588.55691000,90135
1782021600000,0.92750000,0.97000000,0.89680000,0.94760000,5513669.70000000,1782025199999,5176883.14269000,85681
