open_time,volume,taker_buy_base_volume
1781791200000,43530076.90000000,22959064.50000000
1781794800000,20221959.40000000,9439599.60000000
1781798400000,13740854.10000000,6901734.80000000
1781802000000,6534969.50000000,3253939.50000000
1781805600000,6180484.60000000,3096611.30000000
1781809200000,5872758.10000000,2797373.30000000
1781812800000,4123475.10000000,1926326.90000000
1781816400000,4934321.40000000,2435690.50000000
1781820000000,3658673.10000000,1783729.10000000
1781823600000,3156250.30000000,1402089.40000000
1781827200000,2737168.00000000,1403278.80000000
1781830800000,1732165.90000000,917285.10000000
1781834400000,7245945.30000000,3906457.40000000
1781838000000,4242447.90000000,2222103.20000000
1781841600000,2278694.60000000,1147361.30000000
1781845200000,2742552.70000000,1291352.30000000
1781848800000,2309928.80000000,1037616.60000000
1781852400000,1925224.50000000,833522.90000000
1781856000000,2856210.80000000,1296873.80000000
1781859600000,26930121.00000000,13974896.00000000
1781863200000,19775112.60000000,9919870.40000000
1781866800000,32285842.90000000,16468982.20000000
1781870400000,20838340.80000000,10558107.90000000
1781874000000,25634186.90000000,12958362.00000000
1781877600000,13121499.90000000,6538381.60000000
1781881200000,8723800.70000000,4391893.60000000
1781884800000,9724543.80000000,5065277.50000000
1781888400000,6732306.00000000,3284550.20000000
1781892000000,7677145.60000000,3986455.00000000
1781895600000,10029374.90000000,4959282.50000000
1781899200000,7545254.20000000,3768804.10000000
1781902800000,13719864.90000000,6720995.30000000
1781906400000,8498559.20000000,4208299.40000000
1781910000000,6405619.80000000,3239475.90000000
1781913600000,5446918.30000000,2628171.30000000
1781917200000,6210462.60000000,3239716.00000000
1781920800000,5352665.60000000,2657417.00000000
1781924400000,5339000.20000000,2716426.20000000
1781928000000,2712594.60000000,1373897.90000000
1781931600000,2900647.10000000,1481396.00000000
1781935200000,4532226.20000000,2365691.10000000
1781938800000,5042644.50000000,2542734.10000000
1781942400000,4065378.20000000,1895304.90000000
1781946000000,3455938.80000000,1628084.90000000
1781949600000,11678868.70000000,6010721.90000000
1781953200000,5766594.60000000,2910968.10000000
1781956800000,4696932.30000000,2182483.50000000
1781960400000,3965512.50000000,1949155.30000000
1781964000000,5963165.60000000,2978597.30000000
1781967600000,6938159.20000000,3444592.80000000
1781971200000,6415150.60000000,3337537.10000000
1781974800000,6289051.10000000,3180197.40000000
1781978400000,3795679.00000000,1851945.60000000
1781982000000,5789378.00000000,2964463.10000000
1781985600000,2018075.30000000,946663.60000000
1781989200000,1702594.20000000,846233.50000000
1781992800000,4145450.80000000,2081223.70000000
1781996400000,1826995.80000000,911186.10000000
1782000000000,2419394.00000000,1259828.80000000
1782003600000,2557855.90000000,1348191.70000000
1782007200000,3771365.80000000,1949874.80000000
1782010800000,2833013.10000000,1330476.40000000
1782014400000,3720031.30000000,1819085.90000000
1782018000000,7244377.90000000,3552661.00000000
1782021600000,5513669.70000000,2820350.20000000
1782025200000,5437905.30000000,2733870.60000000
1782028800000,5971895.00000000,2630816.50000000
1782032400000,7337421.00000000,3383806.50000000
1782036000000,4517328.70000000,2158449.40000000
1782039600000,4098233.50000000,2030056.30000000
1782043200000,2756058.70000000,1407244.00000000
1782046800000,2997943.60000000,1426085.20000000
1782050400000,2832766.20000000,1451211.80000000
1782054000000,3687557.50000000,2059800.60000000
1782057600000,3393989.50000000,1660676.70000000
1782061200000,3449980.90000000,1651386.20000000
1782064800000,4707597.50000000,2329481.70000000
1782068400000,2811062.10000000,1372350.50000000
1782072000000,2666461.10000000,1323223.40000000
1782075600000,3178247.60000000,1684373.30000000
1782079200000,1645710.30000000,840964.50000000
1782082800000,1324263.50000000,629591.50000000
1782086400000,2258651.00000000,1030020.90000000
1782090000000,1515377.40000000,760533.00000000
1782093600000,2323903.60000000,1063009.60000000
1782097200000,2085410.50000000,1009181.20000000
1782100800000,1663838.50000000,740817.10000000
1782104400000,2151543.50000000,1062006.40000000
1782108000000,2234386.20000000,992250.30000000
1782111600000,2878095.70000000,1427180.00000000
1782115200000,1534349.50000000,691052.70000000
1782118800000,1330917.70000000,720902.40000000
1782122400000,2137784.40000000,992960.00000000
1782126000000,1089736.30000000,566962.30000000
1782129600000,1220573.70000000,597450.90000000
1782133200000,2546178.50000000,1203275.90000000
1782136800000,1379904.00000000,738624.30000000
1782140400000,1747005.00000000,807829.30000000
1782144000000,2872789.20000000,1363709.20000000
1782147600000,6542794.20000000,3441994.00000000
1782151200000,10800971.40000000,5861890.00000000
1782154800000,3021748.40000000,1506652.10000000
1782158400000,1614703.10000000,797850.40000000
1782162000000,1139368.80000000,473061.60000000
1782165600000,1415029.10000000,815217.70000000
1782169200000,1175347.90000000,588918.50000000
1782172800000,1926215.40000000,898682.20000000
1782176400000,2050465.60000000,1017512.10000000
1782180000000,3125461.50000000,1534999.00000000
1782183600000,3095719.50000000,1566125.10000000
1782187200000,1523061.60000000,724493.40000000
1782190800000,1559388.10000000,691418.80000000
1782194400000,1597326.80000000,820323.40000000
1782198000000,3009001.80000000,1414031.00000000
1782201600000,2116409.40000000,940740.20000000
1782205200000,1079952.00000000,534038.90000000
1782208800000,2256254.20000000,1079847.80000000
1782212400000,1764389.00000000,866540.40000000
1782216000000,1249154.10000000,592199.80000000
1782219600000,1509948.90000000,657115.00000000
1782223200000,1985841.90000000,1095739.80000000
1782226800000,1761972.60000000,783178.90000000
1782230400000,2023588.80000000,981849.40000000
1782234000000,2351315.80000000,1245786.20000000
1782237600000,2196179.40000000,1092719.60000000
1782241200000,716758.50000000,330196.20000000
1782244800000,862980.00000000,334057.10000000
1782248400000,738799.90000000,417715.80000000
1782252000000,746244.60000000,351943.70000000
1782255600000,973338.80000000,517655.70000000
1782259200000,1686825.10000000,686125.90000000
1782262800000,2649848.70000000,1256152.40000000
1782266400000,904341.00000000,396089.50000000
1782270000000,831527.30000000,395121.60000000
