open_time,volume,taker_buy_base_volume
1672531200000,1950.10000000,536.10000000
1672534800000,1359.90000000,837.70000000
1672538400000,7348.60000000,1120.70000000
1672542000000,2886.40000000,953.30000000
1672545600000,7083.80000000,4461.10000000
1672549200000,4128.60000000,2723.00000000
1672552800000,6067.70000000,5811.20000000
1672556400000,4745.30000000,2166.10000000
1672560000000,916.50000000,192.90000000
1672563600000,4893.00000000,387.00000000
1672567200000,7435.30000000,5011.10000000
1672570800000,9596.50000000,7511.70000000
1672574400000,10116.40000000,9589.30000000
1672578000000,4941.50000000,3367.20000000
1672581600000,6452.30000000,2941.10000000
1672585200000,4995.10000000,3560.20000000
1672588800000,1833.90000000,321.40000000
1672592400000,3382.00000000,2054.00000000
1672596000000,8094.00000000,4001.30000000
1672599600000,8486.30000000,3730.40000000
1672603200000,17643.80000000,3760.70000000
1672606800000,20825.60000000,4848.50000000
1672610400000,5688.40000000,4907.60000000
1672614000000,149845.30000000,88711.90000000
1672617600000,29615.10000000,6145.60000000
1672621200000,7287.70000000,1572.60000000
1672624800000,3343.10000000,1727.40000000
1672628400000,5385.90000000,3018.00000000
1672632000000,18964.90000000,9066.60000000
1672635600000,8099.50000000,4569.30000000
1672639200000,4827.90000000,3372.30000000
1672642800000,71260.50000000,46115.50000000
1672646400000,11284.60000000,5645.70000000
1672650000000,5616.20000000,2168.30000000
1672653600000,9238.80000000,2248.20000000
1672657200000,7802.40000000,2317.10000000
1672660800000,12445.50000000,9915.80000000
1672664400000,6111.10000000,1231.40000000
1672668000000,46399.40000000,33287.70000000
1672671600000,7066.30000000,3509.30000000
1672675200000,2451.40000000,648.70000000
1672678800000,18840.40000000,6907.20000000
1672682400000,17515.90000000,4505.40000000
1672686000000,6332.10000000,5132.10000000
1672689600000,14149.10000000,3755.30000000
1672693200000,2868.40000000,1621.40000000
1672696800000,10027.20000000,5997.60000000
1672700400000,15933.00000000,9434.90000000
1672704000000,9014.30000000,3981.00000000
1672707600000,6837.00000000,3221.80000000
1672711200000,238.90000000,156.00000000
1672714800000,20939.90000000,10297.60000000
1672718400000,2426.20000000,2235.90000000
1672722000000,4095.60000000,3049.40000000
1672725600000,6832.00000000,3065.70000000
1672729200000,24091.00000000,14997.60000000
1672732800000,3751.60000000,1826.70000000
1672736400000,23378.60000000,14592.50000000
1672740000000,13032.90000000,7051.00000000
1672743600000,19707.00000000,18553.80000000
1672747200000,6592.60000000,1288.10000000
1672750800000,9457.60000000,4278.20000000
1672754400000,70119.50000000,49130.50000000
1672758000000,25884.60000000,9362.90000000
1672761600000,8747.80000000,5748.90000000
1672765200000,2403.40000000,1042.10000000
1672768800000,8251.00000000,4989.00000000
1672772400000,13602.00000000,5708.40000000
1672776000000,8101.50000000,6034.40000000
1672779600000,7729.90000000,5252.90000000
1672783200000,6105.70000000,1736.30000000
1672786800000,4154.60000000,662.80000000
1672790400000,3024.00000000,1172.90000000
1672794000000,16841.70000000,10609.80000000
1672797600000,12819.50000000,12113.60000000
