open_time,volume,taker_buy_base_volume
1769086800000,904797537.00000000,468542151.00000000
1769090400000,421841944.00000000,214153315.00000000
1769094000000,447118723.00000000,228582103.00000000
1769097600000,368897068.00000000,180042174.00000000
1769101200000,739577782.00000000,336958200.00000000
1769104800000,398637781.00000000,196343252.00000000
1769108400000,199101880.00000000,104700194.00000000
1769112000000,163424061.00000000,77721023.00000000
1769115600000,130052054.00000000,60707339.00000000
1769119200000,172307728.00000000,85469993.00000000
1769122800000,135632317.00000000,65180213.00000000
1769126400000,160577556.00000000,74579795.00000000
1769130000000,128873562.00000000,61568394.00000000
1769133600000,74453916.00000000,33210997.00000000
1769137200000,109850554.00000000,53320725.00000000
1769140800000,124152437.00000000,54403997.00000000
1769144400000,99092117.00000000,47052814.00000000
1769148000000,116029302.00000000,58904802.00000000
1769151600000,96744649.00000000,41467676.00000000
1769155200000,92393337.00000000,46198253.00000000
1769158800000,82656037.00000000,38559906.00000000
1769162400000,1920625726.00000000,945229800.00000000
1769166000000,388908780.00000000,185758334.00000000
1769169600000,157503807.00000000,71307328.00000000
1769173200000,123976001.00000000,63327758.00000000
1769176800000,119016292.00000000,56788397.00000000
1769180400000,98566451.00000000,50461295.00000000
1769184000000,131249399.00000000,62227384.00000000
1769187600000,81119712.00000000,39084747.00000000
1769191200000,44218941.00000000,21804118.00000000
1769194800000,28445520.00000000,14741294.00000000
1769198400000,39016394.00000000,18631624.00000000
1769202000000,32076940.00000000,14418703.00000000
1769205600000,38508710.00000000,17499554.00000000
1769209200000,51182096.00000000,27067847.00000000
1769212800000,46616301.00000000,22521552.00000000
1769216400000,58733199.00000000,24819817.00000000
1769220000000,42578215.00000000,21088697.00000000
1769223600000,45443484.00000000,23186944.00000000
1769227200000,70543829.00000000,34792856.00000000
1769230800000,79261591.00000000,35883202.00000000
1769234400000,44891781.00000000,19567024.00000000
1769238000000,50206015.00000000,22328987.00000000
1769241600000,173050775.00000000,82602471.00000000
1769245200000,106586785.00000000,51107733.00000000
1769248800000,81082601.00000000,34425776.00000000
1769252400000,66603501.00000000,28530028.00000000
1769256000000,48344856.00000000,26456490.00000000
1769259600000,83995542.00000000,39770011.00000000
1769263200000,75505647.00000000,38306195.00000000
1769266800000,47389813.00000000,19953743.00000000
1769270400000,59534637.00000000,28184511.00000000
1769274000000,28139697.00000000,13791233.00000000
1769277600000,40300672.00000000,21883768.00000000
1769281200000,41869323.00000000,22228926.00000000
1769284800000,44760715.00000000,18812346.00000000
1769288400000,19921046.00000000,6597795.00000000
1769292000000,13724758.00000000,7060387.00000000
1769295600000,33547712.00000000,16924800.00000000
