open_time,volume,taker_buy_base_volume
1783947600000,3201.85300000,1696.48800000
1783951200000,5446.35900000,2491.63400000
1783954800000,2489.81600000,1301.63500000
1783958400000,1147.42000000,511.17500000
1783962000000,602.91900000,334.97800000
1783965600000,313.21700000,52.11000000
1783969200000,528.74300000,382.07400000
1783972800000,757.46300000,538.11900000
1783976400000,213.69600000,171.05300000
1783980000000,27.81000000,13.10900000
1783983600000,1456.75000000,662.85300000
1783987200000,1441.50700000,619.29700000
1783990800000,2116.64200000,1331.02900000
1783994400000,3898.16200000,1667.51200000
1783998000000,4195.18200000,2063.49500000
1784001600000,2892.35800000,1231.67400000
1784005200000,6315.16400000,3198.18800000
1784008800000,948.31800000,310.81900000
1784012400000,1390.69300000,605.68200000
1784016000000,736.32000000,581.05200000
1784019600000,563.81400000,280.84200000
1784023200000,419.09100000,338.64800000
1784026800000,1048.58700000,729.31100000
1784030400000,3889.52300000,2512.39800000
1784034000000,3383.83700000,1393.10200000
1784037600000,2570.95700000,668.60100000
1784041200000,8837.76100000,4373.88600000
1784044800000,5894.52700000,2774.12300000
1784048400000,999.39900000,264.10400000
1784052000000,1484.68500000,853.56100000
1784055600000,935.98400000,531.45700000
1784059200000,1109.43200000,409.14600000
1784062800000,2980.55500000,1837.79700000
1784066400000,1328.47300000,964.86200000
1784070000000,881.02900000,87.86400000
1784073600000,4120.34000000,2182.98800000
1784077200000,2479.73800000,778.30700000
1784080800000,451.31200000,210.80000000
1784084400000,551.86300000,379.66700000
1784088000000,1060.26000000,574.95200000
1784091600000,799.82500000,504.62400000
1784095200000,411.07300000,112.37300000
1784098800000,1630.86600000,1071.10600000
1784102400000,798.24500000,532.23200000
1784106000000,331.21300000,216.13300000
1784109600000,1424.66600000,617.32500000
1784113200000,466.08700000,39.20000000
1784116800000,420.88200000,126.73300000
1784120400000,4052.06400000,2078.97200000
1784124000000,4167.93200000,2636.83600000
1784127600000,1272.21900000,319.25100000
1784131200000,1701.52500000,757.43400000
1784134800000,385.30800000,285.55900000
1784138400000,1034.77600000,582.55400000
1784142000000,305.51900000,122.11200000
1784145600000,471.78500000,428.75800000
1784149200000,68.47600000,1.34800000
1784152800000,888.38400000,680.95800000
1784156400000,1142.65700000,36.35500000
1784160000000,2117.32700000,1429.93000000
1784163600000,2047.65400000,1194.40100000
1784167200000,2138.80300000,984.70500000
1784170800000,617.03700000,177.51600000
1784174400000,908.38000000,731.06000000
1784178000000,3341.43600000,1911.47200000
1784181600000,774.76900000,298.05700000
1784185200000,408.08700000,124.92300000
1784188800000,1470.04800000,618.18300000
1784192400000,641.64300000,273.49600000
1784196000000,12943.42700000,6118.05700000
1784199600000,5915.72600000,3039.85100000
1784203200000,5240.11900000,1728.65500000
1784206800000,6743.79700000,3139.74700000
1784210400000,4262.81700000,2368.64700000
1784214000000,3459.96400000,2104.77700000
1784217600000,3728.17400000,1849.03900000
1784221200000,2922.72700000,2060.93500000
1784224800000,837.52600000,332.77900000
1784228400000,3338.92700000,2319.80900000
1784232000000,1567.20400000,1176.37300000
1784235600000,429.15200000,232.04600000
1784239200000,2278.37400000,1648.11600000
1784242800000,1437.19400000,858.43000000
1784246400000,1872.26100000,1042.74000000
1784250000000,1166.30800000,575.41600000
1784253600000,981.21500000,492.64000000
1784257200000,1677.86400000,582.76700000
1784260800000,708.38300000,383.28400000
1784264400000,3368.77500000,1530.04500000
1784268000000,4472.15600000,2821.16100000
1784271600000,2632.65300000,1009.75100000
1784275200000,4324.78100000,1747.19200000
1784278800000,5695.38600000,3256.82000000
1784282400000,12563.30700000,5014.30500000
1784286000000,3761.10300000,1998.42800000
1784289600000,2950.78400000,1379.42200000
1784293200000,15252.39000000,8759.47700000
1784296800000,9623.21500000,4028.79500000
1784300400000,10748.38300000,6186.47600000
1784304000000,5738.27700000,2666.45600000
1784307600000,3618.41000000,1023.31000000
1784311200000,2018.06100000,647.29100000
1784314800000,3954.32300000,1951.44500000
1784318400000,1010.44900000,884.27300000
1784322000000,81.25600000,56.00200000
1784325600000,1045.80000000,534.58600000
1784329200000,275.03800000,165.32500000
1784332800000,418.74400000,283.05500000
1784336400000,504.99700000,343.40800000
1784340000000,484.40700000,135.72400000
1784343600000,140.74800000,69.12200000
