open_time,open,high,low,close,volume,close_time,quote_volume,n_trades
1673740800000,24.24,25.08,23.089,23.377,365425.467931,1673744399999,8773718.718962,0
1673744400000,23.383,23.462,22.5,23.19,215669.395913,1673747999999,4961901.271071,0
1673748000000,23.188,23.222,22.622,22.768,110546.447901,1673751599999,2539558.49114,0
1673751600000,22.769,23.172,22.581,23.06,88700.360457,1673755199999,2029820.380637,0
1673755200000,23.064,23.087,22.793,22.917,55676.56664,1673758799999,1277137.90549,0
1673758800000,22.914,23.175,22.732,22.993,55527.890403,1673762399999,1277122.82843,0
1673762400000,22.993,23.028,22.537,22.549,53062.347583,1673765999999,1211790.932735,0
1673766000000,22.541,22.664,22.13,22.625,107621.553643,1673769599999,2404538.475314,0
1673769600000,22.628,22.761,22.09,22.154,115235.273281,1673773199999,2583147.850415,0
1673773200000,22.158,22.679,21.965,22.66,119542.065302,1673776799999,2676709.858941,0
1673776800000,22.677,22.732,22.43,22.69,56295.482795,1673780399999,1271209.555265,0
1673780400000,22.693,23.1,22.493,22.89,72733.867732,1673783999999,1658297.779961,0
1673784000000,22.893,23.433,22.72,22.942,126453.715384,1673787599999,2911226.490441,0
1673787600000,22.942,23.79,22.868,23.217,146566.092812,1673791199999,3418212.069968,0
1673791200000,23.222,23.433,23.117,23.309,86591.165217,1673794799999,2017701.718575,0
1673794800000,23.293,23.848,23.198,23.702,119686.278412,1673798399999,2808962.611251,0
1673798400000,23.685,23.785,23.031,23.203,132081.137307,1673801999999,3091895.709935,0
1673802000000,23.199,23.785,23.147,23.296,102643.82577,1673805599999,2404869.40115,0
1673805600000,23.293,23.341,22.96,23.212,99939.478442,1673809199999,2313337.320055,0
1673809200000,23.219,23.416,23.024,23.362,43874.053934,1673812799999,1021257.730285,0
1673812800000,23.36,23.409,23.166,23.37,42270.611534,1673816399999,985834.024089,0
1673816400000,23.374,23.38,23.097,23.322,48467.891978,1673819999999,1126429.114445,0
1673820000000,23.321,23.349,22.601,23.158,134207.902966,1673823599999,3085142.547727,0
1673823600000,23.156,23.205,22.738,22.904,80279.251224,1673827199999,1837944.779548,0
1673827200000,22.904,23.136,22.459,22.976,139982.378872,1673830799999,3196469.278317,0
1673830800000,22.967,23.603,22.929,23.286,162078.651459,1673834399999,3771788.052053,0
1673834400000,23.292,24.2,23.187,23.518,99532.41914,1673837999999,2357106.413989,0
1673838000000,23.523,23.537,23.188,23.218,52937.611269,1673841599999,1235555.553429,0
1673841600000,23.223,23.368,23.027,23.286,33515.542827,1673845199999,778165.582595,0
1673845200000,23.286,23.562,23.21,23.52,35463.515152,1673848799999,829080.587055,0
1673848800000,23.522,24.736,23.368,24.625,125145.455749,1673852399999,3017184.238183,0
1673852400000,24.626,25.016,24.091,24.258,179854.132601,1673855999999,4409761.457422,0
1673856000000,24.263,24.265,22.87,23.089,220575.308563,1673859599999,5194441.976006,0
1673859600000,23.083,23.46,22.983,23.389,61364.439133,1673863199999,1428780.058339,0
1673863200000,23.39,23.667,23.276,23.427,56501.445632,1673866799999,1327122.603443,0
1673866800000,23.431,23.537,23.165,23.375,36867.964723,1673870399999,861162.887524,0
1673870400000,23.383,23.557,23.217,23.247,43853.57091,1673873999999,1025819.485835,0
1673874000000,23.255,23.526,22.959,23.24,54175.195306,1673877599999,1260498.943497,0
1673877600000,23.235,23.375,22.656,23.086,87208.468625,1673881199999,2008837.350913,0
1673881200000,23.088,23.326,22.26,23.077,222358.563344,1673884799999,5056315.591089,0
1673884800000,23.076,23.368,22.857,23.143,64663.779807,1673888399999,1493508.009004,0
1673888400000,23.142,23.346,22.958,23.294,81320.595091,1673891999999,1883244.293583,0
1673892000000,23.299,23.759,23.093,23.619,58979.422776,1673895599999,1382315.713041,0
1673895600000,23.615,23.815,23.422,23.559,75771.547604,1673899199999,1787483.541756,0
1673899200000,23.563,23.86,23.481,23.579,52289.551878,1673902799999,1236874.133995,0
1673902800000,23.585,23.693,23.313,23.644,44189.433415,1673906399999,1039403.163353,0
1673906400000,23.648,24.26,23.635,23.657,66634.391405,1673909999999,1591013.099605,0
1673910000000,23.66,23.777,23.435,23.575,40967.175216,1673913599999,967488.020874,0
1673913600000,23.576,23.821,23.003,23.119,169386.063324,1673917199999,3963540.908025,0
1673917200000,23.13,23.233,22.775,23.179,52741.086642,1673920799999,1216209.965032,0
1673920800000,23.176,23.265,22.95,23.2,29683.535713,1673924399999,685671.584629,0
1673924400000,23.202,23.235,23.023,23.193,23394.79078,1673927999999,541638.144444,0
1673928000000,23.17,23.481,23.135,23.43,42868.55948,1673931599999,1000160.469755,0
1673931600000,23.433,23.799,23.433,23.545,117196.159372,1673935199999,2763213.768257,0
1673935200000,23.548,23.592,23.33,23.369,67872.079508,1673938799999,1594810.674533,0
1673938800000,23.375,23.6,23.248,23.411,94300.815243,1673942399999,2207658.369758,0
1673942400000,23.413,23.665,23.357,23.651,28989.014505,1673945999999,681555.279044,0
1673946000000,23.659,23.76,23.445,23.63,53260.272502,1673949599999,1255450.47525,0
1673949600000,23.623,23.686,23.422,23.427,40106.967728,1673953199999,943190.054256,0
1673953200000,23.426,23.954,23.396,23.748,65615.309917,1673956799999,1557095.144519,0
1673956800000,23.742,23.845,23.451,23.546,46578.489704,1673960399999,1101472.574298,0
1673960400000,23.538,23.604,23.363,23.431,36838.733105,1673963999999,864342.451018,0
1673964000000,23.433,23.955,23.126,23.435,108440.795247,1673967599999,2550992.796966,0
1673967600000,23.454,23.615,23.125,23.264,71875.561246,1673971199999,1682424.009137,0
1673971200000,23.267,23.386,23.026,23.275,44904.378994,1673974799999,1042707.617731,0
1673974800000,23.278,23.368,23.05,23.348,47709.967766,1673978399999,1108102.954049,0
1673978400000,23.346,23.56,23.285,23.5,28493.214016,1673981999999,667918.139275,0
1673982000000,23.505,23.547,23.377,23.436,19792.760323,1673985599999,464305.932341,0
1673985600000,23.439,23.678,23.134,23.385,36107.391368,1673989199999,847796.853811,0
1673989200000,23.41,23.412,23.162,23.291,23154.61757,1673992799999,538728.222196,0
1673992800000,23.279,23.314,23.141,23.195,14870.380889,1673996399999,345389.486048,0
1673996400000,23.195,23.349,22.681,22.861,63738.708844,1673999999999,1466378.218157,0
1674000000000,22.862,23.074,22.606,22.719,81581.251146,1674003599999,1866930.414506,0
1674003600000,22.719,23.047,22.701,22.991,45677.99541,1674007199999,1044022.882843,0
1674007200000,22.99,23.246,22.646,23.043,60304.308111,1674010799999,1383722.038661,0
1674010800000,23.052,23.326,22.984,23.042,60080.099862,1674014399999,1391307.012756,0
1674014400000,23.047,23.213,22.97,23.134,25419.32405,1674017999999,587350.934219,0
1674018000000,23.138,23.312,23.063,23.248,45259.15894,1674021599999,1049324.56385,0
1674021600000,23.254,23.269,23,23.02,33040.336969,1674025199999,764361.68968,0
1674025200000,23.014,23.081,22.85,22.985,36983.378961,1674028799999,849039.586288,0
1674028800000,22.984,22.984,22.118,22.344,84986.056524,1674032399999,1920193.659445,0
1674032400000,22.349,22.507,22.2,22.406,45785.741059,1674035999999,1024628.700351,0
1674036000000,22.406,22.493,22.299,22.331,31467.92733,1674039599999,704792.355633,0
1674039600000,22.333,22.725,22.307,22.534,57210.793696,1674043199999,1290544.082984,0
1674043200000,22.534,22.806,22.534,22.698,54128.458341,1674046799999,1227063.70049,0
1674046800000,22.695,23.218,22.483,23.069,93989.259643,1674050399999,2146653.891371,0
1674050400000,23.078,23.396,22.968,23.145,88801.956542,1674053999999,2056889.30075,0
1674054000000,23.161,23.665,20.676,21.777,301332.031377,1674057599999,6664380.53737,0
1674057600000,21.77,21.77,20.325,21.4,343808.769933,1674061199999,7230659.304278,0
1674061200000,21.391,22.287,21.388,21.799,206546.916461,1674064799999,4528053.334849,0
1674064800000,21.807,22.268,21.62,21.876,82543.648748,1674068399999,1812912.006248,0
1674068400000,21.884,21.994,21.747,21.773,39527.732313,1674071999999,864648.564359,0
1674072000000,21.775,21.866,21.176,21.359,99794.631144,1674075599999,2142385.442055,0
1674075600000,21.356,21.65,21.275,21.334,51080.520652,1674079199999,1094398.479033,0
1674079200000,21.34,21.363,20.831,21.143,58888.445492,1674082799999,1238272.56307,0
1674082800000,21.14,21.3,20.691,20.791,55322.303728,1674086399999,1157910.193135,0
1674086400000,20.789,21.28,20.767,20.979,76937.571296,1674089999999,1620177.562925,0
1674090000000,20.984,21.279,20.907,21.013,38731.250857,1674093599999,818845.947938,0
1674093600000,21.004,21.265,20.902,21.165,29804.762451,1674097199999,628624.891879,0
1674097200000,21.165,21.523,21.16,21.346,47831.316519,1674100799999,1021041.096856,0
1674100800000,21.34,21.781,21.326,21.573,51957.8877,1674104399999,1122862.561973,0
1674104400000,21.579,21.695,21.381,21.445,21899.064562,1674107999999,471957.93441,0
1674108000000,21.449,21.527,21.333,21.399,28405.638507,1674111599999,608598.106254,0
1674111600000,21.391,21.464,21.264,21.299,27027.520411,1674115199999,577603.741744,0
1674115200000,21.303,21.497,21.218,21.229,45427.436654,1674118799999,969484.434271,0
1674118800000,21.228,21.389,21.105,21.328,22030.349641,1674122399999,467992.731084,0
1674122400000,21.324,21.431,21.154,21.301,19914.918479,1674125999999,424133.166249,0
1674126000000,21.303,21.306,20.782,20.936,60917.965966,1674129599999,1277421.024872,0
1674129600000,20.935,21.067,20.677,20.852,37602.561195,1674133199999,785181.570359,0
1674133200000,20.845,20.927,20.412,20.822,80772.167484,1674136799999,1673264.857471,0
1674136800000,20.815,21.133,20.565,20.964,54604.037329,1674140399999,1138771.812021,0
1674140400000,20.969,21.186,20.873,21.068,67588.513759,1674143999999,1422165.724429,0
1674144000000,21.063,21.294,20.909,21.173,54600.435292,1674147599999,1153490.308101,0
1674147600000,21.16,21.283,20.857,20.965,33001.344029,1674151199999,696481.424759,0
1674151200000,20.969,21.2,20.89,21.2,26174.574915,1674154799999,551299.192498,0
1674154800000,21.2,21.732,21.127,21.656,55251.648069,1674158399999,1189473.49394,0
1674158400000,21.662,21.868,21.494,21.61,50546.404703,1674161999999,1095681.023327,0
1674162000000,21.615,21.64,21.309,21.317,24637.831343,1674165599999,528995.666486,0
1674165600000,21.316,21.48,21.31,21.438,13440.971787,1674169199999,287829.952192,0
1674169200000,21.433,21.513,21.33,21.413,25245.279617,1674172799999,540656.563145,0
1674172800000,21.408,21.412,21.052,21.124,54380.797235,1674176399999,1154167.736483,0
1674176400000,21.131,21.559,21.02,21.483,43753.064849,1674179999999,931100.130436,0
1674180000000,21.48,21.633,21.287,21.293,41568.186037,1674183599999,893075.002946,0
1674183600000,21.292,21.379,21.246,21.336,16480.301649,1674187199999,351540.622959,0
1674187200000,21.329,21.409,21.043,21.075,27048.893111,1674190799999,574618.33614,0
1674190800000,21.074,21.191,20.964,21.067,29540.731384,1674194399999,622538.020147,0
1674194400000,21.043,21.133,20.925,21.016,20592.439786,1674197999999,433265.023729,0
1674198000000,21.016,21.195,20.949,21.072,30665.795879,1674201599999,646807.979421,0
