open_time,volume,taker_buy_base_volume
1783429200000,1014.22500000,483.66000000
1783432800000,1465.43000000,1068.33200000
1783436400000,75.89200000,26.17900000
1783440000000,767.14000000,603.86800000
1783443600000,30.39100000,14.12900000
1783447200000,18.83800000,11.53900000
1783450800000,115.82100000,18.86400000
1783454400000,79.99700000,7.58500000
1783458000000,38.22100000,1.03400000
1783461600000,68.20100000,61.03700000
1783465200000,185.91600000,0.28700000
1783468800000,778.34200000,638.18500000
1783472400000,403.96500000,88.59200000
1783476000000,151.40700000,30.88700000
1783479600000,126.87300000,49.44700000
1783483200000,77.47500000,37.68400000
1783486800000,215.37500000,155.65600000
1783490400000,370.04100000,198.85400000
1783494000000,335.41600000,190.96800000
1783497600000,2737.04300000,1736.99700000
1783501200000,1232.95100000,739.89100000
1783504800000,535.07100000,207.16400000
1783508400000,498.65100000,184.16800000
1783512000000,461.70800000,77.67600000
1783515600000,918.46800000,380.97000000
1783519200000,1105.31100000,235.72500000
1783522800000,613.52300000,294.53700000
1783526400000,705.50900000,101.28800000
1783530000000,264.31100000,25.21200000
1783533600000,100.92700000,10.84100000
1783537200000,1451.33200000,1085.95800000
1783540800000,2232.62100000,1022.26900000
1783544400000,542.67000000,272.94600000
1783548000000,354.66800000,119.28100000
1783551600000,374.36600000,120.08300000
1783555200000,3226.59200000,1572.28400000
1783558800000,1311.49300000,629.62800000
1783562400000,423.98800000,270.76400000
1783566000000,398.07000000,252.16600000
1783569600000,143.98600000,78.05000000
1783573200000,437.42500000,271.14600000
1783576800000,400.24600000,129.37300000
1783580400000,255.14900000,143.45200000
1783584000000,1335.97300000,966.08000000
1783587600000,926.51400000,301.36800000
1783591200000,624.63300000,260.09100000
1783594800000,848.55300000,330.72800000
1783598400000,1537.77600000,989.67800000
1783602000000,2141.33700000,1567.15300000
1783605600000,1967.82700000,1143.42300000
1783609200000,116.72500000,37.27400000
1783612800000,192.36500000,85.42900000
1783616400000,78.13700000,46.21300000
1783620000000,36.34000000,8.69600000
1783623600000,565.75000000,426.73400000
1783627200000,528.34800000,353.70300000
1783630800000,129.61000000,11.77100000
1783634400000,145.32600000,18.01600000
1783638000000,84.05300000,19.12200000
1783641600000,4260.21300000,3437.29100000
1783645200000,836.95400000,423.20800000
1783648800000,139.08100000,37.72600000
1783652400000,106.90600000,64.54900000
1783656000000,71.56400000,44.83700000
1783659600000,80.46600000,33.83200000
1783663200000,170.70300000,107.86700000
1783666800000,136.29000000,34.58000000
1783670400000,916.64400000,837.54600000
1783674000000,184.92800000,24.83400000
1783677600000,43.97600000,8.86400000
1783681200000,1132.67600000,543.69900000
1783684800000,521.30200000,240.90100000
1783688400000,917.08500000,423.59900000
1783692000000,1856.31900000,358.29200000
1783695600000,438.60800000,147.65400000
1783699200000,53.00100000,24.57200000
1783702800000,35.54300000,9.24300000
1783706400000,14.43800000,4.00400000
1783710000000,110.17700000,77.56600000
1783713600000,6.82900000,3.87200000
1783717200000,8.43600000,1.37200000
1783720800000,17.41200000,6.93700000
1783724400000,16.95500000,6.31400000
1783728000000,445.63100000,275.26900000
1783731600000,91.83800000,32.35700000
1783735200000,163.92400000,48.50800000
1783738800000,47.77500000,26.00600000
1783742400000,75.34900000,34.95200000
1783746000000,267.39300000,252.52700000
1783749600000,211.12600000,78.83900000
1783753200000,266.81500000,22.12100000
1783756800000,36.15100000,6.50600000
1783760400000,421.12600000,264.89700000
1783764000000,28.87900000,17.50800000
1783767600000,11.03900000,1.63300000
1783771200000,28.10400000,1.73600000
1783774800000,0.90300000,0.38500000
1783778400000,5.30400000,1.79800000
1783782000000,61.99300000,3.35400000
1783785600000,1.86000000,0.59500000
1783789200000,437.95900000,249.88200000
1783792800000,14.33600000,2.76900000
1783796400000,64.17800000,14.88600000
1783800000000,18.63500000,8.63100000
1783803600000,54.10300000,15.26100000
1783807200000,24.49400000,1.24600000
1783810800000,5.30000000,2.66800000
1783814400000,220.39400000,6.89600000
1783818000000,60.96400000,2.36600000
1783821600000,67.32100000,5.49800000
1783825200000,8.18100000,3.50100000
1783828800000,2.19500000,0.85300000
1783832400000,6.83900000,6.39100000
1783836000000,31.83300000,4.24700000
1783839600000,1.29800000,0.63200000
1783843200000,1.38800000,0.81300000
1783846800000,22.60500000,10.18900000
1783850400000,9.30700000,8.45600000
1783854000000,4.43800000,4.02500000
1783857600000,6.68500000,6.16900000
1783861200000,18.27300000,1.63100000
1783864800000,6.23400000,5.46700000
1783868400000,37.84800000,34.95900000
1783872000000,3.57900000,0.92300000
1783875600000,11.62700000,3.03600000
1783879200000,63.95700000,62.64800000
1783882800000,3.53900000,0.95000000
1783886400000,1.89900000,1.53700000
1783890000000,44.40300000,27.73400000
1783893600000,104.33800000,38.72800000
1783897200000,77.87900000,2.56500000
1783900800000,6469.58200000,1442.73200000
1783904400000,456.33400000,321.06300000
1783908000000,496.19000000,345.75200000
