open_time,volume,taker_buy_base_volume
1781283600000,29556.69700000,16789.36100000
1781287200000,15004.14100000,4279.84700000
1781290800000,17460.06700000,6288.73800000
1781294400000,2802.62700000,1470.15400000
1781298000000,5944.52400000,2835.37600000
1781301600000,2568.56300000,1405.47200000
1781305200000,1776.44500000,746.95800000
1781308800000,2228.22600000,1071.39300000
1781312400000,6775.14700000,2359.46000000
1781316000000,12611.79800000,7572.58000000
1781319600000,5380.78700000,2485.41300000
1781323200000,2418.94400000,1085.70600000
1781326800000,1245.17800000,643.86300000
1781330400000,2001.64200000,1243.64200000
1781334000000,3655.36900000,1312.84500000
1781337600000,3014.83100000,869.99700000
1781341200000,2420.73300000,1830.92100000
1781344800000,1168.92600000,625.36600000
1781348400000,1227.83900000,378.65000000
1781352000000,868.73800000,407.06000000
1781355600000,1783.38700000,793.80400000
1781359200000,1282.48700000,705.66200000
1781362800000,1163.37500000,574.70000000
1781366400000,1016.43800000,418.94200000
1781370000000,563.95000000,238.24500000
1781373600000,247.38900000,104.27200000
1781377200000,138.19300000,70.11700000
1781380800000,306.47500000,99.56700000
1781384400000,348.98400000,102.50700000
1781388000000,821.32700000,418.81400000
1781391600000,238.72300000,104.82400000
1781395200000,244.80300000,141.82000000
1781398800000,300.37800000,145.74400000
1781402400000,496.89400000,256.05100000
1781406000000,528.85500000,263.08100000
1781409600000,408.41800000,206.06800000
1781413200000,374.00400000,150.90600000
1781416800000,614.51800000,235.15700000
1781420400000,721.20400000,240.36400000
1781424000000,1249.78300000,935.65200000
1781427600000,679.71100000,303.41400000
1781431200000,481.73000000,145.39900000
1781434800000,1466.82900000,689.08000000
1781438400000,293.35700000,157.78600000
1781442000000,374.44600000,142.36000000
1781445600000,379.64400000,168.24300000
1781449200000,565.32100000,215.49500000
1781452800000,345.96700000,145.70300000
1781456400000,357.12500000,239.17400000
1781460000000,215.22900000,155.90000000
1781463600000,130.43000000,64.28700000
1781467200000,312.67400000,65.28100000
1781470800000,840.33200000,460.87700000
1781474400000,806.47100000,291.33500000
1781478000000,612.03100000,190.59000000
1781481600000,601.22500000,275.00800000
1781485200000,993.43100000,502.69400000
1781488800000,2170.69900000,878.72400000
1781492400000,618.09700000,270.12000000
1781496000000,1438.73500000,1049.41300000
1781499600000,777.64700000,398.75000000
1781503200000,2127.50200000,1156.06500000
1781506800000,2326.61800000,1038.39800000
1781510400000,3419.20200000,1118.19600000
1781514000000,1863.03800000,957.63800000
1781517600000,2213.75100000,490.66200000
1781521200000,3350.45100000,1133.16900000
1781524800000,1951.15000000,1086.18200000
1781528400000,10059.08400000,4952.77100000
1781532000000,10268.60900000,4123.35900000
1781535600000,5297.54400000,3562.86900000
1781539200000,8380.56200000,5406.70600000
1781542800000,6520.78700000,3894.06500000
1781546400000,4952.67000000,2440.42800000
1781550000000,8827.98600000,4909.47400000
1781553600000,3072.64100000,1155.51900000
1781557200000,1970.66400000,1194.21200000
1781560800000,2574.25900000,1300.84100000
1781564400000,4328.75300000,2084.02000000
1781568000000,17408.82700000,6764.67700000
1781571600000,34841.39100000,17174.49200000
1781575200000,14634.54000000,7971.94800000
1781578800000,5692.11400000,3397.43100000
1781582400000,5142.62200000,1902.23900000
1781586000000,5442.27900000,2364.99800000
1781589600000,5071.53200000,2826.93300000
1781593200000,3699.65200000,1852.23900000
1781596800000,8963.37900000,5204.62500000
1781600400000,5512.79200000,2672.51800000
1781604000000,5700.56900000,3169.02300000
1781607600000,12460.92100000,6488.38300000
1781611200000,7945.46300000,5024.36500000
1781614800000,43565.49600000,22143.58000000
1781618400000,56076.33600000,31339.60200000
1781622000000,15788.73400000,8699.50300000
1781625600000,20755.93300000,13571.68000000
1781629200000,11308.33600000,7033.74100000
1781632800000,6252.82800000,2241.14600000
1781636400000,17903.66300000,9803.90200000
1781640000000,7192.17100000,4240.63200000
1781643600000,5781.89900000,3317.70200000
1781647200000,3957.35700000,2221.37800000
1781650800000,2215.54800000,1297.39200000
1781654400000,5580.21100000,2417.44000000
1781658000000,4791.27100000,2423.52900000
1781661600000,2412.37300000,1186.58500000
1781665200000,1802.59700000,1150.40700000
1781668800000,2784.83500000,1821.06100000
1781672400000,2243.59300000,1342.66100000
1781676000000,4408.87800000,2334.75100000
1781679600000,4837.24500000,3364.40600000
1781683200000,5598.34900000,2901.96900000
1781686800000,3008.87200000,1599.14300000
1781690400000,2312.68100000,1198.27100000
1781694000000,3451.97100000,1470.68200000
1781697600000,6513.54400000,3525.47800000
1781701200000,24865.16500000,14306.41100000
1781704800000,32241.22300000,16486.57000000
1781708400000,39463.99900000,23779.17000000
