open_time,volume,taker_buy_base_volume
1672531200000,65558407.00000000,30703306.00000000
1672534800000,7308790.00000000,1706880.00000000
1672538400000,12930542.00000000,4264595.00000000
1672542000000,2841242.00000000,1489342.00000000
1672545600000,14708370.00000000,2338044.00000000
1672549200000,22152293.00000000,3565354.00000000
1672552800000,43939145.00000000,28398415.00000000
1672556400000,32708909.00000000,2977165.00000000
1672560000000,47989433.00000000,7382776.00000000
1672563600000,11822053.00000000,5645794.00000000
1672567200000,17713424.00000000,10922051.00000000
1672570800000,24987448.00000000,18079352.00000000
1672574400000,30095385.00000000,12090382.00000000
1672578000000,16949417.00000000,5701726.00000000
1672581600000,43105938.00000000,14796754.00000000
1672585200000,25462703.00000000,3927656.00000000
1672588800000,74589237.00000000,36491526.00000000
1672592400000,23118477.00000000,13524602.00000000
1672596000000,156125146.00000000,72657997.00000000
1672599600000,32126619.00000000,18699384.00000000
1672603200000,72582169.00000000,32345378.00000000
1672606800000,61180078.00000000,12018337.00000000
1672610400000,53033964.00000000,25358506.00000000
1672614000000,13191948.00000000,3520570.00000000
1672617600000,33454094.00000000,11530788.00000000
1672621200000,47852983.00000000,17309530.00000000
1672624800000,11748773.00000000,3081077.00000000
1672628400000,11852478.00000000,8784000.00000000
1672632000000,9881242.00000000,2334655.00000000
1672635600000,29778402.00000000,16997293.00000000
1672639200000,21629651.00000000,3800480.00000000
1672642800000,157476373.00000000,54644248.00000000
1672646400000,94059772.00000000,29652671.00000000
1672650000000,45609574.00000000,19127637.00000000
1672653600000,35437462.00000000,7723435.00000000
1672657200000,45072710.00000000,23695980.00000000
1672660800000,89774283.00000000,36273890.00000000
1672664400000,85747206.00000000,28925208.00000000
1672668000000,26973757.00000000,13433462.00000000
1672671600000,40445998.00000000,19789309.00000000
1672675200000,62986661.00000000,39658443.00000000
1672678800000,42848513.00000000,12553806.00000000
1672682400000,21566649.00000000,6116012.00000000
1672686000000,24262656.00000000,16438025.00000000
1672689600000,193178030.00000000,101297685.00000000
1672693200000,119324487.00000000,75707937.00000000
1672696800000,72607363.00000000,20122263.00000000
1672700400000,108979520.00000000,50057537.00000000
1672704000000,41849333.00000000,17098223.00000000
1672707600000,14584649.00000000,6671720.00000000
1672711200000,13506913.00000000,5758678.00000000
1672714800000,13991761.00000000,7032735.00000000
1672718400000,32231816.00000000,12073322.00000000
1672722000000,27152099.00000000,13832054.00000000
1672725600000,40444478.00000000,22763043.00000000
1672729200000,62930342.00000000,26660773.00000000
1672732800000,84354991.00000000,27845716.00000000
1672736400000,80969379.00000000,55032149.00000000
1672740000000,16143875.00000000,6487696.00000000
1672743600000,39841075.00000000,5699835.00000000
1672747200000,53448967.00000000,22604027.00000000
1672750800000,42586472.00000000,28123657.00000000
1672754400000,66329971.00000000,27073739.00000000
1672758000000,105019955.00000000,46035287.00000000
1672761600000,41194265.00000000,15570761.00000000
1672765200000,34976841.00000000,16930242.00000000
1672768800000,105621012.00000000,58906867.00000000
1672772400000,37899605.00000000,17448691.00000000
1672776000000,61518880.00000000,41198058.00000000
1672779600000,27277335.00000000,23216117.00000000
1672783200000,10957239.00000000,4254781.00000000
1672786800000,10640008.00000000,6565493.00000000
1672790400000,65724228.00000000,24742558.00000000
1672794000000,49104776.00000000,18845198.00000000
1672797600000,54380777.00000000,23613800.00000000
1672801200000,93556056.00000000,21813268.00000000
1672804800000,131433218.00000000,49379950.00000000
1672808400000,67794437.00000000,19047165.00000000
1672812000000,106606810.00000000,24895003.00000000
1672815600000,59872431.00000000,30265934.00000000
1672819200000,74506234.00000000,27654682.00000000
1672822800000,69905590.00000000,23583154.00000000
1672826400000,38241929.00000000,17506788.00000000
1672830000000,49961251.00000000,21962210.00000000
1672833600000,13927374.00000000,5967628.00000000
1672837200000,79426110.00000000,37428554.00000000
1672840800000,75768302.00000000,30348221.00000000
1672844400000,140617988.00000000,78263553.00000000
1672848000000,40071087.00000000,14785594.00000000
1672851600000,96691493.00000000,54866414.00000000
1672855200000,81422369.00000000,37674142.00000000
1672858800000,134497904.00000000,80541615.00000000
1672862400000,53944663.00000000,22113279.00000000
1672866000000,31957584.00000000,20166042.00000000
1672869600000,37298903.00000000,18429010.00000000
1672873200000,42386104.00000000,15083502.00000000
1672876800000,33538978.00000000,15978601.00000000
1672880400000,23634918.00000000,10952568.00000000
1672884000000,22503764.00000000,11832076.00000000
1672887600000,19931274.00000000,9751563.00000000
1672891200000,64593301.00000000,23495278.00000000
1672894800000,91249385.00000000,32199504.00000000
1672898400000,65345978.00000000,44220908.00000000
1672902000000,145768043.00000000,86614308.00000000
1672905600000,43409957.00000000,21997653.00000000
1672909200000,64904725.00000000,38717947.00000000
1672912800000,44230492.00000000,19394891.00000000
1672916400000,33111828.00000000,20376226.00000000
1672920000000,65044281.00000000,38140296.00000000
1672923600000,24537403.00000000,14263435.00000000
1672927200000,67095406.00000000,37947555.00000000
1672930800000,65019612.00000000,49779236.00000000
1672934400000,53066257.00000000,26302493.00000000
1672938000000,27332330.00000000,8494977.00000000
1672941600000,25946739.00000000,9143049.00000000
1672945200000,409833041.00000000,236249669.00000000
1672948800000,104811017.00000000,58398437.00000000
1672952400000,45314376.00000000,22837604.00000000
1672956000000,51727289.00000000,19900262.00000000
1672959600000,70376552.00000000,32040545.00000000
1672963200000,27735719.00000000,17209388.00000000
1672966800000,9568146.00000000,5248273.00000000
1672970400000,30183320.00000000,6216226.00000000
1672974000000,17735063.00000000,7776435.00000000
1672977600000,59395285.00000000,19824583.00000000
1672981200000,35825434.00000000,23567676.00000000
1672984800000,50568443.00000000,31276000.00000000
1672988400000,63408123.00000000,36770866.00000000
1672992000000,40385452.00000000,17864129.00000000
1672995600000,109313367.00000000,81729826.00000000
1672999200000,94323410.00000000,57646614.00000000
1673002800000,62259280.00000000,36720119.00000000
1673006400000,35256543.00000000,24449401.00000000
1673010000000,125641387.00000000,86373158.00000000
1673013600000,14913711.00000000,7590430.00000000
1673017200000,41750201.00000000,15699749.00000000
1673020800000,58687345.00000000,28912602.00000000
1673024400000,32105821.00000000,6371232.00000000
1673028000000,37579039.00000000,16008980.00000000
1673031600000,59788354.00000000,23164236.00000000
1673035200000,98469832.00000000,37630220.00000000
1673038800000,80140371.00000000,36485273.00000000
1673042400000,53103434.00000000,12857669.00000000
1673046000000,47602264.00000000,18978965.00000000
1673049600000,56013195.00000000,30153402.00000000
1673053200000,68701114.00000000,33759397.00000000
1673056800000,50196660.00000000,24846961.00000000
1673060400000,14388800.00000000,7698454.00000000
1673064000000,30030578.00000000,9936093.00000000
1673067600000,26075310.00000000,11425234.00000000
1673071200000,74442952.00000000,34314781.00000000
1673074800000,77873365.00000000,50522945.00000000
1673078400000,1438791107.00000000,888192102.00000000
1673082000000,172167335.00000000,49347021.00000000
1673085600000,117703141.00000000,29971503.00000000
1673089200000,77066164.00000000,22046591.00000000
1673092800000,50631481.00000000,18692627.00000000
1673096400000,274053122.00000000,77248958.00000000
1673100000000,60519154.00000000,27110556.00000000
1673103600000,45500647.00000000,26888773.00000000
1673107200000,70140447.00000000,21865123.00000000
1673110800000,40568068.00000000,15964530.00000000
1673114400000,50079910.00000000,27409955.00000000
1673118000000,69319711.00000000,46850580.00000000
1673121600000,52848582.00000000,17538648.00000000
1673125200000,44058663.00000000,17134713.00000000
1673128800000,30369026.00000000,12845898.00000000
1673132400000,13174050.00000000,5162451.00000000
1673136000000,162259760.00000000,108124268.00000000
1673139600000,77146809.00000000,51343770.00000000
1673143200000,14447934.00000000,2217779.00000000
1673146800000,10608759.00000000,6418758.00000000
1673150400000,54881610.00000000,38831467.00000000
1673154000000,111052151.00000000,73301660.00000000
1673157600000,73208889.00000000,30032378.00000000
1673161200000,152705426.00000000,99125600.00000000
1673164800000,179168524.00000000,135474030.00000000
1673168400000,128067762.00000000,62870315.00000000
1673172000000,40096810.00000000,19070944.00000000
1673175600000,43028744.00000000,19835780.00000000
1673179200000,59380488.00000000,29143247.00000000
1673182800000,85394013.00000000,31041551.00000000
1673186400000,130684473.00000000,46716194.00000000
1673190000000,102966323.00000000,20913700.00000000
1673193600000,86469249.00000000,22840417.00000000
1673197200000,84723171.00000000,29676745.00000000
1673200800000,42869554.00000000,20944999.00000000
1673204400000,593878061.00000000,432623717.00000000
1673208000000,256553494.00000000,87406608.00000000
1673211600000,185795773.00000000,62290659.00000000
1673215200000,108932804.00000000,35676456.00000000
1673218800000,173419764.00000000,76470129.00000000
1673222400000,103274055.00000000,41578542.00000000
1673226000000,71977261.00000000,29471812.00000000
1673229600000,100914124.00000000,55445170.00000000
1673233200000,158718588.00000000,27770045.00000000
1673236800000,160853199.00000000,71031773.00000000
1673240400000,119472615.00000000,40656479.00000000
1673244000000,135270345.00000000,44362920.00000000
1673247600000,138004662.00000000,50594632.00000000
1673251200000,83231033.00000000,42207698.00000000
1673254800000,150150541.00000000,101805815.00000000
1673258400000,211557270.00000000,77822367.00000000
1673262000000,91659789.00000000,39441234.00000000
1673265600000,107476263.00000000,31790463.00000000
1673269200000,83545715.00000000,31779944.00000000
1673272800000,115485888.00000000,52957979.00000000
1673276400000,114736858.00000000,60901642.00000000
1673280000000,120860777.00000000,67429192.00000000
1673283600000,316894794.00000000,150143146.00000000
1673287200000,215744302.00000000,115594527.00000000
1673290800000,149413602.00000000,65953833.00000000
1673294400000,165647454.00000000,80196683.00000000
1673298000000,53872148.00000000,23039652.00000000
1673301600000,36265895.00000000,19956366.00000000
1673305200000,62266650.00000000,23206932.00000000
1673308800000,71647937.00000000,37769004.00000000
1673312400000,27702646.00000000,11908970.00000000
1673316000000,94143625.00000000,46283761.00000000
1673319600000,39632718.00000000,24511491.00000000
1673323200000,32644188.00000000,14646764.00000000
1673326800000,52749015.00000000,25719495.00000000
1673330400000,68352964.00000000,27720520.00000000
1673334000000,136943053.00000000,86239982.00000000
