week_start_ts,transfer_count,unique_addresses
1673740800,2200,1022
1674345600,3455,1175
1674950400,2312,962
1675555200,1832,871
1676160000,2801,935
1676764800,2109,1071
1677369600,1447,712
1677974400,1487,719
1678579200,1543,709
1679184000,1440,710
1679788800,3187,945
1680393600,2096,777
1680998400,1605,820
1681603200,1205,579
1682208000,868,491
1682812800,767,481
1683417600,633,397
1684022400,665,425
1684627200,1267,1008
1685232000,1501,551
1685836800,1357,786
1686441600,2110,1533
1687046400,1199,594
1687651200,1127,741
1688256000,1238,668
1688860800,1357,848
1689465600,1284,753
1690070400,948,468
1690675200,931,447
1691280000,903,483
1691884800,1100,559
1692489600,528,386
1693094400,513,370
1693699200,840,422
1694304000,4163,914
1694908800,3592,964
1695513600,1401,565
1696118400,1248,518
1696723200,846,422
1697328000,945,449
1697932800,1226,524
1698537600,985,533
1699142400,1036,585
1699747200,1062,539
1700352000,3200,995
1700956800,1517,643
1701561600,1499,723
1702166400,1059,591
1702771200,971,518
1703376000,1853,861
1703980800,1277,653
1704585600,899,518
1705190400,706,446
1705795200,933,510
1706400000,989,472
1707004800,969,493
1707609600,1949,711
1708214400,4068,1350
1708819200,6384,2147
1709424000,2873,1388
1710028800,2852,1201
1710633600,1455,845
1711238400,1770,965
1711843200,1215,664
1712448000,1572,735
1713052800,1364,688
1713657600,1431,657
1714262400,1063,604
1714867200,1019,562
1715472000,1165,586
1716076800,1499,634
1716681600,2437,871
1717286400,2900,939
1717891200,1303,585
1718496000,1169,514
1719100800,1066,498
1719705600,1094,509
1720310400,922,450
1720915200,1381,620
1721520000,1563,651
1722124800,1267,564
1722729600,1242,561
1723334400,847,438
1723939200,1282,562
1724544000,1102,438
1725148800,903,470
1725753600,753,413
1726358400,699,364
1726963200,853,488
1727568000,1064,495
1728172800,634,336
1728777600,1544,546
1729382400,1448,493
1729987200,1605,804
1730592000,2127,680
1731196800,4473,1478
1731801600,2540,994
1732406400,3796,1164
1733011200,3170,1262
1733616000,1956,833
1734220800,1551,663
1734825600,1529,893
1735430400,1175,557
1736035200,1967,825
1736640000,5507,1393
1737244800,5808,1395
1737849600,10000,2449
1738454400,6656,1524
1739059200,2995,1030
1739664000,5417,1311
1740268800,2834,793
1740873600,2206,695
1741478400,3702,790
1742083200,4423,828
1742688000,2203,582
1743292800,1790,533
1743897600,4324,739
1744502400,2826,687
1745107200,3951,782
1745712000,2732,642
1746316800,2396,660
1746921600,2778,707
1747526400,1798,568
1748131200,2226,588
1748736000,1570,540
1749340800,1364,472
1749945600,1480,478
1750550400,1156,432
1751155200,1604,493
1751760000,1331,548
1752364800,1498,568
1752969600,1536,570
1753574400,1582,570
1754179200,4052,816
1754784000,1503,561
1755388800,1928,631
1755993600,2789,739
1756598400,1122,460
1757203200,1700,576
1757808000,1760,518
1758412800,1601,546
1759017600,1240,482
1759622400,1461,490
1760227200,1624,475
1760832000,1409,480
1761436800,1657,458
1762041600,1214,390
1762646400,3128,510
1763251200,3446,579
1763856000,1846,473
1764460800,2802,453
1765065600,1597,453
1765670400,1414,453
1766275200,1914,418
1766880000,2038,504
1767484800,3452,877
1768089600,1680,412
1768694400,1529,500
1769299200,2327,624
1769904000,1699,437
1770508800,1203,363
1771113600,1695,402
1771718400,1499,339
1772323200,1126,321
1772928000,1539,380
1773532800,2131,397
1774137600,1207,311
1774742400,1175,307
1775347200,1328,376
1775952000,1822,380
1776556800,784,267
1777161600,3027,466
1777766400,1086,354
1778371200,1274,352
1778976000,1144,323
1779580800,884,244
1780185600,1107,292
1780790400,829,304
1781395200,3936,434
1782000000,2001,454
1782604800,2705,492
1783209600,7289,757
1783814400,2972,370
1784419200,1583,339
1785024000,967,256
1785628800,679,199
1786233600,620,229
1786838400,899,295
1787443200,1094,223
