open_time,volume,taker_buy_base_volume
1750150800000,656129068.00000000,327260815.00000000
1750154400000,322761183.00000000,163917410.00000000
1750158000000,183200428.00000000,102317684.00000000
1750161600000,135433164.00000000,70308512.00000000
1750165200000,69909126.00000000,34508371.00000000
1750168800000,75021395.00000000,38832767.00000000
1750172400000,63474834.00000000,33232113.00000000
1750176000000,117816675.00000000,55507015.00000000
1750179600000,129249584.00000000,66696681.00000000
1750183200000,108834494.00000000,57697963.00000000
1750186800000,68467132.00000000,35958812.00000000
1750190400000,79279049.00000000,42697423.00000000
1750194000000,124321033.00000000,63107934.00000000
1750197600000,51573494.00000000,26236104.00000000
1750201200000,33825132.00000000,16709602.00000000
1750204800000,76574976.00000000,37536944.00000000
1750208400000,45804940.00000000,24070102.00000000
1750212000000,28444005.00000000,13624737.00000000
1750215600000,35533445.00000000,15771916.00000000
1750219200000,34343750.00000000,16322781.00000000
1750222800000,29862114.00000000,12791095.00000000
1750226400000,46176200.00000000,22662158.00000000
1750230000000,49009777.00000000,28516949.00000000
1750233600000,43027368.00000000,22844472.00000000
1750237200000,38765066.00000000,21190872.00000000
1750240800000,48353594.00000000,24238056.00000000
1750244400000,40704728.00000000,20264094.00000000
1750248000000,41592065.00000000,17052592.00000000
1750251600000,50709027.00000000,24983278.00000000
1750255200000,43363631.00000000,21667922.00000000
1750258800000,34289818.00000000,14512241.00000000
1750262400000,31538768.00000000,16960762.00000000
1750266000000,31957357.00000000,14880587.00000000
1750269600000,28383787.00000000,13106301.00000000
1750273200000,15942426.00000000,8232045.00000000
1750276800000,28531501.00000000,15004075.00000000
1750280400000,22386541.00000000,12269771.00000000
1750284000000,17930448.00000000,9592224.00000000
1750287600000,12394000.00000000,6311463.00000000
1750291200000,54212767.00000000,21828091.00000000
1750294800000,42411450.00000000,18994104.00000000
1750298400000,17353750.00000000,8042522.00000000
1750302000000,14828381.00000000,8574946.00000000
1750305600000,15873458.00000000,7399277.00000000
1750309200000,27438935.00000000,13671980.00000000
1750312800000,14647916.00000000,7094232.00000000
1750316400000,9039867.00000000,4205441.00000000
1750320000000,14824163.00000000,7341007.00000000
1750323600000,23267579.00000000,12766388.00000000
1750327200000,12680665.00000000,7111948.00000000
1750330800000,26092196.00000000,13559440.00000000
1750334400000,11213190.00000000,6581152.00000000
1750338000000,14051277.00000000,8246238.00000000
1750341600000,12531569.00000000,6760054.00000000
1750345200000,42196105.00000000,24300611.00000000
1750348800000,28503118.00000000,11959402.00000000
1750352400000,25388163.00000000,12787824.00000000
1750356000000,15166636.00000000,7344532.00000000
1750359600000,10056009.00000000,4980863.00000000
1750363200000,10636026.00000000,4706179.00000000
1750366800000,10585687.00000000,6057751.00000000
1750370400000,10213626.00000000,5607372.00000000
1750374000000,25509098.00000000,13357443.00000000
1750377600000,24375034.00000000,11828572.00000000
1750381200000,16088052.00000000,8453493.00000000
1750384800000,10265991.00000000,5286462.00000000
1750388400000,11087388.00000000,4648896.00000000
1750392000000,26644251.00000000,13428820.00000000
1750395600000,33995293.00000000,16525874.00000000
1750399200000,15056593.00000000,6870711.00000000
1750402800000,22510362.00000000,10951110.00000000
1750406400000,21578286.00000000,10421105.00000000
1750410000000,10268854.00000000,4734661.00000000
1750413600000,47281541.00000000,27172138.00000000
1750417200000,27864547.00000000,15038200.00000000
1750420800000,29781669.00000000,14962300.00000000
1750424400000,60391365.00000000,25348511.00000000
1750428000000,59545752.00000000,30531641.00000000
1750431600000,30811181.00000000,13904788.00000000
1750435200000,14966625.00000000,6782129.00000000
1750438800000,26059117.00000000,12806124.00000000
1750442400000,11460345.00000000,5904465.00000000
1750446000000,9631271.00000000,4809181.00000000
1750449600000,9791742.00000000,5006026.00000000
1750453200000,13890335.00000000,7253036.00000000
1750456800000,10122589.00000000,5178480.00000000
1750460400000,5414917.00000000,3326023.00000000
1750464000000,6985664.00000000,3824712.00000000
1750467600000,9188880.00000000,5274115.00000000
1750471200000,7359323.00000000,3518328.00000000
1750474800000,5942874.00000000,2256952.00000000
1750478400000,5535585.00000000,2536912.00000000
1750482000000,4942327.00000000,2279228.00000000
1750485600000,35954887.00000000,18704809.00000000
1750489200000,7392604.00000000,3461277.00000000
1750492800000,11683048.00000000,6356226.00000000
1750496400000,16238986.00000000,7832508.00000000
1750500000000,10421041.00000000,4537825.00000000
1750503600000,7380288.00000000,3431311.00000000
1750507200000,5547833.00000000,2153708.00000000
1750510800000,9640940.00000000,4571218.00000000
1750514400000,10204208.00000000,5269898.00000000
1750518000000,14966783.00000000,7699132.00000000
1750521600000,15488746.00000000,7388496.00000000
1750525200000,15316968.00000000,8349961.00000000
1750528800000,12404936.00000000,5141278.00000000
1750532400000,54537867.00000000,32294616.00000000
1750536000000,20417414.00000000,10062686.00000000
1750539600000,32605525.00000000,15772745.00000000
1750543200000,34922462.00000000,17125465.00000000
1750546800000,23267209.00000000,10980160.00000000
1750550400000,35241935.00000000,18387237.00000000
1750554000000,10884631.00000000,5170808.00000000
1750557600000,18160786.00000000,6280280.00000000
1750561200000,11084949.00000000,6060680.00000000
1750564800000,8520542.00000000,4321408.00000000
1750568400000,13369633.00000000,5788949.00000000
1750572000000,12415029.00000000,6620992.00000000
1750575600000,12895297.00000000,6276145.00000000
1750579200000,8504157.00000000,4615663.00000000
1750582800000,9252501.00000000,4349907.00000000
1750586400000,8738380.00000000,4349318.00000000
1750590000000,7866176.00000000,3567359.00000000
1750593600000,14198691.00000000,4926926.00000000
1750597200000,19158139.00000000,10202621.00000000
1750600800000,49162188.00000000,25646715.00000000
1750604400000,32333837.00000000,14689433.00000000
1750608000000,24037479.00000000,11988098.00000000
1750611600000,10672008.00000000,5706998.00000000
1750615200000,11218070.00000000,5092193.00000000
1750618800000,5060656.00000000,2724803.00000000
1750622400000,13391247.00000000,6063682.00000000
1750626000000,8836269.00000000,4656370.00000000
1750629600000,10356930.00000000,5269869.00000000
1750633200000,11128499.00000000,5697812.00000000
1750636800000,23833502.00000000,12217024.00000000
1750640400000,15070260.00000000,6390773.00000000
1750644000000,14452342.00000000,6341909.00000000
1750647600000,10753282.00000000,6130612.00000000
1750651200000,21621889.00000000,11524629.00000000
1750654800000,18674269.00000000,8421031.00000000
1750658400000,11040179.00000000,6506294.00000000
1750662000000,76931646.00000000,42479013.00000000
1750665600000,58966511.00000000,30393753.00000000
1750669200000,26878589.00000000,11489090.00000000
1750672800000,25371637.00000000,13997307.00000000
1750676400000,34451198.00000000,16735104.00000000
1750680000000,20569563.00000000,8789542.00000000
1750683600000,39026445.00000000,20883572.00000000
1750687200000,50220149.00000000,27840064.00000000
1750690800000,29138303.00000000,11941546.00000000
1750694400000,19212524.00000000,8171044.00000000
1750698000000,82695622.00000000,46953826.00000000
1750701600000,31259111.00000000,15862564.00000000
1750705200000,17017319.00000000,7322678.00000000
1750708800000,25491030.00000000,9199900.00000000
1750712400000,11872425.00000000,7040427.00000000
1750716000000,29615263.00000000,14400279.00000000
1750719600000,10836496.00000000,5848864.00000000
1750723200000,25463399.00000000,7330999.00000000
1750726800000,8158643.00000000,3754433.00000000
1750730400000,11599042.00000000,4688254.00000000
1750734000000,8705797.00000000,3449800.00000000
1750737600000,13570267.00000000,6716331.00000000
1750741200000,21216143.00000000,11285480.00000000
1750744800000,15197477.00000000,7737286.00000000
1750748400000,21970101.00000000,10176130.00000000
1750752000000,48084816.00000000,27442442.00000000
1750755600000,31307383.00000000,16156201.00000000
1750759200000,20037014.00000000,10032747.00000000
1750762800000,14171341.00000000,6832636.00000000
1750766400000,15824982.00000000,7788479.00000000
1750770000000,21424115.00000000,10894906.00000000
1750773600000,26892129.00000000,10382472.00000000
1750777200000,37859730.00000000,15227391.00000000
1750780800000,17501492.00000000,7111590.00000000
1750784400000,12808404.00000000,5579690.00000000
1750788000000,10699500.00000000,4946357.00000000
1750791600000,9608385.00000000,4100016.00000000
1750795200000,17337832.00000000,8392127.00000000
1750798800000,6019566.00000000,2882903.00000000
1750802400000,16407938.00000000,9263936.00000000
1750806000000,6501089.00000000,2731050.00000000
1750809600000,14475037.00000000,6241213.00000000
1750813200000,6389556.00000000,3162229.00000000
1750816800000,10381360.00000000,4918037.00000000
1750820400000,15660381.00000000,7055391.00000000
1750824000000,53548427.00000000,21918582.00000000
1750827600000,23256015.00000000,11369708.00000000
1750831200000,21127569.00000000,7784229.00000000
1750834800000,16868465.00000000,8832176.00000000
1750838400000,12590438.00000000,6083688.00000000
1750842000000,10557694.00000000,6146783.00000000
1750845600000,12012241.00000000,6034251.00000000
1750849200000,13444210.00000000,5979561.00000000
1750852800000,10162207.00000000,4557707.00000000
1750856400000,18004142.00000000,8783800.00000000
1750860000000,14230402.00000000,7672649.00000000
1750863600000,17572393.00000000,8787612.00000000
1750867200000,24706514.00000000,6412000.00000000
1750870800000,9365082.00000000,5312764.00000000
1750874400000,9219915.00000000,4744600.00000000
1750878000000,9415846.00000000,5691701.00000000
1750881600000,3910313.00000000,1913204.00000000
1750885200000,3857449.00000000,2255512.00000000
1750888800000,4772258.00000000,2633716.00000000
1750892400000,2874978.00000000,1397789.00000000
1750896000000,8291399.00000000,4710252.00000000
1750899600000,8743388.00000000,5006774.00000000
1750903200000,9324452.00000000,5807367.00000000
1750906800000,10349171.00000000,5173179.00000000
1750910400000,7838992.00000000,3598797.00000000
1750914000000,5191141.00000000,2816266.00000000
1750917600000,5053104.00000000,3000940.00000000
1750921200000,6810433.00000000,3160543.00000000
1750924800000,5830876.00000000,2553292.00000000
1750928400000,11693464.00000000,5005314.00000000
1750932000000,8363780.00000000,4349967.00000000
1750935600000,7695026.00000000,4077989.00000000
1750939200000,6912405.00000000,3056604.00000000
1750942800000,11161849.00000000,5520022.00000000
1750946400000,14053065.00000000,5452226.00000000
1750950000000,10390862.00000000,5533083.00000000
1750953600000,8913213.00000000,4868061.00000000
1750957200000,6798645.00000000,3509915.00000000
1750960800000,10277255.00000000,5734954.00000000
1750964400000,12277496.00000000,6451395.00000000
1750968000000,9419778.00000000,5369954.00000000
1750971600000,5856879.00000000,2887930.00000000
1750975200000,9020629.00000000,4089512.00000000
1750978800000,7346554.00000000,4070283.00000000
1750982400000,11758756.00000000,6465935.00000000
1750986000000,18369814.00000000,9617127.00000000
1750989600000,18492717.00000000,9646211.00000000
1750993200000,7662609.00000000,3283406.00000000
1750996800000,7672054.00000000,3433466.00000000
1751000400000,7489674.00000000,3269863.00000000
1751004000000,4384615.00000000,1884207.00000000
1751007600000,6436997.00000000,2610010.00000000
1751011200000,8412394.00000000,3558737.00000000
1751014800000,7738860.00000000,3363300.00000000
1751018400000,5130433.00000000,2777343.00000000
1751022000000,6805968.00000000,2753174.00000000
1751025600000,9290749.00000000,4654234.00000000
1751029200000,7366909.00000000,3209797.00000000
1751032800000,6083455.00000000,3285077.00000000
1751036400000,34799490.00000000,19070645.00000000
1751040000000,25322577.00000000,11965432.00000000
1751043600000,12469074.00000000,4957371.00000000
1751047200000,17294498.00000000,9340783.00000000
1751050800000,9851666.00000000,3528482.00000000
1751054400000,8600619.00000000,4266966.00000000
1751058000000,3944926.00000000,2000483.00000000
1751061600000,4895179.00000000,2577639.00000000
1751065200000,6368992.00000000,3238852.00000000
1751068800000,18083907.00000000,10397199.00000000
1751072400000,7856171.00000000,3959430.00000000
1751076000000,6267487.00000000,3499294.00000000
1751079600000,4579266.00000000,2128018.00000000
1751083200000,3201019.00000000,1612052.00000000
1751086800000,4908915.00000000,2729529.00000000
1751090400000,3052753.00000000,1725674.00000000
1751094000000,2658717.00000000,1415227.00000000
1751097600000,4766085.00000000,1729344.00000000
1751101200000,5817204.00000000,2130143.00000000
1751104800000,3009074.00000000,1689606.00000000
1751108400000,4677588.00000000,2481535.00000000
1751112000000,5545120.00000000,2960344.00000000
1751115600000,6246542.00000000,4024242.00000000
1751119200000,4114821.00000000,2377765.00000000
1751122800000,7147636.00000000,3428105.00000000
1751126400000,6194811.00000000,3328763.00000000
1751130000000,5278207.00000000,2476604.00000000
1751133600000,3997441.00000000,2049932.00000000
1751137200000,2934059.00000000,1638652.00000000
1751140800000,3566760.00000000,1872254.00000000
1751144400000,3969096.00000000,1787890.00000000
1751148000000,5523173.00000000,2630420.00000000
1751151600000,3144967.00000000,1478600.00000000
1751155200000,7749098.00000000,3686827.00000000
1751158800000,5110088.00000000,2189031.00000000
1751162400000,5250899.00000000,2837029.00000000
1751166000000,6493303.00000000,3479157.00000000
1751169600000,5213219.00000000,2209627.00000000
1751173200000,4254570.00000000,2237202.00000000
1751176800000,7457814.00000000,3616326.00000000
1751180400000,5788918.00000000,2874957.00000000
1751184000000,7255659.00000000,2062657.00000000
1751187600000,6815915.00000000,2774186.00000000
1751191200000,9289033.00000000,4201305.00000000
1751194800000,6484020.00000000,3616553.00000000
1751198400000,6401934.00000000,3687213.00000000
1751202000000,13685610.00000000,7981026.00000000
1751205600000,20270059.00000000,12108414.00000000
1751209200000,13095811.00000000,5834767.00000000
1751212800000,17598916.00000000,8937823.00000000
1751216400000,9348732.00000000,5453020.00000000
1751220000000,5711896.00000000,3206210.00000000
1751223600000,7549420.00000000,4594527.00000000
1751227200000,7211338.00000000,3473409.00000000
1751230800000,3612431.00000000,1747718.00000000
1751234400000,6826690.00000000,3529744.00000000
1751238000000,5849740.00000000,2880941.00000000
1751241600000,15247214.00000000,8552887.00000000
1751245200000,13673869.00000000,5539759.00000000
1751248800000,9055118.00000000,4678559.00000000
1751252400000,4605235.00000000,1920253.00000000
1751256000000,4478218.00000000,1953112.00000000
1751259600000,3893879.00000000,2358248.00000000
1751263200000,5428794.00000000,2719684.00000000
1751266800000,6078886.00000000,3386613.00000000
1751270400000,3203327.00000000,1660213.00000000
1751274000000,3151368.00000000,1515832.00000000
1751277600000,15176153.00000000,8123372.00000000
1751281200000,5252638.00000000,2466712.00000000
1751284800000,14653617.00000000,7542403.00000000
1751288400000,9857783.00000000,4589649.00000000
1751292000000,5269734.00000000,2727128.00000000
1751295600000,7750955.00000000,4127503.00000000
1751299200000,3933779.00000000,1962465.00000000
1751302800000,4481958.00000000,1945841.00000000
1751306400000,2176060.00000000,936401.00000000
1751310000000,2328127.00000000,1094763.00000000
1751313600000,3496501.00000000,1326855.00000000
1751317200000,4827824.00000000,2273341.00000000
1751320800000,5065050.00000000,1910236.00000000
1751324400000,2825704.00000000,1446875.00000000
1751328000000,7136926.00000000,2961996.00000000
1751331600000,4392267.00000000,1664089.00000000
1751335200000,3906588.00000000,1789894.00000000
1751338800000,4679451.00000000,1334255.00000000
1751342400000,12077405.00000000,3986145.00000000
1751346000000,7137837.00000000,3412964.00000000
1751349600000,7426593.00000000,3459900.00000000
1751353200000,3144239.00000000,1565448.00000000
1751356800000,5443510.00000000,2869812.00000000
1751360400000,5573626.00000000,2887855.00000000
1751364000000,3358486.00000000,1204435.00000000
1751367600000,5444941.00000000,2884586.00000000
1751371200000,9438272.00000000,4549756.00000000
1751374800000,11921458.00000000,5369888.00000000
1751378400000,9566480.00000000,4615729.00000000
1751382000000,6621204.00000000,3079742.00000000
1751385600000,11747446.00000000,6059043.00000000
1751389200000,7282044.00000000,3566920.00000000
1751392800000,4694189.00000000,2364585.00000000
1751396400000,5711742.00000000,3733310.00000000
1751400000000,8492157.00000000,5222988.00000000
1751403600000,4699928.00000000,2707474.00000000
1751407200000,7776817.00000000,4872096.00000000
1751410800000,18382278.00000000,11762895.00000000
1751414400000,6283886.00000000,2944797.00000000
1751418000000,8598487.00000000,3788801.00000000
1751421600000,6983117.00000000,3089293.00000000
1751425200000,4962375.00000000,1997891.00000000
1751428800000,3870337.00000000,1924916.00000000
1751432400000,5954182.00000000,3377512.00000000
1751436000000,3369552.00000000,1834483.00000000
1751439600000,3402412.00000000,1529529.00000000
1751443200000,4388159.00000000,2008548.00000000
1751446800000,7005938.00000000,2332969.00000000
1751450400000,4466545.00000000,2284831.00000000
1751454000000,3694218.00000000,1875900.00000000
1751457600000,6432516.00000000,2855229.00000000
1751461200000,18259036.00000000,10146010.00000000
1751464800000,11941059.00000000,8294117.00000000
1751468400000,7124479.00000000,3805020.00000000
1751472000000,10847327.00000000,5604030.00000000
1751475600000,9989323.00000000,4881570.00000000
1751479200000,3836168.00000000,1747874.00000000
1751482800000,4819447.00000000,2592583.00000000
1751486400000,4077291.00000000,1998719.00000000
1751490000000,4796560.00000000,2221079.00000000
1751493600000,5083111.00000000,2059362.00000000
1751497200000,4866895.00000000,1961283.00000000
1751500800000,6926587.00000000,3906655.00000000
1751504400000,5053768.00000000,2892504.00000000
1751508000000,4993621.00000000,2887614.00000000
1751511600000,9394787.00000000,3212966.00000000
1751515200000,12787730.00000000,5974883.00000000
1751518800000,6146156.00000000,3182211.00000000
1751522400000,5600987.00000000,2572606.00000000
1751526000000,6571224.00000000,1865260.00000000
1751529600000,7107733.00000000,3171034.00000000
1751533200000,32612801.00000000,12222454.00000000
1751536800000,7173502.00000000,4542434.00000000
