week_start_ts,transfer_count,unique_addresses
1673740800,1168,601
1674345600,1431,720
1674950400,1155,577
1675555200,4329,2983
1676160000,1423,669
1676764800,2378,840
1677369600,717,473
1677974400,3669,3187
1678579200,2414,1851
1679184000,1400,1072
1679788800,1285,788
1680393600,4424,3406
1680998400,1259,750
1681603200,904,555
1682208000,522,402
1682812800,361,282
1683417600,1713,1410
1684022400,391,318
1684627200,519,344
1685232000,366,318
1685836800,6765,4836
1686441600,2501,2111
1687046400,1052,526
1687651200,2230,734
1688256000,9680,3303
1688860800,2520,882
1689465600,1124,517
1690070400,1090,497
1690675200,3649,2986
1691280000,954,514
1691884800,1007,516
1692489600,728,442
1693094400,829,384
1693699200,5031,3564
1694304000,5073,1842
1694908800,3263,942
1695513600,2340,752
1696118400,5946,3797
1696723200,4192,1071
1697328000,2458,681
1697932800,1724,751
1698537600,4473,2851
1699142400,5606,2017
1699747200,4526,1371
1700352000,2371,1009
1700956800,2060,910
1701561600,5036,2018
1702166400,3845,1206
1702771200,7270,1609
1703376000,5035,1256
1703980800,5794,3658
1704585600,2103,933
1705190400,969,576
1705795200,1658,632
1706400000,2010,778
1707004800,2878,2041
1707609600,2895,830
1708214400,2938,943
1708819200,3036,1031
1709424000,3459,1453
1710028800,2219,1094
1710633600,1958,983
1711238400,1463,880
1711843200,3148,2607
1712448000,1335,769
1713052800,1035,659
1713657600,927,572
1714262400,4415,3909
1714867200,1030,778
1715472000,795,566
1716076800,1071,627
1716681600,853,545
1717286400,2381,1770
1717891200,996,580
1718496000,1120,603
1719100800,735,478
1719705600,3502,2998
1720310400,1714,1131
1720915200,1198,669
1721520000,1701,762
1722124800,2928,1086
1722729600,6317,4650
1723334400,1306,601
1723939200,2461,817
1724544000,987,487
1725148800,4902,4359
1725753600,1171,767
1726358400,2029,699
1726963200,1159,630
1727568000,4736,4097
1728172800,1702,592
1728777600,9122,1923
1729382400,3621,944
1729987200,2589,785
1730592000,3587,2547
1731196800,2290,964
1731801600,2607,1057
1732406400,4044,1277
1733011200,3373,1599
1733616000,1837,904
1734220800,1298,749
1734825600,2446,871
1735430400,4121,3019
1736035200,3519,1072
1736640000,2184,858
1737244800,1172,698
1737849600,1247,640
1738454400,4701,3813
1739059200,1025,589
1739664000,7203,1197
1740268800,2261,786
1740873600,4075,2913
1741478400,1763,814
1742083200,1739,562
1742688000,1255,492
1743292800,6616,5825
1743897600,1931,571
1744502400,2292,628
1745107200,1725,589
1745712000,1402,487
1746316800,6048,4855
1746921600,1330,573
1747526400,1023,497
1748131200,935,470
1748736000,4210,3527
1749340800,1175,565
1749945600,1247,479
1750550400,887,458
1751155200,4531,3696
1751760000,3275,1203
1752364800,1531,653
1752969600,1966,759
1753574400,1986,735
1754179200,5198,3767
1754784000,2502,970
1755388800,1661,655
1755993600,1390,583
1756598400,4573,3700
1757203200,1234,648
1757808000,1251,585
1758412800,1193,569
1759017600,5056,4124
1759622400,1957,758
1760227200,2325,753
1760832000,3131,750
1761436800,1374,621
1762041600,9671,4410
1762646400,2736,700
1763251200,1297,558
1763856000,1006,413
1764460800,8162,6499
1765065600,1299,550
1765670400,1130,466
1766275200,2786,606
1766880000,6960,898
1767484800,8600,4646
1768089600,2400,554
1768694400,1326,612
1769299200,1327,562
1769904000,8314,5638
1770508800,1516,597
1771113600,2676,689
1771718400,2124,551
1772323200,5580,4334
1772928000,2089,662
1773532800,1980,645
1774137600,2054,586
1774742400,1548,516
1775347200,5765,4016
1775952000,1510,484
1776556800,1008,405
1777161600,808,373
1777766400,10000,4505
1778371200,7135,1051
1778976000,5380,827
1779580800,3526,566
1780185600,7149,4095
1780790400,1326,466
1781395200,1342,419
1782000000,2866,711
1782604800,8348,4718
1783209600,2667,986
1783814400,1917,620
1784419200,981,472
1785024000,5762,1188
1785628800,2312,742
1786233600,10000,4484
1786838400,4645,1512
1787443200,9089,1364
