open_time,volume,taker_buy_base_volume
1672531200000,60185.00000000,28800.00000000
1672534800000,32284.00000000,29047.00000000
1672538400000,44711.00000000,38604.00000000
1672542000000,42376.00000000,35549.00000000
1672545600000,82300.00000000,25250.00000000
1672549200000,7026.00000000,4116.00000000
1672552800000,54571.00000000,1099.00000000
1672556400000,41789.00000000,11019.00000000
1672560000000,12523.00000000,6839.00000000
1672563600000,102698.00000000,5654.00000000
1672567200000,109756.00000000,67004.00000000
1672570800000,139572.00000000,55286.00000000
1672574400000,132639.00000000,109786.00000000
1672578000000,16272.00000000,7463.00000000
1672581600000,65152.00000000,2546.00000000
1672585200000,162377.00000000,38239.00000000
1672588800000,15993.00000000,5441.00000000
1672592400000,72516.00000000,20314.00000000
1672596000000,17497.00000000,2849.00000000
1672599600000,37172.00000000,8864.00000000
1672603200000,153126.00000000,79957.00000000
1672606800000,25266.00000000,3506.00000000
1672610400000,23610.00000000,15003.00000000
1672614000000,12441.00000000,6882.00000000
1672617600000,32751.00000000,19598.00000000
1672621200000,52123.00000000,18648.00000000
1672624800000,11315.00000000,5398.00000000
1672628400000,10920.00000000,7765.00000000
1672632000000,26169.00000000,2083.00000000
1672635600000,6535.00000000,2609.00000000
1672639200000,9497.00000000,3311.00000000
1672642800000,890259.00000000,678125.00000000
1672646400000,130563.00000000,41125.00000000
1672650000000,31495.00000000,17113.00000000
1672653600000,123960.00000000,40662.00000000
1672657200000,62311.00000000,10858.00000000
1672660800000,22312.00000000,15703.00000000
1672664400000,102201.00000000,14334.00000000
1672668000000,40663.00000000,27392.00000000
1672671600000,13242.00000000,11994.00000000
1672675200000,28407.00000000,16985.00000000
1672678800000,45485.00000000,19936.00000000
1672682400000,168713.00000000,98638.00000000
1672686000000,952214.00000000,508421.00000000
1672689600000,368829.00000000,113629.00000000
1672693200000,56260.00000000,15210.00000000
1672696800000,151921.00000000,76433.00000000
1672700400000,10655.00000000,5124.00000000
1672704000000,40630.00000000,10448.00000000
1672707600000,107829.00000000,81233.00000000
1672711200000,10420.00000000,5638.00000000
1672714800000,24879.00000000,6466.00000000
1672718400000,22157.00000000,9881.00000000
1672722000000,11987.00000000,5431.00000000
1672725600000,149045.00000000,32093.00000000
1672729200000,157486.00000000,45947.00000000
1672732800000,51847.00000000,21386.00000000
1672736400000,40809.00000000,32728.00000000
1672740000000,72293.00000000,23620.00000000
1672743600000,26650.00000000,17847.00000000
1672747200000,109688.00000000,80961.00000000
1672750800000,21768.00000000,12183.00000000
1672754400000,156246.00000000,65639.00000000
1672758000000,86624.00000000,16982.00000000
1672761600000,41896.00000000,9900.00000000
1672765200000,112533.00000000,38177.00000000
1672768800000,24912.00000000,16028.00000000
1672772400000,70318.00000000,55013.00000000
1672776000000,43589.00000000,31046.00000000
1672779600000,614256.00000000,451285.00000000
1672783200000,31307.00000000,19755.00000000
1672786800000,12658.00000000,2673.00000000
1672790400000,20371.00000000,8786.00000000
1672794000000,60189.00000000,33247.00000000
1672797600000,113295.00000000,64066.00000000
1672801200000,143594.00000000,67419.00000000
1672804800000,125675.00000000,55943.00000000
1672808400000,53199.00000000,14388.00000000
1672812000000,74257.00000000,12620.00000000
1672815600000,79288.00000000,43055.00000000
1672819200000,479858.00000000,88510.00000000
1672822800000,201783.00000000,73868.00000000
1672826400000,13132.00000000,11745.00000000
1672830000000,309730.00000000,125048.00000000
1672833600000,141002.00000000,77342.00000000
1672837200000,145326.00000000,134165.00000000
1672840800000,88558.00000000,38216.00000000
1672844400000,90263.00000000,66656.00000000
1672848000000,493238.00000000,196110.00000000
1672851600000,144855.00000000,88494.00000000
1672855200000,100701.00000000,68988.00000000
1672858800000,125570.00000000,47913.00000000
1672862400000,52467.00000000,18981.00000000
1672866000000,49035.00000000,26895.00000000
1672869600000,70494.00000000,46004.00000000
1672873200000,88129.00000000,66749.00000000
1672876800000,74186.00000000,28223.00000000
1672880400000,46326.00000000,15297.00000000
1672884000000,22772.00000000,8884.00000000
1672887600000,9315.00000000,4002.00000000
1672891200000,95435.00000000,32608.00000000
1672894800000,32594.00000000,21126.00000000
1672898400000,45194.00000000,29545.00000000
1672902000000,33905.00000000,17780.00000000
1672905600000,94401.00000000,5506.00000000
1672909200000,45911.00000000,17495.00000000
1672912800000,90821.00000000,51302.00000000
1672916400000,29020.00000000,4041.00000000
1672920000000,10400.00000000,5041.00000000
1672923600000,153835.00000000,53218.00000000
1672927200000,146302.00000000,74923.00000000
1672930800000,36475.00000000,23376.00000000
1672934400000,12139.00000000,10185.00000000
1672938000000,79677.00000000,68453.00000000
1672941600000,2472260.00000000,1407137.00000000
1672945200000,96066.00000000,44646.00000000
1672948800000,41534.00000000,12227.00000000
1672952400000,259053.00000000,81508.00000000
1672956000000,44279.00000000,37334.00000000
1672959600000,182323.00000000,76402.00000000
1672963200000,66660.00000000,47988.00000000
1672966800000,15063.00000000,11556.00000000
1672970400000,43715.00000000,11931.00000000
1672974000000,13147.00000000,5027.00000000
1672977600000,21306.00000000,6591.00000000
1672981200000,10839.00000000,9269.00000000
1672984800000,44600.00000000,20891.00000000
1672988400000,145552.00000000,38340.00000000
1672992000000,108559.00000000,44836.00000000
1672995600000,157414.00000000,42868.00000000
1672999200000,17755.00000000,3923.00000000
1673002800000,44814.00000000,17303.00000000
1673006400000,64532.00000000,30975.00000000
1673010000000,405966.00000000,329065.00000000
1673013600000,122828.00000000,46686.00000000
1673017200000,49376.00000000,34913.00000000
1673020800000,228732.00000000,155857.00000000
1673024400000,588806.00000000,256293.00000000
