week_start_ts,transfer_count,unique_addresses
1673740800,986,424
1674345600,2633,631
1674950400,1863,559
1675555200,1150,523
1676160000,1170,469
1676764800,1835,489
1677369600,799,352
1677974400,818,420
1678579200,1180,373
1679184000,996,392
1679788800,1425,469
1680393600,677,307
1680998400,873,369
1681603200,3864,672
1682208000,836,303
1682812800,1288,326
1683417600,713,258
1684022400,1095,322
1684627200,610,292
1685232000,1887,403
1685836800,1530,775
1686441600,1371,831
1687046400,741,405
1687651200,646,378
1688256000,688,337
1688860800,672,372
1689465600,692,388
1690070400,783,314
1690675200,588,327
1691280000,460,258
1691884800,1162,373
1692489600,420,296
1693094400,552,309
1693699200,596,303
1694304000,465,257
1694908800,2557,965
1695513600,1139,449
1696118400,710,335
1696723200,1617,435
1697328000,673,305
1697932800,891,413
1698537600,815,388
1699142400,2255,729
1699747200,2672,792
1700352000,9749,2401
1700956800,9811,3103
1701561600,10000,3677
1702166400,4965,2308
1702771200,5250,2115
1703376000,4919,2201
1703980800,3571,1744
1704585600,3321,1616
1705190400,3845,1718
1705795200,3309,1450
1706400000,4216,1783
1707004800,4411,2023
1707609600,7988,3294
1708214400,4737,2351
1708819200,9405,5358
1709424000,9205,5856
1710028800,4854,2851
1710633600,4466,2372
1711238400,5642,3353
1711843200,3590,2018
1712448000,4089,1914
1713052800,5385,1930
1713657600,3015,1457
1714262400,2578,1357
1714867200,3403,1308
1715472000,3310,1332
1716076800,2835,1312
1716681600,2089,1082
1717286400,2891,1269
1717891200,2109,967
1718496000,2307,959
1719100800,2133,890
1719705600,2733,1004
1720310400,1850,746
1720915200,3093,1017
1721520000,3532,1094
1722124800,2313,1004
1722729600,3702,1125
1723334400,2413,735
1723939200,3540,961
1724544000,4716,1099
1725148800,3887,928
1725753600,4423,1194
1726358400,4485,1392
1726963200,4364,1759
1727568000,4586,1696
1728172800,4796,1768
1728777600,5423,2232
1729382400,4591,1810
1729987200,4357,1796
1730592000,6444,2510
1731196800,7057,3243
1731801600,6525,3406
1732406400,6838,3115
1733011200,9791,4315
1733616000,10000,4152
1734220800,8402,3717
1734825600,4864,2182
1735430400,5042,2293
1736035200,5033,2142
1736640000,4856,2005
1737244800,4531,2079
1737849600,5030,1893
1738454400,6094,1911
1739059200,4382,1232
1739664000,4299,1257
1740268800,4756,1522
1740873600,5177,1290
1741478400,5497,1382
1742083200,3710,833
1742688000,7381,1195
1743292800,5230,1053
1743897600,7346,1648
1744502400,4878,1082
1745107200,5807,1550
1745712000,5620,1225
1746316800,4675,1191
1746921600,5193,1505
1747526400,6768,1975
1748131200,4658,1325
1748736000,3176,1089
1749340800,3804,1169
1749945600,4210,1071
1750550400,5018,1485
1751155200,6053,1404
1751760000,6681,1997
1752364800,10000,2710
1752969600,10000,2733
1753574400,8343,2019
1754179200,6713,1719
1754784000,6687,1959
1755388800,5353,1430
1755993600,4458,1298
1756598400,3771,1155
1757203200,3817,1217
1757808000,3879,1227
1758412800,3804,1110
1759017600,10000,2100
1759622400,5850,1494
1760227200,10000,1609
1760832000,3813,1085
1761436800,3784,895
1762041600,4183,1093
1762646400,5410,1122
1763251200,8199,1431
1763856000,10000,1021
1764460800,10000,969
1765065600,9280,994
1765670400,4824,985
1766275200,5872,896
1766880000,3436,889
1767484800,3534,1017
1768089600,4299,710
1768694400,5756,911
1769299200,6341,1037
1769904000,4604,1057
1770508800,2998,664
1771113600,10000,1100
1771718400,10000,879
1772323200,8899,841
1772928000,6512,735
1773532800,6187,785
1774137600,10000,972
1774742400,5830,759
1775347200,10000,898
1775952000,10000,1079
1776556800,10000,839
1777161600,4242,701
1777766400,4430,781
1778371200,4725,660
1778976000,3816,751
1779580800,10000,808
1780185600,4738,735
1780790400,3369,503
1781395200,3075,451
1782000000,5594,883
1782604800,3919,1069
1783209600,2182,474
1783814400,1819,525
1784419200,1647,462
1785024000,2535,583
1785628800,2623,538
1786233600,2817,446
1786838400,4289,737
1787443200,7464,750
