open_time,volume,taker_buy_base_volume
1739098800000,277022110.80000000,143075783.30000000
1739102400000,186484516.50000000,84223242.40000000
1739106000000,180304839.90000000,85834165.30000000
1739109600000,264349143.00000000,118954943.00000000
1739113200000,148049337.60000000,70138939.10000000
1739116800000,59236929.30000000,30732508.00000000
1739120400000,50607338.80000000,27926958.30000000
1739124000000,80694059.00000000,43743167.80000000
1739127600000,36452399.20000000,16214393.00000000
1739131200000,112884128.40000000,44631883.90000000
1739134800000,98306636.80000000,44099083.80000000
1739138400000,52415522.90000000,27153668.00000000
1739142000000,63212340.10000000,34654602.80000000
1739145600000,105804176.80000000,47944321.70000000
1739149200000,176387849.10000000,93022122.60000000
1739152800000,127110956.90000000,63837579.60000000
1739156400000,98160246.50000000,48296655.10000000
1739160000000,76819089.90000000,31945531.00000000
1739163600000,58307667.70000000,30364052.40000000
1739167200000,131379858.90000000,77073948.00000000
1739170800000,131173663.80000000,67295807.70000000
1739174400000,67652041.20000000,29623997.70000000
1739178000000,107699651.30000000,54787393.10000000
1739181600000,124717735.00000000,53248068.20000000
1739185200000,136162386.80000000,64805499.20000000
1739188800000,91716207.30000000,47729389.30000000
1739192400000,121160721.70000000,64022283.40000000
1739196000000,130680420.80000000,64798741.30000000
1739199600000,66054294.40000000,30631302.60000000
1739203200000,102341224.50000000,52717848.00000000
1739206800000,37888812.60000000,18209030.60000000
1739210400000,26812773.10000000,12073120.30000000
1739214000000,36173120.00000000,20612467.00000000
1739217600000,31384020.70000000,15594452.00000000
1739221200000,49227560.10000000,27717983.50000000
1739224800000,25795223.00000000,10491024.00000000
1739228400000,32030820.00000000,14640142.00000000
1739232000000,50335620.60000000,26919624.70000000
1739235600000,69025121.50000000,37662266.00000000
1739239200000,45390786.50000000,19321962.30000000
1739242800000,49690801.60000000,29464413.10000000
1739246400000,90188595.70000000,51187572.80000000
1739250000000,189935021.40000000,97324070.70000000
1739253600000,130372571.30000000,72047203.30000000
1739257200000,92038888.80000000,42114823.80000000
1739260800000,63770793.90000000,30628399.90000000
1739264400000,65993312.50000000,31667656.90000000
1739268000000,51969750.30000000,25910453.90000000
1739271600000,44880005.90000000,22580072.50000000
1739275200000,30908896.90000000,15035877.60000000
1739278800000,137221652.70000000,61484633.20000000
1739282400000,90742881.30000000,45110126.80000000
1739286000000,46364250.20000000,22334009.50000000
1739289600000,63112072.50000000,29100224.20000000
1739293200000,43196879.90000000,22053475.10000000
1739296800000,53977483.30000000,24225699.80000000
1739300400000,52433275.10000000,29638445.20000000
1739304000000,31127722.80000000,15365388.20000000
1739307600000,23467423.40000000,11380162.00000000
1739311200000,24055729.20000000,11432993.40000000
1739314800000,14143757.10000000,7697553.40000000
1739318400000,41014224.90000000,20021604.70000000
1739322000000,31513138.90000000,14481654.90000000
1739325600000,21980087.50000000,11935579.90000000
1739329200000,41454301.30000000,15750816.60000000
1739332800000,94528285.00000000,46912810.40000000
1739336400000,43807569.80000000,20294088.90000000
1739340000000,76466499.40000000,38587845.90000000
1739343600000,55721092.00000000,31131027.00000000
1739347200000,39378783.00000000,19646032.20000000
1739350800000,38164226.70000000,16506630.10000000
1739354400000,34881077.30000000,18154273.60000000
1739358000000,58930760.90000000,28889370.70000000
1739361600000,21996237.80000000,10164178.60000000
1739365200000,106277469.20000000,55795727.60000000
1739368800000,66331257.00000000,34464925.30000000
1739372400000,140530549.10000000,77237761.30000000
1739376000000,111398532.90000000,54694160.10000000
1739379600000,63896740.40000000,34190780.90000000
1739383200000,86502009.80000000,44752742.00000000
1739386800000,48058455.90000000,23577921.60000000
1739390400000,33078489.60000000,15553777.20000000
1739394000000,34196174.20000000,19870662.60000000
1739397600000,44319726.60000000,20043940.30000000
1739401200000,40308355.40000000,21842990.50000000
1739404800000,39579425.30000000,19549913.70000000
1739408400000,49663068.60000000,25617757.60000000
1739412000000,37186659.60000000,17303928.80000000
1739415600000,38636403.00000000,19791292.70000000
1739419200000,35172337.70000000,19803919.60000000
1739422800000,23297227.70000000,11231107.00000000
1739426400000,82612716.80000000,34398885.20000000
1739430000000,31307447.80000000,16228715.50000000
1739433600000,35119035.90000000,15611391.00000000
1739437200000,27957425.70000000,13567150.70000000
1739440800000,21383111.20000000,9283589.20000000
1739444400000,29024862.80000000,16185588.20000000
1739448000000,17452542.60000000,7542797.40000000
1739451600000,129197893.20000000,63404044.50000000
1739455200000,110796552.40000000,46770037.40000000
1739458800000,102787830.10000000,52332076.10000000
1739462400000,148618643.20000000,80912509.00000000
1739466000000,59814483.70000000,25367942.80000000
1739469600000,50878611.10000000,23716096.90000000
1739473200000,27112704.60000000,13411627.40000000
1739476800000,31809790.50000000,12972477.90000000
1739480400000,52829344.40000000,24678162.50000000
1739484000000,54757868.40000000,24618562.60000000
1739487600000,58393377.90000000,29524099.50000000
1739491200000,44189343.60000000,19228349.60000000
1739494800000,69154592.60000000,31320192.90000000
1739498400000,37514727.30000000,19115068.40000000
1739502000000,39212945.30000000,19357525.10000000
1739505600000,32103431.90000000,15623900.20000000
1739509200000,38530191.50000000,15896083.60000000
1739512800000,34410051.90000000,17977079.00000000
1739516400000,38416643.30000000,16350938.30000000
1739520000000,29190690.20000000,15090964.70000000
1739523600000,37712109.90000000,19474310.30000000
1739527200000,55644214.10000000,28406332.20000000
1739530800000,92629334.00000000,40931003.30000000
1739534400000,44728035.20000000,21178224.90000000
1739538000000,45110034.90000000,20918499.30000000
1739541600000,99761860.00000000,47140949.70000000
1739545200000,58797356.40000000,28908072.40000000
1739548800000,101113857.90000000,50888700.50000000
1739552400000,74408483.20000000,37315940.30000000
1739556000000,40597469.40000000,16508625.30000000
1739559600000,32102396.00000000,16595984.10000000
1739563200000,24452983.70000000,12059745.40000000
1739566800000,14478827.50000000,6614794.70000000
1739570400000,49498935.90000000,21440390.80000000
1739574000000,23768204.90000000,11686965.70000000
1739577600000,33956542.70000000,13537322.10000000
1739581200000,47461916.00000000,27168293.10000000
1739584800000,26613848.60000000,13466087.70000000
1739588400000,22110224.50000000,9186199.70000000
1739592000000,17781408.10000000,8677322.80000000
1739595600000,15843026.70000000,7428492.40000000
1739599200000,22959018.00000000,12899856.40000000
1739602800000,24073774.10000000,9680831.40000000
1739606400000,35321309.30000000,12526323.30000000
1739610000000,26768594.80000000,11867492.60000000
1739613600000,26765546.60000000,11862196.70000000
1739617200000,47184562.20000000,19026346.70000000
1739620800000,20480090.10000000,10414275.00000000
1739624400000,17725040.90000000,8904558.80000000
1739628000000,37669072.90000000,17447696.20000000
1739631600000,41133648.80000000,17236491.30000000
1739635200000,41431049.50000000,17817050.10000000
1739638800000,26198962.30000000,14591938.50000000
1739642400000,18805216.60000000,9742556.20000000
1739646000000,12976198.20000000,7273288.70000000
1739649600000,10693162.90000000,5182291.40000000
1739653200000,13307068.80000000,6573350.40000000
1739656800000,106518452.70000000,52538796.80000000
1739660400000,102120433.10000000,50691561.80000000
1739664000000,40030478.40000000,19229028.70000000
1739667600000,32895831.70000000,15811942.50000000
1739671200000,11207426.10000000,5826556.60000000
1739674800000,18276409.60000000,9443018.70000000
1739678400000,12160899.20000000,6920671.20000000
1739682000000,7485967.20000000,3915487.70000000
1739685600000,11617375.00000000,4508205.40000000
1739689200000,16425486.40000000,8388584.50000000
1739692800000,37115425.30000000,19270464.40000000
1739696400000,18434030.10000000,10406089.80000000
1739700000000,16490643.60000000,7541712.30000000
1739703600000,27438813.20000000,16203732.10000000
1739707200000,29029089.00000000,12286947.90000000
1739710800000,20910856.70000000,8352303.30000000
1739714400000,34530456.00000000,18562144.10000000
1739718000000,22450342.90000000,11362043.00000000
1739721600000,14226929.60000000,6448582.80000000
1739725200000,11034022.80000000,3934428.40000000
1739728800000,10839095.50000000,5427341.90000000
1739732400000,10997148.00000000,5499922.70000000
1739736000000,14909782.40000000,7115973.30000000
1739739600000,13007600.00000000,4977132.80000000
1739743200000,9759817.50000000,5803666.50000000
1739746800000,9388506.70000000,4435581.60000000
1739750400000,17669703.80000000,6175887.00000000
1739754000000,13201011.50000000,7152221.30000000
1739757600000,7975456.90000000,4550972.60000000
1739761200000,9872795.90000000,4658705.60000000
1739764800000,10860699.70000000,4838591.70000000
1739768400000,31614861.60000000,13167223.50000000
1739772000000,17266360.10000000,8056908.70000000
1739775600000,18016899.60000000,8055739.20000000
1739779200000,24980011.60000000,12223598.30000000
1739782800000,31180089.40000000,16068611.10000000
1739786400000,48405004.20000000,24099506.80000000
1739790000000,14860283.20000000,6967601.30000000
1739793600000,15961423.70000000,8457576.10000000
1739797200000,15019010.80000000,7189522.80000000
1739800800000,30584498.70000000,15059052.70000000
1739804400000,45645684.10000000,18274003.60000000
1739808000000,29409708.00000000,13982571.80000000
1739811600000,40648065.00000000,18418656.30000000
1739815200000,29224621.00000000,16318179.60000000
1739818800000,15567455.30000000,6292801.20000000
1739822400000,8760995.70000000,4363838.60000000
1739826000000,7808719.50000000,3126928.30000000
1739829600000,6324844.80000000,2764715.40000000
1739833200000,7447387.90000000,3722162.30000000
1739836800000,10327901.50000000,5008042.70000000
1739840400000,8501625.20000000,4026377.80000000
1739844000000,11784209.60000000,5639663.20000000
1739847600000,7442831.30000000,3727195.20000000
1739851200000,12374011.50000000,5930765.70000000
1739854800000,11643649.70000000,6039575.00000000
1739858400000,14130347.00000000,7156249.50000000
1739862000000,19049734.70000000,8354883.60000000
1739865600000,12602171.30000000,5828333.90000000
1739869200000,14365196.80000000,8097442.40000000
1739872800000,12164166.30000000,5285247.20000000
1739876400000,8778813.00000000,4021818.40000000
1739880000000,13504030.50000000,6346916.50000000
1739883600000,17723919.80000000,7675545.50000000
1739887200000,23767461.30000000,10144540.40000000
1739890800000,44273889.10000000,20114204.20000000
1739894400000,76392571.30000000,32619177.40000000
1739898000000,32817808.90000000,16643774.20000000
1739901600000,19836340.10000000,10171081.40000000
1739905200000,83823003.90000000,29387013.40000000
1739908800000,16160859.90000000,8077502.40000000
1739912400000,113127751.90000000,68657403.70000000
1739916000000,22300875.60000000,10789277.80000000
1739919600000,111396176.50000000,44439380.80000000
1739923200000,19662626.80000000,9921389.30000000
1739926800000,18423833.40000000,8083192.90000000
1739930400000,27315069.50000000,15243050.80000000
1739934000000,25860581.30000000,12026902.30000000
1739937600000,97848132.70000000,49377534.00000000
1739941200000,121168982.00000000,84070891.60000000
1739944800000,43620030.80000000,22037552.20000000
1739948400000,62578197.80000000,38768263.20000000
1739952000000,34425979.70000000,17687656.30000000
1739955600000,28488515.40000000,13562746.00000000
1739959200000,35959662.10000000,19694559.60000000
1739962800000,24266183.00000000,12037936.70000000
1739966400000,18678183.70000000,8749160.60000000
1739970000000,11413118.20000000,6431736.10000000
1739973600000,21067424.40000000,8911203.20000000
1739977200000,13544179.90000000,6823943.00000000
1739980800000,13748780.10000000,7729716.50000000
1739984400000,14520699.10000000,6736526.50000000
1739988000000,7906058.60000000,3515979.10000000
1739991600000,8621336.10000000,3731341.60000000
1739995200000,8568852.10000000,3718857.00000000
1739998800000,10076951.80000000,3788817.70000000
1740002400000,12311810.40000000,6890061.30000000
1740006000000,10812193.70000000,4546091.30000000
1740009600000,14315605.70000000,6470843.60000000
1740013200000,92950391.40000000,52512993.00000000
1740016800000,106452779.00000000,59086349.70000000
1740020400000,43955861.10000000,21136297.60000000
1740024000000,35485482.90000000,19210552.40000000
1740027600000,17049812.00000000,8402727.70000000
1740031200000,47861856.30000000,24974181.70000000
1740034800000,36504843.50000000,18763010.30000000
1740038400000,22527588.50000000,11257631.50000000
1740042000000,29325666.60000000,12848036.30000000
1740045600000,35390991.20000000,19530139.20000000
1740049200000,37539698.40000000,18965357.00000000
1740052800000,30669083.20000000,14013550.20000000
1740056400000,35185485.90000000,18638937.80000000
1740060000000,25278031.40000000,11192378.00000000
1740063600000,24735666.40000000,10763048.80000000
1740067200000,29615013.70000000,15784364.90000000
1740070800000,22639500.90000000,11535488.70000000
1740074400000,31244596.90000000,16074092.50000000
1740078000000,13274322.50000000,6247286.30000000
1740081600000,21526528.40000000,10243817.80000000
1740085200000,25885267.90000000,12305621.80000000
1740088800000,21901139.70000000,9854872.70000000
1740092400000,17848382.70000000,9572924.90000000
1740096000000,35435287.40000000,14845843.80000000
1740099600000,21563617.10000000,10470517.40000000
1740103200000,16440835.50000000,6499478.10000000
1740106800000,21210678.30000000,10942553.80000000
1740110400000,11053595.40000000,5118183.10000000
1740114000000,11374548.70000000,5237102.00000000
1740117600000,15264478.50000000,7264245.30000000
1740121200000,11998136.20000000,5441479.50000000
1740124800000,17969562.90000000,7531907.70000000
1740128400000,50588472.80000000,29103499.50000000
1740132000000,147607738.10000000,80361684.30000000
1740135600000,155985913.60000000,76921194.80000000
1740139200000,51766119.50000000,24596951.90000000
1740142800000,37725884.40000000,17531188.90000000
1740146400000,68581599.30000000,35635346.20000000
1740150000000,98539690.30000000,45204372.60000000
1740153600000,69439180.20000000,34966366.50000000
1740157200000,39099093.40000000,19946161.90000000
1740160800000,18033468.70000000,8218974.90000000
1740164400000,22523514.60000000,10004876.40000000
1740168000000,14971530.10000000,7269769.40000000
1740171600000,12720829.90000000,5877286.00000000
1740175200000,11171192.50000000,4638857.20000000
1740178800000,7794714.20000000,3762404.20000000
1740182400000,24859389.90000000,10538214.60000000
1740186000000,17410231.50000000,8891825.40000000
1740189600000,11061285.80000000,4958900.80000000
1740193200000,10623597.00000000,5788291.30000000
1740196800000,16575380.10000000,8584407.70000000
1740200400000,13855409.50000000,7432017.20000000
1740204000000,8054617.70000000,3914857.30000000
1740207600000,10170054.30000000,5281989.90000000
1740211200000,14853297.60000000,8207103.90000000
1740214800000,24878431.40000000,12510311.00000000
1740218400000,21345778.50000000,9797658.80000000
1740222000000,21865733.30000000,10434398.80000000
1740225600000,20065859.60000000,10400539.20000000
1740229200000,17473269.00000000,7543259.70000000
1740232800000,13247861.30000000,6533051.40000000
1740236400000,66919370.60000000,37917712.90000000
1740240000000,794064082.90000000,417202897.00000000
1740243600000,208477653.40000000,102436177.80000000
1740247200000,97825133.30000000,48632044.20000000
1740250800000,41209026.90000000,22177662.20000000
1740254400000,59915028.40000000,30097055.10000000
1740258000000,85576746.80000000,46887342.60000000
1740261600000,179398201.40000000,99940560.70000000
1740265200000,122945553.60000000,64090511.30000000
1740268800000,82082221.90000000,40449042.50000000
1740272400000,128049758.00000000,68935538.20000000
1740276000000,91786294.40000000,36009969.50000000
1740279600000,98965711.60000000,44759441.30000000
1740283200000,51914086.60000000,28201826.50000000
