open_time,volume,taker_buy_base_volume
1743109200000,183278949.00000000,88242355.00000000
1743112800000,220438638.00000000,107362170.00000000
1743116400000,133380704.00000000,65233464.00000000
1743120000000,133678955.00000000,61600958.00000000
1743123600000,139351579.00000000,67512711.00000000
1743127200000,108649988.00000000,48538893.00000000
1743130800000,53724524.00000000,25635989.00000000
1743134400000,110020979.00000000,48057210.00000000
1743138000000,60550730.00000000,29135962.00000000
1743141600000,125299447.00000000,68200238.00000000
1743145200000,58941644.00000000,27948494.00000000
1743148800000,87962313.00000000,46327180.00000000
1743152400000,69166758.00000000,35333569.00000000
1743156000000,71262527.00000000,31116703.00000000
1743159600000,36033300.00000000,21094054.00000000
1743163200000,70155629.00000000,38718497.00000000
1743166800000,92388543.00000000,45855677.00000000
1743170400000,128559747.00000000,66548993.00000000
1743174000000,103607248.00000000,50747738.00000000
1743177600000,115816737.00000000,51238977.00000000
1743181200000,67237849.00000000,38113189.00000000
1743184800000,63969524.00000000,33375321.00000000
1743188400000,31464417.00000000,18333418.00000000
1743192000000,35038415.00000000,16812519.00000000
1743195600000,36353398.00000000,18992081.00000000
1743199200000,39411646.00000000,20686928.00000000
1743202800000,40086375.00000000,21597883.00000000
1743206400000,38352355.00000000,16161885.00000000
1743210000000,35337940.00000000,18862179.00000000
1743213600000,35895203.00000000,19749024.00000000
1743217200000,101932676.00000000,60215692.00000000
1743220800000,63533122.00000000,28828767.00000000
1743224400000,40506719.00000000,17293060.00000000
1743228000000,105136348.00000000,54878026.00000000
1743231600000,53766296.00000000,24163993.00000000
1743235200000,53331812.00000000,29403726.00000000
1743238800000,94931709.00000000,50030645.00000000
1743242400000,197724173.00000000,100470394.00000000
1743246000000,159408237.00000000,76316261.00000000
1743249600000,101472693.00000000,47938569.00000000
1743253200000,47435646.00000000,22679678.00000000
1743256800000,65199640.00000000,32982193.00000000
1743260400000,52908747.00000000,24473756.00000000
1743264000000,75820086.00000000,34393641.00000000
1743267600000,83067435.00000000,40334564.00000000
1743271200000,56736335.00000000,28795144.00000000
1743274800000,76439050.00000000,36704170.00000000
1743278400000,40979591.00000000,18411227.00000000
1743282000000,32874096.00000000,17453518.00000000
1743285600000,21519288.00000000,8575987.00000000
1743289200000,45989978.00000000,21790372.00000000
1743292800000,44277206.00000000,19311563.00000000
1743296400000,69319250.00000000,33037449.00000000
1743300000000,29937875.00000000,13922743.00000000
1743303600000,31773239.00000000,13098511.00000000
1743307200000,39097082.00000000,18062297.00000000
1743310800000,60286411.00000000,31448715.00000000
1743314400000,41388678.00000000,20061477.00000000
1743318000000,30772840.00000000,12636855.00000000
1743321600000,23302456.00000000,11657320.00000000
1743325200000,31957673.00000000,13924173.00000000
1743328800000,28909442.00000000,12583447.00000000
1743332400000,41722607.00000000,23468154.00000000
1743336000000,48231969.00000000,21922960.00000000
1743339600000,76566662.00000000,36179872.00000000
1743343200000,44772806.00000000,24203854.00000000
1743346800000,22236370.00000000,9713138.00000000
1743350400000,46844155.00000000,30188405.00000000
1743354000000,18555576.00000000,9474266.00000000
1743357600000,32143679.00000000,17457247.00000000
1743361200000,14159527.00000000,7146808.00000000
1743364800000,8111465.00000000,4053690.00000000
1743368400000,22366700.00000000,9287771.00000000
1743372000000,17222074.00000000,9659618.00000000
1743375600000,15669951.00000000,7805495.00000000
1743379200000,24420131.00000000,11360433.00000000
1743382800000,41229971.00000000,19737484.00000000
1743386400000,14740690.00000000,7916185.00000000
1743390000000,16925575.00000000,9157855.00000000
1743393600000,20758907.00000000,10063584.00000000
1743397200000,24524864.00000000,13880458.00000000
1743400800000,28949270.00000000,16575769.00000000
1743404400000,42602455.00000000,18740554.00000000
1743408000000,66034994.00000000,34923775.00000000
1743411600000,39172938.00000000,9927773.00000000
1743415200000,51130838.00000000,21557236.00000000
1743418800000,28955653.00000000,14300545.00000000
1743422400000,34512309.00000000,16375054.00000000
1743426000000,47488123.00000000,21242974.00000000
1743429600000,176027652.00000000,100427220.00000000
1743433200000,123352204.00000000,51540733.00000000
1743436800000,50588508.00000000,24208027.00000000
1743440400000,16327374.00000000,6202855.00000000
1743444000000,16684893.00000000,8281395.00000000
1743447600000,7769202.00000000,2938843.00000000
1743451200000,14730525.00000000,6302502.00000000
1743454800000,7152750.00000000,3216701.00000000
1743458400000,10891181.00000000,5047358.00000000
1743462000000,15866956.00000000,5948404.00000000
1743465600000,10253295.00000000,3832187.00000000
1743469200000,11608918.00000000,4559559.00000000
1743472800000,12191013.00000000,6722024.00000000
1743476400000,6401176.00000000,3071307.00000000
1743480000000,24812397.00000000,12168683.00000000
1743483600000,21627355.00000000,11078113.00000000
1743487200000,9394126.00000000,4095612.00000000
1743490800000,15857407.00000000,6221234.00000000
1743494400000,31771274.00000000,15560700.00000000
1743498000000,12715307.00000000,6902518.00000000
1743501600000,42057733.00000000,17797765.00000000
1743505200000,52464061.00000000,24147836.00000000
1743508800000,40347825.00000000,18288882.00000000
1743512400000,44581051.00000000,16668414.00000000
1743516000000,56495862.00000000,25757492.00000000
1743519600000,43994272.00000000,23934495.00000000
1743523200000,23152725.00000000,11323061.00000000
1743526800000,25248619.00000000,8766636.00000000
1743530400000,6864110.00000000,3155482.00000000
1743534000000,6776277.00000000,2621748.00000000
1743537600000,9630789.00000000,2520959.00000000
