open_time,volume,taker_buy_base_volume
1742371200000,2014859.00000000,669615.00000000
1742374800000,561665.00000000,390365.00000000
1742378400000,267972.00000000,249701.00000000
1742382000000,568568.00000000,252030.00000000
1742385600000,117139.00000000,65174.00000000
1742389200000,209131.00000000,60140.00000000
1742392800000,92717.00000000,38743.00000000
1742396400000,131138.00000000,111244.00000000
1742400000000,53080.00000000,35590.00000000
1742403600000,186396.00000000,17707.00000000
1742407200000,47641.00000000,25808.00000000
1742410800000,78740.00000000,33688.00000000
1742414400000,24847.00000000,12130.00000000
1742418000000,41017.00000000,20262.00000000
1742421600000,26302.00000000,16620.00000000
1742425200000,19874.00000000,13736.00000000
1742428800000,41318.00000000,32261.00000000
1742432400000,37695.00000000,13561.00000000
1742436000000,38887.00000000,3688.00000000
1742439600000,25450.00000000,15421.00000000
1742443200000,12159.00000000,9246.00000000
1742446800000,10134.00000000,5324.00000000
1742450400000,154098.00000000,43983.00000000
1742454000000,392678.00000000,379756.00000000
1742457600000,46609.00000000,8359.00000000
1742461200000,993405.00000000,342586.00000000
1742464800000,1755745.00000000,502895.00000000
1742468400000,158951.00000000,53409.00000000
1742472000000,249705.00000000,34353.00000000
1742475600000,643006.00000000,15814.00000000
1742479200000,97406.00000000,23554.00000000
1742482800000,220349.00000000,20616.00000000
1742486400000,43237.00000000,27288.00000000
1742490000000,50486.00000000,31276.00000000
1742493600000,155025.00000000,8888.00000000
1742497200000,20426.00000000,3405.00000000
1742500800000,18718.00000000,10979.00000000
1742504400000,18116.00000000,6597.00000000
1742508000000,79417.00000000,28528.00000000
1742511600000,42508.00000000,28956.00000000
1742515200000,31511.00000000,18428.00000000
1742518800000,255638.00000000,239413.00000000
1742522400000,46415.00000000,40175.00000000
1742526000000,53151.00000000,43897.00000000
1742529600000,5535.00000000,3200.00000000
1742533200000,8058.00000000,3730.00000000
1742536800000,98122.00000000,89290.00000000
1742540400000,99253.00000000,25378.00000000
1742544000000,558883.00000000,40848.00000000
1742547600000,157645.00000000,149323.00000000
1742551200000,578595.00000000,560245.00000000
1742554800000,28252.00000000,6249.00000000
1742558400000,14224.00000000,9379.00000000
1742562000000,14935.00000000,8237.00000000
1742565600000,44380.00000000,17305.00000000
1742569200000,89035.00000000,7920.00000000
1742572800000,12869.00000000,6226.00000000
1742576400000,19073.00000000,8381.00000000
1742580000000,60952.00000000,24032.00000000
1742583600000,16230.00000000,5130.00000000
1742587200000,25624.00000000,14661.00000000
1742590800000,15778.00000000,6280.00000000
1742594400000,9748.00000000,4850.00000000
1742598000000,81539.00000000,51974.00000000
1742601600000,23023.00000000,11171.00000000
1742605200000,7662.00000000,4269.00000000
1742608800000,19098.00000000,3711.00000000
1742612400000,19102.00000000,11672.00000000
1742616000000,5216.00000000,2809.00000000
1742619600000,125547.00000000,121433.00000000
1742623200000,8911.00000000,4133.00000000
1742626800000,6423.00000000,1820.00000000
1742630400000,8404.00000000,4663.00000000
1742634000000,13755.00000000,3393.00000000
1742637600000,6686.00000000,2223.00000000
1742641200000,20447.00000000,6235.00000000
1742644800000,6349.00000000,1595.00000000
1742648400000,5141.00000000,1826.00000000
1742652000000,8158.00000000,3886.00000000
1742655600000,5763.00000000,1652.00000000
1742659200000,4509.00000000,1863.00000000
1742662800000,1845.00000000,722.00000000
1742666400000,3017.00000000,1135.00000000
