week_start_ts,transfer_count,unique_addresses
1673740800,0,0
1674345600,0,0
1674950400,0,0
1675555200,0,0
1676160000,0,0
1676764800,0,0
1677369600,0,0
1677974400,0,0
1678579200,0,0
1679184000,0,0
1679788800,0,0
1680393600,0,0
1680998400,0,0
1681603200,0,0
1682208000,0,0
1682812800,0,0
1683417600,0,0
1684022400,0,0
1684627200,0,0
1685232000,0,0
1685836800,0,0
1686441600,0,0
1687046400,0,0
1687651200,0,0
1688256000,0,0
1688860800,0,0
1689465600,0,0
1690070400,0,0
1690675200,0,0
1691280000,0,0
1691884800,0,0
1692489600,0,0
1693094400,0,0
1693699200,0,0
1694304000,0,0
1694908800,0,0
1695513600,0,0
1696118400,0,0
1696723200,0,0
1697328000,0,0
1697932800,0,0
1698537600,0,0
1699142400,0,0
1699747200,0,0
1700352000,0,0
1700956800,0,0
1701561600,0,0
1702166400,0,0
1702771200,0,0
1703376000,0,0
1703980800,0,0
1704585600,0,0
1705190400,0,0
1705795200,0,0
1706400000,0,0
1707004800,0,0
1707609600,0,0
1708214400,1,2
1708819200,0,0
1709424000,2,3
1710028800,0,0
1710633600,1,2
1711238400,0,0
1711843200,0,0
1712448000,0,0
1713052800,0,0
1713657600,0,0
1714262400,0,0
1714867200,0,0
1715472000,18,15
1716076800,18,21
1716681600,23,22
1717286400,0,0
1717891200,1,2
1718496000,1,2
1719100800,4,2
1719705600,46,9
1720310400,526,153
1720915200,219,51
1721520000,284,22
1722124800,375,16
1722729600,860,37
1723334400,635,33
1723939200,437,19
1724544000,476,17
1725148800,421,19
1725753600,160,12
1726358400,113,12
1726963200,123,9
1727568000,207,15
1728172800,112,8
1728777600,128,10
1729382400,180,18
1729987200,179,17
1730592000,266,25
1731196800,228,17
1731801600,222,16
1732406400,260,27
1733011200,143,16
1733616000,134,15
1734220800,247,15
1734825600,275,13
1735430400,137,14
1736035200,222,16
1736640000,331,26
1737244800,235,26
1737849600,416,30
1738454400,1184,38
1739059200,815,34
1739664000,713,18
1740268800,799,29
1740873600,216,21
1741478400,14,14
1742083200,994,216
1742688000,48,26
1743292800,48,26
1743897600,68,27
1744502400,46,24
1745107200,74,31
1745712000,56,26
1746316800,162,30
