open_time,volume,taker_buy_base_volume
1672531200000,2257.71000000,463.69000000
1672534800000,1149.95000000,635.11000000
1672538400000,651.01000000,283.98000000
1672542000000,855.98000000,535.07000000
1672545600000,2988.02000000,726.71000000
1672549200000,2139.01000000,741.51000000
1672552800000,2079.26000000,1010.17000000
1672556400000,2184.71000000,915.64000000
1672560000000,1833.98000000,779.81000000
1672563600000,1982.45000000,881.11000000
1672567200000,1698.42000000,724.14000000
1672570800000,2691.74000000,1306.20000000
1672574400000,2241.85000000,818.90000000
1672578000000,8391.50000000,2840.25000000
1672581600000,7932.04000000,2012.74000000
1672585200000,537.84000000,207.81000000
1672588800000,1216.93000000,542.03000000
1672592400000,1401.13000000,869.35000000
1672596000000,1653.58000000,848.09000000
1672599600000,422.09000000,157.37000000
1672603200000,763.75000000,414.79000000
1672606800000,1149.59000000,519.85000000
1672610400000,1210.55000000,314.36000000
1672614000000,2098.95000000,1303.28000000
1672617600000,1924.71000000,900.10000000
1672621200000,6613.84000000,2438.24000000
1672624800000,1477.61000000,839.66000000
1672628400000,1527.52000000,1234.38000000
1672632000000,1175.92000000,143.92000000
1672635600000,946.12000000,199.69000000
1672639200000,396.53000000,149.35000000
1672642800000,16686.84000000,7783.56000000
1672646400000,2004.97000000,746.34000000
1672650000000,1765.76000000,348.75000000
1672653600000,2558.94000000,1602.36000000
1672657200000,2443.81000000,1103.58000000
1672660800000,753.16000000,351.33000000
1672664400000,1534.80000000,670.84000000
1672668000000,1884.92000000,498.35000000
1672671600000,2602.86000000,1848.92000000
1672675200000,1469.02000000,115.79000000
1672678800000,1350.20000000,560.67000000
1672682400000,323.21000000,206.54000000
1672686000000,552.03000000,340.87000000
1672689600000,1489.97000000,963.11000000
1672693200000,2322.67000000,1569.76000000
1672696800000,764.04000000,222.26000000
1672700400000,1554.87000000,614.36000000
1672704000000,914.04000000,586.66000000
1672707600000,1427.23000000,489.98000000
1672711200000,2658.41000000,1683.16000000
1672714800000,11832.09000000,8176.10000000
1672718400000,2383.79000000,1809.42000000
1672722000000,1126.55000000,846.88000000
1672725600000,900.73000000,534.44000000
1672729200000,1725.46000000,816.78000000
1672732800000,3123.36000000,1670.42000000
1672736400000,1924.23000000,1045.59000000
1672740000000,7496.41000000,4958.84000000
1672743600000,4169.79000000,2311.01000000
1672747200000,2498.52000000,1105.01000000
1672750800000,1831.94000000,824.07000000
1672754400000,4956.07000000,2676.49000000
1672758000000,7008.23000000,4223.05000000
1672761600000,3043.62000000,1515.80000000
1672765200000,3206.89000000,1974.60000000
1672768800000,1642.21000000,880.26000000
1672772400000,2555.14000000,1555.96000000
1672776000000,788.56000000,250.39000000
1672779600000,2297.06000000,1137.63000000
1672783200000,2659.72000000,1162.53000000
1672786800000,2730.42000000,355.51000000
1672790400000,3833.25000000,1776.25000000
1672794000000,9991.20000000,5835.89000000
1672797600000,8663.14000000,4875.21000000
1672801200000,10735.38000000,5113.34000000
1672804800000,2930.88000000,819.71000000
1672808400000,2884.39000000,1022.55000000
1672812000000,1582.95000000,567.83000000
1672815600000,2873.97000000,882.58000000
1672819200000,3934.80000000,1659.40000000
1672822800000,3633.19000000,1187.06000000
1672826400000,2497.88000000,1215.07000000
1672830000000,4634.03000000,2166.64000000
1672833600000,3787.47000000,1313.71000000
1672837200000,4599.03000000,1823.48000000
1672840800000,3554.29000000,1980.98000000
1672844400000,10480.18000000,4902.69000000
1672848000000,4468.91000000,1787.13000000
1672851600000,3297.30000000,1049.13000000
1672855200000,3982.59000000,1041.68000000
1672858800000,10644.41000000,3041.65000000
1672862400000,6811.02000000,2472.32000000
1672866000000,2650.41000000,1709.11000000
1672869600000,3613.29000000,2112.97000000
1672873200000,7344.60000000,4081.60000000
1672876800000,9845.63000000,5274.65000000
1672880400000,12627.93000000,6327.53000000
1672884000000,5262.68000000,1942.83000000
1672887600000,3883.28000000,1032.93000000
1672891200000,3920.51000000,1595.96000000
1672894800000,3558.48000000,1516.69000000
1672898400000,8628.83000000,2855.61000000
1672902000000,11988.46000000,4415.45000000
1672905600000,3466.56000000,1331.57000000
1672909200000,6050.53000000,2545.25000000
1672912800000,2824.68000000,1373.82000000
1672916400000,2074.55000000,1038.25000000
1672920000000,1710.60000000,1068.48000000
1672923600000,5834.20000000,1885.75000000
1672927200000,4619.16000000,3125.41000000
1672930800000,4954.99000000,2642.00000000
1672934400000,4767.53000000,2763.78000000
1672938000000,983.91000000,170.69000000
1672941600000,1435.91000000,780.00000000
1672945200000,1204.25000000,396.70000000
1672948800000,1281.33000000,1072.84000000
1672952400000,1809.71000000,678.09000000
1672956000000,644.13000000,143.11000000
1672959600000,24240.80000000,7288.36000000
1672963200000,6901.91000000,2739.24000000
1672966800000,12334.19000000,3204.54000000
1672970400000,3908.32000000,2249.15000000
1672974000000,2303.10000000,904.50000000
1672977600000,18829.11000000,5344.26000000
1672981200000,2905.20000000,1374.25000000
1672984800000,10595.77000000,5587.03000000
1672988400000,2358.56000000,1366.89000000
1672992000000,2216.56000000,1553.54000000
1672995600000,3918.42000000,1972.10000000
1672999200000,4697.39000000,1635.55000000
1673002800000,4361.06000000,2245.58000000
1673006400000,6569.11000000,4567.94000000
1673010000000,8930.46000000,6080.05000000
