funding_time,funding_rate
1779710400000,5e-05
1779724800000,5e-05
1779739200000,5e-05
1779753600000,5e-05
1779768000000,5e-05
1779782400000,5e-05
1779796800000,5e-05
1779811200000,5e-05
1779825600000,-0.0001140997183189
1779840000000,-0.0001756074223023
1779854400000,5e-05
1779868800000,2.57682165261e-05
1779883200000,5e-05
1779897600000,5e-05
1779912000000,5e-05
1779926400000,2.72975258853e-05
1779940800000,5e-05
1779955200000,-5.676843114e-05
1779969600000,3.53418433871e-05
1779984000000,5e-05
1779998400000,-8.70034535017e-05
1780012800000,5e-05
1780027200000,5e-05
1780041600000,5e-05
1780056000000,-7.4824849411e-06
1780070400000,5e-05
1780084800000,5e-05
1780099200000,-1.81330238037e-05
1780113600000,5e-05
1780128000000,5e-05
1780142400000,5e-05
1780156800000,5e-05
1780171200000,5e-05
1780185600000,-7.50316915528e-05
1780200000000,5e-05
1780214400000,-4.93901093638e-05
1780228800000,-9.06524040005e-05
1780243200000,-9.6810335876e-05
1780257600000,-3.84734449219e-05
1780272000000,5e-05
1780286400000,5e-05
1780300800000,5e-05
1780315200000,-2.97325398529e-05
1780329600000,5e-05
1780344000000,5e-05
1780358400000,5e-05
1780372800000,5e-05
1780387200000,5e-05
1780401600000,5e-05
1780416000000,-5.88035869168e-05
1780430400000,5e-05
1780444800000,5e-05
1780459200000,5e-05
1780473600000,5e-05
1780488000000,1.2689115891e-06
1780502400000,2.53214733642e-05
1780516800000,-2.9680128951e-06
1780531200000,3.57313945628e-05
1780545600000,4.81357487721e-05
1780560000000,2.07677098092e-05
1780574400000,-0.0001379954450273
1780588800000,1.81376429616e-05
1780603200000,-5.9380973503e-06
1780617600000,4.2694431997e-05
1780632000000,-2.63921795343e-05
1780646400000,2.43990374968e-05
1780660800000,-6.5778225025e-06
1780675200000,-2.41301183805e-05
1780689600000,5e-05
1780704000000,5e-05
1780718400000,5e-05
1780732800000,5e-05
1780747200000,5e-05
1780761600000,5e-05
1780776000000,5e-05
1780790400000,5e-05
1780804800000,5e-05
1780819200000,5e-05
1780833600000,5e-05
1780848000000,5e-05
1780862400000,5e-05
1780876800000,5e-05
1780891200000,5e-05
1780905600000,5e-05
1780920000000,5e-05
1780934400000,5e-05
1780948800000,5e-05
1780963200000,5e-05
1780977600000,5e-05
1780992000000,5e-05
1781006400000,5e-05
1781020800000,5e-05
1781035200000,5e-05
1781049600000,5e-05
1781064000000,5e-05
1781078400000,5e-05
1781092800000,5e-05
1781107200000,5e-05
1781121600000,5e-05
1781136000000,5e-05
1781150400000,5e-05
1781164800000,5e-05
1781179200000,5e-05
1781193600000,5e-05
1781208000000,5e-05
1781222400000,5e-05
1781236800000,5e-05
1781251200000,5e-05
1781265600000,5e-05
1781280000000,5e-05
1781294400000,5e-05
1781308800000,5e-05
1781323200000,5e-05
1781337600000,5e-05
1781352000000,5e-05
1781366400000,5e-05
1781380800000,5e-05
1781395200000,5e-05
1781409600000,5e-05
1781424000000,5e-05
1781438400000,3.42689983591e-05
