open_time,volume,taker_buy_base_volume
1718618400000,487953993.90000000,223011344.20000000
1718622000000,197337623.50000000,109563266.40000000
1718625600000,93447574.00000000,47361680.20000000
1718629200000,106831401.20000000,53656283.30000000
1718632800000,70945755.60000000,33882452.10000000
1718636400000,145529229.10000000,63072009.20000000
1718640000000,117303597.60000000,60046850.10000000
1718643600000,74862594.90000000,38315437.20000000
1718647200000,44490352.40000000,22311533.10000000
1718650800000,67537937.10000000,27747727.40000000
1718654400000,55020568.30000000,27742602.60000000
1718658000000,32150133.50000000,17549561.80000000
1718661600000,35684990.00000000,17199620.10000000
1718665200000,29758917.30000000,13298465.90000000
1718668800000,58759378.80000000,28764189.40000000
1718672400000,82322094.60000000,34944904.80000000
1718676000000,69260996.90000000,34898054.20000000
1718679600000,55923781.00000000,28591913.70000000
1718683200000,30501125.90000000,14696360.70000000
1718686800000,37951165.10000000,15663667.50000000
1718690400000,82220356.10000000,43894974.40000000
1718694000000,96529389.70000000,54676919.90000000
1718697600000,79899914.90000000,40123236.20000000
1718701200000,32155518.50000000,15068697.90000000
1718704800000,39816887.60000000,16465912.00000000
1718708400000,75456382.90000000,33679628.10000000
1718712000000,60508894.60000000,29784492.60000000
1718715600000,56256885.00000000,27668265.80000000
1718719200000,55861925.70000000,28116175.80000000
1718722800000,32716505.70000000,16824776.80000000
1718726400000,34870391.20000000,17115132.50000000
1718730000000,30969641.70000000,14259737.50000000
1718733600000,22433394.10000000,11139861.30000000
1718737200000,24278373.10000000,12221847.70000000
1718740800000,26026453.50000000,14944312.00000000
1718744400000,53659638.50000000,31639486.70000000
1718748000000,19289796.10000000,9630129.70000000
1718751600000,31450829.10000000,17243930.00000000
1718755200000,26861311.40000000,13501370.20000000
1718758800000,73979264.80000000,39361113.70000000
1718762400000,41179871.70000000,21147257.70000000
1718766000000,28505537.50000000,15291092.70000000
1718769600000,24665508.10000000,11465881.00000000
1718773200000,18945798.40000000,8754564.20000000
1718776800000,30287908.20000000,12700621.10000000
1718780400000,66032124.70000000,34286478.50000000
1718784000000,26660007.60000000,13502627.30000000
1718787600000,28672405.90000000,14395027.90000000
1718791200000,18147758.30000000,9305452.80000000
1718794800000,48757367.90000000,29256334.40000000
1718798400000,65091497.20000000,34997504.00000000
1718802000000,53837521.90000000,29748726.60000000
1718805600000,41502823.20000000,18684184.30000000
1718809200000,20165921.00000000,10320169.40000000
1718812800000,32337176.60000000,16488244.60000000
1718816400000,18606841.90000000,9528721.50000000
1718820000000,17178362.70000000,9478276.00000000
1718823600000,12176448.80000000,5265670.50000000
1718827200000,10720910.90000000,4695399.50000000
1718830800000,7545686.60000000,3951342.80000000
1718834400000,8965704.00000000,4397181.00000000
1718838000000,6550664.80000000,2881920.30000000
1718841600000,29567221.20000000,11925798.50000000
1718845200000,17717485.40000000,9683743.80000000
1718848800000,21274832.20000000,9415837.50000000
1718852400000,14260956.80000000,7510679.90000000
1718856000000,13026735.30000000,6228880.10000000
1718859600000,11035057.90000000,5111496.30000000
1718863200000,15794959.70000000,7837047.10000000
1718866800000,18479964.20000000,9245072.30000000
1718870400000,20160725.70000000,8927750.30000000
1718874000000,24354893.30000000,9183095.40000000
1718877600000,42898383.50000000,21103190.00000000
1718881200000,42297501.00000000,22603377.20000000
1718884800000,28951656.80000000,14381836.20000000
1718888400000,28422204.00000000,12825681.20000000
1718892000000,46016124.30000000,19997458.10000000
1718895600000,28929521.80000000,11656651.80000000
1718899200000,33503922.60000000,15923141.00000000
1718902800000,13508625.90000000,6991048.40000000
1718906400000,12390384.40000000,6886235.60000000
1718910000000,7965689.00000000,4242190.90000000
1718913600000,8001610.30000000,4275235.90000000
1718917200000,4944870.30000000,2556609.70000000
1718920800000,4257582.60000000,2194552.90000000
1718924400000,5717292.70000000,2875541.40000000
1718928000000,16028867.90000000,7185959.50000000
1718931600000,15337850.70000000,8619039.60000000
1718935200000,13660004.50000000,6499293.60000000
1718938800000,9105193.00000000,3731901.30000000
1718942400000,7017884.70000000,3781554.40000000
1718946000000,11563020.50000000,4725188.70000000
1718949600000,41365902.70000000,18202254.80000000
1718953200000,33040408.10000000,14612888.90000000
1718956800000,27484301.20000000,12209902.30000000
1718960400000,26523697.70000000,12907784.90000000
1718964000000,17251949.90000000,8545391.00000000
1718967600000,10308015.50000000,4723173.40000000
1718971200000,14280933.70000000,5767878.10000000
1718974800000,12511780.90000000,5843103.40000000
1718978400000,17175222.80000000,9047451.50000000
1718982000000,10591833.90000000,4486994.20000000
1718985600000,14579110.70000000,5960643.90000000
1718989200000,14900971.80000000,5641599.80000000
1718992800000,27550166.20000000,14269759.80000000
1718996400000,13132944.90000000,7661696.50000000
1719000000000,13680541.20000000,6599470.80000000
1719003600000,7028292.40000000,3449710.00000000
1719007200000,4488903.30000000,2106529.20000000
1719010800000,4158690.70000000,2046886.40000000
1719014400000,11203412.60000000,4825085.90000000
1719018000000,9483456.30000000,4380749.30000000
1719021600000,10862397.10000000,4942460.10000000
1719025200000,19709226.30000000,7349942.60000000
1719028800000,14733114.50000000,7221147.00000000
1719032400000,7274641.80000000,3083028.50000000
1719036000000,8874263.70000000,4825542.70000000
1719039600000,8023381.60000000,3980574.60000000
1719043200000,15024015.80000000,8340569.20000000
1719046800000,14210704.00000000,6863428.50000000
1719050400000,16670783.40000000,9243366.60000000
1719054000000,9540314.90000000,4188982.80000000
1719057600000,15722899.80000000,8365164.30000000
1719061200000,10794227.60000000,5306895.30000000
1719064800000,12368695.50000000,6211771.30000000
1719068400000,18240462.30000000,8860038.50000000
1719072000000,13338954.20000000,5401593.60000000
1719075600000,11004691.40000000,4775176.70000000
1719079200000,9173140.10000000,5266994.80000000
1719082800000,4726004.50000000,2363366.20000000
1719086400000,3861281.70000000,1704826.00000000
1719090000000,2662298.70000000,1265352.00000000
1719093600000,3041817.30000000,1337467.00000000
1719097200000,3720569.50000000,1761878.30000000
1719100800000,6313551.10000000,2999994.60000000
1719104400000,8342016.40000000,4013663.80000000
1719108000000,6399944.40000000,2629775.20000000
1719111600000,5037586.90000000,2933843.50000000
1719115200000,5042254.70000000,2207276.70000000
1719118800000,10995816.90000000,5179025.80000000
1719122400000,5054094.90000000,2528628.60000000
1719126000000,5060447.90000000,2641840.00000000
1719129600000,6072317.00000000,3036523.10000000
1719133200000,4383224.80000000,1977661.20000000
1719136800000,7842368.00000000,3401077.90000000
1719140400000,7983099.50000000,3149757.80000000
1719144000000,4938986.10000000,2672846.10000000
1719147600000,4574618.80000000,2095373.80000000
1719151200000,10684935.60000000,4493675.80000000
1719154800000,11252596.50000000,6033263.30000000
1719158400000,19973303.80000000,8477632.50000000
1719162000000,13482442.50000000,7488876.80000000
1719165600000,4287645.40000000,1889520.40000000
1719169200000,3776379.40000000,1484194.70000000
1719172800000,14620015.30000000,6216461.70000000
1719176400000,8424993.50000000,3642557.70000000
1719180000000,12369616.00000000,5943626.50000000
1719183600000,18666376.40000000,9282607.90000000
1719187200000,13896764.30000000,6947781.60000000
1719190800000,9154740.60000000,4415661.50000000
1719194400000,14578897.00000000,5744851.50000000
