symbol,base,market_cap_usd,cg_id,cg_24h_volume_usd,binance_24h_quote_volume_usd
TUTUSDT,TUT,39590941,tutorial,156281670,85786398.71016
SNDKBUSDT,SNDKB,45481778,sandisk-bstocks-tokenized-stock,69227924,43617560.535858
REUSDT,RE,86533157,re,68664858,35706155.05275
PROMUSDT,PROM,66252847,prometeus,97261157,19274568.80402
SPCXBUSDT,SPCXB,71263985,spacex-bstocks-tokenized-stock,42576332,18877618.52731
CRCLBUSDT,CRCLB,83215749,circle-internet-group-bstock,20666720,15310777.5516
SPKUSDT,SPK,60422714,spark-2,60268374,15082535.460933
PORTALUSDT,PORTAL,15199616,portal-2,70344650,14445630.442371
STORJUSDT,STORJ,22974797,storj,96082388,10807384.3887
SUPERUSDT,SUPER,77119874,superfarm,63144133,10317587.4474
SNXXBUSDT,SNXXB,3728162,tradr-2x-long-sndk-etf-bstocks-tokenized-stock,32715452,10315286.7233
ACEUSDT,ACE,22907661,endurance,41872162,10111760.05363
SKHYBUSDT,SKHYB,34402826,sk-hynix-bstocks-tokenized-stock,16674108,8316704.29782
MUBUSDT,MUB,41731960,micron-technology-bstock,12841329,8095751.17437
ONGUSDT,ONG,39751437,ong,26372481,7788616.99617
AMPUSDT,AMP,44834233,amp-token,42059470,7441965.447549
COTIUSDT,COTI,37255683,coti,38293220,6734425.86255
HEMIUSDT,HEMI,7322398,hemi,21120692,6390959.305621
XUSDUSDT,XUSD,36195567,straitsx-xusd,8796913,5364472.5047
SOXLBUSDT,SOXLB,11737617,semicon-bull-3x-etf-bstocks-tokenized-stock,8897108,5311098.50202
GIGGLEUSDT,GIGGLE,35840839,giggle-fund,10818429,4542078.37513
ZENUSDT,ZEN,98623083,zencash,14063252,4315918.66694
EULUSDT,EUL,32361638,euler,16045500,3919536.62902
ORDIUSDT,ORDI,88165200,ordinals,20934626,3720351.53389
CHIPUSDT,CHIP,65358465,chip-2,14002954,3481284.94545
BANKUSDT,BANK,14979610,lorenzo-protocol,12619451,3291190.66644
KAITOUSDT,KAITO,81958775,kaito,39725697,3275742.23381
GALAUSDT,GALA,95659091,gala,41285976,3109510.992835
PLUMEUSDT,PLUME,88590999,plume,13784316,3023440.10423
PARTIUSDT,PARTI,5810473,particle-network,16881992,2989270.28991
BOMEUSDT,BOME,79387032,book-of-meme,50893997,2958917.977422
HOMEUSDT,HOME,27189102,home,16920331,2924278.3241
MEUSDT,ME,44154052,magic-eden,16173566,2769242.3077007
MINAUSDT,MINA,77539579,mina-protocol,13114190,2754747.56858
MUBARAKUSDT,MUBARAK,23865187,mubarak,12303027,2745844.419994
NVDABUSDT,NVDAB,10851971,nvidia-bstocks,7802445,2699769.25892
DEXEUSDT,DEXE,66309268,dexe,11544707,2664470.95492
SCRTUSDT,SCRT,25877247,secret,11370510,2652159.91065
SPELLUSDT,SPELL,15466799,spell-token,11629136,2644040.2128201
QQQBUSDT,QQQB,1312523,invesco-qqq-trust-bstocks-tokenized-stock,52763515,2629958.20485
TSTUSDT,TST,14575027,test-3,9385617,2574170.144413
ZKUSDT,ZK,92425017,zksync,10948076,2401268.086861
ALLOUSDT,ALLO,64379766,allora,8588638,2244743.49918
AIUSDT,AI,26231881,gensyn,4431957,2230218.76165
HEIUSDT,HEI,10594233,heima,8410846,2185018.08399
GOOGLBUSDT,GOOGLB,24509887,alphabet-bstocks-tokenized-stock,4130056,2161067.53127
KORUBUSDT,KORUB,2980012,south-korea-bull-3x-etf-bstocks-tokenized-stock,7052238,2133941.0238
SENTUSDT,SENT,90577411,sentient,14565449,2114485.2864
MEGAUSDT,MEGA,44901708,megaeth,8297570,2047404.821041
GPSUSDT,GPS,68943312,goplus-security,9021413,2033481.297617
NEIROUSDT,NEIRO,38255080,neiro-3,8261702,1991295.03688891
ERAUSDT,ERA,10196793,caldera,7705073,1905367.03426
NBISBUSDT,NBISB,9413496,nebius-bstocks-tokenized-stock,3462481,1899712.65435
PEOPLEUSDT,PEOPLE,50232111,constitutiondao,12220537,1894359.053673
AUDIOUSDT,AUDIO,18872536,audius,11105014,1815330.867284
PNUTUSDT,PNUT,51967343,peanut-the-squirrel,14677532,1719526.28591
BIOUSDT,BIO,63196665,bio-protocol,13739106,1699567.917396
ONTUSDT,ONT,50072862,ontology,11678413,1683845.65424
TSLABUSDT,TSLAB,15079193,tesla-bstocks-tokenized-stock,3944299,1662103.38201
CFGUSDT,CFG,53868646,centrifuge-2,8173495,1650149.88744
TURBOUSDT,TURBO,69826580,turbo,11453031,1625175.629796
BBUSDT,BB,4046506,bouncebit,6992118,1571744.998391
TRBUSDT,TRB,52712140,tellor,12051657,1471698.45063
BICOUSDT,BICO,18654899,biconomy,10510540,1468281.0954326
SPYBUSDT,SPYB,22458633,spy-bstocks-tokenized-stock,6459279,1453765.81133
FORMUSDT,FORM,97345200,four,5334452,1448146.06758
ROBOUSDT,ROBO,30349319,robo-token-2,7516082,1436888.98769
ALTUSDT,ALT,44177088,altlayer,7633281,1428106.6701
BMNRBUSDT,BMNRB,4422477,bitmine-immersion-technologies-bstocks-tokenized-stock,1443204,1415878.8169
RADUSDT,RAD,13953464,radicle,4830573,1337620.8921
LUNAUSDT,LUNA,34355817,terra-luna-2,6460630,1335867.889735
COWUSDT,COW,68775366,cow-protocol,6640400,1330229.01264
MITOUSDT,MITO,10328359,mitosis,4221478,1325966.080641
DRAMBUSDT,DRAMB,17717374,roundhill-memory-etf-bstocks-tokenized-stock,2702584,1324905.2767
OGUSDT,OG,14038980,og-fan-token,3645742,1324458.4436
AAOIBUSDT,AAOIB,4993143,applied-optoelectronics-bstocks-tokenized-stock,1566165,1322690.97315
SAGAUSDT,SAGA,6243156,saga-2,6261898,1271291.300574
NILUSDT,NIL,22540547,nillion,9989057,1270516.045586
MMTUSDT,MMT,33855139,momentum-3,7582534,1236398.05062
REDUSDT,RED,56675794,redstone-oracles,5998885,1225153.24326
MOVRUSDT,MOVR,8807595,moonriver,3399847,1176145.198755
EDENUSDT,EDEN,20162503,openeden,3943160,1162341.810969
BABYUSDT,BABY,54672280,babylon,7052731,1154017.02583
BABABUSDT,BABAB,2982516,alibaba-bstocks-tokenized-stock,1923032,1153476.96319
RAREUSDT,RARE,10123271,superrare,10908348,1140777.442706
AIXBTUSDT,AIXBT,21754639,aixbt,6260362,1137796.252974
IOUSDT,IO,55331800,io,8865798,1128282.169764
DYDXUSDT,DYDX,98584072,dydx-chain,4643568,1108571.5618242
ATUSDT,AT,31991431,apro,3402535,1084957.59298
MANTRAUSDT,MANTRA,26826841,mantra,5150882,1064397.7288
BERAUSDT,BERA,60191333,berachain-bera,12200695,1024704.2453558
KAVAUSDT,KAVA,49710055,kava,10066340,1022953.151204
BMTUSDT,BMT,11048961,bubblemaps,6418891,1008378.681912
PHAUSDT,PHA,21829816,pha,14031329,997318.9023
ENSOUSDT,ENSO,17256452,enso,9537745,994826.4884
USUALUSDT,USUAL,22094187,usual,4120115,990760.152239
