symbol,entry_time,exit_time,entry_price,size,notional,pnl,pnl_pct_of_notional,holding_hours,exit_reason,n_fills
SPELLUSDT,2023-01-15 23:00:00,2023-01-15 23:30:00,0.00071155,3512564.9989459626,2536.8561093749995,-83.60893747980987,-0.03295769798327602,0.5,fvg_invalidated,1
STORJUSDT,2023-01-16 02:00:00,2023-01-16 02:30:00,0.34795,7085.195200550847,2502.273075082142,-84.1183512074653,-0.03361677510145608,0.5,fvg_invalidated,1
SPELLUSDT,2023-01-16 03:00:00,2023-01-16 04:15:00,0.00071535,3416004.073475963,2480.2930916704454,-82.73432143204072,-0.033356671318356255,1.25,fvg_invalidated,1
SUPERUSDT,2023-01-16 06:00:00,2023-01-16 06:30:00,0.1041,23269.307015659004,2458.6698832350535,-100.412062673577,-0.04083999375363782,0.5,fvg_invalidated,1
DEXEUSDT,2023-01-15 22:00:00,2023-01-16 07:00:00,2.5635000000000003,975.2291788570312,2537.4999999999995,-58.887916910473876,-0.02320706085141828,9.0,stop,2
ZENUSDT,2023-01-16 00:15:00,2023-01-16 08:00:00,10.455,236.34700952347086,2508.0731043364062,-29.069919952281133,-0.011590539327589713,7.75,stop,2
STORJUSDT,2023-01-17 00:00:00,2023-01-17 00:30:00,0.33885,7043.0462041321025,2422.334249364215,-88.49746904412329,-0.036533962671481464,0.5,fvg_invalidated,1
GALAUSDT,2023-01-17 00:30:00,2023-01-17 00:45:00,0.046835,50470.9353143331,2399.2633492784926,-93.76921763016391,-0.039082503243490226,0.25,fvg_invalidated,1
MINAUSDT,2023-01-17 03:15:00,2023-01-17 04:30:00,0.5595000000000001,4181.884066491385,2374.860597229959,-62.52734237739624,-0.02632884744912111,1.25,fvg_invalidated,2
MINAUSDT,2023-01-17 09:00:00,2023-01-17 10:00:00,0.559,4155.54380419046,2357.7932213406043,-86.60171987880034,-0.03672998933704626,1.0,fvg_invalidated,1
DEXEUSDT,2023-01-17 08:30:00,2023-01-17 15:45:00,2.6050000000000004,891.953391346746,2358.3916632251476,-104.19488225979143,-0.04418048277753105,7.25,fvg_invalidated,1
GALAUSDT,2023-01-17 18:15:00,2023-01-17 20:30:00,0.051855,43848.29078057056,2307.8594152028836,-116.98616003840144,-0.05069033203138901,2.25,fvg_invalidated,1
AMPUSDT,2023-01-17 16:45:00,2023-01-17 21:00:00,0.005085,250685.6075490368,1293.8573591026548,-56.82565793768304,-0.04391956929247136,4.25,fvg_invalidated,1
COTIUSDT,2023-01-17 14:30:00,2023-01-17 22:30:00,0.07465,30819.947866944844,2335.2197448914435,-78.1717851146014,-0.0334751302465693,8.0,fvg_invalidated,1
SPELLUSDT,2023-01-17 18:15:00,2023-01-17 22:45:00,0.00070955,3203687.0602109586,2307.2737958762755,-63.757079965048284,-0.0276330793852899,4.5,fvg_invalidated,2
GALAUSDT,2023-01-18 06:00:00,2023-01-18 06:15:00,0.050235,43668.04348282637,2226.5691268251794,-73.42000399509442,-0.03297450014488548,0.25,fvg_invalidated,1
SCRTUSDT,2023-01-18 08:15:00,2023-01-18 08:30:00,0.789,2756.3403308989896,2207.3738088954924,-75.01664113595682,-0.0339845661091236,0.25,fvg_invalidated,1
AMPUSDT,2023-01-18 08:30:00,2023-01-18 08:45:00,0.0048649999999999995,441204.14344590035,2178.6550302322694,-79.54044843198035,-0.03650896875743584,0.25,fvg_invalidated,1
SUPERUSDT,2023-01-18 08:15:00,2023-01-18 08:45:00,0.1028,21149.81203917392,2206.813687791485,-68.71965410771674,-0.031139762494626074,0.5,stop,2
STORJUSDT,2023-01-18 09:30:00,2023-01-18 09:45:00,0.33855,6253.9805775473615,2149.044401396589,-71.13782986882528,-0.03310207542598714,0.25,fvg_invalidated,1
MINAUSDT,2023-01-18 13:15:00,2023-01-18 13:30:00,0.5535000000000001,3792.165141754478,2130.4478570505207,-78.62801023535786,-0.036906798716122395,0.25,stop,1
MINAUSDT,2023-01-18 15:15:00,2023-01-18 15:30:00,0.5575000000000001,3720.2605119825403,2105.15591396172,-86.5038043461101,-0.041091400296008225,0.25,fvg_invalidated,1
COTIUSDT,2023-01-18 15:30:00,2023-01-18 15:45:00,0.074,27728.28372115201,2082.6713902957267,-158.42973601164363,-0.07607044334975359,0.25,fvg_invalidated,1
SUPERUSDT,2023-01-18 13:30:00,2023-01-18 15:45:00,0.10255,20270.831705880075,2109.9553983095716,-77.4915026795997,-0.03672660698974178,2.25,fvg_invalidated,2
SUPERUSDT,2023-01-19 01:45:00,2023-01-19 02:00:00,0.09565,20873.947569294534,2026.5419812780672,-69.02604809944627,-0.03406100082659725,0.25,fvg_invalidated,1
GALAUSDT,2023-01-19 05:30:00,2023-01-19 08:45:00,0.045155,43823.05254086682,2008.5123865450835,-68.71287563020077,-0.03421082991098518,3.25,fvg_invalidated,1
COTIUSDT,2023-01-19 11:00:00,2023-01-19 11:15:00,0.0686,28580.868655933285,1990.0573036439782,-73.99032426169151,-0.03717999684039671,0.25,fvg_invalidated,1
MINAUSDT,2023-01-19 07:00:00,2023-01-19 11:15:00,0.5175000000000001,3822.855670311507,2008.0027265269982,-68.94911088399104,-0.03433715999143291,4.25,fvg_invalidated,1
SPELLUSDT,2023-01-19 11:15:00,2023-01-19 11:30:00,0.0006649,2893544.636190466,1952.7765960320864,-67.25995316565918,-0.034443240103515675,0.25,fvg_invalidated,1
ZENUSDT,2023-01-19 11:00:00,2023-01-19 12:30:00,9.705,201.9732174622475,1989.5523266031785,-67.69341930460348,-0.03402444781142221,1.5,fvg_invalidated,1
SPELLUSDT,2023-01-20 02:45:00,2023-01-20 04:30:00,0.0006814,2771768.3523283214,1917.0131996056657,-61.52883922293509,-0.03209620008646353,1.75,fvg_invalidated,1
GALAUSDT,2023-01-20 00:45:00,2023-01-20 04:45:00,0.04568,41357.52587940654,1917.5499589038598,-31.76379682058303,-0.016564781883826565,4.0,fvg_invalidated,2
ONGUSDT,2023-01-20 01:45:00,2023-01-20 04:45:00,0.27685000000000004,6822.222845156454,1917.063380601788,-74.87275129771015,-0.03905596030643846,3.0,fvg_invalidated,1
STORJUSDT,2023-01-20 04:30:00,2023-01-20 04:45:00,0.33535,5598.053820510334,1905.4669589387622,-77.4258272887571,-0.04063351868975935,0.25,fvg_invalidated,1
COTIUSDT,2023-01-21 02:30:00,2023-01-21 02:45:00,0.07755000000000001,23543.33957834868,1853.1727740654544,-64.21690132142757,-0.0346524092195407,0.25,fvg_invalidated,1
SPELLUSDT,2023-01-20 10:00:00,2023-01-21 05:45:00,0.0006783,2698489.697296977,1857.8413451016872,18.03463472051302,0.009707306152951348,19.75,stop,2
ONGUSDT,2023-01-21 06:30:00,2023-01-21 06:45:00,0.29525,6157.196414890834,1845.1809251189663,-66.35253612865687,-0.035959907901377666,0.25,fvg_invalidated,1
AMPUSDT,2023-01-19 17:45:00,2023-01-21 10:15:00,0.004535,416690.4721800369,1918.0366607065139,72.78952304646114,0.03795001656519377,40.5,stop,2
DEXEUSDT,2023-01-21 10:15:00,2023-01-21 10:30:00,2.637,688.1207191723294,1841.7929515042938,-81.76561759831016,-0.044394576236991064,0.25,fvg_invalidated,1
STORJUSDT,2023-01-21 10:15:00,2023-01-21 10:30:00,0.35805,5066.649597038281,1841.3255965428498,-87.71631668224171,-0.04763759155194063,0.25,fvg_invalidated,1
COTIUSDT,2023-01-21 12:00:00,2023-01-21 12:30:00,0.07825,21255.396879003492,1688.1833278687534,-58.45242112499773,-0.034624451124506114,0.5,fvg_invalidated,1
SUPERUSDT,2023-01-21 13:30:00,2023-01-21 15:45:00,0.1045,16806.200211837957,1782.5916409691222,-69.4299759895472,-0.03894889575034749,2.25,fvg_invalidated,1
ZENUSDT,2023-01-21 15:30:00,2023-01-21 15:45:00,10.815,162.34880020590145,1782.1393083402263,-72.95980651189218,-0.04093945191066035,0.25,fvg_invalidated,1
STORJUSDT,2023-01-21 17:00:00,2023-01-21 18:00:00,0.35755000000000003,4809.842801774238,1745.5556831809945,-57.63542400630362,-0.03301838180336495,1.0,fvg_invalidated,1
ZENUSDT,2023-01-21 20:00:00,2023-01-21 20:15:00,10.844999999999999,157.16748980286874,1730.0486483157927,-61.502888197713794,-0.035549802751261954,0.25,fvg_invalidated,1
GALAUSDT,2023-01-21 20:15:00,2023-01-21 22:15:00,0.04876,34623.55807789082,1713.5683622561253,-57.43084019029575,-0.03351534812108746,2.0,fvg_invalidated,1
DEXEUSDT,2023-01-21 20:15:00,2023-01-21 22:45:00,2.621,644.285842312325,1714.0032905911128,-57.84146376515685,-0.033746413488628085,2.5,fvg_invalidated,1
COTIUSDT,2023-01-21 20:00:00,2023-01-21 23:30:00,0.07875,21649.702207644543,1730.4877595847877,-74.79569969522687,-0.04322232230823367,3.5,fvg_invalidated,1
ZENUSDT,2023-01-22 11:30:00,2023-01-22 12:00:00,10.97,149.48797383114245,1664.481319021547,-58.360194676462186,-0.035062090520047884,0.5,fvg_invalidated,1
ONGUSDT,2023-01-22 09:15:00,2023-01-22 15:15:00,0.28975,5661.0847243303615,1664.903788357843,-37.170448780208176,-0.02232588395805789,6.0,stop,2
SCRTUSDT,2023-01-22 20:45:00,2023-01-22 21:00:00,0.7865,2054.1440454338335,1639.8180561097154,-83.02897990492593,-0.05063304407191545,0.25,fvg_invalidated,1
ONGUSDT,2023-01-23 03:30:00,2023-01-23 03:45:00,0.28885,5519.879149189721,1618.3333486271026,-55.638244250631885,-0.03437996522646712,0.25,fvg_invalidated,1
ZENUSDT,2023-01-23 06:45:00,2023-01-23 07:45:00,11.120000000000001,135.437395529454,1528.6547958618412,-60.18856141377332,-0.039373546975227706,1.0,fvg_invalidated,1
SPELLUSDT,2023-01-23 12:00:00,2023-01-23 12:30:00,0.00074525,2098995.78376936,1587.740756971927,-56.9760866274871,-0.03588500602336966,0.5,fvg_invalidated,1
ONGUSDT,2023-01-23 12:00:00,2023-01-23 13:15:00,0.2908,5380.5833692958295,1588.1437484480955,-53.775758922215424,-0.03386076290308361,1.25,fvg_invalidated,1
STORJUSDT,2023-01-23 13:15:00,2023-01-23 14:00:00,0.36575,4200.114043137242,1559.234586946608,-65.07008935848538,-0.041732071558205845,0.75,fvg_invalidated,1
DEXEUSDT,2023-01-24 00:45:00,2023-01-24 01:15:00,2.652,572.9767648156443,1542.327395995455,-53.13564201915535,-0.034451597084457115,0.5,fvg_invalidated,1
ONGUSDT,2023-01-24 02:30:00,2023-01-24 09:00:00,0.29500000000000004,5103.331439735548,1528.0650163428165,-16.78948199940745,-0.010987413375636619,6.5,stop,2
SCRTUSDT,2023-01-24 01:30:00,2023-01-24 09:30:00,0.8185,1839.7860573455114,1528.4528612563604,-50.903242029821925,-0.033303769661552,8.0,fvg_invalidated,1
ZENUSDT,2023-01-24 09:30:00,2023-01-24 09:45:00,10.805,137.33498382859713,1506.1630677720118,-52.21483295249914,-0.03466745007214777,0.25,fvg_invalidated,1
STORJUSDT,2023-01-24 02:30:00,2023-01-24 10:00:00,0.3751,4012.5320140439917,1527.6772698449197,-49.742580946892716,-0.032560922341891146,7.5,fvg_invalidated,1
STORJUSDT,2023-01-24 13:30:00,2023-01-24 13:45:00,0.3758,3890.1803190562573,1483.8587103598616,-55.586142754151986,-0.03746053607804167,0.25,fvg_invalidated,1
STORJUSDT,2023-01-24 19:30:00,2023-01-24 20:15:00,0.3742,3867.7042202988823,1469.0043430243793,-52.40284376488671,-0.03567235455342493,0.75,fvg_invalidated,1
DEXEUSDT,2023-01-24 19:00:00,2023-01-24 20:30:00,2.654,545.4643042709923,1469.3771974882416,-52.22938806416624,-0.035545255604515526,1.5,fvg_invalidated,1
GALAUSDT,2023-01-24 20:15:00,2023-01-24 20:30:00,0.05083,28208.2816684805,1455.3343615669967,-61.981738556569134,-0.0425893459217384,0.25,fvg_invalidated,1
SPELLUSDT,2023-01-24 20:30:00,2023-01-24 21:45:00,0.0007385,1902383.6722590225,1425.9839970927374,-46.2675127913056,-0.032446025260896835,1.25,fvg_invalidated,1
